p	maxlab	i	McSplit	MCSa1	MCSa2	ratio	maxlab_jittered
0.1	1	1	20	25	24	0.8	1.05118168136105
0.1	1	2	20	27	25	0.740740740740741	0.913187276246026
0.1	1	3	20	24	27	0.833333333333333	0.989258338417858
0.1	1	4	20	28	31	0.714285714285714	0.941185987181962
0.1	1	5	20	24	24	0.833333333333333	1.02484018118121
0.1	1	6	20	29	24	0.689655172413793	1.05859252046794
0.1	1	7	20	31	22	0.645161290322581	1.09195406297222
0.1	1	8	20	29	28	0.689655172413793	0.914838384510949
0.1	1	9	20	27	29	0.740740740740741	0.976343660289422
0.1	1	10	20	23	24	0.869565217391304	1.08245857376605
0.1	2	1	18	21	20	0.857142857142857	2.09804983399808
0.1	2	2	18	20	24	0.9	2.0034388304688
0.1	2	3	15	19	19	0.789473684210526	2.09674217388965
0.1	2	4	17	22	18	0.772727272727273	1.97926465636119
0.1	2	5	20	20	24	1	1.92683660271578
0.1	2	6	19	21	24	0.904761904761905	1.94145528031513
0.1	2	7	16	24	19	0.666666666666667	2.05755503056571
0.1	2	8	13	16	16	0.8125	2.02532456051558
0.1	2	9	20	21	24	0.952380952380952	1.94322744538076
0.1	2	10	17	21	19	0.80952380952381	2.08273108131252
0.1	3	1	15	19	17	0.789473684210526	2.98180676870979
0.1	3	2	18	19	19	0.947368421052632	3.08032573675737
0.1	3	3	18	22	17	0.818181818181818	3.02367184227332
0.1	3	4	17	18	15	0.944444444444444	2.91241036038846
0.1	3	5	17	17	17	1	2.98725690841675
0.1	3	6	16	19	18	0.842105263157895	3.06277623474598
0.1	3	7	15	15	16	1	3.00340330726467
0.1	3	8	15	19	16	0.789473684210526	2.92995007000864
0.1	3	9	17	18	16	0.944444444444444	3.08713022344746
0.1	3	10	14	16	15	0.875	3.02613811129704
0.1	4	1	14	15	13	0.933333333333333	4.04624659507535
0.1	4	2	15	16	15	0.9375	4.02887269929051
0.1	4	3	15	15	17	1	4.03342951801605
0.1	4	4	15	16	16	0.9375	3.91918612523004
0.1	4	5	18	16	15	1.125	3.94713955912739
0.1	4	6	16	17	16	0.941176470588235	4.09907627147622
0.1	4	7	15	14	14	1.07142857142857	4.08143430883065
0.1	4	8	14	14	15	1	3.91767846606672
0.1	4	9	15	14	12	1.07142857142857	3.94446085272357
0.1	4	10	17	19	16	0.894736842105263	3.92077198587358
0.1	5	1	13	14	14	0.928571428571429	4.9548489451874
0.1	5	2	12	13	12	0.923076923076923	4.9375782395713
0.1	5	3	16	16	15	1	4.90623673703521
0.1	5	4	17	16	17	1.0625	5.06713664433919
0.1	5	5	14	13	12	1.07692307692308	5.09364330107346
0.1	5	6	10	11	11	0.909090909090909	5.05351308686659
0.1	5	7	16	16	14	1	4.96842453782447
0.1	5	8	16	14	15	1.14285714285714	5.04853911176324
0.1	5	9	16	16	15	1	5.09823734494857
0.1	5	10	14	12	15	1.16666666666667	4.92062656213529
0.1	6	1	14	14	15	1	6.07379959719256
0.1	6	2	15	15	15	1	6.0038536703214
0.1	6	3	9	12	9	0.75	6.02543384423479
0.1	6	4	15	14	13	1.07142857142857	6.06568832080811
0.1	6	5	11	11	9	1	6.03777968515642
0.1	6	6	16	15	14	1.06666666666667	5.96548532182351
0.1	6	7	16	15	14	1.06666666666667	5.9212124989368
0.1	6	8	13	10	11	1.3	6.07762634516694
0.1	6	9	14	14	14	1	5.93890779465437
0.1	6	10	13	11	12	1.18181818181818	5.95958774359897
0.1	7	1	16	15	14	1.06666666666667	6.99225075491704
0.1	7	2	12	12	11	1	6.9935519400984
0.1	7	3	13	15	13	0.866666666666667	7.02196640437469
0.1	7	4	14	12	13	1.16666666666667	6.93147783977911
0.1	7	5	14	13	13	1.07692307692308	6.95269099236466
0.1	7	6	14	12	12	1.16666666666667	7.08670706935227
0.1	7	7	13	11	12	1.18181818181818	7.03823440466076
0.1	7	8	15	13	13	1.15384615384615	6.92157721878029
0.1	7	9	9	8	7	1.125	6.97827819604427
0.1	7	10	18	14	13	1.28571428571429	6.91359044597484
0.1	8	1	17	14	13	1.21428571428571	7.95991211622022
0.1	8	2	13	11	10	1.18181818181818	8.0952851365786
0.1	8	3	13	11	11	1.18181818181818	8.0740468648728
0.1	8	4	13	13	12	1	7.9520640428178
0.1	8	5	11	10	10	1.1	7.99009476923384
0.1	8	6	11	8	9	1.375	7.97377412449569
0.1	8	7	12	10	11	1.2	7.97235813550651
0.1	8	8	12	11	13	1.09090909090909	7.90802218262106
0.1	8	9	9	9	9	1	7.95903190211393
0.1	8	10	15	14	13	1.07142857142857	8.09773554434068
0.1	9	1	13	12	12	1.08333333333333	9.00758725185879
0.1	9	2	14	12	12	1.16666666666667	9.03976867021993
0.1	9	3	11	9	9	1.22222222222222	8.91781707503833
0.1	9	4	10	9	9	1.11111111111111	9.09342504581437
0.1	9	5	15	14	13	1.07142857142857	9.06841245885007
0.1	9	6	14	13	14	1.07692307692308	9.03181151072495
0.1	9	7	10	8	7	1.25	9.06890422687866
0.1	9	8	8	7	7	1.14285714285714	8.96932156030089
0.1	9	9	14	11	12	1.27272727272727	8.96689654397778
0.1	9	10	9	9	10	1	8.95494430824183
0.1	10	1	12	10	10	1.2	9.98915589321405
0.1	10	2	15	12	11	1.25	9.96865554871038
0.1	10	3	15	12	12	1.25	9.95511696869507
0.1	10	4	14	12	12	1.16666666666667	9.93452482125722
0.1	10	5	7	6	6	1.16666666666667	10.0581145368516
0.1	10	6	14	12	12	1.16666666666667	10.0187104843091
0.1	10	7	14	11	12	1.27272727272727	10.0943329055794
0.1	10	8	10	8	8	1.25	10.0696060082875
0.1	10	9	11	10	11	1.1	10.0687868401874
0.1	10	10	11	10	12	1.1	9.94485791595653
0.1	11	1	12	10	10	1.2	10.9001687700395
0.1	11	2	13	12	10	1.08333333333333	11.083629784314
0.1	11	3	11	9	10	1.22222222222222	11.0505258759484
0.1	11	4	13	10	9	1.3	11.0322766781319
0.1	11	5	14	13	11	1.07692307692308	10.9483176635578
0.1	11	6	16	14	15	1.14285714285714	11.0910531861242
0.1	11	7	11	10	10	1.1	10.9928513759281
0.1	11	8	14	11	11	1.27272727272727	10.9868206048384
0.1	11	9	13	10	10	1.3	11.0088823487982
0.1	11	10	16	13	13	1.23076923076923	10.9552747083362
0.1	12	1	15	12	12	1.25	12.0429612960666
0.1	12	2	10	9	10	1.11111111111111	12.0216613718774
0.1	12	3	11	10	9	1.1	11.9023693492636
0.1	12	4	12	10	10	1.2	12.0778990966268
0.1	12	5	15	11	11	1.36363636363636	12.0083773109131
0.1	12	6	10	9	10	1.11111111111111	11.9556699896231
0.1	12	7	13	10	11	1.3	11.9693402132485
0.1	12	8	15	11	11	1.36363636363636	11.9431020908523
0.1	12	9	11	10	9	1.1	12.0033426271752
0.1	12	10	14	12	13	1.16666666666667	11.993447592482
0.1	13	1	11	9	9	1.22222222222222	12.9755697832908
0.1	13	2	12	8	8	1.5	12.9621449484956
0.1	13	3	11	8	8	1.375	12.9542789760046
0.1	13	4	11	10	11	1.1	12.9733882477973
0.1	13	5	8	7	7	1.14285714285714	13.0634024304338
0.1	13	6	11	10	10	1.1	13.0113035418559
0.1	13	7	10	8	8	1.25	12.9950541295577
0.1	13	8	12	9	9	1.33333333333333	12.9740853012539
0.1	13	9	13	11	10	1.18181818181818	12.9541436410975
0.1	13	10	14	12	11	1.16666666666667	13.0945179281291
0.1	14	1	9	8	8	1.125	14.0658205083106
0.1	14	2	11	7	8	1.57142857142857	13.9450736399274
0.1	14	3	10	8	8	1.25	14.0458300954662
0.1	14	4	10	9	8	1.11111111111111	14.0734848613851
0.1	14	5	11	9	9	1.22222222222222	14.0403782328591
0.1	14	6	13	9	10	1.44444444444444	14.0975778454449
0.1	14	7	12	10	9	1.2	14.0484699334949
0.1	14	8	11	10	10	1.1	13.9101450403221
0.1	14	9	10	10	8	1	14.0451757769566
0.1	14	10	10	8	7	1.25	13.9435652852058
0.1	15	1	11	9	9	1.22222222222222	14.9789741738699
0.1	15	2	10	9	9	1.11111111111111	15.06198914079
0.1	15	3	10	9	9	1.11111111111111	15.086707816273
0.1	15	4	11	8	9	1.375	14.9118166884407
0.1	15	5	11	8	9	1.375	15.0594902754761
0.1	15	6	9	8	8	1.125	15.0691695728339
0.1	15	7	10	8	8	1.25	15.091062691668
0.1	15	8	8	6	6	1.33333333333333	14.9582682446111
0.1	15	9	11	9	9	1.22222222222222	14.9349140989129
0.1	15	10	9	7	8	1.28571428571429	15.0113251805771
0.1	16	1	13	11	11	1.18181818181818	16.0529212686233
0.1	16	2	10	7	7	1.42857142857143	15.9361886112485
0.1	16	3	10	8	8	1.25	15.9327057059854
0.1	16	4	8	6	6	1.33333333333333	16.032588533964
0.1	16	5	13	12	11	1.08333333333333	16.090712297475
0.1	16	6	14	10	11	1.4	16.0519979702774
0.1	16	7	10	7	8	1.42857142857143	16.0881789504085
0.1	16	8	8	7	7	1.14285714285714	15.9373098678421
0.1	16	9	11	9	9	1.22222222222222	16.096532963356
0.1	16	10	10	8	8	1.25	16.0287198702339
0.1	17	1	9	9	8	1	16.9932085357606
0.1	17	2	10	8	8	1.25	17.0184559748042
0.1	17	3	9	7	7	1.28571428571429	17.0183272988535
0.1	17	4	11	7	8	1.57142857142857	17.0891420569736
0.1	17	5	9	8	8	1.125	17.0181329048239
0.1	17	6	15	10	11	1.5	17.0515718863346
0.1	17	7	13	13	12	1	16.9481985603925
0.1	17	8	12	7	7	1.71428571428571	16.9616995833348
0.1	17	9	9	8	7	1.125	17.015769040864
0.1	17	10	11	10	8	1.1	16.9334886060562
0.1	18	1	8	7	7	1.14285714285714	17.9410617954098
0.1	18	2	14	8	9	1.75	17.9309473228641
0.1	18	3	10	7	7	1.42857142857143	17.9345926864538
0.1	18	4	7	5	5	1.4	17.9685114661232
0.1	18	5	9	8	8	1.125	17.9613357538823
0.1	18	6	13	11	11	1.18181818181818	17.9769281608518
0.1	18	7	12	9	9	1.33333333333333	17.9988519072998
0.1	18	8	14	10	10	1.4	17.9884305340238
0.1	18	9	10	7	8	1.42857142857143	17.947035159776
0.1	18	10	10	7	7	1.42857142857143	18.0775612142868
0.1	19	1	12	9	9	1.33333333333333	19.0078173485119
0.1	19	2	11	8	8	1.375	18.9979694753885
0.1	19	3	11	8	9	1.375	19.0660543687176
0.1	19	4	10	9	9	1.11111111111111	18.968156458158
0.1	19	5	9	7	7	1.28571428571429	19.0004656276666
0.1	19	6	10	7	6	1.42857142857143	18.9433399433736
0.1	19	7	10	7	8	1.42857142857143	19.0160181457177
0.1	19	8	10	11	10	0.909090909090909	18.9125411238056
0.1	19	9	8	6	6	1.33333333333333	19.0975226778071
0.1	19	10	12	9	9	1.33333333333333	19.0036665135529
0.1	20	1	9	7	7	1.28571428571429	19.9254659967497
0.1	20	2	12	9	9	1.33333333333333	20.0008924026974
0.1	20	3	13	10	10	1.3	19.9581745661795
0.1	20	4	12	9	8	1.33333333333333	19.9074688377324
0.1	20	5	10	7	8	1.42857142857143	19.9582735391799
0.1	20	6	13	7	7	1.85714285714286	19.9776089539286
0.1	20	7	8	7	7	1.14285714285714	19.9436760411598
0.1	20	8	12	9	10	1.33333333333333	19.9368467344437
0.1	20	9	10	7	7	1.42857142857143	20.0586896550376
0.1	20	10	7	7	7	1	19.9865926077124
0.2	1	1	20	26	25	0.769230769230769	1.08817340531386
0.2	1	2	20	26	30	0.769230769230769	0.916227256087586
0.2	1	3	20	35	30	0.571428571428571	0.962026523379609
0.2	1	4	20	28	26	0.714285714285714	1.07528410912491
0.2	1	5	20	37	32	0.540540540540541	1.00894663948566
0.2	1	6	20	32	30	0.625	0.934983362955973
0.2	1	7	20	30	30	0.666666666666667	0.936844969587401
0.2	1	8	20	28	29	0.714285714285714	1.09780251542106
0.2	1	9	20	31	30	0.645161290322581	1.05779644516297
0.2	1	10	20	31	28	0.645161290322581	0.910719165857881
0.2	2	1	19	27	26	0.703703703703704	1.90505430693738
0.2	2	2	19	24	22	0.791666666666667	2.03364801104181
0.2	2	3	15	22	23	0.681818181818182	2.00648946706206
0.2	2	4	19	24	22	0.791666666666667	2.09627750557847
