p	maxlab	i	McSplit	MCSa1	MCSa2	ratio	maxlab_jittered
0.1	1	1	20	25	24	1.04166666666667	0.997478072298691
0.1	1	2	20	27	25	1.08	1.04320349837653
0.1	1	3	20	24	27	0.888888888888889	0.998530329950154
0.1	1	4	20	28	31	0.903225806451613	1.05218439484015
0.1	1	5	20	24	24	1	0.975250290613621
0.1	1	6	20	29	24	1.20833333333333	1.05796132097021
0.1	1	7	20	31	22	1.40909090909091	1.02811863399111
0.1	1	8	20	29	28	1.03571428571429	1.06379121835344
0.1	1	9	20	27	29	0.931034482758621	1.08465502276085
0.1	1	10	20	23	24	0.958333333333333	1.07932907179929
0.1	2	1	18	21	20	1.05	1.90019420487806
0.1	2	2	18	20	24	0.833333333333333	2.05890573044308
0.1	2	3	15	19	19	1	1.92503461074084
0.1	2	4	17	22	18	1.22222222222222	1.92812811112963
0.1	2	5	20	20	24	0.833333333333333	1.90829035607167
0.1	2	6	19	21	24	0.875	2.03508679303341
0.1	2	7	16	24	19	1.26315789473684	2.06511109801941
0.1	2	8	13	16	16	1	2.06572065036744
0.1	2	9	20	21	24	0.875	2.00928518041037
0.1	2	10	17	21	19	1.10526315789474	2.07837026035413
0.1	3	1	15	19	17	1.11764705882353	3.04110492728651
0.1	3	2	18	19	19	1	2.96868009176105
0.1	3	3	18	22	17	1.29411764705882	2.91082599535584
0.1	3	4	17	18	15	1.2	3.0851631521713
0.1	3	5	17	17	17	1	2.94009611681104
0.1	3	6	16	19	18	1.05555555555556	2.96680134274065
0.1	3	7	15	15	16	0.9375	2.9903543042019
0.1	3	8	15	19	16	1.1875	3.01363326590508
0.1	3	9	17	18	16	1.125	3.08341618794948
0.1	3	10	14	16	15	1.06666666666667	2.9110466033686
0.1	4	1	14	15	13	1.15384615384615	3.91008708430454
0.1	4	2	15	16	15	1.06666666666667	4.03109907759354
0.1	4	3	15	15	17	0.882352941176471	3.9066138042137
0.1	4	4	15	16	16	1	3.94994697589427
0.1	4	5	18	16	15	1.06666666666667	3.99051801920868
0.1	4	6	16	17	16	1.0625	4.0238522272557
0.1	4	7	15	14	14	1	3.9172513957601
0.1	4	8	14	14	15	0.933333333333333	4.00896098092198
0.1	4	9	15	14	12	1.16666666666667	3.90302242795005
0.1	4	10	17	19	16	1.1875	4.09593975865282
0.1	5	1	13	14	14	1	5.09772693733685
0.1	5	2	12	13	12	1.08333333333333	4.94802352078259
0.1	5	3	16	16	15	1.06666666666667	4.92233160529286
0.1	5	4	17	16	17	0.941176470588235	5.03510196390562
0.1	5	5	14	13	12	1.08333333333333	5.09351128451526
0.1	5	6	10	11	11	1	4.95888605187647
0.1	5	7	16	16	14	1.14285714285714	4.92288032979704
0.1	5	8	16	14	15	0.933333333333333	5.01611638134345
0.1	5	9	16	16	15	1.06666666666667	4.94254294005223
0.1	5	10	14	12	15	0.8	5.08431592257693
0.1	6	1	14	14	15	0.933333333333333	5.97797608547844
0.1	6	2	15	15	15	1	6.02309612007812
0.1	6	3	9	12	9	1.33333333333333	6.05450717322528
0.1	6	4	15	14	13	1.07692307692308	5.98737259441987
0.1	6	5	11	11	9	1.22222222222222	5.92629873594269
0.1	6	6	16	15	14	1.07142857142857	5.99863314093091
0.1	6	7	16	15	14	1.07142857142857	5.94354341076687
0.1	6	8	13	10	11	0.909090909090909	6.00839132550172
0.1	6	9	14	14	14	1	5.9702704411
0.1	6	10	13	11	12	0.916666666666667	5.96527907340787
0.1	7	1	16	15	14	1.07142857142857	6.97544487738051
0.1	7	2	12	12	11	1.09090909090909	7.0593894940801
0.1	7	3	13	15	13	1.15384615384615	6.97758784340695
0.1	7	4	14	12	13	0.923076923076923	7.075562328659
0.1	7	5	14	13	13	1	6.9389658997301
0.1	7	6	14	12	12	1	7.04410726665519
0.1	7	7	13	11	12	0.916666666666667	7.00442268536426
0.1	7	8	15	13	13	1	6.90816547372378
0.1	7	9	9	8	7	1.14285714285714	7.06789573291317
0.1	7	10	18	14	13	1.07692307692308	6.9828072657343
0.1	8	1	17	14	13	1.07692307692308	7.91357451477088
0.1	8	2	13	11	10	1.1	8.01509228325449
0.1	8	3	13	11	11	1	8.07925166189671
0.1	8	4	13	13	12	1.08333333333333	8.01135152755305
0.1	8	5	11	10	10	1	8.08411035952158
0.1	8	6	11	8	9	0.888888888888889	7.96728880172595
0.1	8	7	12	10	11	0.909090909090909	7.94797313231975
0.1	8	8	12	11	13	0.846153846153846	7.94227826348506
0.1	8	9	9	9	9	1	7.95023553729989
0.1	8	10	15	14	13	1.07692307692308	7.98751982008107
0.1	9	1	13	12	12	1	9.04223682787269
0.1	9	2	14	12	12	1	9.07391439313069
0.1	9	3	11	9	9	1	8.90803878945298
0.1	9	4	10	9	9	1	8.93757304097526
0.1	9	5	15	14	13	1.07692307692308	8.90666885701939
0.1	9	6	14	13	14	0.928571428571429	9.04394377470016
0.1	9	7	10	8	7	1.14285714285714	9.00944673009217
0.1	9	8	8	7	7	1	9.09217792642303
0.1	9	9	14	11	12	0.916666666666667	8.95422145011835
