p	maxlab	i	McSplit	MCSa1	MCSa2	ratio	maxlab_jittered
0.1	1	1	20	25	24	0.833333333333333	1.07097162641585
0.1	1	2	20	27	25	0.8	0.9336552222725
0.1	1	3	20	24	27	0.740740740740741	0.943097718851641
0.1	1	4	20	28	31	0.645161290322581	1.03340632440522
0.1	1	5	20	24	24	0.833333333333333	1.05616994192824
0.1	1	6	20	29	24	0.833333333333333	1.01758799897507
0.1	1	7	20	31	22	0.909090909090909	0.995893610268831
0.1	1	8	20	29	28	0.714285714285714	1.06188218193129
0.1	1	9	20	27	29	0.689655172413793	1.04033626471646
0.1	1	10	20	23	24	0.833333333333333	0.914969742810354
0.1	2	1	18	21	20	0.9	2.08259100392461
0.1	2	2	18	20	24	0.75	2.05354798948392
0.1	2	3	15	19	19	0.789473684210526	1.92882898137905
0.1	2	4	17	22	18	0.944444444444444	2.04273446556181
0.1	2	5	20	20	24	0.833333333333333	1.98213633005507
0.1	2	6	19	21	24	0.791666666666667	1.91184949362651
0.1	2	7	16	24	19	0.842105263157895	2.09870201996528
0.1	2	8	13	16	16	0.8125	1.9399842530489
0.1	2	9	20	21	24	0.833333333333333	2.00427443981171
0.1	2	10	17	21	19	0.894736842105263	1.99400718091056
0.1	3	1	15	19	17	0.882352941176471	3.08921908317134
0.1	3	2	18	19	19	0.947368421052632	2.98528462522663
0.1	3	3	18	22	17	1.05882352941176	2.98128775036894
0.1	3	4	17	18	15	1.13333333333333	3.03870732230134
0.1	3	5	17	17	17	1	2.97242962000892
0.1	3	6	16	19	18	0.888888888888889	3.03349267756566
0.1	3	7	15	15	16	0.9375	3.08235888909549
0.1	3	8	15	19	16	0.9375	3.00495324167423
0.1	3	9	17	18	16	1.0625	2.92060181102715
0.1	3	10	14	16	15	0.933333333333333	2.99185242755339
0.1	4	1	14	15	13	1.07692307692308	4.03238182538189
0.1	4	2	15	16	15	1	4.06516276327893
0.1	4	3	15	15	17	0.882352941176471	4.01656312579289
0.1	4	4	15	16	16	0.9375	4.07268782742321
0.1	4	5	18	16	15	1.2	3.94862105092034
0.1	4	6	16	17	16	1	4.05295679480769
0.1	4	7	15	14	14	1.07142857142857	4.09118030085228
0.1	4	8	14	14	15	0.933333333333333	4.024405371584
0.1	4	9	15	14	12	1.25	3.94334533824585
0.1	4	10	17	19	16	1.0625	3.95079601337202
0.1	5	1	13	14	14	0.928571428571429	4.90587411154993
0.1	5	2	12	13	12	1	4.96380215729587
0.1	5	3	16	16	15	1.06666666666667	5.07643250185065
0.1	5	4	17	16	17	1	4.95356694702059
0.1	5	5	14	13	12	1.16666666666667	4.94460943047889
0.1	5	6	10	11	11	0.909090909090909	4.92607970237732
0.1	5	7	16	16	14	1.14285714285714	4.91605160813779
0.1	5	8	16	14	15	1.06666666666667	4.98675353475846
0.1	5	9	16	16	15	1.06666666666667	5.04703393708914
0.1	5	10	14	12	15	0.933333333333333	4.96596220713109
0.1	6	1	14	14	15	0.933333333333333	5.92096171784215
0.1	6	2	15	15	15	1	5.90421723979525
0.1	6	3	9	12	9	1	6.09368029423058
0.1	6	4	15	14	13	1.15384615384615	5.98886709585786
0.1	6	5	11	11	9	1.22222222222222	5.96284000091255
0.1	6	6	16	15	14	1.14285714285714	6.06481772717088
0.1	6	7	16	15	14	1.14285714285714	6.04125467920676
0.1	6	8	13	10	11	1.18181818181818	6.09632502221502
0.1	6	9	14	14	14	1	5.99855161593296
0.1	6	10	13	11	12	1.08333333333333	5.9780002924148
0.1	7	1	16	15	14	1.14285714285714	7.00209427783266
0.1	7	2	12	12	11	1.09090909090909	7.03310298440047
0.1	7	3	13	15	13	1	6.98037289800122
0.1	7	4	14	12	13	1.07692307692308	6.92801786228083
0.1	7	5	14	13	13	1.07692307692308	7.0487099591177
0.1	7	6	14	12	12	1.16666666666667	6.93790643368848
0.1	7	7	13	11	12	1.08333333333333	6.94652032139711
0.1	7	8	15	13	13	1.15384615384615	6.91411098279059
0.1	7	9	9	8	7	1.28571428571429	7.09452744927257
0.1	7	10	18	14	13	1.38461538461538	7.03017259771004
0.1	8	1	17	14	13	1.30769230769231	8.03834606213495
0.1	8	2	13	11	10	1.3	7.99350670035929
0.1	8	3	13	11	11	1.18181818181818	7.96751908417791
0.1	8	4	13	13	12	1.08333333333333	8.07954369112849
0.1	8	5	11	10	10	1.1	7.91953551494516
0.1	8	6	11	8	9	1.22222222222222	7.90001345160417
0.1	8	7	12	10	11	1.09090909090909	8.01790923862718
0.1	8	8	12	11	13	0.923076923076923	7.93788205948658
0.1	8	9	9	9	9	1	8.07241980186664
0.1	8	10	15	14	13	1.15384615384615	8.03812134875916
0.1	9	1	13	12	12	1.08333333333333	9.03254720196128
0.1	9	2	14	12	12	1.16666666666667	9.0020929090213
0.1	9	3	11	9	9	1.22222222222222	9.09666117401794
0.1	9	4	10	9	9	1.11111111111111	9.01623894688673
0.1	9	5	15	14	13	1.15384615384615	9.06586538744159
0.1	9	6	14	13	14	1	8.98553961873986
0.1	9	7	10	8	7	1.42857142857143	9.00666812453419
0.1	9	8	8	7	7	1.14285714285714	9.05713483016007
0.1	9	9	14	11	12	1.16666666666667	8.9204327610787
0.1	9	10	9	9	10	0.9	9.07943536448292
0.1	10	1	12	10	10	1.2	9.99065411966294
0.1	10	2	15	12	11	1.36363636363636	9.98823829186149
0.1	10	3	15	12	12	1.25	9.92892517321743
0.1	10	4	14	12	12	1.16666666666667	9.98644341547042
0.1	10	5	7	6	6	1.16666666666667	10.0206496031489
0.1	10	6	14	12	12	1.16666666666667	9.9442771403119
0.1	10	7	14	11	12	1.16666666666667	10.069999028137
0.1	10	8	10	8	8	1.25	10.0273989764974
0.1	10	9	11	10	11	1	9.9200421938207
0.1	10	10	11	10	12	0.916666666666667	10.0209011941683
0.1	11	1	12	10	10	1.2	11.0709508954547
0.1	11	2	13	12	10	1.3	11.0984850511886
0.1	11	3	11	9	10	1.1	10.94457801315
0.1	11	4	13	10	9	1.44444444444444	10.9131828919519
0.1	11	5	14	13	11	1.27272727272727	10.9648629956879
0.1	11	6	16	14	15	1.06666666666667	11.0385676609818
0.1	11	7	11	10	10	1.1	10.9663261292502
0.1	11	8	14	11	11	1.27272727272727	11.0229605638888
0.1	11	9	13	10	10	1.3	10.9926677211653
0.1	11	10	16	13	13	1.23076923076923	11.0569278923329
0.1	12	1	15	12	12	1.25	12.0915610427968
0.1	12	2	10	9	10	1	12.0595008564647
0.1	12	3	11	10	9	1.22222222222222	12.0183469802607
0.1	12	4	12	10	10	1.2	12.0512121817097
0.1	12	5	15	11	11	1.36363636363636	11.9267708105035
0.1	12	6	10	9	10	1	11.9479430089239
0.1	12	7	13	10	11	1.18181818181818	12.0375215570908
0.1	12	8	15	11	11	1.36363636363636	11.9666733725928
0.1	12	9	11	10	9	1.22222222222222	11.9645921650808
