instance cp2016 incmc2 incmc2o1 incmc2o2
mcs10_b03_s40_AB00 X X X X
mcs10_b03_s40_AB01 X X X X
mcs10_b03_s40_AB02 X X X X
mcs10_b03_s40_AB03 X X X X
mcs10_b03_s40_AB04 X X X X
mcs10_b03_s40_AB05 X X X X
mcs10_b03_s40_AB06 X X X X
mcs10_b03_s40_AB07 X X X X
mcs10_b03_s40_AB08 X X X X
mcs10_b03_s40_AB09 X X X X
mcs10_b03_s50_AB00 X X X X
mcs10_b03_s50_AB01 X X X X
mcs10_b03_s50_AB02 X X X X
mcs10_b03_s50_AB03 X X X X
mcs10_b03_s50_AB04 X X X X
mcs10_b03_s50_AB05 X X X X
mcs10_b03_s50_AB06 X X X X
mcs10_b03_s50_AB07 X X X X
mcs10_b03_s50_AB08 X X X X
mcs10_b03_s50_AB09 X X X X
mcs10_b03m_s40_AB00 X X X X
mcs10_b03m_s40_AB01 X X X X
mcs10_b03m_s40_AB02 X X X X
mcs10_b03m_s40_AB03 X X X X
mcs10_b03m_s40_AB04 X X X X
mcs10_b03m_s40_AB05 X X X X
mcs10_b03m_s40_AB06 X X X X
mcs10_b03m_s40_AB07 X X X X
mcs10_b03m_s40_AB08 X X X X
mcs10_b03m_s40_AB09 X X X X
mcs10_b03m_s50_AB00 X X X X
mcs10_b03m_s50_AB01 X X X X
mcs10_b03m_s50_AB02 X X X X
mcs10_b03m_s50_AB03 X X X X
mcs10_b03m_s50_AB04 X X X X
mcs10_b03m_s50_AB05 X X X X
mcs10_b03m_s50_AB06 X X X X
mcs10_b03m_s50_AB07 X X X X
mcs10_b03m_s50_AB08 X X X X
mcs10_b03m_s50_AB09 X X X X
mcs10_m2D_s40_AB00 X X X X
mcs10_m2D_s40_AB01 X X X X
mcs10_m2D_s40_AB02 X X X X
mcs10_m2D_s40_AB03 X X X X
mcs10_m2D_s40_AB04 X X X X
mcs10_m2D_s40_AB05 X X X X
mcs10_m2D_s40_AB06 X X X X
mcs10_m2D_s40_AB07 X X X X
mcs10_m2D_s40_AB08 X X X X
mcs10_m2D_s40_AB09 X X X X
mcs10_m2D_s50_AB00 X X X X
mcs10_m2D_s50_AB01 X X X X
mcs10_m2D_s50_AB02 X X X X
mcs10_m2D_s50_AB03 X X X X
mcs10_m2D_s50_AB04 X X X X
mcs10_m2D_s50_AB05 X X X X
mcs10_m2D_s50_AB06 X X X X
mcs10_m2D_s50_AB07 X X X X
mcs10_m2D_s50_AB08 X X X X
mcs10_m2D_s50_AB09 X X X X
mcs10_m2Dr4_s40_AB00 X X X X
mcs10_m2Dr4_s40_AB01 X X X X
mcs10_m2Dr4_s40_AB02 X X X X
mcs10_m2Dr4_s40_AB03 X X X X
mcs10_m2Dr4_s40_AB04 X X X X
mcs10_m2Dr4_s40_AB05 X X X X
mcs10_m2Dr4_s40_AB06 X X X X
mcs10_m2Dr4_s40_AB07 X X X X
mcs10_m2Dr4_s40_AB08 X X X X
mcs10_m2Dr4_s40_AB09 X X X X
mcs10_m2Dr4_s50_AB00 X X X X
mcs10_m2Dr4_s50_AB01 X X X X
mcs10_m2Dr4_s50_AB02 X X X X
mcs10_m2Dr4_s50_AB03 X X X X
mcs10_m2Dr4_s50_AB04 X X X X
mcs10_m2Dr4_s50_AB05 X X X X
mcs10_m2Dr4_s50_AB06 X X X X
mcs10_m2Dr4_s50_AB07 X X X X
mcs10_m2Dr4_s50_AB08 X X X X
mcs10_m2Dr4_s50_AB09 X X X X
mcs10_m2Dr6_s40_AB00 X X X X
mcs10_m2Dr6_s40_AB01 X X X X
mcs10_m2Dr6_s40_AB02 X X X X
mcs10_m2Dr6_s40_AB03 X X X X
mcs10_m2Dr6_s40_AB04 X X X X
mcs10_m2Dr6_s40_AB05 X X X X
mcs10_m2Dr6_s40_AB06 X X X X
mcs10_m2Dr6_s40_AB07 X X X X
mcs10_m2Dr6_s40_AB08 X X X X
mcs10_m2Dr6_s40_AB09 X X X X
mcs10_m2Dr6_s50_AB00 X X X X
mcs10_m2Dr6_s50_AB01 X X X X
mcs10_m2Dr6_s50_AB02 X X X X
mcs10_m2Dr6_s50_AB03 X X X X
mcs10_m2Dr6_s50_AB04 X X X X
mcs10_m2Dr6_s50_AB05 X X X X
mcs10_m2Dr6_s50_AB06 X X X X
mcs10_m2Dr6_s50_AB07 X X X X
mcs10_m2Dr6_s50_AB08 X X X X
mcs10_m2Dr6_s50_AB09 X X X X
mcs10_r005_s20_AB00 17 17 17 17
mcs10_r005_s20_AB01 17 17 17 17
mcs10_r005_s20_AB02 17 17 17 17
mcs10_r005_s20_AB03 17 17 17 17
mcs10_r005_s20_AB04 17 17 17 17
mcs10_r005_s20_AB05 16 16 16 16
mcs10_r005_s20_AB06 17 17 17 17
mcs10_r005_s20_AB07 17 17 17 17
mcs10_r005_s20_AB08 16 16 16 16
mcs10_r005_s20_AB09 16 16 16 16
mcs10_r005_s25_AB00 19 19 19 19
mcs10_r005_s25_AB01 21 21 X 21
mcs10_r005_s25_AB02 21 21 X 21
mcs10_r005_s25_AB03 20 20 X 20
mcs10_r005_s25_AB04 20 20 X 20
mcs10_r005_s25_AB05 21 21 X 21
mcs10_r005_s25_AB06 20 20 X 20
mcs10_r005_s25_AB07 21 21 X 21
mcs10_r005_s25_AB08 20 20 X 20
mcs10_r005_s25_AB09 20 20 X 20
mcs10_r005_s30_AB00 24 X X X
mcs10_r005_s30_AB01 23 X X X
mcs10_r005_s30_AB02 23 X X X
mcs10_r005_s30_AB03 23 X X X
mcs10_r005_s30_AB04 X X X X
mcs10_r005_s30_AB05 23 X X X
mcs10_r005_s30_AB06 22 X X X
mcs10_r005_s30_AB07 23 X X X
mcs10_r005_s30_AB08 24 X X X
mcs10_r005_s30_AB09 23 X X X
mcs10_r005_s35_AB00 X X X X
mcs10_r005_s35_AB01 X X X X
mcs10_r005_s35_AB02 X X X X
mcs10_r005_s35_AB03 X X X X
mcs10_r005_s35_AB04 X X X X
mcs10_r005_s35_AB05 X X X X
mcs10_r005_s35_AB06 X X X X
mcs10_r005_s35_AB07 X X X X
mcs10_r005_s35_AB08 X X X X
mcs10_r005_s35_AB09 X X X X
mcs10_r005_s40_AB00 X X X X
mcs10_r005_s40_AB01 X X X X
mcs10_r005_s40_AB02 X X X X
mcs10_r005_s40_AB03 X X X X
mcs10_r005_s40_AB04 X X X X
mcs10_r005_s40_AB05 X X X X
mcs10_r005_s40_AB06 X X X X
mcs10_r005_s40_AB07 X X X X
mcs10_r005_s40_AB08 X X X X
mcs10_r005_s40_AB09 X X X X
mcs10_r005_s50_AB00 X X X X
mcs10_r005_s50_AB01 X X X X
mcs10_r005_s50_AB02 X X X X
mcs10_r005_s50_AB03 X X X X
mcs10_r005_s50_AB04 X X X X
mcs10_r005_s50_AB05 X X X X
mcs10_r005_s50_AB06 X X X X
mcs10_r005_s50_AB07 X X X X
mcs10_r005_s50_AB08 X X X X
mcs10_r005_s50_AB09 X X X X
mcs10_r01_s20_AB00 14 14 14 14
mcs10_r01_s20_AB01 14 14 14 14
mcs10_r01_s20_AB02 14 14 14 14
mcs10_r01_s20_AB03 15 15 15 15
mcs10_r01_s20_AB04 15 15 15 15
mcs10_r01_s20_AB05 14 14 14 14
mcs10_r01_s20_AB06 14 14 14 14
mcs10_r01_s20_AB07 15 15 15 15
mcs10_r01_s20_AB08 14 14 14 14
mcs10_r01_s20_AB09 15 15 15 15
mcs10_r01_s25_AB00 17 17 17 17
mcs10_r01_s25_AB01 16 16 16 16
mcs10_r01_s25_AB02 16 16 16 16
mcs10_r01_s25_AB03 17 17 17 17
mcs10_r01_s25_AB04 16 16 16 16
mcs10_r01_s25_AB05 16 16 16 16
mcs10_r01_s25_AB06 17 17 17 17
mcs10_r01_s25_AB07 17 17 17 17
mcs10_r01_s25_AB08 17 17 17 17
mcs10_r01_s25_AB09 16 16 16 16
mcs10_r01_s30_AB00 18 X 18 X
mcs10_r01_s30_AB01 19 19 19 19
mcs10_r01_s30_AB02 19 X 19 X
mcs10_r01_s30_AB03 18 18 18 18
mcs10_r01_s30_AB04 18 X 18 X
mcs10_r01_s30_AB05 18 X 18 X
mcs10_r01_s30_AB06 18 X 18 X
mcs10_r01_s30_AB07 18 X 18 X
mcs10_r01_s30_AB08 18 X 18 X
mcs10_r01_s30_AB09 18 X 18 X
mcs10_r01_s35_AB00 X X X X
mcs10_r01_s35_AB01 X X X X
mcs10_r01_s35_AB02 X X X X
mcs10_r01_s35_AB03 X X X X
mcs10_r01_s35_AB04 X X X X
mcs10_r01_s35_AB05 X X X X
mcs10_r01_s35_AB06 X X X X
mcs10_r01_s35_AB07 X X X X
mcs10_r01_s35_AB08 X X X X
mcs10_r01_s35_AB09 X X X X
mcs10_r01_s40_AB00 X X X X
mcs10_r01_s40_AB01 X X X X
mcs10_r01_s40_AB02 X X X X
mcs10_r01_s40_AB03 X X X X
mcs10_r01_s40_AB04 X X X X
mcs10_r01_s40_AB05 X X X X
mcs10_r01_s40_AB06 X X X X
mcs10_r01_s40_AB07 X X X X
mcs10_r01_s40_AB08 X X X X
mcs10_r01_s40_AB09 X X X X
mcs10_r01_s50_AB00 X X X X
mcs10_r01_s50_AB01 X X X X
mcs10_r01_s50_AB02 X X X X
