instance cp2016 incmc2 incmc2o1 incmc2o2
mcs10_b03_s40_AB00 1000000 1000000 1000000 1000000
mcs10_b03_s40_AB01 1000000 1000000 1000000 1000000
mcs10_b03_s40_AB02 1000000 1000000 1000000 1000000
mcs10_b03_s40_AB03 1000000 1000000 1000000 1000000
mcs10_b03_s40_AB04 1000000 1000000 1000000 1000000
mcs10_b03_s40_AB05 1000000 1000000 1000000 1000000
mcs10_b03_s40_AB06 1000000 1000000 1000000 1000000
mcs10_b03_s40_AB07 1000000 1000000 1000000 1000000
mcs10_b03_s40_AB08 1000000 1000000 1000000 1000000
mcs10_b03_s40_AB09 1000000 1000000 1000000 1000000
mcs10_b03_s50_AB00 1000000 1000000 1000000 1000000
mcs10_b03_s50_AB01 1000000 1000000 1000000 1000000
mcs10_b03_s50_AB02 1000000 1000000 1000000 1000000
mcs10_b03_s50_AB03 1000000 1000000 1000000 1000000
mcs10_b03_s50_AB04 1000000 1000000 1000000 1000000
mcs10_b03_s50_AB05 1000000 1000000 1000000 1000000
mcs10_b03_s50_AB06 1000000 1000000 1000000 1000000
mcs10_b03_s50_AB07 1000000 1000000 1000000 1000000
mcs10_b03_s50_AB08 1000000 1000000 1000000 1000000
mcs10_b03_s50_AB09 1000000 1000000 1000000 1000000
mcs10_b03m_s40_AB00 1000000 1000000 1000000 1000000
mcs10_b03m_s40_AB01 1000000 1000000 1000000 1000000
mcs10_b03m_s40_AB02 1000000 1000000 1000000 1000000
mcs10_b03m_s40_AB03 1000000 1000000 1000000 1000000
mcs10_b03m_s40_AB04 1000000 1000000 1000000 1000000
mcs10_b03m_s40_AB05 1000000 1000000 1000000 1000000
mcs10_b03m_s40_AB06 1000000 1000000 1000000 1000000
mcs10_b03m_s40_AB07 1000000 1000000 1000000 1000000
mcs10_b03m_s40_AB08 1000000 1000000 1000000 1000000
mcs10_b03m_s40_AB09 1000000 1000000 1000000 1000000
mcs10_b03m_s50_AB00 1000000 1000000 1000000 1000000
mcs10_b03m_s50_AB01 1000000 1000000 1000000 1000000
mcs10_b03m_s50_AB02 1000000 1000000 1000000 1000000
mcs10_b03m_s50_AB03 1000000 1000000 1000000 1000000
mcs10_b03m_s50_AB04 1000000 1000000 1000000 1000000
mcs10_b03m_s50_AB05 1000000 1000000 1000000 1000000
mcs10_b03m_s50_AB06 1000000 1000000 1000000 1000000
mcs10_b03m_s50_AB07 1000000 1000000 1000000 1000000
mcs10_b03m_s50_AB08 1000000 1000000 1000000 1000000
mcs10_b03m_s50_AB09 1000000 1000000 1000000 1000000
mcs10_m2D_s40_AB00 1000000 1000000 1000000 1000000
mcs10_m2D_s40_AB01 1000000 1000000 1000000 1000000
mcs10_m2D_s40_AB02 1000000 1000000 1000000 1000000
mcs10_m2D_s40_AB03 1000000 1000000 1000000 1000000
mcs10_m2D_s40_AB04 1000000 1000000 1000000 1000000
mcs10_m2D_s40_AB05 1000000 1000000 1000000 1000000
mcs10_m2D_s40_AB06 1000000 1000000 1000000 1000000
mcs10_m2D_s40_AB07 1000000 1000000 1000000 1000000
mcs10_m2D_s40_AB08 1000000 1000000 1000000 1000000
mcs10_m2D_s40_AB09 1000000 1000000 1000000 1000000
mcs10_m2D_s50_AB00 1000000 1000000 1000000 1000000
mcs10_m2D_s50_AB01 1000000 1000000 1000000 1000000
mcs10_m2D_s50_AB02 1000000 1000000 1000000 1000000
mcs10_m2D_s50_AB03 1000000 1000000 1000000 1000000
mcs10_m2D_s50_AB04 1000000 1000000 1000000 1000000
mcs10_m2D_s50_AB05 1000000 1000000 1000000 1000000
mcs10_m2D_s50_AB06 1000000 1000000 1000000 1000000
mcs10_m2D_s50_AB07 1000000 1000000 1000000 1000000
mcs10_m2D_s50_AB08 1000000 1000000 1000000 1000000
mcs10_m2D_s50_AB09 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s40_AB00 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s40_AB01 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s40_AB02 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s40_AB03 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s40_AB04 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s40_AB05 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s40_AB06 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s40_AB07 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s40_AB08 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s40_AB09 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s50_AB00 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s50_AB01 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s50_AB02 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s50_AB03 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s50_AB04 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s50_AB05 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s50_AB06 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s50_AB07 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s50_AB08 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s50_AB09 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s40_AB00 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s40_AB01 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s40_AB02 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s40_AB03 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s40_AB04 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s40_AB05 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s40_AB06 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s40_AB07 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s40_AB08 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s40_AB09 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s50_AB00 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s50_AB01 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s50_AB02 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s50_AB03 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s50_AB04 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s50_AB05 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s50_AB06 1000000 1000000 1000000 1000000
