instance cp2016 incmc2 incmc2o1 incmc2o2
mcs10_b03_s100_AB00 X 42 X 42
mcs10_b03_s100_AB01 X 45 X 45
mcs10_b03_s100_AB02 X 44 X 44
mcs10_b03_s100_AB03 X X X X
mcs10_b03_s100_AB04 X X X 47
mcs10_b03_s100_AB05 X 41 X 41
mcs10_b03_s100_AB06 X 39 X 39
mcs10_b03_s100_AB07 X 45 45 45
mcs10_b03_s100_AB08 X 44 X 44
mcs10_b03_s100_AB09 X 45 X 45
mcs10_b03_s40_AB00 19 19 19 19
mcs10_b03_s40_AB01 20 20 20 20
mcs10_b03_s40_AB02 19 19 19 19
mcs10_b03_s40_AB03 19 19 19 19
mcs10_b03_s40_AB04 18 18 18 18
mcs10_b03_s40_AB05 20 20 20 20
mcs10_b03_s40_AB06 19 19 19 19
mcs10_b03_s40_AB07 20 20 20 20
mcs10_b03_s40_AB08 19 19 19 19
mcs10_b03_s40_AB09 19 19 19 19
mcs10_b03_s50_AB00 24 24 24 24
mcs10_b03_s50_AB01 X 24 24 24
mcs10_b03_s50_AB02 X 25 X 25
mcs10_b03_s50_AB03 24 24 24 24
mcs10_b03_s50_AB04 26 26 X 26
mcs10_b03_s50_AB05 24 24 24 24
mcs10_b03_s50_AB06 X 24 24 24
mcs10_b03_s50_AB07 X 26 26 26
mcs10_b03_s50_AB08 X 24 X 24
mcs10_b03_s50_AB09 X 25 25 25
mcs10_b03_s60_AB00 27 27 27 27
mcs10_b03_s60_AB01 26 26 26 26
mcs10_b03_s60_AB02 28 28 28 28
mcs10_b03_s60_AB03 27 27 27 27
mcs10_b03_s60_AB04 25 25 25 25
mcs10_b03_s60_AB05 29 29 29 29
mcs10_b03_s60_AB06 26 26 26 26
mcs10_b03_s60_AB07 27 27 27 27
mcs10_b03_s60_AB08 29 29 29 29
mcs10_b03_s60_AB09 X 27 27 27
mcs10_b03_s70_AB00 31 31 X 31
mcs10_b03_s70_AB01 X 34 34 34
mcs10_b03_s70_AB02 X 33 X 33
mcs10_b03_s70_AB03 X X 32 X
mcs10_b03_s70_AB04 X X X X
mcs10_b03_s70_AB05 32 32 32 32
mcs10_b03_s70_AB06 X 34 X 34
mcs10_b03_s70_AB07 X 31 31 31
mcs10_b03_s70_AB08 X 33 X 33
mcs10_b03_s70_AB09 32 32 32 32
mcs10_b03_s80_AB00 X X X X
mcs10_b03_s80_AB01 X 37 X 37
mcs10_b03_s80_AB02 X 37 X 37
mcs10_b03_s80_AB03 X X X X
mcs10_b03_s80_AB04 X 37 X 37
mcs10_b03_s80_AB05 X 37 X 37
mcs10_b03_s80_AB06 X 37 37 37
mcs10_b03_s80_AB07 X X X X
mcs10_b03_s80_AB08 X 38 X 38
mcs10_b03_s80_AB09 X X X X
mcs10_b03_s90_AB00 X X X X
mcs10_b03_s90_AB01 X X X X
mcs10_b03_s90_AB02 X 39 X 39
mcs10_b03_s90_AB03 X X X X
mcs10_b03_s90_AB04 X X X X
mcs10_b03_s90_AB05 X X X X
mcs10_b03_s90_AB06 X X X X
mcs10_b03_s90_AB07 X X X X
mcs10_b03_s90_AB08 X X X X
