instance cp2016 incmc2 incmc2o1 incmc2o2
mcs10_b03_s100_AB00 1000000 782722 1000000 805695
mcs10_b03_s100_AB01 1000000 445439 1000000 452857
mcs10_b03_s100_AB02 1000000 3224 1000000 3196
mcs10_b03_s100_AB03 1000000 1000000 1000000 1000000
mcs10_b03_s100_AB04 1000000 1000000 1000000 129503
mcs10_b03_s100_AB05 1000000 37701 1000000 39798
mcs10_b03_s100_AB06 1000000 833829 1000000 833735
mcs10_b03_s100_AB07 1000000 394047 399285 208095
mcs10_b03_s100_AB08 1000000 449333 1000000 454876
mcs10_b03_s100_AB09 1000000 126129 1000000 126366
mcs10_b03_s40_AB00 67 18 94 18
mcs10_b03_s40_AB01 4101 20 438 20
mcs10_b03_s40_AB02 237 105 415 106
mcs10_b03_s40_AB03 611 6668 1272 6225
mcs10_b03_s40_AB04 1820 43 229 64
mcs10_b03_s40_AB05 281 56 561 37
mcs10_b03_s40_AB06 492 1905 664 1926
mcs10_b03_s40_AB07 312 18 694 18
mcs10_b03_s40_AB08 133 443 47 348
mcs10_b03_s40_AB09 179 204 606 166
mcs10_b03_s50_AB00 85141 5860 313992 5820
mcs10_b03_s50_AB01 1000000 327709 133248 326154
mcs10_b03_s50_AB02 1000000 814400 1000000 810580
mcs10_b03_s50_AB03 31113 137770 632273 137570
mcs10_b03_s50_AB04 438839 254056 1000000 249870
mcs10_b03_s50_AB05 547 167 3543 174
mcs10_b03_s50_AB06 1000000 3826 18620 3799
mcs10_b03_s50_AB07 1000000 117132 577152 118667
mcs10_b03_s50_AB08 1000000 19198 1000000 18958
mcs10_b03_s50_AB09 1000000 9618 455904 9797
mcs10_b03_s60_AB00 27109 2384 25077 2385
mcs10_b03_s60_AB01 328 409 1589 376
mcs10_b03_s60_AB02 14660 3882 1255 3914
mcs10_b03_s60_AB03 1485 36 21472 54
mcs10_b03_s60_AB04 6140 38 300 25
mcs10_b03_s60_AB05 294891 128 12213 128
mcs10_b03_s60_AB06 21400 1548 1144 1629
mcs10_b03_s60_AB07 42312 964 2592 945
mcs10_b03_s60_AB08 5369 2526 2211 2318
mcs10_b03_s60_AB09 1000000 4874 32287 4692
mcs10_b03_s70_AB00 201546 169418 1000000 169698
mcs10_b03_s70_AB01 1000000 435984 526220 436199
mcs10_b03_s70_AB02 1000000 2310 1000000 2338
mcs10_b03_s70_AB03 1000000 1000000 488611 1000000
mcs10_b03_s70_AB04 1000000 1000000 1000000 1000000
mcs10_b03_s70_AB05 221206 720 142992 871
mcs10_b03_s70_AB06 1000000 291038 1000000 291571
mcs10_b03_s70_AB07 1000000 155 7811 135
mcs10_b03_s70_AB08 1000000 257800 1000000 256993
mcs10_b03_s70_AB09 44116 18427 156105 18580
mcs10_b03_s80_AB00 1000000 1000000 1000000 1000000
mcs10_b03_s80_AB01 1000000 453152 1000000 451075
mcs10_b03_s80_AB02 1000000 36624 1000000 36555
mcs10_b03_s80_AB03 1000000 1000000 1000000 1000000
mcs10_b03_s80_AB04 1000000 457099 1000000 459960
mcs10_b03_s80_AB05 1000000 71915 1000000 71906
mcs10_b03_s80_AB06 1000000 84 169529 119
mcs10_b03_s80_AB07 1000000 1000000 1000000 1000000
mcs10_b03_s80_AB08 1000000 770701 1000000 760287
mcs10_b03_s80_AB09 1000000 1000000 1000000 1000000
mcs10_b03_s90_AB00 1000000 1000000 1000000 1000000
mcs10_b03_s90_AB01 1000000 1000000 1000000 1000000
mcs10_b03_s90_AB02 1000000 135592 1000000 135818
mcs10_b03_s90_AB03 1000000 1000000 1000000 1000000
mcs10_b03_s90_AB04 1000000 1000000 1000000 1000000
mcs10_b03_s90_AB05 1000000 1000000 1000000 1000000
mcs10_b03_s90_AB06 1000000 1000000 1000000 1000000
mcs10_b03_s90_AB07 1000000 1000000 1000000 1000000
mcs10_b03_s90_AB08 1000000 1000000 1000000 1000000
mcs10_b03_s90_AB09 1000000 1000000 1000000 1000000
mcs10_b03m_s100_AB00 1000000 372 1000000 497
mcs10_b03m_s100_AB01 20927 72961 200428 73100
mcs10_b03m_s100_AB02 570307 19225 1000000 17601
mcs10_b03m_s100_AB03 1000000 1000000 1000000 1000000
mcs10_b03m_s100_AB04 1000000 7852 1000000 7767
