"N" "lo" "hi" "lo_floor" "hi_floor"
1 NA Inf NA Inf
2 3.38539008177793 4.38539008177793 3 4
3 4.4991872362116 5.29349810329794 4 5
4 5.53183669118465 6.2389434723712 5 6
5 6.41432610966989 7.07058563003771 6 7
6 7.17396591830842 7.79594084323268 7 7
7 7.83797135476018 8.434802308304 7 8
8 8.4267899457408 9.00414021493043 8 9
9 8.95536137239594 9.51702397288286 8 9
10 9.4347297675685 9.98339177250777 9 9
11 9.87322276223212 10.4108702548496 9 10
12 10.2772487806566 10.8053992759239 10 10
13 10.651833347586 11.1716777035497 10 11
14 11.0009849168921 11.513478365667 11 11
15 11.3279492796449 11.8338722231944 11 11
16 11.6353900817779 12.1353900817779 11 12
17 11.9255194087081 12.4201410238021 11 12
18 12.2001939598585 12.6899004705036 12 12
19 12.4609870569095 12.9461766212724 12 12
20 12.7092433751834 13.1902612679481 12 13
21 12.946121117871 13.4232691543302 12 13
22 13.1726249234426 13.6461688223765 13 13
23 13.389631837924 13.8598070493692 13 13
24 13.5979120296758 14.0649284019643 13 14
25 13.7981454708681 14.2621910279384 13 14
26 13.9909354906991 14.4521795189026 13 14
27 14.1768198776154 14.635415470548 14 14
28 14.3562800430574 14.8123662165779 14 14
29 14.529748638665 14.9834521017997 14 14
30 14.6976159295879 15.1490525775137 14 15
31 14.86023515973 15.309511340472 14 15
32 15.0179270942532 15.4651406897532 15 15
33 15.1709838861407 15.6162252399821 15 15
34 15.3196723839723 15.7630251016056 15 15
35 15.4642369750575 15.9057786173675 15 15
36 15.6049020400842 16.0447047272261 15 16
37 15.741874081275 16.1800050206145 15 16
38 15.8753435748043 16.3118655243404 15 16
39 16.0054865892633 16.4404582659468 16 16
40 16.1324662047543 16.5659426455318 16 16
41 16.2564337613792 16.6884666435062 16 16
42 16.3775299611578 16.8081678872806 16 16
43 16.4958858435545 16.925174596201 16 16
44 16.6116236516228 17.0396064210348 16 17
45 16.7248576031638 17.1515751918216 16 17
