instance McSplit McSplitPrime KH
G1-G1 0 0 0
G1-G2 126 12207 20455
G1-G3 59 4686 3895
G1-G4 39 936 581
G1-G5 44 1537 1136
G1-G6 9 88 67
G1-G7 2 15 12
G1-G8 2 4 3
G1-G9 1 1 2
G2-G1 39 47 21
G2-G2 0 0 0
G2-G3 26 398 303
G2-G4 50 564 459
G2-G5 27 370 278
G2-G6 8 76 63
G2-G7 7 24 21
G2-G8 2 5 6
G2-G9 2 2 3
G3-G1 16 18 30
G3-G2 50 84 58
G3-G3 0 0 0
G3-G4 59 196 167
G3-G5 35 113 93
G3-G6 63 152 104
G3-G7 17 36 29
G3-G8 8 16 12
G3-G9 2 5 3
G4-G1 15 23 26
G4-G2 43 71 67
G4-G3 65 130 101
G4-G4 0 0 0
G4-G5 49 115 97
G4-G6 52 113 85
G4-G7 37 46 41
G4-G8 19 24 25
G4-G9 4 6 8
G5-G1 20 27 21
G5-G2 23 41 43
G5-G3 26 79 68
G5-G4 45 139 115
G5-G5 0 0 0
G5-G6 66 173 124
G5-G7 23 58 50
G5-G8 13 25 25
G5-G9 9 12 17
G6-G1 3 5 6
G6-G2 7 13 12
G6-G3 56 92 61
G6-G4 57 107 71
G6-G5 78 136 93
G6-G6 0 0 0
G6-G7 51 78 61
G6-G8 31 39 32
G6-G9 17 27 39
G7-G1 1 3 2
G7-G2 8 13 8
G7-G3 18 47 31
G7-G4 34 95 61
G7-G5 35 136 102
G7-G6 78 334 244
G7-G7 0 0 0
G7-G8 22 47 81
G7-G9 7 8 38
G8-G1 1 1 1
G8-G2 4 5 5
G8-G3 8 35 25
G8-G4 24 94 60
G8-G5 12 152 111
G8-G6 43 431 310
G8-G7 40 342 353
G8-G8 0 0 0
G8-G9 14 24 321
G9-G1 1 1 1
G9-G2 2 3 3
G9-G3 3 23 14
G9-G4 11 66 42
G9-G5 17 372 273
G9-G6 22 750 544
G9-G7 67 5211 5004
G9-G8 128 11174 16642
G9-G9 0 0 0
