instance mcsp0 mcsp1 mcsp2 mcsp3 csia
mcs10_b03_s40_AB00 26056 26056 -1 -1 -1
mcs10_b03_s40_AB01 43360368 43360368 -1 -1 -1
mcs10_b03_s40_AB02 -1 -1 -1 -1 -1
mcs10_b03_s40_AB03 5720 5720 -1 -1 -1
mcs10_b03_s40_AB04 37937024 37937024 -1 -1 -1
mcs10_b03_s40_AB05 248904 248904 -1 -1 -1
mcs10_b03_s40_AB06 67340 67340 -1 -1 -1
mcs10_b03_s40_AB07 -1 -1 -1 -1 -1
mcs10_b03_s40_AB08 686604 686604 -1 -1 -1
mcs10_b03_s40_AB09 308560 308560 -1 -1 -1
mcs10_b03_s50_AB00 -1 -1 -1 -1 -1
mcs10_b03_s50_AB01 -1 -1 -1 -1 -1
mcs10_b03_s50_AB02 -1 -1 -1 -1 -1
mcs10_b03_s50_AB03 -1 -1 -1 -1 -1
mcs10_b03_s50_AB04 -1 -1 -1 -1 -1
mcs10_b03_s50_AB05 -1 -1 -1 -1 -1
mcs10_b03_s50_AB06 -1 -1 -1 -1 -1
mcs10_b03_s50_AB07 -1 -1 -1 -1 -1
mcs10_b03_s50_AB08 -1 -1 -1 -1 -1
mcs10_b03_s50_AB09 -1 -1 -1 -1 -1
mcs10_b03m_s40_AB00 216 216 -1 -1 -1
mcs10_b03m_s40_AB01 459072 459072 -1 -1 -1
mcs10_b03m_s40_AB02 480 480 -1 -1 -1
mcs10_b03m_s40_AB03 5328 5328 -1 -1 -1
mcs10_b03m_s40_AB04 6208 6208 -1 -1 -1
mcs10_b03m_s40_AB05 859056 859056 -1 -1 -1
mcs10_b03m_s40_AB06 49760 49760 -1 -1 -1
mcs10_b03m_s40_AB07 19516 19516 -1 -1 -1
mcs10_b03m_s40_AB08 21876752 21876752 -1 -1 -1
mcs10_b03m_s40_AB09 416256 416256 -1 -1 -1
mcs10_b03m_s50_AB00 -1 -1 -1 -1 -1
mcs10_b03m_s50_AB01 -1 -1 -1 -1 -1
mcs10_b03m_s50_AB02 -1 -1 -1 -1 -1
mcs10_b03m_s50_AB03 -1 -1 -1 -1 -1
mcs10_b03m_s50_AB04 -1 -1 -1 -1 -1
mcs10_b03m_s50_AB05 -1 -1 -1 -1 -1
mcs10_b03m_s50_AB06 -1 -1 -1 -1 -1
mcs10_b03m_s50_AB07 -1 -1 -1 -1 -1
mcs10_b03m_s50_AB08 -1 -1 -1 -1 -1
mcs10_b03m_s50_AB09 -1 -1 -1 -1 -1
mcs10_m2D_s40_AB00 15624 15624 -1 -1 -1
mcs10_m2D_s40_AB01 23328 23328 -1 -1 -1
mcs10_m2D_s40_AB02 734 734 -1 -1 -1
mcs10_m2D_s40_AB03 52880 52880 -1 -1 -1
mcs10_m2D_s40_AB04 117664 117664 -1 -1 -1
mcs10_m2D_s40_AB05 160 160 -1 -1 -1
mcs10_m2D_s40_AB06 16 16 -1 -1 -1
mcs10_m2D_s40_AB07 12216 12216 -1 -1 -1
mcs10_m2D_s40_AB08 1884672 1884672 -1 -1 -1
mcs10_m2D_s40_AB09 2372 2372 -1 -1 -1
mcs10_m2D_s50_AB00 -1 -1 -1 -1 -1
mcs10_m2D_s50_AB01 -1 -1 -1 -1 -1
mcs10_m2D_s50_AB02 -1 -1 -1 -1 -1
mcs10_m2D_s50_AB03 -1 -1 -1 -1 -1
mcs10_m2D_s50_AB04 -1 -1 -1 -1 -1
mcs10_m2D_s50_AB05 -1 -1 -1 -1 -1
mcs10_m2D_s50_AB06 -1 -1 -1 -1 -1
mcs10_m2D_s50_AB07 -1 -1 -1 -1 -1
mcs10_m2D_s50_AB08 -1 -1 -1 -1 -1
mcs10_m2D_s50_AB09 -1 -1 -1 -1 -1
mcs10_m2Dr4_s40_AB00 152 152 -1 -1 -1
mcs10_m2Dr4_s40_AB01 12 12 -1 -1 -1
mcs10_m2Dr4_s40_AB02 -1 -1 -1 -1 -1
mcs10_m2Dr4_s40_AB03 6923 6923 -1 -1 -1
mcs10_m2Dr4_s40_AB04 -1 -1 -1 -1 -1
mcs10_m2Dr4_s40_AB05 528 528 -1 -1 -1
mcs10_m2Dr4_s40_AB06 -1 -1 -1 -1 -1
mcs10_m2Dr4_s40_AB07 306 306 -1 -1 -1
mcs10_m2Dr4_s40_AB08 7352 7352 -1 -1 -1
mcs10_m2Dr4_s40_AB09 2010 2010 -1 -1 -1
mcs10_m2Dr4_s50_AB00 -1 -1 -1 -1 -1
mcs10_m2Dr4_s50_AB01 -1 -1 -1 -1 -1
mcs10_m2Dr4_s50_AB02 -1 -1 -1 -1 -1
mcs10_m2Dr4_s50_AB03 -1 -1 -1 -1 -1
mcs10_m2Dr4_s50_AB04 -1 -1 -1 -1 -1
mcs10_m2Dr4_s50_AB05 -1 -1 -1 -1 -1
mcs10_m2Dr4_s50_AB06 -1 -1 -1 -1 -1
mcs10_m2Dr4_s50_AB07 -1 -1 -1 -1 -1
mcs10_m2Dr4_s50_AB08 -1 -1 -1 -1 -1
mcs10_m2Dr4_s50_AB09 -1 -1 -1 -1 -1
mcs10_m2Dr6_s40_AB00 -1 -1 -1 -1 -1
mcs10_m2Dr6_s40_AB01 -1 -1 -1 -1 -1
mcs10_m2Dr6_s40_AB02 -1 -1 -1 -1 -1
mcs10_m2Dr6_s40_AB03 -1 -1 -1 -1 -1
mcs10_m2Dr6_s40_AB04 -1 -1 -1 -1 -1
mcs10_m2Dr6_s40_AB05 -1 -1 -1 -1 -1
mcs10_m2Dr6_s40_AB06 22827 22827 -1 -1 -1
mcs10_m2Dr6_s40_AB07 816 816 -1 -1 -1
