instance mcsp0 mcsp1 mcsp2 mcsp3 csia
mcs10_b03_s40_AB00 80000 80000 80000 80000 80000
mcs10_b03_s40_AB01 80000 80000 80000 80000 80000
mcs10_b03_s40_AB02 80000 80000 80000 80000 80000
mcs10_b03_s40_AB03 80000 80000 80000 80000 80000
mcs10_b03_s40_AB04 80000 80000 80000 80000 80000
mcs10_b03_s40_AB05 80000 80000 80000 80000 80000
mcs10_b03_s40_AB06 80000 80000 80000 80000 80000
mcs10_b03_s40_AB07 80000 80000 80000 80000 80000
mcs10_b03_s40_AB08 80000 80000 80000 80000 80000
mcs10_b03_s40_AB09 80000 80000 80000 80000 80000
mcs10_b03_s50_AB00 80000 80000 80000 80000 80000
mcs10_b03_s50_AB01 80000 80000 80000 80000 80000
mcs10_b03_s50_AB02 80000 80000 80000 80000 80000
mcs10_b03_s50_AB03 80000 80000 80000 80000 80000
mcs10_b03_s50_AB04 80000 80000 80000 80000 80000
mcs10_b03_s50_AB05 80000 80000 80000 80000 80000
mcs10_b03_s50_AB06 80000 80000 80000 80000 80000
mcs10_b03_s50_AB07 80000 80000 80000 80000 80000
mcs10_b03_s50_AB08 80000 80000 80000 80000 80000
mcs10_b03_s50_AB09 80000 80000 80000 80000 80000
mcs10_b03m_s40_AB00 80000 80000 80000 80000 80000
mcs10_b03m_s40_AB01 80000 80000 80000 80000 80000
mcs10_b03m_s40_AB02 78593 80000 80000 80000 80000
mcs10_b03m_s40_AB03 80000 80000 80000 80000 80000
mcs10_b03m_s40_AB04 80000 80000 80000 80000 80000
mcs10_b03m_s40_AB05 80000 80000 80000 80000 80000
mcs10_b03m_s40_AB06 80000 80000 80000 80000 80000
mcs10_b03m_s40_AB07 80000 80000 80000 80000 80000
mcs10_b03m_s40_AB08 80000 80000 80000 80000 80000
mcs10_b03m_s40_AB09 80000 80000 80000 80000 80000
mcs10_b03m_s50_AB00 80000 80000 80000 80000 80000
mcs10_b03m_s50_AB01 80000 80000 80000 80000 80000
mcs10_b03m_s50_AB02 80000 80000 80000 80000 80000
mcs10_b03m_s50_AB03 80000 80000 80000 80000 80000
mcs10_b03m_s50_AB04 80000 80000 80000 80000 80000
mcs10_b03m_s50_AB05 80000 80000 80000 80000 80000
mcs10_b03m_s50_AB06 80000 80000 80000 80000 80000
mcs10_b03m_s50_AB07 80000 80000 80000 80000 80000
mcs10_b03m_s50_AB08 80000 80000 80000 80000 80000
mcs10_b03m_s50_AB09 80000 80000 80000 80000 80000
mcs10_m2D_s40_AB00 80000 80000 80000 80000 80000
mcs10_m2D_s40_AB01 80000 80000 80000 80000 80000
mcs10_m2D_s40_AB02 80000 80000 80000 80000 80000
mcs10_m2D_s40_AB03 80000 80000 80000 80000 80000
mcs10_m2D_s40_AB04 80000 80000 80000 80000 80000
mcs10_m2D_s40_AB05 80000 80000 80000 80000 80000
mcs10_m2D_s40_AB06 80000 80000 80000 80000 80000
mcs10_m2D_s40_AB07 80000 80000 80000 80000 80000
mcs10_m2D_s40_AB08 80000 80000 80000 80000 80000
mcs10_m2D_s40_AB09 80000 80000 80000 80000 80000
mcs10_m2D_s50_AB00 80000 80000 80000 80000 80000
mcs10_m2D_s50_AB01 80000 80000 80000 80000 80000
mcs10_m2D_s50_AB02 80000 80000 80000 80000 80000
mcs10_m2D_s50_AB03 80000 80000 80000 80000 80000
mcs10_m2D_s50_AB04 80000 80000 80000 80000 80000
mcs10_m2D_s50_AB05 80000 80000 80000 80000 80000
mcs10_m2D_s50_AB06 80000 80000 80000 80000 80000
mcs10_m2D_s50_AB07 80000 80000 80000 80000 80000
mcs10_m2D_s50_AB08 80000 80000 80000 80000 80000
mcs10_m2D_s50_AB09 80000 80000 80000 80000 80000
