instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-342 34 0.427807 34 0.427807 8161862 13193989 7468465 7602165
r-218 44 0.206131 44 0.206131 -1 -1 -1 -1
r-895 24 0.15942 24 0.15942 -1 -1 -1 -1
r-554 34 0.470588 34 0.470588 216674333 220889715 184126045 179964582
r-649 35 0.494118 35 0.494118 81142787 100442857 68784713 69524002
r-501 30 0.48046 30 0.48046 18045090 26564090 15462844 15145651
r-252 45 0.438384 45 0.438384 300190710 486283554 302780675 310497734
r-224 41 0.42439 41 0.42439 -1 -1 -1 -1
r-978 38 0.308677 38 0.308677 -1 -1 -1 -1
r-915 30 0.370115 30 0.370115 61115695 61481995 52897014 51993419
r-108 22 0.246753 22 0.246753 7024304358 5710633025 360273632 230114215
r-903 45 0.353535 45 0.353535 -1 -1 1534637683 1339515993
r-875 26 0.0769231 26 0.0769231 -1 -1 -1 -1
r-963 30 0.287356 30 0.287356 14152110 20935014 12953873 13101981
r-90 37 0.153153 37 0.153153 277171985 734057334 258986924 271479884
r-28 34 0.336898 34 0.336898 10285900 1617449103 9164209 9187044
r-46 18 0.503268 18 0.503268 84744 83630 72742 69106
r-959 16 0.5 16 0.5 11572 11662 9706 9588
r-117 42 0.511034 42 0.511034 2616925084 2655315358 2426798327 2444703849
r-93 19 0.280702 19 0.280702 34275 46092 28303 28714
r-655 20 0.268421 20 0.268421 146862 34541718 145339 145339
r-610 16 0.4 16 0.4 15131 14287 12323 12669
r-783 38 0.443812 38 0.443812 179414011 131519681 91739232 87924428
r-438 16 0.533333 16 0.533333 15395 16179 13594 13031
r-833 22 0.246753 22 0.246753 272022 175631 255164 243054
r-14 30 0.370115 30 0.370115 30091268 17820292 24301508 23379694
r-92 37 0.348348 37 0.348348 19589855 2765976762 17436559 17697017
r-248 33 0.344697 33 0.344697 1311802029 249270579 94640028 76095246
r-326 32 0.225806 32 0.225806 -1 -1 -1 -1
r-393 17 0.382353 17 0.382353 31776 33632 25980 24429
r-664 19 0.51462 19 0.51462 194649 161993 169729 165538
r-594 34 0.515152 34 0.515152 143299541 146613650 131584062 134101362
r-727 41 0.512195 41 0.512195 1428015274 1404102595 1374904572 1386108467
r-628 33 0.435606 33 0.435606 175444880 175174072 152583853 149437254
r-353 27 0.433048 27 0.433048 1096591 1521903 784688 787364
r-981 22 0.506494 22 0.506494 490844 702169 465826 487787
r-877 38 0.371266 38 0.371266 1191384435 977926029 954721223 930420041
r-279 37 0.198198 37 0.198198 -1 -1 -1 -1
r-696 38 0.341394 38 0.341394 8622757 -1 7671347 7767789
r-620 17 0.382353 17 0.382353 34242 38116 28503 27596
r-862 37 0.378378 37 0.378378 858263843 735408460 702026550 686311568
