instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-815 16 0.525 16 0.525 5855 6773 4816
r-929 18 0.111111 18 0.111111 190 190 190
r-935 18 0.522876 18 0.522876 4600 6785 4128
r-208 13 0.384615 13 0.384615 3731 3468 2932
r-346 20 0.189474 20 0.189474 214 214 214
r-970 33 0.265152 33 0.265152 579 581 582
r-997 21 0.32381 21 0.32381 262 259 273
r-773 30 0.508046 30 0.508046 3269288 3221224 2447080
r-524 40 0.507692 40 0.507692 63656256 67479348 49205266
r-799 20 0.336842 20 0.336842 29804 35564 24277
r-595 30 0.517241 30 0.517241 394321 372841 284836
r-744 24 0.507246 24 0.507246 358791 307123 298066
r-289 38 0.398293 38 0.398293 405536707 436016945 344618657
r-233 13 0.153846 13 0.153846 105 105 105
r-654 13 0.512821 13 0.512821 1518 1567 1457
r-259 49 0.219388 49 0.219388 2885 3598 2770
r-598 29 0.487685 29 0.487685 5593963 5072775 4108809
r-181 49 0.484694 49 0.484694 141313645 174575304 105713458
r-475 13 0.538462 13 0.538462 774 744 752
r-246 27 0.39886 27 0.39886 1592 1466 1268
r-409 44 0.510571 44 0.510571 125555014 147919673 94881295
r-747 39 0.510121 39 0.510121 71725757 76324391 47038427
r-743 23 0.403162 23 0.403162 449330 387985 321725
r-496 44 0.502114 44 0.502114 489343796 471420360 359822294
r-925 14 0.43956 14 0.43956 4079 3477 3476
r-620 23 0.442688 23 0.442688 107337 101656 85717
r-725 17 0.220588 17 0.220588 8259 9247 7408
r-589 41 0.139024 41 0.139024 901 866 864
r-901 42 0.250871 42 0.250871 835160357 1153501696 707938535
r-192 45 0.353535 45 0.353535 58468 58743 51944
r-770 28 0.515873 28 0.515873 367960 380202 300034
r-736 50 0.372245 50 0.372245 -1 -1 -1
r-798 43 0.389812 43 0.389812 -1 -1 2738089526
r-13 42 0.250871 42 0.250871 1261 1250 1258
r-439 18 0.424837 18 0.424837 25931 25758 20233
r-236 49 0.079932 49 0.079932 -1 -1 5243198841
r-568 44 0.502114 44 0.502114 422980294 696676773 334495581
r-616 38 0.512091 38 0.512091 55261598 101922057 45877201
r-372 18 0.424837 18 0.424837 26118 24192 21705
r-347 11 0.436364 11 0.436364 246 219 239
r-910 33 0.503788 33 0.503788 12289029 20152623 10367407
r-453 39 0.415655 39 0.415655 403387 325842 293500
r-364 32 0.175403 32 0.175403 452 452 452
r-1000 38 0.371266 38 0.371266 31881 30337 27058
r-472 32 0.443548 32 0.443548 18313307 15954990 13733492
r-802 15 0.47619 15 0.47619 3579 3047 2828
r-850 34 0.258467 34 0.258467 69479209 96345003 56608843
r-58 39 0.391363 39 0.391363 33486 31633 28193
r-55 49 0.44898 49 0.44898 26255204 37974077 26497708
r-627 18 0.503268 18 0.503268 50292 38347 29669
r-940 24 0.507246 24 0.507246 62572 48017 54498
r-883 32 0.225806 32 0.225806 11897086 16181040 10025072
r-854 10 0.466667 10 0.466667 303 268 281
r-768 25 0.28 25 0.28 315448 337928 246722
r-573 25 0.28 25 0.28 392 390 422
r-571 23 0.403162 23 0.403162 1263 1222 1075
r-162 35 0.161345 35 0.161345 13907121 21459336 10735972
r-605 12 0.484848 12 0.484848 54 54 54
r-724 17 0.485294 17 0.485294 740 797 679
r-542 40 0.05 40 0.05 861 861 861
r-291 16 0.325 16 0.325 129 129 129
r-74 10 0.355556 10 0.355556 122 161 123
r-534 16 0.533333 16 0.533333 405 490 394
r-114 11 0.436364 11 0.436364 253 276 249
r-445 43 0.48948 43 0.48948 382013015 379058986 270359996
r-324 36 0.5 36 0.5 2348765 1608655 1303681
r-509 11 0.509091 11 0.509091 1347 1319 1248
r-131 15 0.514286 15 0.514286 5892 4324 5479
r-8 10 0.2 10 0.2 66 66 66
r-686 47 0.492137 47 0.492137 860544850 826310875 596432841
r-902 34 0.213904 34 0.213904 30479693 31977173 25618847
r-722 33 0.515152 33 0.515152 2097178 2269168 1541992
r-488 38 0.371266 38 0.371266 493263558 530463281 410165718
r-676 47 0.471785 47 0.471785 1737197746 1617436174 1296289188
r-184 34 0.513369 34 0.513369 2489007 3342899 1984750
r-920 23 0.474308 23 0.474308 475468 422553 312543
r-60 49 0.505102 49 0.505102 553102704 494203894 235447209
r-737 24 0.431159 24 0.431159 582 1165 590
r-396 30 0.287356 30 0.287356 809 844 780
r-315 21 0.380952 21 0.380952 564 572 549
r-123 23 0.498024 23 0.498024 352474 295809 233086
r-450 13 0.538462 13 0.538462 698 600 442
r-49 46 0.347826 46 0.347826 40315 30386 30987
r-644 19 0.409357 19 0.409357 145 143 145
r-399 10 0.555556 10 0.555556 525 909 517
r-354 28 0.515873 28 0.515873 544762 643071 481288
r-180 39 0.48583 39 0.48583 122517307 112693968 90644461
r-393 37 0.378378 37 0.378378 28813 35547 21768
r-965 30 0.186207 30 0.186207 770205 899514 408105
r-848 48 0.478723 48 0.478723 -1 2721461662 2045846489
r-137 17 0.514706 17 0.514706 5444 5603 3372
r-247 21 0.257143 21 0.257143 115930 130923 100167
r-252 20 0.268421 20 0.268421 170 170 170
r-591 37 0.24024 37 0.24024 117091745 172374467 93411639
r-389 18 0.503268 18 0.503268 15723 12507 12905
r-19 24 0.463768 24 0.463768 764505 601890 574322
r-960 48 0.467199 48 0.467199 -1 -1 -1
r-551 21 0.52381 21 0.52381 62874 55109 50342
r-977 12 0.530303 12 0.530303 501 617 478
r-282 21 0.380952 21 0.380952 869 1162 762
r-175 22 0.17316 22 0.17316 257 257 257
r-461 47 0.388529 47 0.388529 2251670 1885111 1633473
r-692 29 0.487685 29 0.487685 4591060 4217119 3358447
r-272 39 0.48583 39 0.48583 67806423 68906916 48515363
r-191 28 0.47619 28 0.47619 5732441 4557695 3884991
r-779 21 0.466667 21 0.466667 128301 122495 99649
r-67 25 0.333333 25 0.333333 339917 294789 259876
r-783 30 0.434483 30 0.434483 39360 28596 27082
r-203 33 0.117424 33 0.117424 9771853 22260761 7612109
r-648 13 0.512821 13 0.512821 1229 1050 1115
r-952 48 0.467199 48 0.467199 -1 -1 -1
r-527 50 0.392653 50 0.392653 2199827 2220401 2030292
r-452 28 0.507937 28 0.507937 246167 230945 196008
r-149 12 0.166667 12 0.166667 91 91 91
r-256 15 0.247619 15 0.247619 1689 2052 1370
r-310 32 0.417339 32 0.417339 24741 22275 19978
r-2 34 0.336898 34 0.336898 1752 1725 1531
r-187 38 0.234708 38 0.234708 265200638 281340768 228248260
r-408 18 0.522876 18 0.522876 12063 10050 8413
r-757 17 0.308824 17 0.308824 15883 17213 13805
r-752 18 0.20915 18 0.20915 175 175 175
r-549 28 0.42328 28 0.42328 6120820 6399826 5046944
r-855 44 0.359408 44 0.359408 193049 141019 148583
r-800 21 0.428571 21 0.428571 495 554 480
r-666 25 0.52 25 0.52 281621 259716 224945
r-992 39 0.391363 39 0.391363 802961953 915101044 676217003
r-266 28 0.518519 28 0.518519 461770 481375 377280
r-107 38 0.308677 38 0.308677 2102 2430 1950
r-634 15 0.133333 15 0.133333 136 136 136
r-110 18 0.366013 18 0.366013 38804 41844 30810
