instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-235 23 0.0592885 23 0.0592885 178963 43271879 321686
r-601 15 0.0190476 15 0.0190476 114 109 115
r-963 38 0.253201 38 0.253201 -1 -1 -1
r-153 25 0.57 25 0.57 6271846 6941958 5524378
r-394 32 0.191532 32 0.191532 118572794 124771699 97339347
r-716 31 0.346237 31 0.346237 156568067 162519609 140491974
r-126 38 0.709815 38 0.709815 2459608703 3595966710 2268245076
r-163 38 0.960171 38 0.960171 822375 8956238 788265
r-412 31 0.903226 31 0.903226 5083776 7708452 4130907
r-491 25 0.66 25 0.66 5860449 6616181 5205641
r-77 15 0.333333 15 0.333333 11010 10418 8703
r-318 24 0.663043 24 0.663043 2520212 2920267 2171717
r-714 33 0.916667 33 0.916667 30239294 60761770 26123700
r-812 21 0.971429 21 0.971429 184 1282 185
r-56 15 0.590476 15 0.590476 10826 14218 9616
r-244 31 0.724731 31 0.724731 106219242 128411323 96816573
r-204 29 0.12069 29 0.12069 2600153 4228267 2551005
r-877 23 0.533597 23 0.533597 3417363 2773051 3150853
r-811 38 0.675676 38 0.675676 2466847327 3264845696 2256004928
r-898 35 0.909244 35 0.909244 7228154 16690456 5805092
r-416 20 0.105263 20 0.105263 1874 1534 1465
r-712 30 0.855172 30 0.855172 13858320 19075263 12187381
r-730 26 0.418462 26 0.418462 8256570 8592970 7307387
r-193 19 0.865497 19 0.865497 8124 18476 9290
r-187 19 0.0409357 19 0.0409357 1647305288 102587378 1608835338
r-171 30 0.308046 30 0.308046 66862003 83968166 63741273
r-830 15 0.780952 15 0.780952 3791 7772 3605
r-697 39 0.681511 39 0.681511 -1 -1 -1
r-571 30 0.577011 30 0.577011 81127619 109498095 73029330
r-570 21 0.0285714 21 0.0285714 170 161 173
r-174 29 0.472906 29 0.472906 60750105 61518777 55119113
r-48 31 0.387097 31 0.387097 152519321 180942483 141739254
r-597 19 0.140351 19 0.140351 4495 7282 4315
r-816 30 0.666667 30 0.666667 54490388 69439903 51061543
r-405 28 0.21164 28 0.21164 11133642 10923741 10103649
r-317 29 0.438424 29 0.438424 57496962 61432701 51536168
r-606 16 0.483333 16 0.483333 32233 35356 29050
r-146 29 0.667488 29 0.667488 75179157 84222389 69291942
r-472 27 0.982906 27 0.982906 276 276 278
r-289 28 0.0925926 28 0.0925926 855688 831709 590528
r-608 34 0.185383 34 0.185383 198352243 297047057 188451879
r-657 28 0.814815 28 0.814815 10953697 21433281 10403051
r-796 36 0.184127 36 0.184127 793340102 1312991064 725034864
r-685 30 0.475862 30 0.475862 76353437 94614322 70198218
r-841 21 0.147619 21 0.147619 14279 15622 14214
r-619 36 0.0238095 36 0.0238095 10289 -1 2800
r-721 35 0.757983 35 0.757983 652998038 805415324 569677776
r-849 25 0.786667 25 0.786667 922997 1334094 844800
r-242 28 0.753968 28 0.753968 11699722 13421605 10184316
r-33 25 0.143333 25 0.143333 756999 930306 670646
r-324 18 0.0588235 18 0.0588235 743 659 741
r-539 38 0.702703 38 0.702703 -1 -1 3126964224
r-585 29 0.221675 29 0.221675 21007241 24113471 19228433
r-888 34 0.112299 34 0.112299 25819666 33485632 21774700
r-421 22 0.320346 22 0.320346 1110397 1462043 964994
r-383 25 0.323333 25 0.323333 3284683 4792601 2806554
r-683 30 0.42069 30 0.42069 56482504 59967277 49592492
r-837 15 0.0666667 15 0.0666667 80 68 80
r-50 38 0.224751 38 0.224751 2634366835 3176091712 2397847011
r-371 36 0.977778 36 0.977778 -1 -1 -1
r-552 34 0.953654 34 0.953654 2085814 355039431 759793
r-143 18 0.0718954 18 0.0718954 592 1769 566
r-298 34 0.233512 34 0.233512 190349601 301281390 175540244
r-713 31 0.260215 31 0.260215 84106667 85309461 72008168
r-224 29 0.773399 29 0.773399 21927076 28205842 19311629
r-154 25 0.576667 25 0.576667 4619101 5920801 4074573
r-784 28 0.492063 28 0.492063 31413914 30714801 28372251
r-701 17 0.992647 17 0.992647 156 156 156
r-885 24 0.177536 24 0.177536 356368 414339 348229
r-840 19 0.561404 19 0.561404 160852 195823 143601
r-551 27 0.911681 27 0.911681 120743 126745 116573
r-14 25 0.0266667 25 0.0266667 202 199 204
r-476 27 0.606838 27 0.606838 17755235 21516441 16359177
r-729 16 0.05 16 0.05 605 241 606
r-268 39 0.395412 39 0.395412 -1 -1 -1
r-18 30 0.632184 30 0.632184 92118519 107138631 82988869
r-320 26 0.886154 26 0.886154 298937 396649 283125
r-864 18 0.346405 18 0.346405 67435 76065 57081
r-638 25 0.553333 25 0.553333 8636247 8465107 7784025
r-422 16 0.0416667 16 0.0416667 100 100 100
r-251 32 0.383065 32 0.383065 202778716 257130509 188465293
r-338 33 0.172348 33 0.172348 35344677 85924715 34094928
r-417 32 0.4375 32 0.4375 256338311 262964854 231828751
r-17 38 0.654339 38 0.654339 -1 -1 3160891814
r-272 37 0.978979 37 0.978979 41760 7073 38755
r-84 18 0.130719 18 0.130719 9416 7416 2930
r-213 21 0.566667 21 0.566667 419474 526079 367093
r-774 27 0.868946 27 0.868946 1512345 2158921 1445565
r-580 37 0.127628 37 0.127628 741002391 1192645310 678593370
r-567 21 0.542857 21 0.542857 631161 758123 553505
r-642 21 0 21 0 253 253 253
r-330 34 0.308378 34 0.308378 544683157 701981486 505397261
r-584 35 0.986555 35 0.986555 458 458 458
r-308 39 0.446694 39 0.446694 -1 -1 -1
r-773 35 0.226891 35 0.226891 418998258 631438851 369277836
r-978 34 0.925134 34 0.925134 7734984 19037934 7048852
r-537 23 0.118577 23 0.118577 66164 59108 60498
r-307 40 0.80641 40 0.80641 -1 -1 -1
r-879 15 0.704762 15 0.704762 7990 8742 7390
r-581 25 0.876667 25 0.876667 119570 134673 109783
r-40 28 0.830688 28 0.830688 6177379 8970455 5682506
r-781 15 0.133333 15 0.133333 2387 1348 2158
r-220 19 0.280702 19 0.280702 117194 126061 112354
r-132 26 0.975385 26 0.975385 234 222 238
r-980 38 0.0981508 38 0.0981508 48955968 103476292 40044740
r-444 20 0.347368 20 0.347368 250590 279940 221604
r-699 31 0.619355 31 0.619355 141374707 154052371 127554140
r-503 17 0.654412 17 0.654412 23053 21918 16902
r-568 31 0.425806 31 0.425806 118462901 136250136 105134103
r-485 22 0.199134 22 0.199134 180421 274508 176880
r-294 27 0.552707 27 0.552707 18301479 18094911 16134382
r-180 40 0.279487 40 0.279487 -1 -1 -1
r-4 39 0.668016 39 0.668016 -1 -1 -1
r-575 30 0.567816 30 0.567816 84211533 63397962 76270376
r-659 38 0.810811 38 0.810811 -1 -1 3735806709
r-31 20 0.821053 20 0.821053 28563 50408 25555
r-246 34 0.188948 34 0.188948 209616640 258328441 191242812
r-797 20 0.910526 20 0.910526 21434 22184 18449
r-465 35 0.163025 35 0.163025 360897386 529496982 332298219
r-353 37 0.698198 37 0.698198 2234481810 3126826590 2062628722
r-989 27 0.17094 27 0.17094 2389203 3097309 2210158
r-236 18 0.163399 18 0.163399 2076 2344 1871
r-388 35 0.65042 35 0.65042 1132262765 1044995534 988027438
r-408 17 0.875 17 0.875 3987 3155 4121
r-438 26 0.369231 26 0.369231 13782597 16420355 13089774
r-572 22 0.571429 22 0.571429 763764 897028 660170
r-621 17 0.0294118 17 0.0294118 1779 1136344834 1784
r-499 22 0.238095 22 0.238095 398009 518844 373589
r-280 39 0.282051 39 0.282051 -1 -1 -1
r-858 16 0.616667 16 0.616667 25593 29762 22192
r-290 37 0.0015015 37 0.0015015 706 706 706
r-498 33 0.560606 33 0.560606 385723380 413611202 352166976
r-975 29 0.285714 29 0.285714 12841731 20109202 11227051
r-509 29 0.630542 29 0.630542 47699879 55575106 43541152
r-382 16 0.2 16 0.2 16710 7836 14449
r-556 28 0.380952 28 0.380952 22299332 24517478 19580155
r-960 19 0.532164 19 0.532164 145515 167992 132713
r-994 22 0.619048 22 0.619048 779920 857141 671683
r-287 27 0.282051 27 0.282051 10409557 12738996 9598695
r-252 26 0.4 26 0.4 6108374 9313201 5509970
r-374 40 0.888462 40 0.888462 1063723206 1571294058 906698434
r-891 36 0.9 36 0.9 52894157 106361547 48203788
r-346 33 0.994318 33 0.994318 506 584 507
r-974 33 0.412879 33 0.412879 501041493 544281142 460752729
r-997 22 0.831169 22 0.831169 79974 107356 75486
r-723 34 0.955437 34 0.955437 375594 399016683 7451620
r-691 31 0.709677 31 0.709677 73090397 82405682 63734298
r-45 22 0.766234 22 0.766234 348467 420022 319535
r-303 38 0.766714 38 0.766714 -1 -1 3616653527
r-970 16 0.183333 16 0.183333 3399 3494 3070
r-160 38 0.715505 38 0.715505 -1 -1 -1
r-471 37 0.978979 37 0.978979 -1 -1 -1
r-247 34 0.843137 34 0.843137 83199138 135801359 78594492
r-397 38 0.123755 38 0.123755 808790456 1331176009 702036701
r-20 38 0.682788 38 0.682788 -1 -1 3144076215
r-425 21 0.204762 21 0.204762 153626 193726 139943
r-117 18 0.464052 18 0.464052 71759 58291 60210
r-201 16 0.141667 16 0.141667 3847 4063 3787
r-945 35 0.890756 35 0.890756 86604289 234695440 71877819
r-387 24 0.833333 24 0.833333 343053 509601 307775
r-770 27 0.77208 27 0.77208 7207189 9381665 6524825
r-350 39 0.684211 39 0.684211 -1 -1 -1
r-798 40 0.989744 40 0.989744 529267 -1 473660
r-583 31 0.883871 31 0.883871 9536947 4458654 8254484
r-802 37 0.678679 37 0.678679 2781396263 3253243790 2594464809
r-315 17 0.0147059 17 0.0147059 143 143 143
r-727 40 0.4 40 0.4 -1 -1 -1
r-848 28 0.671958 28 0.671958 28269236 31541475 24560283
r-188 34 0.522282 34 0.522282 407337831 364062248 374517534
r-447 15 0.714286 15 0.714286 6449 5033 5123
r-39 31 0.931183 31 0.931183 370457 325432 282029
r-538 20 0.284211 20 0.284211 225002 317885 193867
r-423 29 0.741379 29 0.741379 30895850 39061720 29065920
r-629 18 0.169935 18 0.169935 13826 8531 10915
r-112 17 0.610294 17 0.610294 35633 38331 31309
r-178 25 0.793333 25 0.793333 1644570 1411255 1402481
r-32 18 0.0326797 18 0.0326797 1617713059 611 1617713060
r-542 24 0.728261 24 0.728261 1429728 1956724 1344852
r-351 35 0.0487395 35 0.0487395 1629207773 231573808 346491633
r-342 39 0.916329 39 0.916329 50412564 115530369 38954970
r-52 21 0.761905 21 0.761905 128895 134632 117197
r-415 19 0.988304 19 0.988304 178 178 178
r-670 31 0.152688 31 0.152688 6094508 12291035 5335285
r-226 17 0.536765 17 0.536765 64957 84248 59116
r-234 20 0.268421 20 0.268421 104233 108789 88424
r-367 34 0.638146 34 0.638146 677686468 700715447 602424473
r-218 33 0.0397727 33 0.0397727 3907091 -1 3815013
r-325 15 1 15 1 136 136 136
r-710 21 0.3 21 0.3 230416 293706 194297
r-514 35 0.216807 35 0.216807 307614318 219659025 271240936
r-75 31 0.212903 31 0.212903 70125121 113516417 63020729
r-708 18 0.633987 18 0.633987 86775 96262 73401
r-630 38 0.877667 38 0.877667 735079991 1050165547 629613618
r-264 16 0.625 16 0.625 24482 30228 21916
r-598 32 0.332661 32 0.332661 244978244 285684341 223600881
r-452 39 0.0458839 39 0.0458839 7663890 17304191 5795960
r-474 32 0.294355 32 0.294355 203812738 222935378 183946813
r-115 24 0.673913 24 0.673913 1776133 2453741 1498194
r-595 38 0.29303 38 0.29303 -1 -1 -1
r-129 24 0.300725 24 0.300725 2390608 2507787 1966395
r-199 23 0.687747 23 0.687747 1124342 1295200 1009455
r-520 40 0.203846 40 0.203846 -1 -1 -1
r-779 24 0.771739 24 0.771739 1568784 2163392 1415808
r-241 24 0.503623 24 0.503623 3128025 3076445 2757706
r-896 23 0.853755 23 0.853755 100259 116746 91741
r-468 38 0.0256046 38 0.0256046 114771670 -1 -1
r-743 20 0.205263 20 0.205263 64827 89381 59689
r-376 40 0.385897 40 0.385897 -1 -1 -1
r-15 23 0.837945 23 0.837945 58018 67023 44339
r-309 18 0.980392 18 0.980392 146 194 147
r-332 23 0.833992 23 0.833992 402817 287604 336503
r-646 26 0.227692 26 0.227692 2151751 3400020 1888630
r-321 16 0.991667 16 0.991667 139 139 139
r-142 33 0.543561 33 0.543561 331306957 356816783 298208690
r-118 36 0.4 36 0.4 1307899949 1418252907 1194263764
r-769 31 0.993548 31 0.993548 446 446 446
r-181 37 0.00900901 37 0.00900901 -1 -1 -1
r-821 25 0.323333 25 0.323333 9515889 12189544 9053117
r-842 21 0.72381 21 0.72381 263435 320397 244876
r-941 39 0.222672 39 0.222672 -1 -1 3382405527
r-711 28 0.0529101 28 0.0529101 523835 457675 411654
r-893 15 0.828571 15 0.828571 631 604 586
r-950 23 0.486166 23 0.486166 1665739 1563330 1442992
r-240 31 0.944086 31 0.944086 3702726 154820 1820539
r-354 15 0.257143 15 0.257143 4739 4371 4431
r-844 27 0.592593 27 0.592593 17641542 14496248 16165949
r-517 36 0.204762 36 0.204762 1422763046 1451589507 1214568505
r-640 31 0.972043 31 0.972043 1264 4075 1258
r-545 22 0.0692641 22 0.0692641 2737753523 403658521 1757682901
r-623 18 0.372549 18 0.372549 139921 102134 126443
r-185 17 0.882353 17 0.882353 3173 3236 3096
r-59 31 0.365591 31 0.365591 139983626 157479514 127328616
r-41 40 0.347436 40 0.347436 -1 -1 -1
r-390 35 0.00336134 35 0.00336134 604 599 605
r-76 30 0 30 0 496 496 496
r-903 30 0.809195 30 0.809195 37252652 45951849 33158966
r-53 21 0.342857 21 0.342857 492223 565102 435733
r-216 34 0.948307 34 0.948307 669299 728225080 767143
r-231 18 0.993464 18 0.993464 174 174 174
r-356 40 0.79359 40 0.79359 -1 -1 -1
r-938 25 0.263333 25 0.263333 2769827 3257392 2560589
r-406 17 0.588235 17 0.588235 45397 47345 36842
r-443 25 0.403333 25 0.403333 6204852 5731442 5651665
