instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-136 24 0.543478 24 0.173913 192504 223225 192504 420018 214508 308736 334772 308736 249556 439965 249556
r-529 24 0.0326087 24 0.608696 180429 18980 18980 179810 87975 242263 29452 29452 96842 8978 8978
r-421 24 0.463768 24 0.688406 805719 675977 805719 1402632 796447 1272951 1022024 1272951 1640096 1338879 1640096
r-842 24 0.644928 24 0.576087 5419879 3916713 3916713 5211407 4734965 9718181 6555854 6555854 5153877 4856689 4856689
r-789 24 0.543478 24 0.623188 3642601 5346470 3642601 4969387 3423403 6336833 9996612 6336833 4310728 4845269 4310728
r-960 24 0.460145 24 0.0289855 27327 1729820 27327 1625581 25622 35038 2048206 35038 95423 1124374 95423
r-224 24 0.880435 24 0.514493 487111 102904 102904 352497 302450 797752 150888 150888 439503 124980 124980
r-223 24 0.576087 24 0.0217391 23555 391584 23555 349562 22323 31776 665860 31776 42804 456102 42804
r-365 24 0.76087 24 0.105072 24057 44964 24057 69112 22858 38719 72268 38719 35657 60927 35657
r-963 24 0.0507246 24 0.264493 13658670 148935 148935 6900008 1911437 16720677 189900 189900 14875745 470385 470385
r-69 24 0.0326087 24 0.615942 617671 13537 13537 1123999 639243 987633 20181 20181 645247 89495 89495
r-355 24 0.507246 24 0.398551 2137731 1972818 2137731 3115416 1990797 3556720 3181026 3556720 3005173 3016036 3005173
r-406 24 0.521739 24 0.945652 41238 602772 41238 498194 38198 52440 877833 52440 59865 589745 59865
r-794 24 0.554348 24 0.677536 1641180 3503530 1641180 2972572 1591277 2629316 6363683 2629316 2390364 3082449 2390364
r-656 24 0.492754 24 0.134058 81589 299788 81589 228915 89408 117432 490157 117432 196931 371207 196931
r-644 24 0.746377 24 0.202899 91131 71175 91131 175736 105793 143754 105326 143754 125643 169053 125643
r-119 24 0.166667 24 0.583333 146242 71795 71795 298676 152470 222249 109475 109475 212067 119393 119393
r-533 24 0.380435 24 0.442029 5166339 3520110 3520110 4570079 4460202 9677809 6197996 6197996 4583165 4239358 4239358
r-258 24 0.981884 24 0.73913 1054252872 1165304 1165304 858743529 15694874 1080947328 1189476 1189476 1063604997 19259599 19259599
r-381 24 0.228261 24 0.775362 76881 81555 76881 162458 83787 121119 119370 121119 119555 99930 119555
r-692 24 0.282609 24 0.757246 113467 167696 113467 344667 123845 173420 254928 173420 224932 224553 224932
r-859 24 0.905797 24 0.605072 541039 113279 113279 347105 263486 807415 169761 169761 751709 471512 471512
r-259 24 0.355072 24 0.275362 1648739 3302983 1648739 2959248 1610760 2583200 5556356 2583200 2303333 3002683 2303333
