instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-610 24 0.311594 33 0.897727 124182 153491 124182 124182 223230 140350 192463 248954 192463 192463 103686 195280 103686 103686
r-659 20 0.0947368 31 0.11828 6747 699793 699793 6747 681312 6730 7149 710977 710977 7149 10044 447430 447430 10044
r-509 12 0.318182 45 0.710101 31018 107018 31018 31018 197829 30213 36575 151438 36575 36575 59946 131268 59946 59946
r-379 30 0.475862 29 0.704433 8916539 11502699 8916539 11502699 17782031 12979236 15922272 18683734 15922272 18683734 13348686 16316401 13348686 16316401
r-902 44 0.356237 23 0.980237 84764 4149686 84764 4149686 1014444 741430 171372 6539189 171372 6539189 563826 4586926 563826 4586926
r-544 35 0.448739 41 0.881707 5292716 16148395 5292716 5292716 13425944 6937704 9046856 23683994 9046856 9046856 6883185 13827271 6883185 6883185
r-761 21 0.12381 43 0.806202 91003 52085 52085 91003 180945 103729 176289 77761 77761 176289 132901 77832 77832 132901
r-588 15 0.457143 19 0.567251 27214 37361 27214 27214 44451 24751 36949 52425 36949 36949 30144 42871 30144 30144
r-146 16 0.183333 24 0.51087 104935 59391 59391 104935 218439 108920 155600 91846 91846 155600 136971 93651 93651 136971
r-531 36 0.109524 28 0.693122 654664 351815 351815 351815 1243606 758843 1023460 583469 583469 583469 915611 689307 689307 689307
r-791 14 0.626374 27 0.105413 2927 10111 2927 2927 12143 4493 2562 11780 2562 2562 6961 13400 6961 6961
r-60 16 0.816667 48 0.58156 942997 3175955 3175955 942997 3642534 932317 1120242 4278907 4278907 1120242 874022 4461974 4461974 874022
r-453 40 0.425641 20 0.663158 6482931 7114245 6482931 7114245 8995990 8763016 10296232 11309275 10296232 11309275 13411891 9739281 13411891 9739281
r-156 42 0.110337 37 0.0465465 513249965 -1 513249965 -1 -1 -1 502883148 -1 502883148 -1 -1 -1 -1 -1
r-414 33 0.511364 24 0.0869565 236978 1911544 236978 1911544 785510 720771 379085 2952677 379085 2952677 432680 2164087 432680 2164087
r-407 47 0.544866 25 0.896667 8445093 31623605 8445093 31623605 25653931 16377886 10336191 48311117 10336191 48311117 10879311 31025348 10879311 31025348
r-39 43 0.112957 31 0.249462 573744927 9137556 9137556 9137556 435870872 19555695 783475150 12781009 12781009 12781009 1003637344 59482493 59482493 59482493
r-227 41 0.662195 22 0.004329 119454 6144130 119454 6144130 4470728 672442 219731 8945565 219731 8945565 1446271 6765746 1446271 6765746
r-530 11 0.0363636 29 0.251232 73100 104822 104822 73100 115282 65514 56093 102073 102073 56093 125 91 91 125
r-807 41 0.730488 46 0.519807 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-120 46 0.896618 17 0.0955882 10163 15599 10163 15599 18384 11082 18578 29823 18578 29823 12582 13658 12582 13658
r-202 10 0.288889 16 0.00833333 2702 119881 2702 2702 119158 2688 2889 128929 2889 2889 1775 37103 1775 1775
r-183 38 0.504979 42 0.700348 1135588044 2580427745 1135588044 1135588044 2180260653 1262339548 2243079429 -1 2243079429 2243079429 1392743517 1811687439 1392743517 1392743517
r-230 33 0.528409 14 0.296703 179638 83096 179638 83096 235891 155903 250167 102521 250167 102521 259764 151238 259764 151238
r-22 42 0.558653 27 0.866097 13456181 54904321 13456181 54904321 30614725 36892949 22355060 96829267 22355060 96829267 19112020 61376398 19112020 61376398
r-480 31 0.595699 44 0.859408 16861591 117288169 16861591 16861591 101532758 22712588 26940165 209736965 26940165 26940165 37695867 61975285 37695867 37695867
r-670 48 0.370567 30 0.921839 1897046 8193762 1897046 8193762 5563933 4905961 3058390 13562032 3058390 13562032 4507471 7540514 4507471 7540514
r-15 27 0.148148 30 0.54023 2235786 718335 718335 2235786 6296287 3008172 3293566 1186229 1186229 3293566 3636620 1281650 1281650 3636620
r-396 46 0.98744 32 0.383065 10916729 78006 78006 78006 12545538 1393349 16664200 104824 104824 104824 11501475 967163 967163 967163
r-148 10 0.0666667 17 0.0294118 92 47 92 92 47 92 92 54 92 92 263 151 263 263
r-764 16 0.741667 26 0.738462 15781 78737 78737 15781 79425 15438 17368 104377 104377 17368 82497 117979 117979 82497
r-975 10 0.111111 14 0.615385 930 568 568 930 1389 835 1516 825 825 1516 1222 1080 1080 1222
r-832 40 0.120513 23 0.865613 77833 35902 35902 35902 124891 82364 122004 63893 63893 63893 78844 64542 64542 64542
r-742 35 0.989916 40 0.888462 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-420 34 0.666667 15 0.27619 164167 96679 164167 96679 258961 269525 242416 131194 242416 131194 283960 206343 283960 206343
r-784 49 0.355442 11 0.181818 62 106 62 106 61 121 86 103 86 103 663 543 663 543
r-358 38 0.517781 14 0.791209 351903 416643 351903 416643 436445 380450 471469 521187 471469 521187 697263 260435 697263 260435
r-421 39 0.504723 21 0.32381 19903985 8042751 19903985 8042751 24699767 10426809 20110540 12334318 20110540 12334318 14051058 9892982 14051058 9892982
r-466 40 0.561538 21 0.695238 20950666 23284399 20950666 23284399 24134745 20994838 36205798 38332534 36205798 38332534 29469524 13953493 29469524 13953493
r-417 36 0.144444 45 0.374747 1293024484 268285055 268285055 1293024484 539831560 999460809 2255918553 451730814 451730814 2255918553 1866336569 682595985 682595985 1866336569
r-834 15 0.0571429 11 0.727273 1027 248 248 248 1800 1105 1804 514 514 514 1088 1197 1197 1197
r-814 32 0.219758 37 0.593093 19236234 14686634 14686634 19236234 34240673 21963394 31274154 25864325 25864325 31274154 33552971 23717915 23717915 33552971
r-78 29 0.389163 31 0.944086 60176 1024494 60176 60176 272581 58070 101647 1456488 101647 101647 80980 304218 80980 80980
r-36 39 0.944669 29 0.253695 157637 68710 68710 68710 221989 113280 344659 104086 104086 104086 136550 54680 54680 54680
r-998 24 0.0181159 44 0.891121 73533 11397 11397 73533 58848 43511 163903 29292 29292 163903 60790 14016 14016 60790
r-904 21 0.338095 46 0.154589 336694 2386963 336694 336694 2280182 555148 390889 3405709 390889 390889 416263 2221746 416263 416263
r-140 22 0.614719 24 0.949275 32441 962318 32441 32441 862874 34077 43992 1334310 43992 43992 98393 788647 98393 98393
r-99 22 0.688312 28 0.748677 734351 2852060 734351 734351 2679950 811569 1056905 4628664 1056905 1056905 1290958 2816605 1290958 1290958
r-26 47 0.641998 13 0.487179 335913 90857 90857 90857 354244 209525 415482 102988 102988 102988 471600 179912 179912 179912
r-877 26 0.110769 36 0.330159 16232892 5773921 5773921 16232892 12407521 13683925 25323748 9155315 9155315 25323748 27758203 12852431 12852431 27758203
r-656 22 0.246753 13 0.589744 12289 6132 6132 6132 18271 23025 15942 7536 7536 7536 21780 19622 19622 19622
r-261 19 0.853801 30 0.464368 135056 162059 162059 135056 358852 134568 209402 193101 193101 209402 199707 181316 181316 199707
r-801 32 0.780242 50 0.269388 13387084 15031878 15031878 13387084 43980914 17613716 22008289 24536080 24536080 22008289 19316848 27678456 27678456 19316848
r-879 43 0.978959 24 0.42029 17511325 26550 26550 26550 17664348 1131872 22900420 34836 34836 34836 14614378 404132 404132 404132
r-560 46 0.26087 36 0.995238 230191 6572237 230191 6572237 8235976 453189 454173 12995638 454173 12995638 384280 6912680 384280 6912680
