instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-701 36 0.488889 36 0.488889 418655449 482686555 363167133 360699949
r-332 32 0.497984 32 0.497984 18812826 11611778 13012838 12609200
r-623 42 0.284553 42 0.284553 -1 -1 -1 -1
r-36 22 0.519481 22 0.519481 242628 156449 203872 198651
r-684 38 0.14936 38 0.14936 -1 -1 -1 -1
r-932 34 0.165775 34 0.165775 -1 -1 -1 -1
r-162 40 0.480769 40 0.480769 420632311 276441487 303149424 294461254
r-781 20 0.521053 20 0.521053 90139 75699 80011 78001
r-451 37 0.198198 37 0.198198 677590759 1340300462 637801691 646738884
r-308 22 0.17316 22 0.17316 38596 141271 36426 37393
r-512 29 0.246305 29 0.246305 7504017 6831023 6329043 6150079
r-484 19 0.19883 19 0.19883 164165625 5538884801 164165241 164165241
r-695 19 0.526316 19 0.526316 38580 44947 34505 33981
r-755 18 0.294118 18 0.294118 74079 53646 63572 61981
r-790 24 0.521739 24 0.521739 692836 445653 587297 570250
r-389 45 0.490909 45 0.490909 1016458505 2128659406 967617787 982300184
r-227 28 0.253968 28 0.253968 5839057 2380822 4514942 4110492
r-57 29 0.133005 29 0.133005 -1 -1 -1 -1
r-208 25 0.28 25 0.28 702732 4495962336 696482 696482
r-827 20 0.189474 20 0.189474 -1 -1 4473729457 3137149117
r-115 16 0.4 16 0.4 27148 9789 9256 8135
r-247 20 0.336842 20 0.336842 3155927 1164539 504488 438802
r-785 30 0.186207 30 0.186207 -1 -1 -1 -1
r-355 23 0.498024 23 0.498024 278572 216152 189068 182988
r-453 35 0.329412 35 0.329412 409360741 295991027 325174313 316646379
r-490 31 0.516129 31 0.516129 30846498 22535001 26797514 26142401
r-437 27 0.461538 27 0.461538 4248610 5047558 3443557 3433295
r-630 35 0.494118 35 0.494118 237552833 286303632 208258453 207134005
r-793 32 0.483871 32 0.483871 77008655 62789183 65783294 64050137
r-494 21 0.428571 21 0.428571 132493 50467 61808 58292
r-488 15 0.47619 15 0.47619 5516 2998 3882 3793
r-616 44 0.0454545 44 0.0454545 -1 -1 -1 -1
r-518 40 0.0974359 40 0.0974359 -1 -1 -1 -1
r-492 30 0.404598 30 0.404598 18671261 26476400 18101607 18417159
r-63 25 0.453333 25 0.453333 2356597 2595036 2107755 2090638
r-40 44 0.40592 44 0.40592 231753669 937962648 255989117 264069058
r-682 27 0.14245 27 0.14245 -1 -1 -1 -1
r-205 26 0.270769 26 0.270769 -1 -1 4558292487 3234376332
r-140 25 0.153333 25 0.153333 -1 -1 -1 -1
r-525 39 0.364372 39 0.364372 2967091975 2456994512 2490366382 2429958169
r-136 25 0.28 25 0.28 669151 501846 536456 522242
r-995 34 0.45098 34 0.45098 30426321 14880964 19097755 18513407
r-920 43 0.172757 43 0.172757 -1 -1 -1 -1
r-217 34 0.499109 34 0.499109 88678828 63658843 70972404 68880755
r-934 18 0.366013 18 0.366013 12350 13346 9124 8952
r-890 21 0.495238 21 0.495238 172204 111551 134964 129669
r-73 37 0.513514 37 0.513514 174613484 236367435 175722220 179271485
r-444 33 0.458333 33 0.458333 96440621 114299634 85470476 86080789
r-929 36 0.107937 36 0.107937 -1 -1 -1 -1
r-783 38 0.443812 38 0.443812 164963221 69092172 85085531 81411461
r-55 42 0.493612 42 0.493612 506061806 994742751 459531120 468524930
r-254 27 0.501425 27 0.501425 2604227 4628017 2848708 2960248
r-327 31 0.503226 31 0.503226 26288160 40683856 23376233 23202405
r-121 21 0.52381 21 0.52381 332664 220541 287188 279389
r-264 24 0.431159 24 0.431159 2058161 1814578 1829179 1780695
r-259 34 0.499109 34 0.499109 116982017 128887246 99272972 97760852
r-740 29 0.512315 29 0.512315 12067008 9598385 10614767 10373483
r-659 25 0.38 25 0.38 2510816 1740999 2103338 2025411
r-530 34 0.508021 34 0.508021 107501056 117948136 95978293 96262377
r-710 45 0.268687 45 0.268687 -1 -1 -1 -1
r-75 21 0.380952 21 0.380952 231155 181337 191824 184233
r-774 24 0.463768 24 0.463768 319445 150845 217822 212671
r-274 32 0.387097 32 0.387097 145951651 102932217 119340807 116922219
r-377 38 0.500711 38 0.500711 1053258194 1302592294 956037501 953709687
r-228 16 0.325 16 0.325 8325 11669 6986 7030
r-237 31 0.27957 31 0.27957 37023061 65643035 33761649 34164122
r-24 36 0.512698 36 0.512698 168705991 238056378 177462769 184888717
r-129 38 0.102418 38 0.102418 -1 -1 -1 -1
r-16 35 0.494118 35 0.494118 310623647 239832568 265210592 259335853
r-250 42 0.284553 42 0.284553 -1 -1 -1 -1
r-261 34 0.470588 34 0.470588 20581236 41871630 19105913 19211916
r-415 20 0.521053 20 0.521053 119040 112204 114341 115845
r-423 17 0.485294 17 0.485294 21346 20907 17260 16804
r-130 20 0.521053 20 0.521053 86526 108188 84525 89397
r-363 38 0.102418 38 0.102418 30010069 287292723 28706382 30964984
r-996 38 0.507824 38 0.507824 151107527 210592701 167215660 171798073
r-351 17 0.514706 17 0.514706 29308 12976 26973 26579
r-598 24 0.228261 24 0.228261 -1 -1 -1 -1
r-661 40 0.384615 40 0.384615 -1 2476560051 2788874918 2728407228
r-770 15 0.419048 15 0.419048 2119 2527 1707 1667
r-735 40 0.142308 40 0.142308 -1 -1 -1 -1
r-694 23 0.166008 23 0.166008 203089 118182 146601 133740
r-116 17 0.220588 17 0.220588 54705 690722994 54522 54522
r-956 42 0.344948 42 0.344948 -1 -1 -1 -1
r-640 33 0.219697 33 0.219697 27730007 82205895 26958996 27845850
r-923 33 0.306818 33 0.306818 246619235 -1 246492245 246490845
r-450 43 0.27907 43 0.27907 -1 -1 -1 -1
