instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-565 49 0.5 49 0.5 643074380 682123550 451735880
r-853 28 0.42328 28 0.42328 3815194 4041013 3160880
r-420 47 0.388529 47 0.388529 327744 251537 260288
r-825 35 0.393277 35 0.393277 6335 4876 5803
r-141 12 0.409091 12 0.409091 137 109 127
r-280 50 0.506939 50 0.506939 860996733 1186411378 641567938
r-912 14 0.263736 14 0.263736 173 103 119
r-297 34 0.486631 34 0.486631 19182747 16503104 14348638
r-757 17 0.308824 17 0.308824 12909 10562 11175
r-103 36 0.5 36 0.5 1390281 921508 1020266
r-75 23 0.300395 23 0.300395 1 1 1
r-939 23 0.166008 23 0.166008 16985 22129 14747
r-379 17 0.308824 17 0.308824 1 1 1
r-41 36 0.436508 36 0.436508 14190 13222 12930
r-370 48 0.223404 48 0.223404 69 99 69
r-335 37 0.153153 37 0.153153 1 1 1
r-991 22 0.415584 22 0.415584 233277 247473 187311
r-655 39 0.415655 39 0.415655 678606435 633374302 557442165
r-950 50 0.0783673 50 0.0783673 1 1 1
r-139 28 0.388889 28 0.388889 231 256 231
r-185 31 0.451613 31 0.451613 7636026 7208552 6074273
r-81 34 0.370766 34 0.370766 82327323 92604356 70308906
r-5 36 0.512698 36 0.512698 8233622 7363518 5826663
r-751 19 0.280702 19 0.280702 29728 20829 21972
r-713 21 0.514286 21 0.514286 4749 3910 4430
r-291 16 0.325 16 0.325 1 1 1
r-212 50 0.502857 50 0.502857 1158130430 1672966380 948941600
r-706 44 0.359408 44 0.359408 6838 5032 6072
r-602 47 0.288622 47 0.288622 -1 -1 -1
r-251 42 0.371661 42 0.371661 2269535276 2315246430 1897663347
r-209 19 0.491228 19 0.491228 214 183 214
r-351 21 0.0952381 21 0.0952381 1 1 1
r-724 17 0.485294 17 0.485294 162 146 152
r-372 18 0.424837 18 0.424837 18706 14314 15718
r-810 50 0.392653 50 0.392653 115102 80889 87932
r-897 45 0.0868687 45 0.0868687 1 1 1
r-264 50 0.183673 50 0.183673 -1 -1 -1
r-785 19 0.280702 19 0.280702 1 1 1
r-242 27 0.262108 27 0.262108 37 59 37
r-660 23 0.403162 23 0.403162 30 49 30
r-123 23 0.498024 23 0.498024 117924 86546 86594
r-946 19 0.280702 19 0.280702 6052 30977 5004
r-30 23 0.474308 23 0.474308 81916 48230 64002
r-850 34 0.258467 34 0.258467 62339108 87560075 50321675
r-722 33 0.515152 33 0.515152 1174878 923171 858518
r-821 32 0.120968 32 0.120968 1287939 759456 1063334
r-963 25 0.48 25 0.48 487931 387329 379450
r-384 14 0.362637 14 0.362637 1 1 1
r-511 12 0.409091 12 0.409091 1 1 1
r-361 45 0.511111 45 0.511111 96735148 164661330 77870316
r-455 38 0.462304 38 0.462304 675966 825151 527421
r-82 49 0.510204 49 0.510204 419540840 535194848 305690605
r-582 42 0.418118 42 0.418118 93822 68582 78554
r-311 44 0.332981 44 0.332981 -1 -1 -1
r-960 48 0.467199 48 0.467199 -1 -1 -1
r-436 37 0.279279 37 0.279279 246 312 246
r-951 38 0.422475 38 0.422475 34297 18294 23584
r-31 44 0.426004 44 0.426004 280880 204526 227241
r-330 50 0.326531 50 0.326531 -1 -1 -1
r-701 26 0.443077 26 0.443077 1237 731 976
r-797 47 0.0425532 47 0.0425532 1 1 1
r-551 21 0.52381 21 0.52381 28145 23508 25615
r-429 26 0.470769 26 0.470769 1103813 1029687 873000
r-747 39 0.510121 39 0.510121 31265091 41650110 25079081
r-727 26 0.212308 26 0.212308 1 1 1
r-110 18 0.366013 18 0.366013 29607 20497 22288
r-152 32 0.443548 32 0.443548 14632940 12523233 11187397
r-245 41 0.443902 41 0.443902 375056 164927 248502
r-831 27 0.205128 27 0.205128 476839 345331 387651
r-423 13 0.384615 13 0.384615 1 1 1
r-536 22 0.454545 22 0.454545 234674 161905 184516
r-21 38 0.234708 38 0.234708 265013351 267626263 219244586
r-94 33 0.492424 33 0.492424 543032 468128 402166
r-739 37 0.279279 37 0.279279 299 352 295
r-482 13 0.538462 13 0.538462 48 34 48
r-196 50 0.480816 50 0.480816 -1 1379282340 1263094704
r-869 40 0.261538 40 0.261538 412802451 722833327 332912091
r-889 28 0.47619 28 0.47619 15394 10564 10535
r-783 30 0.434483 30 0.434483 10488 4909 8010
r-388 37 0.504505 37 0.504505 21689107 16905144 16362240
r-749 32 0.352823 32 0.352823 291 312 282
r-91 27 0.262108 27 0.262108 1 1 1
r-513 11 0.545455 11 0.545455 40 27 40
r-817 34 0.499109 34 0.499109 6245359 5248172 4704120
r-194 46 0.463768 46 0.463768 906700308 752370833 680719471
r-477 31 0.27957 31 0.27957 10064075 13466382 8378564
r-927 44 0.359408 44 0.359408 -1 -1 -1
r-696 34 0.499109 34 0.499109 9597992 8459940 7317861
r-594 26 0.443077 26 0.443077 966 831 914
r-142 26 0.470769 26 0.470769 298426 345812 236666
r-315 21 0.380952 21 0.380952 28 45 28
r-953 31 0.451613 31 0.451613 3393 4028 3009
r-505 10 0.355556 10 0.355556 22 29 22
r-558 22 0.484848 22 0.484848 744 633 722
