instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-444 20 0.347368 20 0.347368 144927 134791 129222
r-689 32 0.65121 32 0.65121 164670397 187456448 149645907
r-113 26 0.215385 26 0.215385 1756799 2404676 1617159
r-236 18 0.163399 18 0.163399 370 524 347
r-634 32 0.106855 32 0.106855 1276965 2294012 1225541
r-803 22 0.337662 22 0.337662 295691 352060 254381
r-962 19 0.298246 19 0.298246 61614 71383 53827
r-630 38 0.877667 38 0.877667 565258606 818480882 488393883
r-781 15 0.133333 15 0.133333 238 89 230
r-711 28 0.0529101 28 0.0529101 5494 1629 5211
r-868 40 0.234615 40 0.234615 -1 -1 -1
r-85 40 0.0948718 40 0.0948718 1138647961 1663404268 937512673
r-86 35 0.744538 35 0.744538 503149562 511429725 456871752
r-170 26 0.612308 26 0.612308 9056143 10290219 8212856
r-846 34 0.0909091 34 0.0909091 7530422 2201622 6803558
r-69 15 0.133333 15 0.133333 124 227 125
r-257 29 0.0369458 29 0.0369458 12157 -1 6514
r-998 16 0.55 16 0.55 10743 11858 8521
r-788 38 0.0369844 38 0.0369844 -1 -1 -1
r-373 22 0.922078 22 0.922078 758 823 718
r-439 33 0.482955 33 0.482955 295348374 305519829 272300519
r-929 38 0.512091 38 0.512091 -1 -1 -1
r-208 34 0.110517 34 0.110517 23525314 41328449 21645336
r-50 38 0.224751 38 0.224751 2047550290 2919427126 1849712806
r-827 26 0.538462 26 0.538462 4745931 4380087 4217128
r-266 27 0.179487 27 0.179487 1626330 1542573 1485009
r-100 22 0.480519 22 0.480519 593538 583203 490825
r-342 39 0.916329 39 0.916329 13144141 36725649 10819553
r-185 17 0.882353 17 0.882353 1190 1849 1166
r-671 38 0.492176 38 0.492176 -1 -1 -1
r-839 28 0.875661 28 0.875661 637860 2093478 607760
r-28 25 0.533333 25 0.533333 5565872 6109611 5007731
r-441 30 0.68046 30 0.68046 31736191 35019576 27559658
r-607 25 0.786667 25 0.786667 724766 1224308 686957
r-209 40 0.605128 40 0.605128 -1 -1 -1
r-36 21 0.77619 21 0.77619 99336 120488 87966
r-460 31 0.922581 31 0.922581 43622 55354 41051
r-481 28 0.21164 28 0.21164 7856944 9083932 6712589
r-29 26 0.787692 26 0.787692 2550444 3610573 2369454
r-740 15 0.0190476 15 0.0190476 1 1 1
r-195 17 0.830882 17 0.830882 1716 1297 1460
r-597 19 0.140351 19 0.140351 289 1096 303
r-555 24 0.199275 24 0.199275 709309 778683 680428
r-866 29 0.642857 29 0.642857 23017579 27291397 21781760
r-94 29 0.985222 29 0.985222 2891701 -1 -1
r-530 24 0.536232 24 0.536232 3104488 3521716 2877270
r-13 27 0 27 0 1 1 1
r-157 34 0.465241 34 0.465241 410579567 468497640 372117914
r-878 29 0.778325 29 0.778325 12631117 21958315 11701825
r-906 25 0.42 25 0.42 2968800 3463879 2697524
r-633 26 0.409231 26 0.409231 6020331 7230246 5367267
r-221 32 0.580645 32 0.580645 209418935 220955959 190210725
r-364 20 0.315789 20 0.315789 44646 42822 37169
r-842 21 0.72381 21 0.72381 176362 175922 163903
r-879 15 0.704762 15 0.704762 5479 4700 5311
r-687 33 0 33 0 1 1 1
r-690 31 0.778495 31 0.778495 28546482 33535667 25665029
r-355 21 0.790476 21 0.790476 72075 85096 66985
r-386 15 0.171429 15 0.171429 324 307 331
r-294 27 0.552707 27 0.552707 13515338 13064926 11888686
r-863 19 0.438596 19 0.438596 114262 118974 97286
r-218 33 0.0397727 33 0.0397727 931 -1 952
r-575 30 0.567816 30 0.567816 64122141 49729448 58185320
r-914 19 0.859649 19 0.859649 4131 2300 3833
r-68 18 0.960784 18 0.960784 1614 23673997 1614
r-316 21 0.528571 21 0.528571 638412 681735 549724
r-912 38 0.675676 38 0.675676 1823630516 2141301515 1710693356
r-498 33 0.560606 33 0.560606 287867600 336051921 263671600
r-467 21 0.238095 21 0.238095 99252 94966 94516
r-489 36 0.58254 36 0.58254 1079197230 1215638091 984769030
r-514 35 0.216807 35 0.216807 207255051 164549524 189977797
r-6 22 0.264069 22 0.264069 285689 379304 254001
r-395 37 0.312312 37 0.312312 2117752343 1362286399 1891771307
r-941 39 0.222672 39 0.222672 -1 -1 2762417799
r-138 28 0.994709 28 0.994709 1 1 1
r-715 36 0.309524 36 0.309524 1315662029 1573192027 1205956450
r-785 34 0.379679 34 0.379679 396811498 480055666 369087780
r-327 30 0.767816 30 0.767816 23385898 30295308 21484281
r-492 38 0.190612 38 0.190612 600073675 795901716 539917697
r-117 18 0.464052 18 0.464052 43278 34869 36960
r-378 33 0.4375 33 0.4375 254509599 297488011 231250662
r-497 36 0.17619 36 0.17619 353389739 169976418 308262813
r-713 31 0.260215 31 0.260215 53235131 51438231 46763753
r-614 40 0.973077 40 0.973077 704 -1 706
r-951 25 0.77 25 0.77 1838543 2623380 1720951
r-828 30 0.0965517 30 0.0965517 701434 1323123 654634
r-836 40 0.188462 40 0.188462 -1 -1 -1
r-639 27 0.230769 27 0.230769 4047042 4789586 3621318
r-780 23 0.225296 23 0.225296 334883 384709 319850
r-712 30 0.855172 30 0.855172 8321406 12419701 7435342
r-422 16 0.0416667 16 0.0416667 1 1 1
r-770 27 0.77208 27 0.77208 4501660 5950836 4156260
r-464 22 0.125541 22 0.125541 7645 46285 8377
r-132 26 0.975385 26 0.975385 1 1 1
r-990 28 0.984127 28 0.984127 1 1 1
r-598 32 0.332661 32 0.332661 178317183 240057012 163209189
r-760 38 0.119488 38 0.119488 705530381 1075511120 658748333
r-377 37 0.265766 37 0.265766 2956456768 2285021734 2644047755
r-532 22 0.748918 22 0.748918 265250 327390 243931
r-416 20 0.105263 20 0.105263 550 529 521
r-104 37 0.57958 37 0.57958 1780789696 1899490852 1622229636
r-550 27 0.0626781 27 0.0626781 9726 472995 9626
r-883 20 0.863158 20 0.863158 1983 2160 1910
r-299 19 0.333333 19 0.333333 205749 179781 191127
r-662 39 0.623482 39 0.623482 -1 -1 -1
r-777 24 0.699275 24 0.699275 999611 1336337 926677
r-928 15 0.295238 15 0.295238 4619 6184 4015
r-49 37 0.861862 37 0.861862 415832005 931874828 376111588
r-268 39 0.395412 39 0.395412 -1 -1 -1
r-707 23 0.972332 23 0.972332 -1 2855 -1
r-374 40 0.888462 40 0.888462 973851210 1157994309 827711578
r-648 33 0.293561 33 0.293561 122711674 152409800 109829184
r-870 40 0.344872 40 0.344872 -1 -1 -1
r-248 36 0.312698 36 0.312698 1028236207 1032149605 872793488
r-672 40 0.435897 40 0.435897 -1 -1 -1
r-435 39 0.407557 39 0.407557 -1 -1 -1
r-362 33 0.121212 33 0.121212 13955301 26607832 13058919
r-501 15 0.390476 15 0.390476 18557 10093 15726
r-361 34 0.101604 34 0.101604 10077961 8351487 8743986
r-41 40 0.347436 40 0.347436 -1 -1 -1
r-372 34 0.754011 34 0.754011 253912950 320180032 221367291
r-440 28 0.822751 28 0.822751 5512396 5858584 4871168
r-206 20 0.236842 20 0.236842 80943 54732 74332
r-682 24 0.0181159 24 0.0181159 1 1 1
r-20 38 0.682788 38 0.682788 -1 -1 2043128726
r-829 15 0.52381 15 0.52381 11571 11439 10454
r-843 37 0.6997 37 0.6997 2001396389 2015553853 1834148280
r-254 16 0.375 16 0.375 6343 11151 5503
r-947 17 0.0588235 17 0.0588235 1 1 1
r-142 33 0.543561 33 0.543561 258037473 272951436 231404750
r-599 27 0.0968661 27 0.0968661 304471 196409 263783
r-845 17 0.654412 17 0.654412 16233 11300 13994
r-835 32 0.395161 32 0.395161 232495700 247036483 205742081
r-554 21 0.414286 21 0.414286 389562 245537 339795
r-225 28 0.592593 28 0.592593 28384708 30981424 26458349
r-844 27 0.592593 27 0.592593 10534967 8681660 9566254
r-300 32 0.201613 32 0.201613 45825558 52085420 42571094
r-756 26 0.304615 26 0.304615 5323422 5580555 4641446
r-984 22 0.471861 22 0.471861 661927 649007 588360
r-9 35 0.396639 35 0.396639 536582145 589226004 475868473
r-817 23 0.213439 23 0.213439 64555 65561 56089
r-701 17 0.992647 17 0.992647 1 1 1
r-371 36 0.977778 36 0.977778 -1 -1 -1
r-910 24 0.503623 24 0.503623 1286489 1383857 1142808
