instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-131 49 0.294218 24 0.307971 266722879 47040752 47040752 265184185 48880183 430964242 64151612 64151612 242384708 27001120 27001120
r-865 26 0.323077 40 0.310256 65367320 183512245 65367320 188422248 63728864 104565507 333232169 104565507 44207920 170847942 44207920
r-143 46 0.278261 23 0.288538 76221310 12536769 12536769 75361673 13331392 114502806 16310835 16310835 71035606 12463879 12463879
r-718 46 0.313043 30 0.349425 1961173277 778447765 778447765 1929686911 802949264 -1 1311172950 1311172950 1853723757 741588025 741588025
r-653 33 0.276515 12 0.30303 29867 1 1 28914 1 29868 2 2 20351 1 1
r-419 40 0.294872 45 0.337374 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-948 20 0.310526 11 0.472727 5642 446 446 5140 425 7489 543 543 2529 325 325
r-920 35 0.287395 43 0.258029 2642232791 -1 2642232791 -1 -1 -1 -1 -1 -1 -1 -1
r-176 14 0.307692 36 0.3 11411 308512 11411 293604 11411 11412 365484 11412 10232 224522 10232
r-709 37 0.283784 13 0.282051 30567 1 1 29466 1 30568 2 2 27241 1 1
r-699 31 0.264516 32 0.310484 96264579 107645067 96264579 145245797 86654598 166496977 182839874 166496977 118624609 111052684 118624609
r-366 16 0.258333 37 0.286787 3621 253010 3621 251418 3621 3623 297691 3623 8033 217901 8033
r-555 18 0.294118 18 0.294118 69647 70409 69647 74614 66558 98191 98372 98191 62024 60355 62024
r-994 23 0.300395 10 0.377778 3406 1 1 3125 1 3407 2 2 3292 1 1
r-185 18 0.287582 49 0.284014 140062 4699650 140062 4668398 139986 152243 6159272 152243 289060 4557941 289060
r-347 11 0.472727 20 0.263158 600 7140 600 7211 549 719 10035 719 170 1928 170
r-742 14 0.208791 24 0.264493 1083 19353 1083 19397 1083 1085 23739 1085 11288 21182 11288
r-730 44 0.266385 35 0.315966 -1 1016628101 1016628101 -1 1151735693 -1 1728444694 1728444694 -1 -1 -1
r-33 42 0.308943 26 0.307692 187269764 71944102 71944102 185794824 72618318 330124514 113454810 113454810 169909056 75736100 75736100
r-824 36 0.293651 25 0.316667 65319980 18974335 18974335 63553876 19679871 116339762 30190863 30190863 54431349 18386263 18386263
r-724 13 0.25641 47 0.312673 1 1 1 1 1 1 1 1 1 1 1
r-433 25 0.236667 20 0.315789 486218 106284 106284 418375 133893 761026 141508 141508 359784 278603 278603
r-579 22 0.242424 32 0.302419 2327159 5084662 2327159 5688931 2264130 3334709 8050216 3334709 4208806 4938551 4208806
r-580 25 0.29 44 0.293869 60141689 255562931 60141689 256504356 59208152 87108089 428048486 87108089 74523532 211657227 74523532
r-196 22 0.281385 11 0.327273 5365 1 1 4821 1 5366 2 2 3601 1 1
r-582 36 0.307937 49 0.305272 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-713 13 0.371795 21 0.285714 2753 17606 2753 17112 2697 3098 25155 3098 2441 13288 2441
r-506 24 0.307971 14 0.274725 86880 10050 10050 84187 9658 118286 10796 10796 65901 13842 13842
r-725 43 0.300111 43 0.301218 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-621 37 0.273273 35 0.319328 1192902957 515257605 515257605 1195848379 556904061 2173152280 899333970 899333970 673865086 482788536 482788536
r-629 38 0.301565 27 0.276353 155227193 71681702 71681702 166794551 69876555 270339585 112095203 112095203 146894573 93082429 93082429
r-471 33 0.316288 14 0.318681 175443 4462 4462 170622 4446 216382 4464 4464 99540 6445 6445
r-478 40 0.301282 48 0.303191 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-640 22 0.324675 28 0.325397 2846150 4748983 2846150 4961452 2765651 4238622 7871957 4238622 912273 1940115 912273
r-142 31 0.273118 10 0.133333 1 1 1 1 1 1 1 1 1 1 1
r-383 21 0.295238 40 0.316667 3475252 17518267 3475252 18049011 3437268 4489430 27733318 4489430 3804709 16486550 3804709
r-11 36 0.288889 50 0.302857 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-923 13 0.320513 48 0.317376 1 30871 1 29761 1 1 30871 1 1 150604 1
r-953 30 0.275862 29 0.317734 24149298 12286342 12286342 25703746 12344565 42060749 20552951 20552951 12205742 15839420 15839420
r-997 50 0.315918 47 0.299722 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-70 20 0.247368 38 0.302987 1416992 10175613 1416992 10525875 1396388 1834690 15498487 1834690 1521727 9907091 1521727
r-915 13 0.282051 17 0.294118 718 6988 718 6866 695 841 9577 841 2510 3722 2510
r-119 38 0.321479 37 0.291291 1518285589 1846887045 1846887045 2005041510 1581271899 -1 -1 -1 1537323095 -1 -1
r-525 49 0.285714 17 0.301471 5554536 125745 125745 5331276 130353 6863035 135405 135405 4900202 85265 85265
r-917 36 0.274603 20 0.305263 6678863 895406 895406 6012612 947950 10156027 1160838 1160838 6444886 2186096 2186096
r-430 34 0.342246 11 0.272727 1 1 1 1 1 1 1 1 1 1 1
r-205 28 0.259259 47 0.278446 258686031 621951402 258686031 646026179 253869799 380143160 1043262658 380143160 153318144 624039888 153318144
r-216 10 0.333333 15 0.285714 1 570 1 568 1 2 571 2 1 414 1
r-881 42 0.270616 18 0.294118 4667862 350445 350445 4495123 362487 6527815 414524 414524 3596167 445155 445155
r-749 44 0.306554 27 0.353276 555041927 210973858 210973858 549922658 224306061 1007000337 338177186 338177186 270229481 161453604 161453604
r-225 21 0.27619 15 0.32381 11990 969 969 10531 1040 16085 1098 1098 9724 6243 6243
r-696 20 0.278947 19 0.327485 27337 38560 38560 25660 36921 42239 55769 55769 27164 15876 15876
r-145 43 0.276855 26 0.304615 253665105 54344591 54344591 242547642 57101153 426939267 79333635 79333635 234676765 54528825 54528825
r-90 25 0.26 16 0.308333 84842 14707 14707 71989 15245 122978 17013 17013 79040 10843 10843
r-679 49 0.283163 28 0.306878 996799894 253889365 253889365 990144291 270089320 1719201148 380635009 380635009 897839968 204123428 204123428
r-310 33 0.310606 33 0.30303 168565470 178639988 168565470 193077083 154286252 300320173 318147312 300320173 173452956 183531108 173452956
r-753 24 0.311594 25 0.296667 1257560 2745962 1257560 2812555 1204367 2005580 4470708 2005580 1883547 2902805 1883547
r-275 15 0.361905 17 0.323529 2647 6855 2647 6600 2426 3388 9431 3388 2841 5275 2841
r-801 29 0.29803 47 0.300648 374256891 1060937299 374256891 1083369518 367831426 586650647 1886778650 586650647 544207136 1137545405 544207136
r-281 27 0.287749 21 0.319048 1036072 324150 324150 982591 344596 1713056 459631 459631 1399640 453231 453231
r-601 41 0.286585 11 0.4 66234 1 1 63953 1 66234 1 1 53485 1 1
r-916 43 0.295681 22 0.307359 36180381 2142393 2142393 35945117 2155950 58309394 2895482 2895482 27232042 4933355 4933355
r-72 22 0.30303 30 0.278161 2196616 4843962 2196616 4920319 2160981 3103412 7878008 3103412 2110511 4714766 2110511
r-844 42 0.308943 43 0.331118 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-737 28 0.275132 11 0.2 1 1 1 1 1 1 1 1 1 1 1
r-165 38 0.280228 33 0.301136 827626762 438442099 438442099 830417307 459488596 1526064068 757916985 757916985 750626324 360615190 360615190
r-670 33 0.295455 17 0.338235 269289 12529 12529 250015 13505 390348 14207 14207 195645 24290 24290
r-63 50 0.318367 42 0.313589 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-912 30 0.317241 23 0.280632 8266894 4845010 4845010 8724461 4476257 13447522 7470800 7470800 7316283 4562945 4562945
r-780 15 0.342857 41 0.331707 18389 387124 18389 384956 18389 18391 459386 18391 17048 327395 17048
r-4 26 0.304615 26 0.283077 5929074 7903827 5929074 8192635 5748585 9489010 12804868 9489010 6085869 7004764 6085869
r-495 14 0.384615 17 0.272059 3358 7932 3358 7582 3295 4042 11945 4042 2697 7865 2697
r-671 49 0.320578 48 0.307624 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-675 27 0.353276 48 0.295213 124114287 568260569 124114287 540384775 122649845 195369821 1038733636 195369821 170270769 502465664 170270769
r-765 31 0.296774 49 0.30102 2141867478 -1 2141867478 -1 2088491527 -1 -1 -1 -1 -1 -1
r-462 21 0.338095 32 0.282258 803181 3914800 803181 3778821 783995 1164907 6661019 1164907 1463756 4036194 1463756
r-606 27 0.344729 13 0.371795 32682 1387 1387 31432 1434 42161 1389 1389 31702 4455 4455
r-434 25 0.3 17 0.294118 344134 94451 94451 337669 94256 524466 123429 123429 300646 113440 113440
r-388 39 0.327935 45 0.317172 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-15 32 0.306452 23 0.288538 22430890 8914227 8914227 23608280 8741681 37374941 13388105 13388105 19683832 11921181 11921181
r-144 33 0.299242 47 0.301573 2126119847 -1 2126119847 -1 2053668670 -1 -1 -1 -1 -1 -1
r-239 38 0.28734 19 0.321637 2968021 327525 327525 2758398 347660 4624375 422077 422077 2582338 737411 737411
r-522 49 0.29932 18 0.281046 5451570 138981 138981 5193672 147631 6852144 148396 148396 4810178 251570 251570
r-546 36 0.295238 20 0.263158 14337931 4098436 4098436 14801016 4150273 21861736 5416711 5416711 13444892 4438453 4438453
r-691 32 0.272177 34 0.294118 237221109 276418463 237221109 360741318 219550859 403475807 469341754 403475807 136548817 140652285 136548817
r-866 35 0.29916 43 0.322259 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-512 49 0.321429 15 0.285714 619163 1 1 605108 1 619164 2 2 446561 1 1
r-110 44 0.272727 21 0.352381 13857690 4756283 4756283 13429035 4978745 22391182 6503612 6503612 10682649 2041485 2041485
r-81 45 0.290909 48 0.296099 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-789 25 0.27 21 0.295238 408976 194036 194036 383172 176941 635385 259644 259644 410919 244261 244261
r-61 20 0.321053 19 0.292398 87188 90682 90682 100843 63490 129199 126881 126881 71127 91688 91688
r-3 22 0.272727 19 0.315789 150268 51659 51659 126025 51568 239104 67854 67854 127699 86439 86439
r-184 22 0.320346 15 0.257143 27497 4956 4956 28660 4917 38414 5688 5688 21051 4686 4686
r-576 16 0.341667 33 0.30303 129499 942287 129499 924952 128987 155777 1392414 155777 137706 691695 137706
r-605 23 0.284585 39 0.304993 17340826 59952845 17340826 61592681 17053828 25229730 100412586 25229730 18712834 47397437 18712834
r-283 12 0.272727 49 0.307823 1 1 1 1 1 1 1 1 1 1 1
r-611 20 0.310526 46 0.298551 1679947 16903535 1679947 16414073 1662110 2120433 25831673 2120433 1732394 14624922 1732394
r-123 29 0.29803 10 0.288889 1 1 1 1 1 1 1 1 1 1 1
r-105 25 0.283333 12 0.30303 13859 1 1 13130 1 14730 2 2 8806 1 1
r-547 48 0.295213 19 0.263158 24286647 1157675 1157675 24025990 1187861 33267670 1322435 1322435 21947864 1388779 1388779
r-549 40 0.301282 38 0.278805 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-687 11 0.418182 44 0.311839 1 6542 1 6085 1 1 6542 1 1 30091 1
r-876 24 0.318841 28 0.312169 2813541 4003730 2813541 4132222 2688789 4458267 6735611 4458267 2689758 4454279 2689758
r-596 46 0.291787 25 0.31 250156230 45791301 45791301 250996885 48597340 424411713 66848876 66848876 207937924 63567688 63567688
r-893 22 0.298701 33 0.3125 4796560 9584292 4796560 10028383 4733004 6951045 16017758 6951045 1937317 6657136 1937317
r-620 31 0.301075 22 0.294372 9174892 2360389 2360389 9195769 2345684 15092461 3377688 3377688 6303037 3724229 3724229
r-106 41 0.303659 13 0.282051 151144 1 1 146443 1 151145 1 1 114166 1 1
r-151 29 0.261084 37 0.312312 175455295 199729614 175455295 246407570 165650988 293479899 349608282 293479899 166843541 231136224 166843541
r-14 15 0.295238 13 0.320513 1900 667 667 1696 665 2546 795 795 1137 775 775
r-300 31 0.298925 10 0.177778 1 1 1 1 1 1 1 1 1 1 1
r-99 42 0.295006 39 0.278003 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-484 23 0.3083 30 0.271264 1548710 3088193 1548710 2994247 1555941 2286610 5178915 2286610 775688 2197832 775688
r-702 21 0.280952 24 0.304348 260918 389408 260918 439631 236327 397257 596949 397257 151302 216669 151302
r-498 23 0.284585 19 0.28655 203246 223102 223102 208235 214356 322195 318724 318724 279140 88445 88445
r-850 50 0.272653 24 0.293478 122860103 55877258 55877258 120962223 59657608 190673501 75957769 75957769 174847285 17222708 17222708
r-666 35 0.309244 47 0.299722 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-326 37 0.298799 46 0.298551 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-503 10 0.155556 26 0.32 1 1 1 1 1 1 1 1 1 1 1
r-89 30 0.282759 12 0.318182 11762 1 1 10970 1 11763 2 2 12711 1 1
r-796 30 0.278161 24 0.289855 5265614 2265062 2265062 5280180 2277608 8835625 3387634 3387634 5058356 2642275 2642275
r-36 49 0.318878 18 0.261438 7399050 458616 458616 7207333 463138 9449070 508781 508781 6043890 449479 449479
r-654 21 0.266667 35 0.32605 1105749 5970558 1105749 6408003 1077732 1526362 9795277 1526362 1309872 4333108 1309872
r-788 41 0.297561 19 0.315789 9439183 640528 640528 9195288 681121 13898103 786989 786989 8024624 2865213 2865213
r-397 17 0.264706 18 0.24183 13743 15246 13743 14350 13069 17558 20676 17558 7089 14273 7089
r-766 14 0.362637 28 0.261905 2982 22813 2982 23386 2946 3531 29018 3531 911 29986 911
r-289 28 0.322751 49 0.307823 564804313 2094617046 564804313 2104790717 557464139 881784232 -1 881784232 1018879620 1936967551 1018879620
r-194 17 0.183824 31 0.286022 49574 388906 49574 411952 49451 56287 506380 56287 33241 406695 33241
r-830 18 0.287582 44 0.315011 80195 5580634 80195 5459917 79980 89121 7798877 89121 636164 3726317 636164
r-24 45 0.283838 17 0.360294 5475559 270151 270151 5386431 286299 7864940 312866 312866 3688768 349525 349525
r-476 23 0.296443 46 0.304348 28401467 84419783 28401467 82699274 28029879 39769528 136193556 39769528 18341170 76785314 18341170
r-633 38 0.285917 34 0.30303 1545753678 857390821 857390821 1570098913 877118830 -1 1498390025 1498390025 910890827 899857623 899857623
r-551 11 0.272727 44 0.294926 1 1 1 1 1 1 1 1 1 1 1
r-259 34 0.294118 20 0.336842 3210165 388130 388130 3144030 426119 5151882 504436 504436 2370479 557135 557135
r-297 10 0.377778 39 0.302294 1 1 1 1 1 1 1 1 1 1 1
r-823 27 0.276353 40 0.285897 33830017 79825635 33830017 84783265 32657936 51402559 135225756 51402559 25185295 90436495 25185295
r-588 38 0.273115 28 0.31746 145257074 49460699 49460699 145007837 54404786 259834330 78461891 78461891 128366312 78819117 78819117
r-950 38 0.312945 12 0.19697 1 1 1 1 1 1 1 1 1 1 1
r-197 32 0.272177 15 0.352381 220280 13429 13429 208630 14150 295219 14443 14443 134904 16864 16864
r-371 19 0.339181 32 0.284274 427536 2462099 427536 2323689 422907 545390 3847441 545390 478741 2143540 478741
r-444 30 0.335632 17 0.360294 1189250 229983 229983 1167386 242637 1903431 305988 305988 808826 181937 181937
r-410 22 0.34632 47 0.310823 14389533 73555670 14389533 73834752 14235120 19831561 120428765 19831561 17232927 67241111 17232927
r-978 30 0.305747 46 0.311111 626159819 1662357273 626159819 1713674599 613147035 1024144134 -1 1024144134 803222302 1504347713 803222302
r-910 20 0.331579 50 0.298776 2042592 22141824 2042592 21475510 2026477 2471201 32195996 2471201 1377105 19572739 1377105
r-993 40 0.307692 35 0.290756 1741168950 1706411140 1706411140 2090860316 1525102967 -1 -1 -1 2001404034 1629995804 1629995804
r-531 18 0.294118 22 0.363636 103717 131736 103717 152000 97792 148656 204540 148656 87290 110141 87290
r-26 42 0.315912 44 0.323467 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-838 31 0.27957 50 0.301224 2504087498 -1 2504087498 -1 2445022254 -1 -1 -1 -1 -1 -1
r-229 14 0.340659 15 0.32381 1981 2989 1981 2858 1727 2475 3966 2475 2331 2305 2331
r-714 42 0.310105 15 0.352381 603506 12307 12307 583350 13084 774263 12309 12309 450143 10242 10242
r-48 43 0.320044 48 0.326241 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-682 14 0.285714 38 0.3101 1 66281 1 64574 1 2 66282 2 1 54684 1
r-179 11 0.418182 24 0.289855 1 3674 1 3630 1 2 3675 2 1 10282 1
r-23 22 0.316017 15 0.257143 29111 8736 8736 29214 8081 40932 10246 10246 25578 7667 7667
r-598 44 0.321353 30 0.264368 894022115 571739954 571739954 1015273645 522915559 1615513656 956798762 956798762 900056266 593350701 593350701
r-922 24 0.307971 50 0.30449 41221101 281133815 41221101 278680962 40740711 58660590 464766557 58660590 74212746 272666070 74212746
r-147 10 0.244444 16 0.283333 1 780 1 774 1 2 781 2 1 666 1
r-277 20 0.326316 34 0.2959 1004744 3898435 1004744 3682837 983136 1341280 6335009 1341280 952233 3146081 952233
r-38 20 0.310526 40 0.3 3797973 21348317 3797973 20972834 3758605 5086831 33499591 5086831 5711804 17554583 5711804
r-790 18 0.326797 45 0.318182 677453 8996357 677453 8740923 674195 822340 13194113 822340 749187 6268423 749187
r-228 40 0.252564 14 0.252747 88089 1 1 84344 1 88090 2 2 74139 1 1
r-975 18 0.24183 35 0.322689 386233 2390237 386233 2448274 382108 462804 3437759 462804 323856 1780610 323856
r-630 15 0.285714 29 0.295567 18514 268544 18514 262892 18406 20288 372331 20288 18071 198570 18071
r-356 50 0.306122 33 0.329545 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-314 33 0.272727 28 0.224868 77077215 61944726 61944726 93669270 54042397 121381958 93540363 93540363 86103336 59624824 59624824
r-899 29 0.32266 25 0.31 17449550 11471468 11471468 17968541 10991801 30018567 18755886 18755886 15477205 10119997 10119997
r-350 34 0.315508 40 0.289744 862551048 1431600673 862551048 1496898136 840873930 1506152053 -1 1506152053 1097163102 1467691877 1097163102
r-890 15 0.32381 26 0.267692 7080 55317 7080 54617 7017 8181 79809 8181 5980 45471 5980
r-94 42 0.299652 42 0.29849 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-689 47 0.296022 20 0.252632 46841476 3842303 3842303 47149123 3913398 67636172 4813536 4813536 28239617 3140199 3140199
r-107 32 0.28629 31 0.255914 80896911 122299053 122299053 123017655 97680223 136145401 207682947 207682947 93494134 110195177 110195177
r-768 24 0.293478 17 0.330882 189511 47385 47385 174959 48275 300674 60897 60897 149960 51483 51483
r-842 21 0.328571 27 0.299145 1022732 1913983 1022732 1974580 1008772 1458422 3129649 1458422 1992641 1885792 1992641
r-358 34 0.304813 36 0.314286 913988863 1047361131 913988863 1181671166 849214535 1655387985 1921883843 1655387985 870780765 1037280995 870780765
r-377 44 0.310782 38 0.294452 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-532 29 0.317734 18 0.261438 520451 201398 201398 560654 180674 775097 248103 248103 697244 190986 190986
