instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-610 24 0.311594 33 0.897727 106549 140805 106549 106549 137754 119940 166638 230752 166638 166638 84329 157110 84329 84329
r-659 20 0.0947368 31 0.11828 1 641575 641575 1 623068 1 2 650303 650303 2 1 370508 370508 1
r-509 12 0.318182 45 0.710101 13895 89150 13895 13895 155308 13456 15499 126961 15499 15499 19898 108468 19898 19898
r-379 30 0.475862 29 0.704433 8220594 10060876 8220594 10060876 16300331 7860882 14838960 16502446 14838960 16502446 8924411 13299349 8924411 13299349
r-902 44 0.356237 23 0.980237 84639 3304771 84639 3304771 1014089 621487 170892 5208019 170892 5208019 426534 3652623 426534 3652623
r-544 35 0.448739 41 0.881707 4714541 14669134 4714541 4714541 7109699 6068851 8103769 21623648 8103769 8103769 3610523 11116136 3610523 3610523
r-761 21 0.12381 43 0.806202 80767 49309 49309 80767 103512 93762 159239 76842 76842 159239 54560 48949 48949 54560
r-588 15 0.457143 19 0.567251 13567 21833 13567 13567 28227 12382 18056 30863 18056 18056 8773 25793 8773 8773
r-146 16 0.183333 24 0.51087 82877 56087 56087 82877 128439 84794 126206 88346 88346 126206 98924 59232 59232 98924
r-531 36 0.109524 28 0.693122 637275 333231 333231 333231 1212981 332567 996190 551930 551930 551930 509847 566224 566224 566224
r-791 14 0.626374 27 0.105413 1274 7759 1274 1274 5806 1465 1656 10642 1656 1656 3196 11328 3196 3196
r-60 16 0.816667 48 0.58156 104883 2968302 2968302 104883 3394514 104883 104885 4007158 4007158 104885 85958 3731816 3731816 85958
r-453 40 0.425641 20 0.663158 6145457 4265771 6145457 4265771 8544702 4404402 9805816 6621858 9805816 6621858 12106795 5647132 12106795 5647132
r-156 42 0.110337 37 0.0465465 257769838 -1 257769838 -1 -1 -1 311399667 -1 311399667 -1 -1 -1 -1 -1
r-414 33 0.511364 24 0.0869565 188025 1323834 188025 1323834 665269 602141 323701 2090056 323701 2090056 348993 1675558 348993 1675558
r-407 47 0.544866 25 0.896667 7776069 10697038 7776069 10697038 23464996 6186685 10017542 18190758 10017542 18190758 8787202 15291334 8787202 15291334
r-39 43 0.112957 31 0.249462 452897347 7049245 7049245 7049245 341999536 13460569 607849807 9819242 9819242 9819242 701501548 46520394 46520394 46520394
r-227 41 0.662195 22 0.004329 115755 4862359 115755 4862359 4445501 602434 216261 7111845 216261 7111845 1427656 5376410 1427656 5376410
r-530 11 0.0363636 29 0.251232 1 81251 81251 1 81251 1 1 81251 81251 1 1 1 1 1
r-807 41 0.730488 46 0.519807 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-120 46 0.896618 17 0.0955882 10116 12343 10116 12343 18349 6591 18333 23815 18333 23815 9717 10276 9717 10276
r-202 10 0.288889 16 0.00833333 2564 19105 2564 2564 18613 2558 2754 23036 2754 2754 876 28167 876 876
r-183 38 0.504979 42 0.700348 936315899 1781678242 936315899 936315899 1498562776 1061055735 1854225235 -1 1854225235 1854225235 1125016837 1488613266 1125016837 1125016837
r-230 33 0.528409 14 0.296703 170760 30842 170760 30842 223165 35334 238980 35148 238980 35148 160808 37943 160808 37943
r-22 42 0.558653 27 0.866097 11558461 17378249 11558461 17378249 26194921 11590469 19718107 29223174 19718107 29223174 12888964 42504160 12888964 42504160
r-480 31 0.595699 44 0.859408 13613266 56530382 13613266 13613266 49229740 18506551 21914294 100203149 21914294 21914294 9997294 52624440 9997294 9997294
r-670 48 0.370567 30 0.921839 1809720 6829230 1809720 6829230 5355736 2964356 2985894 11388429 2985894 11388429 4090990 6648035 4090990 6648035
r-15 27 0.148148 30 0.54023 1945807 627583 627583 1945807 1192159 2574587 2864673 1042600 1042600 2864673 3066357 1088801 1088801 3066357
r-396 46 0.98744 32 0.383065 9986103 77341 77341 77341 11522416 621712 15152889 103695 103695 103695 10438128 923885 923885 923885
r-148 10 0.0666667 17 0.0294118 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r-764 16 0.741667 26 0.738462 4579 55022 55022 4579 55529 4504 5023 73190 73190 5023 5721 59698 59698 5721
r-975 10 0.111111 14 0.615385 632 361 361 632 595 586 976 608 608 976 805 833 833 805
r-832 40 0.120513 23 0.865613 75204 31747 31747 31747 121668 20407 117855 59173 59173 59173 46179 36714 36714 36714
r-742 35 0.989916 40 0.888462 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-420 34 0.666667 15 0.27619 160983 67321 160983 67321 253850 93859 238208 89983 238208 89983 183440 105443 183440 105443
r-784 49 0.355442 11 0.181818 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r-358 38 0.517781 14 0.791209 339653 74262 339653 74262 419969 69624 457579 85339 457579 85339 363794 13263 363794 13263
r-421 39 0.504723 21 0.32381 16443214 4945197 16443214 4945197 20415091 3233596 17841492 7722558 17841492 7722558 8552979 3244147 8552979 3244147
r-466 40 0.561538 21 0.695238 16229958 7497487 16229958 7497487 18578796 6732355 28344133 11688934 28344133 11688934 20451547 7848567 20451547 7848567
r-417 36 0.144444 45 0.374747 770407192 241585005 241585005 770407192 497397719 545984719 1281745449 411228014 411228014 1281745449 1338434522 556885356 556885356 1338434522
r-834 15 0.0571429 11 0.727273 835 166 166 166 1575 168 1468 364 364 364 876 141 141 141
r-814 32 0.219758 37 0.593093 18319844 13709201 13709201 18319844 20562507 20752964 29842283 24312634 24312634 29842283 29127353 17792055 17792055 29127353
r-78 29 0.389163 31 0.944086 52550 911161 52550 52550 178253 50398 89224 1302014 89224 89224 65848 242049 65848 65848
r-36 39 0.944669 29 0.253695 147523 64587 64587 64587 209766 44298 325767 102649 102649 102649 124704 39119 39119 39119
r-998 24 0.0181159 44 0.891121 65379 11367 11367 65379 53143 39341 145707 28772 28772 145707 52229 13072 13072 52229
r-904 21 0.338095 46 0.154589 214218 1646824 214218 214218 1571808 290514 278836 2479064 278836 278836 239274 1593086 239274 239274
r-140 22 0.614719 24 0.949275 27627 552409 27627 27627 433144 27767 37149 787065 37149 37149 65389 593751 65389 65389
r-99 22 0.688312 28 0.748677 547221 1993405 547221 547221 1860988 567164 782922 3198977 782922 782922 756346 2036719 756346 756346
r-26 47 0.641998 13 0.487179 319487 19910 19910 19910 336918 18558 396356 19912 19912 19912 381918 15617 15617 15617
r-877 26 0.110769 36 0.330159 7591584 4920142 4920142 7591584 10707534 6407519 11275689 7967058 7967058 11275689 9848252 9609071 9609071 9848252
r-656 22 0.246753 13 0.589744 11228 4965 4965 4965 16761 7311 14613 5994 5994 5994 19074 5394 5394 5394
r-261 19 0.853801 30 0.464368 88344 154098 154098 88344 171514 89034 140745 190658 190658 140745 130855 110488 110488 130855
r-801 32 0.780242 50 0.269388 12587542 14466920 14466920 12587542 24601448 16443524 20905672 23717849 23717849 20905672 14585282 18348848 18348848 14585282
r-879 43 0.978959 24 0.42029 13337083 24719 24719 24719 13388897 283829 17926236 33411 33411 33411 13003727 196190 196190 196190
r-560 46 0.26087 36 0.995238 224440 5893468 224440 5893468 8225318 403152 445564 11634261 445564 11634261 365504 5823172 365504 5823172
r-808 27 0.988604 20 0.542105 5297450 13604 13604 13604 4468486 13180 6308430 19630 19630 19630 5528176 192077 192077 192077
r-989 30 0.583908 11 0.436364 16844 1 1 1 16928 1 18096 2 2 2 15878 1 1 1
r-862 37 0.863363 36 0.336508 4807846 2067930 2067930 2067930 7521773 2908995 7826896 3686879 3686879 3686879 4584588 5084243 5084243 5084243
r-887 40 0.483333 29 0.657635 154888196 145423943 154888196 145423943 210746317 153378017 300087465 264709074 300087465 264709074 177096507 195955649 177096507 195955649
r-723 43 0.353267 18 0.928105 140602 149487 140602 149487 417532 140741 245834 249250 245834 249250 207690 200465 207690 200465
r-978 34 0.84492 38 0.44239 16602500 9661547 9661547 16602500 14611609 18624317 26332828 16852215 16852215 26332828 22252490 11602478 11602478 22252490
r-187 50 0.413878 25 0.633333 182390832 117073263 182390832 117073263 226733878 128548992 329559910 205597475 329559910 205597475 191240690 87721114 191240690 87721114
r-972 32 0.147177 17 0.272059 237624 9895 9895 9895 203220 17110 321018 11267 11267 11267 268137 27475 27475 27475
r-521 50 0.545306 47 0.543016 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-841 32 0.653226 49 0.577381 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-855 31 0.606452 38 0.0156472 46462 4459315 46462 46462 3641811 42313 78207 7278736 78207 78207 101929 5043059 101929 101929
r-310 34 0.105169 41 0.052439 2246315 1829912423 2246315 2246315 1736106770 2374775 2635164 1942216033 2635164 2635164 985428248 -1 985428248 985428248
r-75 13 0.692308 14 0.164835 543 669 543 543 802 550 857 1010 857 857 543 1042 543 543
r-441 48 0.0558511 34 0.445633 37323180 6508491 6508491 6508491 34991222 9613772 57708178 8870230 8870230 8870230 48425933 12188019 12188019 12188019
r-741 16 0.158333 41 0.913415 13529 15459 13529 13529 31753 17027 24106 23322 24106 24106 17555 23749 17555 17555
r-957 17 0.919118 34 0.292335 54542 33851 33851 54542 98551 54449 95513 53387 53387 95513 116734 47123 47123 116734
r-965 28 0.968254 13 0.24359 6203 925 925 925 7498 1859 11660 1963 1963 1963 7718 1061 1061 1061
r-27 38 0.732575 28 0.367725 6486294 8707219 8707219 8707219 11346772 5347512 10770239 14941913 14941913 14941913 9497368 5646420 5646420 5646420
r-781 18 0.96732 47 0.284921 222682 92517 92517 222682 342288 161946 409617 173744 173744 409617 323517 93791 93791 323517
r-355 31 0.0451613 33 0.278409 929406893 2286163 2286163 929406893 425632034 61992092 1169011595 3213379 3213379 1169011595 894100342 7103359 7103359 894100342
r-300 25 0.803333 30 0.383908 280482 684105 684105 280482 560683 333705 449785 1128404 1128404 449785 326830 418616 418616 326830
r-712 25 0.01 44 0.538055 110041585 1910642 1910642 110041585 86423031 48025755 159100170 3045172 3045172 159100170 118725440 6952062 6952062 118725440
r-638 15 0.733333 19 0.684211 7389 20021 20021 7389 21667 6739 9016 28194 28194 9016 8439 15143 15143 8439
r-639 13 0.794872 22 0.65368 1140 10198 10198 1140 10289 1140 1142 12962 12962 1142 1222 12925 12925 1222
r-340 11 0.927273 50 0.608163 1 207630 207630 1 200415 1 1 207630 207630 1 1 617998 617998 1
r-165 20 0.668421 35 0.715966 727937 4673584 727937 727937 4510164 708261 1001271 7516766 1001271 1001271 956063 4208874 956063 956063
r-481 22 0.350649 38 0.118065 353812 2709778 353812 353812 2533822 441174 474172 3938611 474172 474172 501118 3321888 501118 501118
r-973 41 0.112195 42 0.873403 612787 571715 571715 612787 870872 702743 1063130 1031193 1031193 1063130 903094 723977 723977 903094
r-502 23 0.0909091 36 0.815873 107351 78655 78655 107351 130292 113905 186076 120206 120206 186076 140441 126399 126399 140441
r-46 15 0.828571 17 0.764706 9579 7085 7085 9579 7935 9406 10875 8541 8541 10875 8517 14569 14569 8517
r-471 40 0.84359 45 0.940404 134759791 -1 134759791 134759791 -1 158473700 178453620 -1 178453620 178453620 2135672095 -1 2135672095 2135672095
r-219 24 0.98913 15 0.180952 6239 417 417 417 6808 1026 9436 1612 1612 1612 6931 1194 1194 1194
r-605 23 0.545455 44 0.552854 42522368 126219297 42522368 42522368 124924039 41580536 71020626 248024850 71020626 71020626 44261492 101886408 44261492 44261492
r-150 19 0.555556 49 0.447279 9721139 32811178 32811178 9721139 42558374 9565800 13761043 55080113 55080113 13761043 8967192 41189044 41189044 8967192
r-191 50 0.306939 40 0.0192308 522583948 -1 522583948 -1 -1 -1 694809753 -1 694809753 -1 -1 -1 -1 -1
r-85 14 0.725275 28 0.558201 28801 107318 107318 28801 119174 28422 33036 150311 150311 33036 25287 123938 123938 25287
r-515 32 0.780242 20 0.168421 45293 27120 45293 27120 96458 32001 67232 46896 67232 46896 54439 66574 54439 66574
r-794 46 0.91401 30 0.170115 201133 180628 180628 180628 308269 123999 312546 289306 289306 289306 251241 185620 185620 185620
