instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-342 34 0.427807 34 0.427807 3517208 1968339 2988241 3059881
r-218 44 0.206131 44 0.206131 -1 -1 -1 -1
r-895 24 0.15942 24 0.15942 -1 -1 -1 -1
r-554 34 0.470588 34 0.470588 20630781 61103196 15139220 15086571
r-649 35 0.494118 35 0.494118 35949044 9999649 28057087 28102635
r-501 30 0.48046 30 0.48046 2541888 12474104 2306630 2345153
r-252 45 0.438384 45 0.438384 132257174 77631440 122631367 125655489
r-224 41 0.42439 41 0.42439 -1 -1 -1 -1
r-978 38 0.308677 38 0.308677 -1 -1 -1 -1
r-915 30 0.370115 30 0.370115 4501756 15940544 3930049 3922493
r-108 22 0.246753 22 0.246753 1143112 175888464 1565 1565
r-903 45 0.353535 45 0.353535 -1 -1 3601806 3502405
r-875 26 0.0769231 26 0.0769231 -1 -1 -1 -1
r-963 30 0.287356 30 0.287356 6188639 3837909 5924088 6022613
r-90 37 0.153153 37 0.153153 146325662 71644738 135213679 143266896
r-28 34 0.336898 34 0.336898 1557779 5820648 1210463 1218199
r-46 18 0.503268 18 0.503268 12392 40967 8171 8361
r-959 16 0.5 16 0.5 1658 5743 1226 1291
r-117 42 0.511034 42 0.511034 687094826 373646379 609062109 602022509
r-93 19 0.280702 19 0.280702 16454 18118 13201 13383
r-655 20 0.268421 20 0.268421 9395 85945 8760 8760
r-610 16 0.4 16 0.4 6754 4743 5689 5922
r-783 38 0.443812 38 0.443812 14450790 62427509 6653701 6512967
r-438 16 0.533333 16 0.533333 8895 8930 7606 7539
r-833 22 0.246753 22 0.246753 7496 18724 6659 6474
r-14 30 0.370115 30 0.370115 1336978 5206140 775705 761617
r-92 37 0.348348 37 0.348348 8859317 279508743 8208374 8316508
r-248 33 0.344697 33 0.344697 1621687 15921950 149522 148987
r-326 32 0.225806 32 0.225806 -1 -1 -1 -1
r-393 17 0.382353 17 0.382353 2568 14808 1833 1804
r-664 19 0.51462 19 0.51462 66805 39709 56807 54835
r-594 34 0.515152 34 0.515152 39291768 16814621 32509268 31672989
r-727 41 0.512195 41 0.512195 472372553 264461419 433512239 432127018
