instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-565 49 0.5 49 0.5 760575164 801206420 493376210
r-853 28 0.42328 28 0.42328 2238865 1998868 1673962
r-420 47 0.388529 47 0.388529 939398 1097479 845922
r-825 35 0.393277 35 0.393277 27125 21909 22632
r-141 12 0.409091 12 0.409091 294 432 289
r-280 50 0.506939 50 0.506939 873600876 1069824048 669383679
r-912 14 0.263736 14 0.263736 467 735 462
r-297 34 0.486631 34 0.486631 23293182 30053403 16957203
r-757 17 0.308824 17 0.308824 2974 6651 2630
r-103 36 0.5 36 0.5 3687440 3848445 2595170
r-75 23 0.300395 23 0.300395 195 195 195
r-939 23 0.166008 23 0.166008 6901 10194 6069
r-379 17 0.308824 17 0.308824 144 157 155
r-41 36 0.436508 36 0.436508 46067 81171 39590
r-370 48 0.223404 48 0.223404 1622 1643 1612
r-335 37 0.153153 37 0.153153 738 707 705
r-991 22 0.415584 22 0.415584 114028 107482 92161
r-655 39 0.415655 39 0.415655 205622605 294406674 150555313
r-950 50 0.0783673 50 0.0783673 1278 1278 1278
r-139 28 0.388889 28 0.388889 3543 3219 2706
r-185 31 0.451613 31 0.451613 7359801 5936385 6202859
r-81 34 0.370766 34 0.370766 15721222 13968481 12329395
r-5 36 0.512698 36 0.512698 2800042 3465696 1067528
r-751 19 0.280702 19 0.280702 5795 16075 5088
r-713 21 0.514286 21 0.514286 6108 5257 4895
r-291 16 0.325 16 0.325 128 128 128
r-212 50 0.502857 50 0.502857 947647060 1031539222 698411974
r-706 44 0.359408 44 0.359408 26534 22189 19878
r-602 47 0.288622 47 0.288622 -1 -1 -1
r-251 42 0.371661 42 0.371661 288837850 414671841 249491750
r-209 19 0.491228 19 0.491228 688 634 583
r-351 21 0.0952381 21 0.0952381 252 252 252
r-724 17 0.485294 17 0.485294 578 651 527
r-372 18 0.424837 18 0.424837 7412 9878 5987
r-810 50 0.392653 50 0.392653 406532 289668 286485
r-897 45 0.0868687 45 0.0868687 1038 1038 1038
r-264 50 0.183673 50 0.183673 -1 -1 -1
r-785 19 0.280702 19 0.280702 179 179 179
r-242 27 0.262108 27 0.262108 463 455 428
r-660 23 0.403162 23 0.403162 669 773 618
r-123 23 0.498024 23 0.498024 234550 209263 146492
r-946 19 0.280702 19 0.280702 15810 425 14681
r-30 23 0.474308 23 0.474308 94013 107971 71853
r-850 34 0.258467 34 0.258467 7140101 8784928 6287168
r-722 33 0.515152 33 0.515152 922300 1345997 683474
r-821 32 0.120968 32 0.120968 3241336 51349600 4014025
r-963 25 0.48 25 0.48 469856 451488 360905
r-384 14 0.362637 14 0.362637 82 82 82
r-511 12 0.409091 12 0.409091 61 61 61
r-361 45 0.511111 45 0.511111 102362870 78230986 73244544
r-455 38 0.462304 38 0.462304 2815079 3167839 2239310
r-82 49 0.510204 49 0.510204 260543460 222281293 129867100
r-582 42 0.418118 42 0.418118 360472 272279 211585
r-311 44 0.332981 44 0.332981 -1 -1 -1
r-960 48 0.467199 48 0.467199 -1 -1 -1
r-436 37 0.279279 37 0.279279 1904 2292 1737
r-951 38 0.422475 38 0.422475 105729 64757 63830
r-31 44 0.426004 44 0.426004 912465 687535 654014
r-330 50 0.326531 50 0.326531 -1 -1 -1
r-701 26 0.443077 26 0.443077 6761 5011 4822
r-797 47 0.0425532 47 0.0425532 1175 1175 1175
r-551 21 0.52381 21 0.52381 34729 31601 24727
r-429 26 0.470769 26 0.470769 440610 458075 346908
r-747 39 0.510121 39 0.510121 40460666 34674281 21959346
r-727 26 0.212308 26 0.212308 292 292 292
r-110 18 0.366013 18 0.366013 9197 21347 8522
r-152 32 0.443548 32 0.443548 5971582 7244101 3289739
r-245 41 0.443902 41 0.443902 1636838 1463420 1055738
r-831 27 0.205128 27 0.205128 171791 386584 57026
r-423 13 0.384615 13 0.384615 71 71 71
r-536 22 0.454545 22 0.454545 112889 147662 92290
r-21 38 0.234708 38 0.234708 16237110 36225694 16117386
r-94 33 0.492424 33 0.492424 1425767 1171561 943400
r-739 37 0.279279 37 0.279279 1545 1750 1388
r-482 13 0.538462 13 0.538462 91 101 91
r-196 50 0.480816 50 0.480816 -1 1062176039 586184299
r-869 40 0.261538 40 0.261538 109022431 56028821 88706826
r-889 28 0.47619 28 0.47619 26238 27535 18415
