instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-235 23 0.0592885 23 0.0592885 175281 43270322 318015
r-601 15 0.0190476 15 0.0190476 113 108 114
r-963 38 0.253201 38 0.253201 -1 -1 -1
r-153 25 0.57 25 0.57 2782770 3118254 2499636
r-394 32 0.191532 32 0.191532 43171061 44028934 32731897
r-716 31 0.346237 31 0.346237 46666690 51408576 39934058
r-126 38 0.709815 38 0.709815 751133654 753915435 693880821
r-163 38 0.960171 38 0.960171 442017 8765814 439549
r-412 31 0.903226 31 0.903226 1543704 2901609 1307039
r-491 25 0.66 25 0.66 1767110 2562453 1410096
r-77 15 0.333333 15 0.333333 4410 5603 2860
r-318 24 0.663043 24 0.663043 524448 719807 393691
r-714 33 0.916667 33 0.916667 8346640 10748058 7628452
r-812 21 0.971429 21 0.971429 183 1281 184
r-56 15 0.590476 15 0.590476 6058 6773 5564
r-244 31 0.724731 31 0.724731 27017368 39127691 24091330
r-204 29 0.12069 29 0.12069 819412 1650939 882814
r-877 23 0.533597 23 0.533597 1697991 857939 1571633
r-811 38 0.675676 38 0.675676 680713859 925086804 609517515
r-898 35 0.909244 35 0.909244 4651507 11567775 3536553
r-416 20 0.105263 20 0.105263 1324 1005 944
r-712 30 0.855172 30 0.855172 5536914 6655562 4752039
r-730 26 0.418462 26 0.418462 2268437 2029940 2006183
r-193 19 0.865497 19 0.865497 4710 15730 6053
r-187 19 0.0409357 19 0.0409357 603683345 102587315 565213395
r-171 30 0.308046 30 0.308046 21260571 13252178 20311391
r-830 15 0.780952 15 0.780952 2273 6155 2182
r-697 39 0.681511 39 0.681511 -1 -1 -1
r-571 30 0.577011 30 0.577011 29012207 33248498 25786770
r-570 21 0.0285714 21 0.0285714 169 160 172
r-174 29 0.472906 29 0.472906 12758214 14243820 11475336
r-48 31 0.387097 31 0.387097 38734431 47263995 36215937
r-597 19 0.140351 19 0.140351 4206 6186 4012
r-816 30 0.666667 30 0.666667 12502912 12999071 11566334
r-405 28 0.21164 28 0.21164 5307206 3215164 4708143
r-317 29 0.438424 29 0.438424 12348873 17597917 11049769
r-606 16 0.483333 16 0.483333 19023 15660 17595
r-146 29 0.667488 29 0.667488 19695544 19625890 17742916
r-472 27 0.982906 27 0.982906 275 275 277
r-289 28 0.0925926 28 0.0925926 777497 727112 516923
r-608 34 0.185383 34 0.185383 66603033 104261548 64807037
r-657 28 0.814815 28 0.814815 5047773 7955053 4851658
r-796 36 0.184127 36 0.184127 335249696 294728683 308810707
r-685 30 0.475862 30 0.475862 25661536 34957335 23631058
r-841 21 0.147619 21 0.147619 5059 6937 5288
r-619 36 0.0238095 36 0.0238095 10288 -1 2799
r-721 35 0.757983 35 0.757983 126311481 207618315 113299177
r-849 25 0.786667 25 0.786667 356810 651963 317375
r-242 28 0.753968 28 0.753968 2616982 3838887 1986510
r-33 25 0.143333 25 0.143333 422609 496887 360864
r-324 18 0.0588235 18 0.0588235 681 126 679
r-539 38 0.702703 38 0.702703 -1 -1 600427305
r-585 29 0.221675 29 0.221675 5386623 7525545 4883741
r-888 34 0.112299 34 0.112299 7741428 7042303 5986893
