instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-673 48 0.304965 20 0.294737 6905964 2799532 2799532 7058963 2906660 10243785 3758652 3758652 7780750 16583800 16583800
r-658 49 0.291667 41 0.278049 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-984 37 0.291291 32 0.310484 205990211 126168456 126168456 222297927 129378091 383791425 223976168 223976168 249645385 442510161 442510161
r-260 31 0.268817 44 0.300211 566302617 463053121 566302617 513382391 521325025 -1 -1 -1 1119337914 -1 1119337914
r-130 42 0.29036 41 0.286585 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-319 15 0.247619 13 0.358974 1232 221 221 1117 258 1938 315 315 1464 1237 1237
r-756 27 0.31339 24 0.336957 1514244 1353510 1353510 1582403 1447937 2587131 2132709 2132709 1921077 1569757 1569757
r-560 22 0.272727 33 0.295455 2341268 4606079 2341268 4843759 2265851 3523943 7502047 3523943 5174622 4649074 5174622
r-463 11 0.272727 28 0.272487 847 3772 847 3589 848 777 3745 777 1148 2944 1148
r-602 42 0.308943 48 0.305851 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-134 42 0.293844 17 0.257353 886582 477368 477368 868275 508381 1185899 584355 584355 838766 632909 632909
r-231 39 0.278003 17 0.286765 699708 128709 128709 668138 142130 954287 158284 158284 314212 121973 121973
r-858 44 0.313953 10 0.4 82 143 143 81 144 96 121 121 1150 536 536
r-571 38 0.317212 27 0.301994 30839805 54858434 54858434 33014177 55567186 55963426 93484403 93484403 76714861 127835140 127835140
r-893 22 0.298701 33 0.3125 2333168 3815117 2333168 3972707 2178248 3471806 6261897 3471806 6856947 3766899 6856947
r-27 31 0.301075 39 0.303644 169492899 243162368 169492899 267639934 158538114 301943528 446490215 301943528 213210864 402777789 213210864
r-109 19 0.327485 37 0.283784 229222 900835 229222 870257 219743 308092 1306564 308092 373750 918636 373750
