instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-176 22 0.82684 17 0.220588 867 729 729 729 992 5148 1086 1278 1278 1278 5017 1322 1322 1322
r-36 39 0.944669 29 0.253695 10114 4123 4123 4123 12223 68982 18892 1437 1437 1437 11846 15561 15561 15561
r-904 21 0.338095 46 0.154589 122476 740139 122476 122476 708374 264634 112053 926645 112053 112053 176989 628660 176989 176989
r-805 41 0.597561 30 0.611494 107619792 182589397 107619792 182589397 113719953 171863933 218604331 371942590 218604331 371942590 203261561 196499997 203261561 196499997
r-740 18 0.333333 43 0.869324 10115 11658 10115 10115 124476 20533 15469 15558 15469 15469 32130 22989 32130 32130
r-385 40 0.661538 50 0.0171429 6319 1396594 6319 6319 1544579 3307 8053 2405627 8053 8053 107954 1329871 107954 107954
r-379 30 0.475862 29 0.704433 695945 1441823 695945 1441823 1481700 5118354 1083312 2181288 1083312 2181288 4424275 3017052 4424275 3017052
r-421 39 0.504723 21 0.32381 3460771 3097554 3460771 3097554 4284676 7193213 2269048 4611760 2269048 4611760 5498079 6648835 5498079 6648835
r-860 49 0.951531 23 0.960474 145 255 145 255 145 255 171 255 171 255 288 583 288 583
r-734 38 0.403983 50 0.98449 29694 3459030 29694 29694 3617141 24340 58494 3987710 58494 58494 725829 3149961 725829 725829
r-178 38 0.364154 33 0.668561 5430781 8911910 5430781 8911910 7884769 34761225 8765765 15922748 8765765 15922748 35316450 26906583 35316450 26906583
r-173 32 0.885081 41 0.209756 17892 14681 14681 17892 390268 19169 22267 21082 21082 22267 86880 115906 115906 86880
r-383 29 0.339901 24 0.0724638 14378 2740150 14378 2740150 52649 631068 19049 3661879 19049 3661879 496965 13741980 496965 13741980
r-847 34 0.641711 13 0.0512821 854 21315 854 21315 1978 32040 507 33640 507 33640 16326 41727 16326 41727
r-318 17 0.220588 16 0.208333 706 1047 706 1047 763 820 609 1061 609 1061 2402 4261 2402 4261
r-706 49 0.344388 41 0.113415 132108102 -1 132108102 -1 -1 2042278966 193024058 -1 193024058 -1 1233217572 -1 1233217572 -1
r-351 40 0.312821 28 0.00793651 3839538 -1 3839538 -1 -1 -1 4372932 -1 4372932 -1 -1 -1 -1 -1
r-222 18 0.477124 31 0.277419 62334 285636 62334 62334 276429 69467 95443 509889 95443 95443 244675 65585 244675 244675
r-147 22 0.502165 25 0.356667 320579 211877 320579 320579 669670 297431 530134 316709 530134 530134 588980 752082 588980 588980
r-137 22 0.930736 21 0.780952 36284809 9402 9402 9402 22664625 10638 2813185 347 347 347 7176869 3868361 3868361 3868361
r-24 22 0.995671 12 0.106061 96 25 25 25 91 526 299 230 230 230 102 70 70 70
r-187 50 0.413878 25 0.633333 10881334 49534910 10881334 49534910 12617051 132205569 15722087 85990531 15722087 85990531 80765588 142309048 80765588 142309048
r-227 41 0.662195 22 0.004329 3699 1281771 3699 1281771 25227 70008 3470 1833720 3470 1833720 18615 1389336 18615 1389336
r-370 10 0.288889 44 0.571882 1031 1674 1674 1031 1775 1018 782 1603 1603 782 26720 24057 24057 26720
r-195 19 0.824561 47 0.376503 140844 56365 56365 140844 1363362 180054 214077 81246 81246 214077 355459 184617 184617 355459
r-688 26 0.301538 10 0.888889 28 2447 28 2447 24 4298 88 3768 88 3768 3209 5292 3209 5292
r-136 14 0.593407 50 0.559184 634316 336951 336951 634316 340481 633064 732705 422449 422449 732705 819194 419453 419453 819194
r-629 42 0.61324 30 0.491954 73431692 77469254 77469254 77469254 83306297 258141469 131917784 150217447 150217447 150217447 118700269 216947711 216947711 216947711
r-519 24 0.684783 49 0.791667 3276634 20936746 3276634 3276634 19765093 3441194 4929429 34300433 4929429 4929429 26579182 14222807 26579182 26579182
r-924 43 0.593577 16 0.241667 33642 124317 33642 124317 62558 574882 46742 177240 46742 177240 346765 345786 346765 345786
r-656 22 0.246753 13 0.589744 1061 1167 1167 1167 1510 15714 1329 1542 1542 1542 2706 14228 14228 14228
r-747 14 0.153846 43 0.766334 6199 5153 5153 6199 32120 9614 11994 1586 1586 11994 23551 10114 10114 23551
r-174 23 0.383399 12 0.439394 3888 4460 4460 4460 3783 4230 4777 5266 5266 5266 12275 9768 9768 9768
r-750 22 0.00865801 40 0.0551282 -1 58359073 58359073 -1 -1 -1 -1 58269460 58269460 -1 395 299 299 395
r-511 12 0.378788 33 0.0719697 562 6219 562 562 5344 646 590 8830 590 590 2282 1596 2282 2282
r-959 29 0.103448 45 0.779798 48853 8110 8110 48853 561454 41572 76916 11085 11085 76916 456209 167790 167790 456209
r-38 13 0.897436 33 0.268939 6538 1643 1643 6538 29268 5201 11956 2073 2073 11956 14152 8784 8784 14152
r-444 17 0.330882 15 0.714286 1448 884 1448 884 1949 11941 2045 1125 2045 1125 6143 3090 6143 3090
r-645 38 0.250356 46 0.294686 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-465 13 0.102564 10 0.0666667 843 1730 843 1730 2725 864 839 1725 839 1725 110 84 110 84
r-658 46 0.730435 15 0.133333 1618 18831 1618 18831 1831 92124 1935 35512 1935 35512 12230 60161 12230 60161
r-646 41 0.203659 40 0.573077 18358620 10453635 10453635 10453635 25963941 67471402 29435146 18883118 18883118 18883118 64803727 30895618 30895618 30895618
r-919 40 0.107692 40 0.958974 1368 4300 1368 1368 45044 925 1591 10996 1591 1591 4736 11029 4736 4736
r-678 46 0.0396135 45 0.234343 -1 13388006 13388006 13388006 -1 13553237 -1 15484372 15484372 15484372 -1 457817326 457817326 457817326
r-972 32 0.147177 17 0.272059 135258 14692 14692 14692 121691 23139 176720 18059 18059 18059 65090 228633 228633 228633
r-77 22 0.852814 26 0.938462 25947 9203770 25947 25947 8485156 23234 11096 9298790 11096 11096 374617 20660781 374617 374617
r-478 32 0.959677 49 0.546769 362480491 598455 598455 362480491 9800817 23997171 511142946 388271 388271 511142946 367746037 5249278 5249278 367746037
r-257 21 0.457143 44 0.954545 15905 107540 15905 15905 68760 17724 8018 91768 8018 8018 32200 94967 32200 32200
r-677 11 0.327273 47 0.513414 102 4756 4756 102 38 102 100 4455 4455 100 37360 27813 27813 37360
r-58 22 0.541126 43 0.54485 29015242 15851663 29015242 29015242 15995596 28164005 51518712 28702207 51518712 51518712 39741503 26567688 39741503 39741503
r-752 48 0.211879 15 0.790476 791 9208 791 9208 1058 63834 1126 17673 1126 17673 4392 56955 4392 56955
r-185 43 0.0808416 50 0.145306 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-360 10 0.511111 34 0.672014 238 152 238 238 151 238 227 164 227 227 977 1874 977 977
r-819 41 0.218293 22 0.580087 164216 115751 115751 115751 226910 2860690 227376 172439 172439 172439 318986 168944 168944 168944
r-877 26 0.110769 36 0.330159 8641308 853779 853779 8641308 1699987 7276406 14048059 1188257 1188257 14048059 17909951 3243360 3243360 17909951
r-587 42 0.566783 42 0.578397 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-507 35 0.146218 42 0.0801394 10022700 -1 10022700 10022700 932412329 24403406 12040453 -1 12040453 12040453 2403570186 -1 2403570186 2403570186
r-398 43 0.438538 46 0.397101 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-832 40 0.120513 23 0.865613 2629 4155 4155 4155 3223 61957 4149 4720 4720 4720 32665 27828 27828 27828
r-439 26 0.910769 20 0.515789 71451 2359 2359 2359 67431 2214 103815 3245 3245 3245 41869 32823 32823 32823
r-275 43 0.570321 48 0.633865 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-292 23 0.304348 45 0.0737374 14603 2534406 14603 14603 2523313 34755 19054 3174443 19054 19054 57280 3481501 57280 57280
r-329 16 0.266667 10 0.733333 61 110 110 110 90 852 112 200 200 200 510 444 444 444
r-430 18 0.601307 40 0.00384615 147 330862 147 147 290617 137 533 475197 533 533 34611 324316 34611 34611
r-575 13 0.0384615 33 0.535985 81862 7026 7026 81862 236698 56316 117921 3065 3065 117921 160034 10695 10695 160034
r-775 24 0.644928 33 0.587121 4032768 1523324 1523324 4032768 1735780 3735260 7330383 2645004 2645004 7330383 6860130 4922531 4922531 6860130
r-669 50 0.0555102 12 0.393939 5077 6128 6128 6128 3921 10658 5262 1129 1129 1129 2310 10281 10281 10281
r-668 30 0.117241 24 0.768116 6313 9468 9468 9468 7716 46695 3337 4868 4868 4868 6678 14699 14699 14699
r-412 11 0.218182 16 0.633333 1051 398 398 1051 4091 1109 1462 466 466 1462 2852 551 551 2852
r-906 34 0.206774 18 0.398693 327956 40433 40433 40433 299943 66692 518586 58257 58257 58257 122173 172563 172563 172563
r-578 40 0.487179 41 0.0780488 641737 8928376 641737 641737 9000984 689734 1012358 14559176 1012358 1012358 9981513 16859086 9981513 9981513
r-679 35 0.447059 49 0.259354 326800435 -1 326800435 326800435 1110762686 433999578 616556129 -1 616556129 616556129 931171950 800140279 931171950 931171950
r-790 25 0.696667 45 0.773737 10142736 40304683 10142736 10142736 37262260 11032671 15093473 64392450 15093473 15093473 56769928 33335495 56769928 56769928
r-56 10 0.2 28 0.769841 1079 93 93 1079 3254 1243 1770 131 131 1770 6219 264 264 6219
r-888 29 0.82266 42 0.878049 6270783 87919971 6270783 6270783 78645174 9124306 7506207 117888892 7506207 7506207 32098615 280005774 32098615 32098615
r-151 48 0.261525 29 0.46798 160821808 18414174 18414174 18414174 151737023 29370119 318913669 31924448 31924448 31924448 70117809 271791580 271791580 271791580
r-552 26 0.304615 12 0.575758 1957 10814 10814 10814 2175 26018 1846 15155 15155 15155 7008 20124 20124 20124
r-186 46 0.0309179 20 0.457895 248801 6381 6381 6381 245829 8808 336103 2498 2498 2498 131777 34759 34759 34759
r-474 31 0.462366 37 0.651652 40639503 25741791 40639503 40639503 127420612 43900272 80141567 45082565 80141567 80141567 73768511 51284841 73768511 73768511
r-27 38 0.732575 28 0.367725 489599 813678 813678 813678 731279 4873328 723503 1284209 1284209 1284209 6723394 4244179 4244179 4244179
