instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-342 34 0.427807 34 0.427807 1812 2455 2225 1872
r-218 44 0.206131 44 0.206131 1000000 1000000 1000000 1000000
r-895 24 0.15942 24 0.15942 1000000 1000000 1000000 1000000
r-554 34 0.470588 34 0.470588 65587 62645 58479 58502
r-649 35 0.494118 35 0.494118 20867 23457 18813 19147
r-501 30 0.48046 30 0.48046 5583 7394 5497 5675
r-252 45 0.438384 45 0.438384 77875 102813 83249 86739
r-224 41 0.42439 41 0.42439 1000000 1000000 1000000 1000000
r-978 38 0.308677 38 0.308677 1000000 1000000 1000000 1000000
r-915 30 0.370115 30 0.370115 17150 15926 15542 15818
r-108 22 0.246753 22 0.246753 474993 367397 29106 20120
r-903 45 0.353535 45 0.353535 1000000 1000000 230034 197697
r-875 26 0.0769231 26 0.0769231 1000000 1000000 1000000 1000000
r-963 30 0.287356 30 0.287356 3690 4715 3451 3611
r-90 37 0.153153 37 0.153153 54596 128543 53078 57218
r-28 34 0.336898 34 0.336898 1754 165322 1840 1451
r-46 18 0.503268 18 0.503268 31 27 27 17
r-959 16 0.5 16 0.5 4 2 3 3
r-117 42 0.511034 42 0.511034 807875 755436 793424 818313
r-93 19 0.280702 19 0.280702 11 8 10 10
r-655 20 0.268421 20 0.268421 31 2610 16 30
r-610 16 0.4 16 0.4 3 4 4 4
r-783 38 0.443812 38 0.443812 33418 25594 20178 19877
r-438 16 0.533333 16 0.533333 5 5 2 4
r-833 22 0.246753 22 0.246753 49 48 75 75
r-14 30 0.370115 30 0.370115 8636 4752 7052 6902
r-92 37 0.348348 37 0.348348 2908 292875 2896 3006
r-248 33 0.344697 33 0.344697 140598 25038 12692 10360
r-326 32 0.225806 32 0.225806 1000000 1000000 1000000 1000000
r-393 17 0.382353 17 0.382353 10 6 8 8
r-664 19 0.51462 19 0.51462 43 53 63 64
r-594 34 0.515152 34 0.515152 41085 39109 40112 42437
r-727 41 0.512195 41 0.512195 453340 409739 457827 470845
r-628 33 0.435606 33 0.435606 53056 49403 48335 48757
r-353 27 0.433048 27 0.433048 365 345 165 170
r-981 22 0.506494 22 0.506494 147 116 149 100
r-877 38 0.371266 38 0.371266 356699 272739 298512 297475
r-279 37 0.198198 37 0.198198 1000000 1000000 1000000 1000000
r-696 38 0.341394 38 0.341394 1444 1000000 1379 1420
r-620 17 0.382353 17 0.382353 7 12 6 6
r-862 37 0.378378 37 0.378378 255430 204495 219149 234920
r-997 41 0.497561 41 0.497561 1000000 1000000 1000000 1000000
r-829 25 0.52 25 0.52 535 498 534 619
r-329 17 0.117647 17 0.117647 64364 1000000 63981 63394
r-794 19 0.45614 19 0.45614 7 9 9 10
r-891 32 0.443548 32 0.443548 1626 1601 1579 1756
r-44 45 0.0868687 45 0.0868687 1000000 1000000 1000000 1000000
r-183 24 0.431159 24 0.431159 202 74 97 95
r-712 45 0.20202 45 0.20202 1000000 1000000 1000000 1000000
r-697 44 0.459831 44 0.459831 1000000 1000000 1000000 1000000
r-546 18 0.529412 18 0.529412 21 19 30 19
r-872 37 0.348348 37 0.348348 431606 340884 365140 365558
r-831 26 0.470769 26 0.470769 596 236 300 300
r-542 34 0.258467 34 0.258467 48766 52526 37240 37861
r-863 19 0.51462 19 0.51462 35 19 20 34
r-214 29 0.295567 29 0.295567 6470 5423 5239 5463
r-264 24 0.431159 24 0.431159 725 759 652 708
r-405 42 0.315912 42 0.315912 1000000 1000000 999891 760753
r-419 45 0.4 45 0.4 58208 130642 56191 59118
r-180 36 0.157143 36 0.157143 118825 85536 89650 87859
r-166 32 0.225806 32 0.225806 5924 4725 3601 3938
r-96 28 0.507937 28 0.507937 880 1068 855 929
r-277 34 0.499109 34 0.499109 15234 15216 13308 13588
r-660 34 0.370766 34 0.370766 73375 62987 63149 63444
r-449 40 0.328205 40 0.328205 8019 1000000 8953 9384
r-647 45 0.454545 45 0.454545 274297 314116 266000 274837
r-938 42 0.437863 42 0.437863 1000000 1000000 1000000 1000000
r-371 23 0.498024 23 0.498024 133 229 156 151
r-82 44 0.241015 44 0.241015 1000000 1000000 1000000 1000000
r-618 27 0.358974 27 0.358974 1672 1582 1281 1288
r-966 17 0.308824 17 0.308824 5 2 2 2
r-695 19 0.526316 19 0.526316 24 24 24 24
r-776 38 0.102418 38 0.102418 20915 17561 13214 12575
r-824 38 0.422475 38 0.422475 447045 392688 396587 397964
r-562 24 0.0833333 24 0.0833333 1000000 1000000 1000000 1000000
r-700 40 0.511538 40 0.511538 277055 237408 278822 287952
r-418 44 0.494715 44 0.494715 524226 510245 467630 482445
r-498 45 0.29899 45 0.29899 63932 1000000 64954 65006
r-32 25 0.38 25 0.38 590 679 615 667
r-884 25 0.22 25 0.22 110 224 105 183
r-471 41 0.095122 41 0.095122 1000000 1000000 1000000 1000000
r-748 38 0.512091 38 0.512091 313426 288652 292672 297324
r-943 37 0.348348 37 0.348348 1671 431967 1765 1484
r-922 17 0.485294 17 0.485294 9 8 7 4
r-223 30 0.128736 30 0.128736 2146 748 923 1022
r-930 26 0.52 26 0.52 675 992 693 892
r-847 19 0.280702 19 0.280702 168112 126390 19938 15451
r-333 26 0.0769231 26 0.0769231 1000000 1000000 1000000 1000000
r-182 35 0.329412 35 0.329412 63234 45768 61745 63513
r-365 44 0.426004 44 0.426004 61423 76519 70502 73686
r-947 20 0.189474 20 0.189474 992609 933450 79524 57942
r-720 32 0.465726 32 0.465726 1803 1765 1261 1380
r-267 45 0.4 45 0.4 493334 167131 104856 96115
r-989 34 0.40107 34 0.40107 2252 152039 2217 2369
r-172 34 0.45098 34 0.45098 4126 3846 3270 3127
r-184 40 0.492308 40 0.492308 735213 686998 654634 658293
r-708 25 0.08 25 0.08 1000000 1000000 1000000 1000000
r-447 42 0.511034 42 0.511034 566671 493749 566221 582775
r-153 29 0.246305 29 0.246305 8874 1000000 8266 8287
r-7 16 0.5 16 0.5 3 2 3 1
r-317 31 0.511828 31 0.511828 9469 8663 8528 8789
r-528 35 0.443697 35 0.443697 108183 107935 99998 102533
r-331 43 0.511628 43 0.511628 850215 805222 783234 784435
r-237 31 0.27957 31 0.27957 13346 16646 12553 13732
r-437 27 0.461538 27 0.461538 1941 1688 1747 1639
r-140 25 0.153333 25 0.153333 1000000 1000000 1000000 1000000
r-491 36 0.488889 36 0.488889 20211 19975 15972 15748
r-676 26 0.409231 26 0.409231 580 234 304 225
r-733 37 0.405405 37 0.405405 385183 391995 367442 377488
r-468 39 0.145749 39 0.145749 900960 400171 608560 556757
r-991 21 0.32381 21 0.32381 57 55 71 44
r-296 20 0.478947 20 0.478947 47 32 36 22
r-370 37 0.405405 37 0.405405 7211 15143 7262 7939
r-644 42 0.214866 42 0.214866 1000000 1000000 1000000 1000000
r-826 33 0.503788 33 0.503788 25772 21805 23710 23307
r-211 34 0.508021 34 0.508021 22623 25045 23178 24370
r-47 26 0.492308 26 0.492308 1000 1177 909 976
r-110 42 0.214866 42 0.214866 714218 519994 493425 479635
r-782 25 0.333333 25 0.333333 27 3928 24 25
r-420 35 0.329412 35 0.329412 1000000 1000000 354336 255347
r-885 28 0.452381 28 0.452381 3646 3609 3282 3297
r-348 36 0.512698 36 0.512698 135955 119533 126690 128775
r-24 36 0.512698 36 0.512698 66207 67734 68862 72606
r-900 22 0.52381 22 0.52381 176 98 162 156
r-289 38 0.398293 38 0.398293 345638 357417 336304 349295
r-412 23 0.442688 23 0.442688 384 202 249 279
r-879 26 0.323077 26 0.323077 426 639 458 484
r-500 43 0.310078 43 0.310078 65178 1000000 66967 68373
r-540 35 0.504202 35 0.504202 77135 68849 71791 73147
r-979 21 0.495238 21 0.495238 48 79 36 35
r-254 27 0.501425 27 0.501425 999 1317 1033 1124
r-20 26 0.470769 26 0.470769 481 523 323 497
r-1000 44 0.30444 44 0.30444 1000000 1000000 1000000 1000000
r-79 29 0.339901 29 0.339901 5917 6647 5078 5144
r-440 22 0.506494 22 0.506494 108 89 103 66
r-188 28 0.349206 28 0.349206 4386 4583 3823 4412
r-867 24 0.507246 24 0.507246 241 130 241 165
