instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-815 16 0.525 16 0.525 1 1 1
r-929 18 0.111111 18 0.111111 0 0 0
r-935 18 0.522876 18 0.522876 1 1 0
r-208 13 0.384615 13 0.384615 1 1 1
r-346 20 0.189474 20 0.189474 0 0 0
r-970 33 0.265152 33 0.265152 0 0 0
r-997 21 0.32381 21 0.32381 0 0 0
r-773 30 0.508046 30 0.508046 913 846 732
r-524 40 0.507692 40 0.507692 20749 19104 17160
r-799 20 0.336842 20 0.336842 10 11 5
r-595 30 0.517241 30 0.517241 167 89 79
r-744 24 0.507246 24 0.507246 96 73 131
r-289 38 0.398293 38 0.398293 130755 125194 116217
r-233 13 0.153846 13 0.153846 0 0 0
r-654 13 0.512821 13 0.512821 0 0 0
r-259 49 0.219388 49 0.219388 1 1 1
r-598 29 0.487685 29 0.487685 1642 1585 1434
r-181 49 0.484694 49 0.484694 46170 53968 36346
r-475 13 0.538462 13 0.538462 0 0 0
r-246 27 0.39886 27 0.39886 0 0 0
r-409 44 0.510571 44 0.510571 44274 45777 35943
r-747 39 0.510121 39 0.510121 21120 20887 16098
r-743 23 0.403162 23 0.403162 114 89 85
r-496 44 0.502114 44 0.502114 166245 145849 132826
r-925 14 0.43956 14 0.43956 0 0 0
r-620 23 0.442688 23 0.442688 46 39 24
r-725 17 0.220588 17 0.220588 1 1 2
r-589 41 0.139024 41 0.139024 0 0 0
r-901 42 0.250871 42 0.250871 221291 265116 194405
r-192 45 0.353535 45 0.353535 13 14 12
r-770 28 0.515873 28 0.515873 150 82 128
r-736 50 0.372245 50 0.372245 1000000 1000000 1000000
r-798 43 0.389812 43 0.389812 1000000 1000000 954754
r-13 42 0.250871 42 0.250871 0 0 0
r-439 18 0.424837 18 0.424837 10 5 8
r-236 49 0.079932 49 0.079932 1000000 1000000 751418
r-568 44 0.502114 44 0.502114 141738 205752 119870
r-616 38 0.512091 38 0.512091 16336 26758 14663
r-372 18 0.424837 18 0.424837 6 5 8
r-347 11 0.436364 11 0.436364 0 0 0
r-910 33 0.503788 33 0.503788 3575 5067 3109
r-453 39 0.415655 39 0.415655 99 82 74
r-364 32 0.175403 32 0.175403 0 0 0
r-1000 38 0.371266 38 0.371266 13 12 6
r-472 32 0.443548 32 0.443548 5576 4301 4383
r-802 15 0.47619 15 0.47619 1 1 1
r-850 34 0.258467 34 0.258467 17276 21358 14495
r-58 39 0.391363 39 0.391363 14 14 7
r-55 49 0.44898 49 0.44898 7946 10675 8482
r-627 18 0.503268 18 0.503268 17 12 6
r-940 24 0.507246 24 0.507246 22 9 21
r-883 32 0.225806 32 0.225806 2990 3296 2586
r-854 10 0.466667 10 0.466667 0 0 0
r-768 25 0.28 25 0.28 116 68 93
r-573 25 0.28 25 0.28 0 0 0
r-571 23 0.403162 23 0.403162 0 0 0
r-162 35 0.161345 35 0.161345 2834 4041 2145
r-605 12 0.484848 12 0.484848 0 0 0
r-724 17 0.485294 17 0.485294 0 0 0
r-542 40 0.05 40 0.05 0 0 0
r-291 16 0.325 16 0.325 0 0 0
r-74 10 0.355556 10 0.355556 0 0 0
r-534 16 0.533333 16 0.533333 0 0 0
r-114 11 0.436364 11 0.436364 0 0 0
r-445 43 0.48948 43 0.48948 143580 125071 106065
r-324 36 0.5 36 0.5 651 695 385
r-509 11 0.509091 11 0.509091 0 0 0
r-131 15 0.514286 15 0.514286 1 0 1
r-8 10 0.2 10 0.2 0 0 0
r-686 47 0.492137 47 0.492137 343072 292063 251677
r-902 34 0.213904 34 0.213904 6509 6360 5673
r-722 33 0.515152 33 0.515152 670 917 593
r-488 38 0.371266 38 0.371266 156513 150013 134694
r-676 47 0.471785 47 0.471785 726342 595022 568972
r-184 34 0.513369 34 0.513369 820 873 1037
r-920 23 0.474308 23 0.474308 124 158 133
r-60 49 0.505102 49 0.505102 179122 146334 83700
r-737 24 0.431159 24 0.431159 0 0 0
r-396 30 0.287356 30 0.287356 0 0 0
r-315 21 0.380952 21 0.380952 0 0 0
r-123 23 0.498024 23 0.498024 137 105 59
r-450 13 0.538462 13 0.538462 0 0 0
r-49 46 0.347826 46 0.347826 17 7 14
r-644 19 0.409357 19 0.409357 0 0 0
r-399 10 0.555556 10 0.555556 0 0 0
r-354 28 0.515873 28 0.515873 216 140 120
r-180 39 0.48583 39 0.48583 44299 35358 34349
r-393 37 0.378378 37 0.378378 6 14 9
r-965 30 0.186207 30 0.186207 153 250 92
r-848 48 0.478723 48 0.478723 1000000 951238 854272
r-137 17 0.514706 17 0.514706 0 1 0
r-247 21 0.257143 21 0.257143 23 23 28
r-252 20 0.268421 20 0.268421 0 0 0
r-591 37 0.24024 37 0.24024 30574 39798 25584
r-389 18 0.503268 18 0.503268 5 4 2
r-19 24 0.463768 24 0.463768 209 147 212
r-960 48 0.467199 48 0.467199 1000000 1000000 1000000
r-551 21 0.52381 21 0.52381 21 10 10
r-977 12 0.530303 12 0.530303 0 0 0
r-282 21 0.380952 21 0.380952 0 0 0
r-175 22 0.17316 22 0.17316 0 0 0
r-461 47 0.388529 47 0.388529 662 530 441
r-692 29 0.487685 29 0.487685 1499 1375 1160
r-272 39 0.48583 39 0.48583 23789 21092 18037
r-191 28 0.47619 28 0.47619 1651 1332 1331
r-779 21 0.466667 21 0.466667 51 45 26
r-67 25 0.333333 25 0.333333 82 103 104
r-783 30 0.434483 30 0.434483 8 10 6
r-203 33 0.117424 33 0.117424 1395 2801 1393
r-648 13 0.512821 13 0.512821 0 0 0
r-952 48 0.467199 48 0.467199 1000000 1000000 1000000
r-527 50 0.392653 50 0.392653 589 618 488
r-452 28 0.507937 28 0.507937 53 46 77
r-149 12 0.166667 12 0.166667 0 0 0
r-256 15 0.247619 15 0.247619 0 0 0
r-310 32 0.417339 32 0.417339 9 8 4
r-2 34 0.336898 34 0.336898 0 0 0
r-187 38 0.234708 38 0.234708 64573 61320 58332
r-408 18 0.522876 18 0.522876 1 2 1
r-757 17 0.308824 17 0.308824 3 5 2
