instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-444 20 0.347368 20 0.347368 59 101 54
r-689 32 0.65121 32 0.65121 60797 62143 56306
r-113 26 0.215385 26 0.215385 980 837 557
r-236 18 0.163399 18 0.163399 0 0 0
r-634 32 0.106855 32 0.106855 452 634 413
r-803 22 0.337662 22 0.337662 124 155 168
r-962 19 0.298246 19 0.298246 21 21 19
r-630 38 0.877667 38 0.877667 145845 197981 130329
r-781 15 0.133333 15 0.133333 0 0 0
r-711 28 0.0529101 28 0.0529101 70 58 25
r-868 40 0.234615 40 0.234615 1000000 1000000 1000000
r-85 40 0.0948718 40 0.0948718 265250 428582 230263
r-86 35 0.744538 35 0.744538 191858 177853 184043
r-170 26 0.612308 26 0.612308 3495 3586 3220
r-846 34 0.0909091 34 0.0909091 2296 3876 2187
r-69 15 0.133333 15 0.133333 0 0 0
r-257 29 0.0369458 29 0.0369458 86 1000000 1773
r-998 16 0.55 16 0.55 4 6 5
r-788 38 0.0369844 38 0.0369844 1000000 1000000 1000000
r-373 22 0.922078 22 0.922078 277 2 265
r-439 33 0.482955 33 0.482955 126430 115053 120821
r-929 38 0.512091 38 0.512091 1000000 1000000 1000000
r-208 34 0.110517 34 0.110517 7174 11801 6766
r-50 38 0.224751 38 0.224751 665028 745520 631897
r-827 26 0.538462 26 0.538462 1791 1868 1835
r-266 27 0.179487 27 0.179487 614 770 547
r-100 22 0.480519 22 0.480519 280 217 207
r-342 39 0.916329 39 0.916329 9468 20415 7498
r-185 17 0.882353 17 0.882353 0 0 0
r-671 38 0.492176 38 0.492176 1000000 1000000 1000000
r-839 28 0.875661 28 0.875661 495 369 262
r-28 25 0.533333 25 0.533333 2218 2198 2061
r-441 30 0.68046 30 0.68046 12591 11921 11010
r-607 25 0.786667 25 0.786667 251 428 410
r-209 40 0.605128 40 0.605128 1000000 1000000 1000000
r-36 21 0.77619 21 0.77619 72 38 61
r-460 31 0.922581 31 0.922581 82 73 66
r-481 28 0.21164 28 0.21164 2537 2650 2398
r-29 26 0.787692 26 0.787692 793 1047 933
r-740 15 0.0190476 15 0.0190476 0 0 0
r-195 17 0.830882 17 0.830882 0 0 0
r-597 19 0.140351 19 0.140351 1 2 0
r-555 24 0.199275 24 0.199275 230 312 227
r-866 29 0.642857 29 0.642857 9883 10329 9470
r-94 29 0.985222 29 0.985222 1785 1000000 1000000
r-530 24 0.536232 24 0.536232 1256 1559 1207
r-13 27 0 27 0 0 0 0
r-157 34 0.465241 34 0.465241 170791 167768 160987
r-878 29 0.778325 29 0.778325 4502 5412 4358
r-906 25 0.42 25 0.42 1232 1323 1282
r-633 26 0.409231 26 0.409231 2520 3300 2298
r-221 32 0.580645 32 0.580645 82284 81588 77348
r-364 20 0.315789 20 0.315789 37 43 28
r-842 21 0.72381 21 0.72381 93 64 90
r-879 15 0.704762 15 0.704762 1 1 2
r-687 33 0 33 0 0 0 0
r-690 31 0.778495 31 0.778495 8717 11072 8227
r-355 21 0.790476 21 0.790476 23 47 39
r-386 15 0.171429 15 0.171429 0 0 0
r-294 27 0.552707 27 0.552707 5443 5042 5056
r-863 19 0.438596 19 0.438596 65 43 37
r-218 33 0.0397727 33 0.0397727 372 1000000 359
r-575 30 0.567816 30 0.567816 25271 18051 23617
r-914 19 0.859649 19 0.859649 3 2 2
r-68 18 0.960784 18 0.960784 2 20623 4851
r-316 21 0.528571 21 0.528571 243 333 342
r-912 38 0.675676 38 0.675676 708844 861929 692408
r-498 33 0.560606 33 0.560606 120447 120091 114328
r-467 21 0.238095 21 0.238095 62 35 36
r-489 36 0.58254 36 0.58254 428526 431125 405275
r-514 35 0.216807 35 0.216807 78304 52293 71236
r-6 22 0.264069 22 0.264069 112 145 160
r-395 37 0.312312 37 0.312312 768259 488426 706220
r-941 39 0.222672 39 0.222672 1000000 1000000 926636
r-138 28 0.994709 28 0.994709 0 0 0
r-715 36 0.309524 36 0.309524 457617 523404 430716
