instance last_unsat_time sat_time total_subproblem_time total_subproblem_time_minus_last_unsat run_time last_unsat_time sat_time total_subproblem_time total_subproblem_time_minus_last_unsat run_time
mcs70_r01_s40_AB05 6698 919 11739 5041 11745 6705 914 11743 5038 11749
mcs70_r005_s40_AB07 32873 11319 52307 19434 52312 33030 11329 52561 19531 52566
mcs30_r01_s35_AB02 104836 5421 164177 59341 164181 104865 5427 164532 59667 164539
mcs70_b03m_s10_AB06 0 0 0 0 0 0 0 0 0 0
mcs70_b06_s10_AB06 0 0 0 0 0 0 0 0 0 0
mcs30_b06m_s35_AB07 82843 2 113774 30931 113781 83174 2 114024 30850 114029
mcs50_m3D_s50_AB08 352070 528166 999995 647925 1000000 354370 527573 999993 645623 1000000
mcs30_r01_s10_AB09 0 0 0 0 0 0 0 0 0 0
mcs70_b09_s15_AB00 0 0 0 0 0 0 0 0 0 0
mcs50_b03_s40_AB04 16299 35856 54535 38236 54538 16635 35846 54841 38206 54845
mcs90_m3Dr2_s10_AB05 0 0 0 0 0 0 0 0 0 0
mcs30_b03_s25_AB06 59 0 65 6 66 60 0 66 6 68
mcs10_b03_s50_AB05 525798 5612 589962 64164 589967 525519 5598 589734 64215 589737
mcs50_m3Dr2_s15_AB08 0 0 0 0 1 1 0 1 0 2
mcs10_b03m_s40_AB02 748 3452 4359 3611 4362 743 3643 4497 3754 4500
mcs30_r005_s20_AB04 5 1 6 1 7 5 1 6 1 7
mcs30_r02_s20_AB07 40 10 72 32 74 62 14 109 47 113
mcs30_b06m_s30_AB06 1656 1370 3883 2227 3886 1661 1373 4031 2370 4036
mcs90_r02_s20_AB00 0 0 0 0 0 0 0 0 0 0
mcs50_m3Dr6_s50_AB05 649659 61695 999992 350333 1000000 650068 62416 999993 349925 1000000
mcs70_b06_s15_AB02 0 0 0 0 1 0 0 0 0 1
mcs90_m3Dr2_s30_AB07 0 0 0 0 1 1 0 1 0 1
mcs90_r01_s10_AB02 0 0 0 0 0 0 0 0 0 0
mcs30_m2Dr6_s30_AB01 583 806 1661 1078 1664 531 805 1498 967 1501
mcs90_b03_s25_AB08 0 0 0 0 0 0 0 0 0 0
mcs30_b03_s50_AB09 129459 851776 999996 870537 1000000 128817 852480 999995 871178 1000000
mcs30_r01_s20_AB06 19 5 30 11 31 19 5 30 11 32
mcs50_m2Dr4_s30_AB08 1220 133 1937 717 1940 1137 133 1623 486 1626
mcs70_b06_s35_AB08 493 4 734 241 739 313 2 464 151 468
mcs70_m2D_s40_AB09 11575 2214 15959 4384 15964 11693 2217 16142 4449 16145
mcs70_m2Dr4_s35_AB05 3273 81 4727 1454 4731 3257 81 4714 1457 4720
mcs50_m4Dr2_s30_AB00 313 753 1152 839 1155 223 761 1072 849 1074
mcs50_b03_s35_AB02 2250 3220 5956 3706 5960 2279 3206 5934 3655 5938
mcs70_b09m_s50_AB03 62311 3327 111786 49475 111793 62313 3327 111949 49636 111957
mcs50_b06_s25_AB09 98 0 153 55 156 98 0 153 55 156
mcs30_b06_s35_AB01 62986 0 85776 22790 85781 62692 2345 87895 25203 87902
mcs30_b03m_s35_AB00 1032 188 1433 401 1436 1058 179 1530 472 1533
mcs90_b03_s10_AB00 0 0 0 0 0 0 0 0 0 0
mcs70_b03_s15_AB09 0 0 0 0 0 0 0 0 0 0
mcs50_b09m_s30_AB05 4992 0 8538 3546 8543 4995 1271 9728 4733 9734
mcs30_m3D_s30_AB02 1142 71 1786 644 1789 1143 71 1571 428 1574
mcs90_r01_s25_AB08 0 0 0 0 0 0 0 0 0 0
mcs90_m2D_s50_AB03 0 0 0 0 0 0 0 0 0 1
mcs90_m4Dr2_s20_AB00 0 0 0 0 1 0 0 0 0 1
mcs50_m4Dr2_s40_AB05 38120 4591 51113 12993 51116 38601 4664 51685 13084 51688
mcs50_m3Dr6_s20_AB02 14 31 50 36 51 8 19 29 21 31
mcs70_b06m_s20_AB00 8 0 12 4 13 8 0 12 4 13
mcs70_r005_s40_AB03 39720 36172 85341 45621 85346 39632 36379 86064 46432 86070
mcs50_m2Dr4_s40_AB06 91562 183235 298620 207058 298625 91737 183565 298800 207063 298804
mcs30_b03_s25_AB01 12 1 15 3 17 12 1 15 3 17
mcs50_b03_s25_AB07 62 12 84 22 86 62 12 84 22 87
mcs90_b09_s30_AB07 9 0 11 2 12 9 0 11 2 12
mcs90_b09_s35_AB05 15 0 21 6 22 23 0 33 10 35
mcs90_b09m_s30_AB00 1 0 1 0 2 1 0 1 0 2
mcs30_m3Dr4_s40_AB09 672619 85308 991938 319319 991945 679126 85782 999380 320254 999387
mcs70_b06m_s35_AB09 1374 490 2526 1152 2530 1653 499 3210 1557 3215
mcs90_r01_s25_AB03 0 0 0 0 1 0 0 0 0 1
mcs50_m3D_s20_AB02 17 0 22 5 23 17 0 22 5 23
mcs70_m2Dr2_s35_AB02 646 264 1149 503 1152 640 271 1149 509 1154
mcs50_b09_s50_AB00 326333 422619 999989 673656 1000000 327772 419387 999991 672219 1000000
mcs50_b09_s35_AB00 13212 4348 28269 15057 28276 13204 4351 28153 14949 28160
mcs70_b03m_s20_AB05 2 1 3 1 4 2 1 3 1 4
mcs50_r02_s10_AB09 0 0 0 0 0 0 0 0 0 0
mcs50_b09_s25_AB03 381 0 695 314 699 381 1 729 348 732
mcs30_m3Dr2_s25_AB07 220 45 377 157 380 245 75 389 144 391
mcs50_b03_s50_AB03 273245 687340 999995 726750 1000000 274377 684588 999994 725617 1000000
mcs30_r005_s35_AB07 2147 965 3630 1483 3633 2167 996 3804 1637 3808
mcs50_m3Dr2_s50_AB06 655533 100898 999995 344462 1000000 649449 109017 999994 350545 1000000
mcs90_b03_s50_AB04 69 0 80 11 82 69 2 84 15 84
mcs90_r02_s30_AB07 0 0 0 0 1 0 0 0 0 1
mcs90_b09_s35_AB00 16 0 22 6 23 16 0 22 6 23
mcs50_m2D_s50_AB05 262462 685830 999994 737532 1000000 267475 680512 999995 732520 1000000
mcs30_b03_s25_AB02 83 25 115 32 116 44 13 60 16 62
mcs30_b03m_s40_AB03 1179 6893 8377 7198 8381 1904 7157 9365 7461 9367
mcs10_r02_s30_AB01 13021 12444 37450 24429 37458 12550 12388 36901 24351 36907
mcs90_b06_s40_AB06 5 0 6 1 6 8 0 9 1 11
mcs30_b03_s30_AB07 55 160 230 175 232 32 93 133 101 136
mcs10_r01_s40_AB08 332907 449370 999992 667085 1000000 332556 450411 999992 667436 1000000
mcs90_r02_s25_AB07 0 0 0 0 0 0 0 0 0 0
