mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S
102514 125965 112709 128204 96457 98745 102063
416 530 551 539 336 435 299
2 3 2 3 2 1 1
268176 322617 364328 406968 257331 338657 267791
921 1243 1746 1662 967 1370 920
64047 77304 80817 88544 55138 68227 68238
1864 1926 1893 2429 1231 1525 2101
28 20 43 47 25 35 18
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
3 2 3 3 4 4 1
445 695 503 479 383 450 610
1000000 1000000 1000000 1000000 949437 1000000 1000000
176 321 348 381 243 187 214
1000000 1000000 1000000 1000000 1000000 1000000 1000000
3273 3645 3633 4047 2853 3412 3225
980898 1000000 1000000 1000000 930207 1000000 984449
233 284 440 336 318 405 254
1000000 1000000 1000000 1000000 1000000 1000000 1000000
15 17 5 6 13 5 3
232 276 138 149 223 198 232
0 0 0 0 0 1 0
363150 402890 693776 773405 348717 474464 362659
3 5 2 3 1 1 2
1 0 1 1 1 1 0
21337 22610 45331 47727 17660 21544 21443
0 0 0 0 0 0 0
6104 6881 17156 18898 5587 16335 5838
634382 716373 744852 831758 571297 715802 634484
614 563 483 626 615 455 443
16 18 26 28 23 16 25
1000000 1000000 1000000 1000000 1000000 1000000 1000000
209 225 591 372 183 218 389
32371 40996 24405 27086 24187 17109 32445
0 0 0 0 0 0 0
2211 2897 2613 2911 2623 2207 1927
298335 327033 526850 561389 277074 437455 298883
5 6 11 12 5 6 5
7 14 4 2 6 3 7
7 5 13 14 4 12 4
0 0 0 1 0 1 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
64948 70690 80381 87786 63594 79374 65104
0 0 0 0 0 0 0
16901 19489 17238 19017 15930 16283 16850
340204 373075 296980 329686 325286 219340 339249
0 0 0 0 0 0 0
36955 40386 67972 70547 29675 43522 36756
266 297 461 476 427 361 401
200524 230638 217203 231421 183589 166687 197510
12325 14522 19077 21385 10465 13827 14014
1 1 1 1 1 1 1
1000000 1000000 1000000 1000000 1000000 1000000 1000000
4 5 4 4 6 3 3
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1 1 1 1 0 1 1
2 4 4 2 3 2 2
552 616 396 462 328 552 562
13872 15387 32226 33081 11462 32037 13906
717 967 1018 677 822 518 518
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
29762 39037 48154 52325 28273 39108 29493
5 3 6 6 2 3 5
1 0 1 0 1 1 0
30 41 37 25 69 79 80
0 0 0 0 0 0 0
8 10 13 8 8 10 8
1000000 1000000 1000000 1000000 936501 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
655062 761130 797060 906727 578436 754771 690019
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1 1 1 1 1 1 1
3558 3946 5593 4414 3404 3500 3470
0 0 0 0 1 0 0
14 65 24 17 14 9 14
127 83 64 71 132 52 72
0 0 0 0 0 0 0
2584 3071 4707 4228 2483 4594 2580
1000000 1000000 1000000 1000000 1000000 1000000 1000000
129550 148828 406038 449064 114482 285747 130161
202389 222430 356689 396276 176806 290019 202843
154752 151998 161696 171449 131531 125457 126293
