mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O mcsplit+randombigf mcsplitb+randombigf
63 85 56 34 2 1 1 2 68 60 2 2 2 3 1
20951 35993 16078 17004 6023 2875 2910 2873 35328 26539 9769 4667 4911 6018 5690
1 6 1 1 0 0 0 0 2 1 0 0 0 0 0
5096 5413 1000000 1000000 9359 1000000 5652 5117 6173 1000000 10672 6162 6284 10382 10362
1000000 1000000 1000000 1000000 948060 804949 1000000 811463 1000000 1000000 1000000 1000000 882240 955709 952787
1000000 1000000 1000000 1000000 208549 198820 200127 199896 1000000 1000000 266983 253976 257074 207786 209477
409 725 65470 65471 490 73065 582 410 519 75859 894 678 517 930 933
112538 117170 199713 220389 110933 177404 178409 112322 140177 252595 138791 225573 140196 113055 113258
686 947 559 797 390 263 272 358 1224 1056 616 372 369 271 248
63071 68328 48146 48943 2576 1611 1612 1612 72562 57374 2969 1914 1833 2695 2490
1691 2023 55831 55907 2316 71078 2367 1681 2576 84613 3407 2806 3011 2795 2405
23 75 11 15 1 0 0 0 23 11 1 0 0 0 1
312859 341433 239709 244793 7751 5259 5113 5229 382517 301138 9506 6119 6247 7695 7536
1192 1572 1151 1256 358 516 1102 319 1332 1278 379 1298 480 547 485
30 51 168 520 32 246 51 30 46 298 27 46 46 37 61
130953 144635 787070 814358 805721 1000000 131098 1000000 218397 1000000 1000000 218759 1000000 897624 898633
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 3 6 1 4 1 1 2 5 2 2 2 1 1
767 1352 768 641 83 76 76 76 953 973 58 80 84 53 84
776 870 5097 5246 4657 13147 794 13341 1738 7449 7745 1227 20020 5156 5151
80330 87352 64988 65834 655 478 274 296 83580 67557 689 515 467 499 541
4 7 352 326 9 226 4 7 6 220 7 4 4 10 9
26 28 108 191 35 126 16 26 35 207 49 35 35 40 42
304 318 41250 42438 366 46332 415 363 222 44215 226 376 217 475 521
24495 28983 29235 30726 19894 20653 24650 20816 34720 42139 28897 35303 29323 21065 20775
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
2889 3212 6770 7853 2299 4979 3357 2854 3117 7053 2127 2935 2988 2030 2160
1 1 5 46 1 7 1 1 2 16 2 1 1 2 2
181 122 1441 1646 133 1723 109 109 115 1835 211 188 189 148 147
78 81 316 363 87 345 79 78 94 301 104 57 93 106 65
146623 160832 1000000 1000000 189493 1000000 147902 147138 208952 1000000 274668 209535 209391 204743 204702
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
126 236 159 158 57 25 24 40 304 185 46 52 32 35 56
11 20 61 68 19 68 19 19 22 133 22 22 22 21 12
5 5 16 33 7 32 5 3 7 26 6 4 7 8 5
144554 193725 89299 97286 124195 48231 48171 145315 263458 151143 229691 80738 263378 121005 121251
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1000000 1000000 1000000 1000000 38168 16840 16819 16001 1000000 1000000 39566 18564 17796 35482 35138
45 46 257 221 75 311 201 75 84 253 50 437 51 77 78
463 510 3036 2579 520 2367 415 463 877 3232 649 734 680 576 467
194 252 534 398 243 571 247 149 341 606 229 367 227 248 156
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1354 1728 3448 3908 1870 5485 1387 1503 1906 5612 2146 2054 2051 2018 1761
538 603 528 561 519 398 292 912 441 353 615 205 594 686 537
119 88 2377 2435 104 3725 70 71 161 3034 141 163 97 149 182
132 283 82 132 32 19 19 19 208 204 43 25 39 32 32
0 0 1 1 0 1 0 0 0 1 0 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
48705 49447 1000000 1000000 48292 1000000 48412 47751 26802 1000000 26747 26514 26082 49560 51244
266754 290054 239570 235299 6061 2280 2600 2500 329366 292743 7453 2944 2888 6201 5638
748059 775384 1000000 1000000 736043 1000000 1000000 747186 590683 1000000 587091 1000000 593807 776794 771728
2 5 2 2 0 0 0 0 3 3 1 0 0 0 0
486 403 902 965 440 630 868 672 478 1278 658 779 411 386 391
49 39 554 1014 62 581 49 31 73 1332 56 46 74 41 41
0 0 1 2 0 3 0 0 0 3 1 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
24102 37471 24624 28330 5116 5560 24284 4688 35592 36221 6665 35776 6205 5417 5229
9 7 4 8 1 0 0 1 9 8 1 0 0 1 1
435099 468490 359581 373293 302406 133407 136659 434542 565355 465040 395511 176504 583349 287876 291690
67774 70802 1000000 1000000 68453 1000000 67680 67858 88057 1000000 89018 89930 87900 72649 72871
5 11 3 3 0 0 0 0 3 3 1 0 0 0 1
72 79 9078 9017 92 9610 128 127 75 10421 90 131 132 188 185
23866 15553 12921 14176 13344 8891 8870 14532 19186 17115 18802 12007 18845 14060 13156
510 396 306 387 19 12 12 7 390 466 13 14 8 11 11
42 93 53 55 4 4 4 4 105 45 10 6 3 7 7
2449 3508 2615 2048 637 146 145 241 3247 2643 474 253 260 540 395
111276 146217 97278 106428 9377 6767 6736 7045 166350 144393 14175 10315 10799 9353 8765
349 494 1413 1787 372 1436 1092 325 507 1639 346 1385 363 340 428
2 2 1 1 0 0 0 0 2 2 0 0 0 0 0
992 1344 1151 1306 48 39 23 23 1348 1252 15 13 13 48 48
1000000 1000000 1000000 1000000 955721 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 989289 983249
135539 165971 157000 173514 116664 127999 134687 127741 206363 237976 169501 207027 186641 120638 120179
745 1716 674 979 258 141 217 218 1559 1060 366 194 194 170 169
14 10 7 12 0 0 0 0 14 13 0 0 0 0 0
34204 34758 22407 22878 1264 721 690 680 42347 27645 1387 715 768 1531 1223
12 23 41 26 13 31 12 20 29 41 19 17 17 15 24
713355 836719 567342 582801 11186 7196 7464 7016 757195 602681 10668 6841 6346 10240 10220
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
563 4265 543 1222 83 39 63 64 910 723 153 95 94 109 127
1334 2464 1231 1372 227 115 161 170 1274 1349 192 207 129 229 145
686 842 6179 6226 1131 8309 968 694 918 9555 1270 985 926 953 951
8857 9053 29917 30537 8349 21069 20757 9074 9846 36099 8956 26808 9985 7714 7868
426 280 630 748 425 730 983 400 541 1275 346 845 486 438 280
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
181 321 501 729 293 553 280 181 297 913 349 296 456 209 322
1096 1127 19146 22476 1381 20134 19768 1140 1210 21496 1513 23408 1210 1297 1149
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2464 2747 40289 41383 3614 45972 2453 2439 3521 58123 5014 3373 3654 3916 3887
122917 129211 105970 106037 79 20 37 36 122982 105831 41 19 34 44 75
123897 272956 107352 129475 21623 13674 13636 13738 144036 125478 23344 14869 14145 21131 21099
0 0 4 10 0 4 0 0 0 3 0 0 0 0 0
0 5 0 3 0 0 0 0 0 0 1 0 0 0 0
4 2 262 323 2 489 2 2 3 267 2 1 3 2 2
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
117 132 71 127 16 30 116 30 84 88 18 145 33 18 29
33 105 28 31 2 2 1 2 33 46 1 1 2 1 1
1 1 35 39 1 23 1 1 1 39 1 1 1 2 2
516 547 462 759 37 33 699 33 540 420 38 434 21 24 38
233 309 194 202 39 19 18 10 416 259 25 11 19 36 36
1 0 8 11 1 5 1 1 1 10 1 1 1 0 1
1808 1701 1090 1110 111 94 94 95 2211 1513 133 111 111 129 182
1000000 1000000 1000000 1000000 103702 54159 54472 54856 1000000 1000000 120507 66899 67889 100495 99054
156 181 155 285 231 200 331 158 367 214 199 268 225 195 232
223133 236884 1000000 1000000 216508 1000000 1000000 222120 75420 778126 74248 633348 75003 221240 222010
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12658 13204 590738 603333 15116 755957 12519 12576 16506 747991 20035 16273 16394 17030 16867
12957 13844 126105 131958 16282 188611 13471 12729 17754 174926 22934 17755 17698 18087 18201
4346 5058 6706 6944 5608 6528 4499 6537 6980 10669 8844 6937 10776 5904 5943
