instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-673 48 0.304965 20 0.294737 12948 2554 2558 12906 2592 19498 3387 3363 10586 6814 6835
r-658 49 0.291667 41 0.278049 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-984 37 0.291291 32 0.310484 254924 166523 167038 243497 170163 486273 298871 298973 278793 237980 237851
r-260 31 0.268817 44 0.300211 639516 919830 639287 955131 624688 1000000 1000000 1000000 880276 1000000 883002
r-130 42 0.29036 41 0.286585 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-319 15 0.247619 13 0.358974 0 0 0 0 0 1 0 0 0 0 0
r-756 27 0.31339 24 0.336957 1319 1133 956 959 982 1786 2188 1842 1108 1352 1081
r-560 22 0.272727 33 0.295455 1432 3318 1178 3534 1384 2152 5620 1779 2030 2714 1886
r-463 11 0.272727 28 0.272487 0 1 0 2 0 0 1 0 0 1 0
r-602 42 0.308943 48 0.305851 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-134 42 0.293844 17 0.257353 1503 319 321 1397 214 1752 384 249 1027 447 452
r-231 39 0.278003 17 0.286765 417 48 48 441 80 574 60 59 357 96 96
r-858 44 0.313953 10 0.4 0 0 0 0 0 0 0 0 0 0 0
r-571 38 0.317212 27 0.301994 40739 37925 37940 40312 37883 75754 65821 65585 54767 56227 55826
r-893 22 0.298701 33 0.3125 2109 3467 1950 3409 1899 3098 5888 3119 2360 2608 2406
r-27 31 0.301075 39 0.303644 256263 342948 255616 350909 250120 458175 658648 458651 337258 382585 332867
r-109 19 0.327485 37 0.283784 149 690 232 834 146 202 1037 309 200 578 184
r-518 16 0.241667 33 0.280303 21 127 35 126 34 25 160 25 45 99 45
