instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-176 22 0.82684 17 0.220588 1 0 0 1 4 2 2 2 1 2 3 1 1 1
r-36 39 0.944669 29 0.253695 51 13 13 23 63 24 124 36 20 20 27 11 11 19
r-904 21 0.338095 46 0.154589 146 707 92 134 549 155 180 1318 176 167 117 642 117 117
r-805 41 0.597561 30 0.611494 235172 185779 235019 186492 233403 177860 516810 391767 516495 390556 253941 207111 253481 207116
r-740 18 0.333333 43 0.869324 13 19 22 22 57 39 37 47 37 21 16 54 26 27
r-385 40 0.661538 50 0.0171429 101 2599 99 102 1799 102 193 4497 190 109 109 2007 184 189
r-379 30 0.475862 29 0.704433 2718 3363 2756 3324 4896 4474 5085 5614 5111 5532 4024 4762 4001 4847
r-421 39 0.504723 21 0.32381 5430 2459 5904 2714 6504 3264 6223 3913 6293 3923 4116 3506 4077 3153
r-860 49 0.951531 23 0.960474 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-734 38 0.403983 50 0.98449 253 5970 252 165 3722 133 233 8531 234 454 1020 4716 796 1166
r-178 38 0.364154 33 0.668561 25168 22468 25320 22782 38493 29187 48379 43107 48306 43236 33651 34711 33757 34679
r-173 32 0.885081 41 0.209756 102 97 96 102 396 247 340 173 288 201 161 234 271 270
r-383 29 0.339901 24 0.0724638 50 1767 28 1947 335 830 44 2507 78 2441 296 4166 212 3924
r-847 34 0.641711 13 0.0512821 6 7 5 13 18 16 11 21 10 12 5 15 5 26
r-318 17 0.220588 16 0.208333 0 0 0 0 0 0 0 0 0 0 0 1 0 1
r-706 49 0.344388 41 0.113415 377390 1000000 378206 1000000 1000000 884831 652437 1000000 652409 1000000 725835 1000000 722000 1000000
r-351 40 0.312821 28 0.00793651 224308 1000000 223794 1000000 1000000 1000000 229051 1000000 229765 1000000 1000000 1000000 1000000 1000000
r-222 18 0.477124 31 0.277419 36 175 36 59 156 63 90 319 54 54 103 92 159 103
r-147 22 0.502165 25 0.356667 236 432 236 266 427 242 521 445 590 395 380 517 548 417
r-137 22 0.930736 21 0.780952 4655 522 599 522 2416 695 1620 17 17 8 1011 355 353 551
r-24 22 0.995671 12 0.106061 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-187 50 0.413878 25 0.633333 61588 55940 61544 55471 73201 86800 116958 103239 116809 103297 89699 76576 90180 76744
r-227 41 0.662195 22 0.004329 28 453 28 571 643 141 54 1376 54 741 220 525 350 525
r-370 10 0.288889 44 0.571882 0 4 4 0 0 0 0 2 2 0 11 8 13 7
r-195 19 0.824561 47 0.376503 240 462 324 240 860 230 232 733 481 367 405 520 641 592
r-688 26 0.301538 10 0.888889 0 0 0 0 1 2 0 2 0 1 2 2 2 2
r-136 14 0.593407 50 0.559184 379 1075 1049 252 1041 252 289 1381 1347 436 324 1091 888 314
r-629 42 0.61324 30 0.491954 180420 154903 155913 154767 196685 201891 367714 320004 320011 322656 245274 196153 197172 203165
r-519 24 0.684783 49 0.791667 3403 22011 3238 3252 20322 3583 5130 36374 4744 4725 14088 20093 14241 14103
r-924 43 0.593577 16 0.241667 125 150 124 152 336 292 200 208 323 213 404 207 287 208
r-656 22 0.246753 13 0.589744 2 2 1 2 3 7 3 1 2 2 6 6 3 3
r-747 14 0.153846 43 0.766334 4 17 10 8 24 5 9 26 25 16 18 13 13 19
r-174 23 0.383399 12 0.439394 8 1 2 1 5 2 11 2 1 2 5 2 2 4
r-750 22 0.00865801 40 0.0551282 1000000 6224 6721 1000000 1000000 1000000 1000000 6213 6236 1000000 0 0 0 0
r-511 12 0.378788 33 0.0719697 0 4 0 0 2 0 0 3 0 0 0 1 1 0
r-959 29 0.103448 45 0.779798 137 69 70 185 301 167 280 120 191 451 304 208 264 329
r-38 13 0.897436 33 0.268939 5 1 3 5 18 5 17 3 3 18 15 8 8 9
r-444 17 0.330882 15 0.714286 1 1 1 1 4 4 2 2 2 4 3 2 2 4
r-645 38 0.250356 46 0.294686 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-465 13 0.102564 10 0.0666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-658 46 0.730435 15 0.133333 18 27 18 17 27 34 30 47 18 47 35 34 20 34
r-646 41 0.203659 40 0.573077 48051 35897 35845 36026 65984 49437 85362 69676 69905 69641 68567 39754 39659 39681
r-919 40 0.107692 40 0.958974 14 14 14 7 15 12 29 72 16 31 18 30 19 10
r-678 46 0.0396135 45 0.234343 1000000 88752 88146 87141 1000000 99077 1000000 126573 126842 127367 1000000 251269 249687 250953
r-972 32 0.147177 17 0.272059 72 9 9 9 101 9 165 6 10 10 66 52 88 87
r-77 22 0.852814 26 0.938462 29 1732 29 15 1418 29 28 1641 14 14 130 4222 133 110
r-478 32 0.959677 49 0.546769 220699 1699 1700 220263 62674 26000 353230 2751 3320 349268 267458 5117 4603 267284
r-257 21 0.457143 44 0.954545 8 87 14 8 56 19 13 260 7 13 33 127 33 34
r-677 11 0.327273 47 0.513414 0 1 1 0 0 0 0 2 1 0 10 6 10 10
r-58 22 0.541126 43 0.54485 22969 38252 23045 23061 37749 23011 41925 77929 41874 41790 27193 37079 27069 26963
r-752 48 0.211879 15 0.790476 14 18 14 18 27 43 38 19 22 19 48 26 43 26
r-185 43 0.0808416 50 0.145306 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-360 10 0.511111 34 0.672014 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-819 41 0.218293 22 0.580087 769 331 215 335 1123 1177 1645 493 320 457 1207 414 628 414
r-877 26 0.110769 36 0.330159 3684 1299 1156 3640 2467 3148 6026 1885 2033 5978 5963 2610 2568 5973
