mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S
344965205 428551861 421435175 489788412 307824562 339866250 344965205
1847444 1887440 3260312 3566054 2037364 2701984 1847444
5926 7650 6526 7199 5455 6138 6138
979303471 1187517808 1480692866 1695180695 903131630 1255141388 979303471
5166487 5931564 9388676 10108081 4934248 7421603 5166487
274203833 333776711 376745804 427730936 228148857 295477123 295477123
8547121 8861018 11109606 11704518 6714644 7100055 7100055
55913 62261 88777 100367 48339 71423 55913
-1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1
11341 10438 12658 12818 16208 17135 11341
1324453 1603301 1439726 1583471 1099926 1185089 1185089
-1 -1 -1 -1 3576565360 -1 -1
832034 961373 1065552 1177214 710784 858928 832034
-1 -1 -1 -1 -1 -1 -1
9838260 11577075 12655109 14344635 8215505 10180595 10180595
3967648295 -1 -1 -1 3611430949 -1 3967648295
777268 881468 1542272 1662552 1063407 1744915 777268
-1 -1 -1 -1 -1 -1 -1
62274 69228 23273 27342 52907 19529 19529
901787 1085378 545258 600842 821740 474660 901787
3010 3215 3932 4189 2997 3621 3010
1614552702 1800464224 3375564238 3852584519 1480702337 2137757044 1614552702
8447 13334 7634 8190 5226 5644 8447
4247 4674 5308 5682 3059 5370 4247
108196108 115605230 240651755 255318687 86091736 118491744 108196108
322 392 346 412 233 301 322
24114948 28368100 75959891 84872478 21386333 67708154 24114948
2473938600 2795039790 3165905515 3607622418 2143519468 2829704631 2473938600
1572296 2035945 1918248 2205980 1367592 1687498 1572296
70887 81373 76508 83970 62329 71756 70887
-1 -1 -1 -1 -1 -1 -1
1225264 1326484 2186308 2301991 1054384 1329986 1329986
126459784 161366600 100887898 115842667 88682239 63234260 126459784
281 296 488 495 268 453 281
9983674 11581697 14234021 15780067 8825745 10948826 9983674
1376367949 1524283884 2569701044 2824425940 1233630187 1990877593 1376367949
34597 41112 42270 47228 30479 38538 34597
42846 50784 13188 12879 39177 9822 42846
21719 25998 42007 44300 20606 36439 21719
1360 1424 3327 3351 1287 2905 1360
189 213 151 175 183 136 189
2525 2634 1878 1823 2427 1650 2525
308299584 336448180 413065677 458386702 292669655 377815217 308299584
375 379 390 395 334 421 375
59351792 69234635 66430733 74757198 54143811 57516311 59351792
1659788713 1833073944 1518168544 1710973420 1538824463 1053359715 1659788713
46 37 79 79 46 69 46
191433506 211085221 364670491 386487617 149952283 229126432 191433506
1293792 1445748 1659659 1751731 1219556 1280109 1293792
984317212 1130280083 1128333945 1228211361 864088965 803385803 984317212
52629976 62381940 86327050 98366709 41471620 56597063 56597063
5360 5439 6903 7326 5271 6817 5360
-1 -1 -1 -1 -1 -1 -1
15990 19631 17707 16113 14959 13260 13260
-1 -1 -1 -1 -1 -1 -1
5496 5856 4570 4859 5012 3706 3706
13607 16062 19568 20648 13807 18626 13607
1403208 1772153 1719734 1933731 1238039 1526350 1403208
71312568 77316651 164519446 169295223 57035507 147696041 71312568
3252283 3594016 3109005 3444873 2816358 2319935 2319935
-1 -1 -1 -1 -1 -1 -1
2364 2587 1734 1870 2295 1787 2364
89108022 122008879 161583389 182039458 83350424 124390022 89108022
18928 19516 22953 24493 16268 18423 18928
3342 3605 3114 3167 2927 3694 3694
79371 108803 104544 116739 171796 210074 210074
1134 1251 800 812 884 761 761
19821 23769 31243 31897 17304 23365 19821
-1 -1 -1 -1 4409593043 -1 -1
-1 -1 -1 -1 -1 -1 -1
675 741 932 1010 601 945 945
2561090440 2981899370 3442496079 3991675684 2182586432 2743521151 2743521151
-1 -1 -1 -1 -1 -1 -1
5334 5932 4998 5422 4520 4309 5334
17488987 20216015 21700130 23967318 16432277 17351214 17488987
2382 2583 3269 3400 2379 2424 2382
82465 205495 85965 57440 79492 50381 82465
373526 425595 348186 387813 370979 267808 373526
183 194 159 169 166 151 183
11502925 13139658 18980433 21153731 10571363 20210916 11502925
-1 -1 -1 -1 -1 -1 -1
617710850 706777051 2078654524 2340773091 523299072 1380192866 617710850
875787783 967350874 1681820158 1899758147 740942630 1275153655 875787783
713048120 750512704 844681564 922619109 633561363 628265747 628265747
18505 38111 11555 61489 16736 10031 18505
2105894 2262656 3056718 3387109 1913194 2538576 2105894
66 81 66 66 66 64 66
6215 6926 7691 8495 6251 7983 6215
-1 -1 -1 -1 -1 -1 -1
1382 1407 1409 1428 1253 1494 1382
628434 833200 556947 625566 616456 349638 628434
17180 20742 29464 31595 14043 24546 17180
16417439 31544610 23762809 35243593 15491829 21258841 16417439
32142 35720 23551 24742 30153 20334 32142
197 194 166 166 170 169 169
3631 4874 2694 2785 3108 2959 3631
6776736 8475783 6674107 7316183 6138805 5526032 5526032
7142 8082 10537 10899 7591 8576 7142
12958049 13329342 24196356 25478350 11015441 16125508 12958049
13083 13610 24668 25375 12620 28909 13083
2263858 2543301 2392491 2585564 1897978 1694636 1694636
105 105 93 88 108 118 105
-1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1
85384 93498 43446 46940 78015 35424 35424
489 489 436 449 459 370 489
-1 -1 -1 -1 -1 -1 -1
11372 12370 16097 16788 10213 21285 11372
-1 -1 -1 -1 -1 -1 -1
-1 -1 3160244612 3314408263 4553812206 2084556915 -1
1660285 1286857 1993229 1990898 1605688 1306318 1660285
17766324 20103560 22677971 24863571 16762812 17706724 17766324
67603 81448 76609 81561 27277 28104 67603
52431731 59395741 59846034 66002229 46345300 43542887 43542887
371278931 430585446 455445187 528332278 326899854 373661965 371278931
138275 533874 137142 148371 130551 55191 55191
615665 742336 682092 731393 566451 617606 615665
397 415 353 383 380 288 397
3897250 4075527 3886684 3985393 3101937 3286927 3897250
76762022 85254104 120935305 131833557 62900214 81474339 76762022
-1 -1 -1 -1 -1 -1 -1
673759619 721465032 1559749269 1723236815 632596034 988921142 988921142
69733 68492 70753 71447 56872 56486 69733
9998 14409 14490 15129 9332 13770 13770
19904 20260 15903 16032 17837 14236 14236
6127 6487 9504 10189 5336 8562 6127
300057 323399 406259 438430 295205 402487 300057
4024836 4082586 4519947 4635330 3333586 3594484 4024836
1708854 2120772 2323463 2600862 1458857 2097214 1708854
148032538 172980051 814438584 890118026 145137297 650648284 148032538
20145110 24233621 17080885 18744296 16206566 16062335 20145110
-1 -1 -1 -1 -1 -1 -1
229 229 702 702 193 638 229
1331 1381 1630 1660 1074 1249 1331
40970 56709 27808 30941 33895 21637 21637
-1 -1 -1 -1 -1 -1 -1
406816723 455772296 1438594492 1567105176 367966276 1000056624 406816723
278741024 314587944 483636690 552283304 237630164 378058602 278741024
-1 -1 -1 -1 -1 -1 -1
56858 65810 84684 94910 45747 82088 56858
-1 -1 -1 -1 -1 -1 -1
1014279129 1348137184 1141125622 1297053924 890099259 873194575 873194575
55623 57021 51907 54236 45122 35676 35676
1665366 2092764 2003150 2296467 1416172 1767732 1665366
7172103 8837193 7801169 8501722 6486884 6328487 6328487
1766321 1773963 2955616 3010560 1467887 2332207 1766321
13201 14788 12947 12977 12622 10224 13201
302924012 331301459 784797994 862454339 260351894 558814977 302924012
4104 4439 3004 3164 3667 3078 4104
-1 -1 -1 -1 -1 -1 -1
228573305 244261521 407048327 453353213 225423492 276393081 228573305
22030 24169 21802 23392 20750 19727 22030
2127712 2688767 1404141 1506973 1967960 1230223 2127712
42201970 49480269 52965233 59613575 37954058 44709633 42201970
456 511 420 412 419 335 456
45571 50540 61949 66979 42899 56010 45571
74 105 102 102 78 104 74
68581 75151 132589 139321 75762 140710 68581
55 36 49 49 56 32 55
36010370 45067640 37919284 39038157 34866723 41622369 36010370
1061090382 1439685866 1154350522 1298267037 960292442 1036867264 1036867264
28759 30499 24330 25406 26633 24623 28759
4945329 6323641 4544851 5164903 4228429 4200045 4200045
63899 70626 75352 80484 59861 67956 63899
3250168357 3807200345 3861676174 4349967766 2886815198 2919855248 3250168357
4753715 5266731 4478206 4981524 3761267 3082341 3082341
68436478 77716997 96358362 111474855 58611788 69071455 68436478
6964 7470 11247 11399 6630 9896 6964
276404 314146 543913 600128 260203 464765 276404
7333 7985 9381 10257 6465 7870 7333
60297 91900 78077 89836 50464 63445 63445
1295054 1383474 2150987 2354493 1187289 1751661 1751661
3732359 3344154 4443602 4541616 3518803 3475662 3475662
7820 9083 12707 13602 7201 10128 7820
-1 -1 -1 -1 -1 -1 -1
2865 2915 2791 2788 2399 2180 2865
71 92 73 76 71 72 71
83 83 92 92 83 88 83
334 342 328 329 336 300 334
433995 539976 318829 345485 376782 284406 433995
-1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1
544475 647810 635921 687907 488663 579041 544475
1582 1728 2193 2257 1440 1857 1857
2470 2892 3970 4001 1905 3862 2470
1639140224 1885049928 2173539104 2384262264 1452203894 1077617478 1077617478
43038854 50932144 50304597 57171589 34214302 37828988 43038854
93988258 96083192 340037589 358453414 86778541 208918954 93988258
374121972 444282850 461571290 520870938 333668830 386273601 386273601
565168364 657161061 1697301371 1924277523 481223542 1400552514 565168364
30040 35169 35220 40646 26134 25492 30040
837140 931672 578158 623762 798211 485199 485199
332548 347403 445899 465744 311689 401703 332548
-1 -1 -1 -1 -1 -1 -1
5050 5755 5936 6494 4754 6115 5050
2025 2171 3232 3335 2007 2660 2025
189078567 214254643 153877468 175515007 176583136 118577887 189078567
976585337 1104651816 1503285823 1642174295 853442901 1042430720 1042430720
556858223 630088843 838982700 922642190 485326482 486802258 556858223
10289690 10658920 9979423 10497021 8895938 6570589 6570589
7432 14663 10927 11001 5432 7923 7432
3303727 3871109 3845166 4324567 2648082 3297695 3297695
495327 543950 578330 624624 431063 432400 495327
2274 2531 2451 2546 2109 2362 2274
95798085 102331698 136633824 149575242 86849498 111636341 95798085
-1 -1 -1 -1 -1 -1 -1
18734510 20200725 26610187 29401102 17064331 18661800 18734510
362427 445742 227012 251336 321272 212766 362427
4833 5332 4401 4559 3921 3763 4833
135569 145424 241943 264279 132766 220921 135569
1898 1946 2139 2216 1615 2361 1898
18586670 19308508 28625161 29611186 15305584 22007766 18586670
213052 291472 279278 293825 185325 274210 213052
2510 2489 2695 3556 2285 2288 2510
20478989 24952240 64823174 72404874 18961985 50280693 50280693
1483348700 1681644380 2019213831 2296777130 1226323852 1275697078 1483348700
14821853 18378953 19562424 21697022 13619296 17089907 14821853
-1 -1 -1 -1 -1 -1 -1
9975142 12091341 3352022 3686116 9949562 3268588 9975142
66751499 78880873 67358573 73002897 56302421 45564380 66751499
-1 -1 -1 -1 -1 -1 -1
217296639 254199069 263192112 298221482 187773145 213297312 217296639
32201889 36888473 36018059 39614714 28599540 25457526 32201889
-1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1
281106909 295875351 757490057 811282022 215965901 515308901 281106909
-1 -1 -1 -1 -1 -1 -1
11769354 12534866 15680559 16920445 10440672 10533388 11769354
553878 618925 1149366 1237171 504748 877253 877253
284741811 303977865 351521718 388498577 259158196 275969835 284741811
602 688 1153 1177 597 1303 1303
12505 13810 13256 14269 10266 11582 12505
1202444 1378441 1435609 1582062 1095218 1238614 1202444
89805 93366 81238 83209 77004 79421 89805
52 52 51 51 52 59 52
10630110 11909012 29389702 30299834 9938706 24598499 10630110
2113150 2393677 1084609 1202520 1783221 866574 866574
11214115 13288646 10352133 11482059 10144789 9032385 11214115
96811343 100523313 176576496 188885860 89279687 116236015 96811343
51908848 58878457 57101612 76656962 48393893 64448508 51908848
-1 -1 -1 -1 -1 -1 -1
2129659 2183467 3183517 3294449 1947251 4757244 2129659
85003812 92095112 141744703 153911632 69383224 88851316 85003812
4704 4899 5152 5352 4416 4311 4704
117 127 190 190 113 206 117
1541 1709 1498 1554 1292 1115 1541
112105 121232 259701 273857 104520 300489 300489
31942754 40125633 11096215 12694184 28819621 8802867 31942754
11910 10846 11326 7993 7010 5595 5595
-1 -1 -1 -1 -1 -1 -1
534298250 595608942 1370330295 1505253500 461472750 934927198 534298250
349 391 626 689 273 522 349
815671 915296 1026708 1121238 768019 1869019 815671
92909 104717 95475 106428 83190 85270 92909
6054295 7259374 7957372 8807480 4868247 4555771 6054295
252 269 699 662 240 670 252
558909614 613701599 562890243 609063722 448833274 315276313 558909614
1680736772 1940073551 1538571100 1768060483 1429792103 1178346063 1680736772
1676822 1857325 2284927 2372460 1553235 2226544 1676822
1888174062 2130048518 2613968835 2900351091 1667980556 1965758008 1888174062
358823695 424966720 589527961 677776840 303405480 447493853 358823695
150140405 167111349 312644644 347343350 131329424 313131722 150140405
10058516 10992949 13288272 14473418 8771455 11832829 10058516
734 915 673 732 719 687 734
3423 3744 3751 3799 3184 2860 2860
99679848 111272413 141912785 162517060 89394281 102989117 102989117
3014902 3539999 3386244 3664311 7187747 7636893 3014902
809236 916388 1014800 1100964 751131 850189 809236
220048 258505 313854 348354 194651 281934 220048
8933 7597 11566 12680 8510 7904 8933
2193173 2569269 2230277 2397745 1690920 2380096 2193173
3360870915 3568866030 -1 -1 2965876168 4588873133 3360870915
-1 -1 -1 -1 -1 -1 -1
36 36 40 40 36 42 36
8654 8099 10575 9459 7266 7856 8654
441949462 465809124 712904136 788279001 400264833 549742727 549742727
818945087 882884769 2877520349 2987979962 589585572 1501305755 818945087
276143 306415 317381 357553 259211 303728 276143
-1 -1 -1 -1 -1 -1 -1
367776 397157 318779 347237 331356 264232 367776
37922 96050 61009 65451 27694 50729 50729
471393 518543 815457 892849 418728 679236 679236
1491501 1630930 2014854 2152973 1380016 1665817 1491501
-1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1
473625817 594462246 502040729 578961743 427517434 418792965 418792965
17300391 18456693 24298171 25959005 15769050 16418835 17300391
22514288 27153431 15968475 17773376 20866945 13622673 13622673
-1 -1 -1 -1 -1 -1 -1
19411 23046 22221 23066 16203 11980 19411
6734 9441 7147 7332 5579 5877 5877
-1 -1 -1 -1 -1 -1 -1
20004697 22273366 15263303 16615964 18187186 12213593 20004697
812 894 732 774 658 476 812
161 158 131 130 125 176 161
-1 -1 -1 -1 -1 -1 -1
1204201 1263999 1088827 984750 1185992 826669 1204201
38 68 31 31 38 31 38
78830 99125 87043 102265 43485 51169 78830
1500037 1855343 1492914 1736255 1274196 1323402 1323402
49992 69702 64086 88847 42187 62333 62333
34 32 32 32 35 33 34
-1 -1 -1 -1 -1 -1 -1
4179 4269 7123 7184 4252 11636 4179
1422171 1575730 2097129 2226855 1249612 1610045 1422171
599 640 1649 1667 577 1805 599
420 416 304 304 386 259 420
-1 -1 -1 -1 -1 -1 -1
17327 19024 19839 20651 16043 16964 17327
438249 535024 522939 513289 404703 452198 438249
4954928 5035770 5758588 6088610 4521973 3096060 3096060
-1 -1 -1 -1 -1 -1 -1
56876 65461 62942 68574 50197 60312 56876
147 169 136 136 147 137 137
-1 -1 -1 -1 -1 -1 -1
28018 39676 30312 32283 24772 31810 28018
5885128 6246671 8865331 9520807 5259219 7102066 5885128
2810818 3509653 5124266 5769483 2489046 4605829 2810818
14729690 17543637 14943102 16504918 12995724 12905184 14729690
-1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1
47 46 33 32 47 33 47
188 224 198 200 182 181 181
-1 -1 4042324048 4379439494 -1 2394906504 -1
