mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O mcsplit+randombigf mcsplitb+randombigf
222995 315854 197362 211795 10267 6601 6601 6601 239212 210538 11079 7190 7190 8983 8983
86234872 155969476 72071573 79182981 22111845 11453129 11453129 11453129 138925222 114438974 34976873 17858260 17858260 20747234 20747234
6355 27186 5409 12756 406 391 391 391 6454 5505 494 439 439 361 361
23926141 25065090 -1 -1 43159904 -1 23926141 23926141 28495148 -1 48359384 28495148 28495148 47226217 47226217
-1 -1 -1 -1 4825498698 4147345645 -1 4147345645 -1 -1 -1 -1 4484935044 4605131118 4605131118
-1 -1 -1 -1 1156914739 1163723285 1163723285 1163723285 -1 -1 1467635479 1469093728 1469093728 1142542193 1142542193
2210816 2296064 364579526 369296470 2509956 387202864 2210816 2210816 2687489 417818745 3128451 2687489 2687489 2760035 2760035
508922703 529958668 1042848349 1164476617 494659490 900732998 900732998 508922703 625094252 1286695716 607879490 1120539248 625094252 489540732 489540732
2475757 3981391 2427897 3187123 924932 867437 867437 867437 4406351 4337176 1402454 1291232 1291232 880446 880446
330278242 368473230 263138377 267749161 13065014 8665190 8665190 8665190 390524130 310853289 15038749 9688061 9688061 12101833 12101833
8031284 9557317 287891509 292086920 9518870 322747554 8031284 8031284 11809328 415840684 13928932 11809328 11809328 9939938 9939938
80909 280893 66988 95118 3930 2845 2845 2845 79552 65804 2708 2016 2016 3648 3648
1693566841 1875687518 1350595690 1390360337 37959373 26450855 26450855 26450855 2042148739 1633064249 44999260 30879447 30879447 35647530 35647530
5937607 8611086 5822839 6741259 1725083 1551460 5937607 1551460 6956306 6771082 1777338 6956306 1585792 1708284 1708284
161430 162269 932210 2759792 171722 1042662 161430 161430 145435 1040785 146503 145435 145435 184817 184817
553614202 608086846 3801821797 4028914059 3402063463 -1 553614202 -1 894034328 -1 -1 894034328 -1 3707216073 3707216073
776 570 767 303 241 201 776 201 755 751 220 755 188 241 241
5737 5654 24582 60475 5728 17953 5737 5737 6405 32994 6393 6405 6405 5713 5713
2993471 6301591 2686383 3404314 210383 189683 189683 189683 3760053 3364724 220297 200361 200361 202761 202761
3978771 4453809 28526209 29320634 21949388 64573200 3978771 64573200 5835939 39303250 34429302 5835939 90638794 23857879 23857879
429951833 476240651 341512850 352084748 2881654 1426233 1426233 1426233 447513329 355276851 3160182 1593316 1593316 2387485 2387485
21624 21749 1073444 1213850 23934 1156490 21624 21624 17558 1159901 20131 17558 17558 26621 26621
73192 80471 571442 623487 94440 611779 73192 73192 95293 839362 128101 95293 95293 104231 104231
1848152 1887093 253875245 269063087 1868481 277597900 1848152 1848152 1264794 269274889 1295379 1264794 1264794 2040603 2040603
120059206 142070264 146903662 159355958 89864470 95310713 120059206 95310713 166051936 203474704 124670539 166051936 131859948 90361561 90361561
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
15499852 16610947 38076513 39769736 11108906 25965596 15499852 15499852 15716931 38456208 11374251 15716931 15716931 10270366 10270366
6170 6279 42535 223898 6332 29961 6170 6170 8173 60549 8425 8173 8173 7033 7033
538601 601646 7737300 8935197 655870 8469960 538601 538601 540286 9907881 580550 540286 540286 687953 687953
218631 223982 967778 1162129 238679 1036701 218631 218631 253157 1284533 279593 253157 253157 282463 282463
