instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-659 41 0.42439 41 0.42439 -1 -1 -1
r-577 43 0.41196 43 0.41196 1654102 1417524 1317015
r-905 44 0.241015 44 0.241015 -1 -1 -1
r-807 35 0.252101 35 0.252101 1459 1504 1448
r-378 38 0.398293 38 0.398293 -1 -1 -1
r-10 28 0.253968 28 0.253968 2214393 2256071 1128904
r-9 29 0.487685 29 0.487685 3776296 3667207 2912068
r-226 24 0.48913 24 0.48913 10305 11886 11234
r-995 25 0.333333 25 0.333333 1251095 1437402 876907
r-122 35 0.443697 35 0.443697 92967 88086 91673
r-990 30 0.48046 30 0.48046 7741984 7530772 5502349
r-560 23 0.521739 23 0.521739 217868 227719 219549
r-385 26 0.212308 26 0.212308 598176 667196 457782
r-566 31 0.322581 31 0.322581 6070117 6798662 5476287
r-418 22 0.454545 22 0.454545 399371 387518 286803
r-631 23 0.300395 23 0.300395 223143 220701 176808
r-253 37 0.483483 37 0.483483 84627296 76131316 54297763
r-4 32 0.465726 32 0.465726 138689 144651 131012
r-742 40 0.142308 40 0.142308 93117338 -1 116194945
r-733 24 0.463768 24 0.463768 665755 627230 507008
r-324 20 0.521053 20 0.521053 9521 8002 8165
r-740 23 0.166008 23 0.166008 280 280 280
r-789 25 0.38 25 0.38 2199565 2562480 2128554
r-88 42 0.455285 42 0.455285 -1 -1 -1
r-303 39 0.496626 39 0.496626 58863579 57035709 40815921
r-36 36 0.457143 36 0.457143 351446 312056 351973
r-799 30 0.434483 30 0.434483 20975 20048 19208
r-571 44 0.502114 44 0.502114 45274324 61599044 35856553
r-187 25 0.333333 25 0.333333 711883 691110 548907
r-591 43 0.365449 43 0.365449 -1 -1 -1
r-460 39 0.22942 39 0.22942 746 808 728
r-637 21 0.514286 21 0.514286 10903 9690 8646
r-553 36 0.512698 36 0.512698 6689213 7473769 5313089
r-907 28 0.388889 28 0.388889 2713500 2664362 2156879
r-828 43 0.389812 43 0.389812 198679 190164 151049
r-248 26 0.212308 26 0.212308 293 293 293
r-325 24 0.344203 24 0.344203 526 551 505
r-879 42 0.396051 42 0.396051 768738 619441 612313
r-465 41 0.378049 41 0.378049 212471 222612 140994
r-653 21 0.32381 21 0.32381 22744 24671 24647
r-270 44 0.426004 44 0.426004 -1 -1 -1
r-632 43 0.504983 43 0.504983 -1 -1 -1
r-134 25 0.333333 25 0.333333 714 713 720
r-871 35 0.110924 35 0.110924 634 634 634
r-940 21 0.514286 21 0.514286 64086 66906 58072
r-329 26 0.369231 26 0.369231 1761137 1826921 1377806
r-678 39 0.0512821 39 0.0512821 820 820 820
r-256 40 0.45 40 0.45 4523396 3555037 3016643
r-574 36 0.246032 36 0.246032 401 401 401
r-359 23 0.521739 23 0.521739 43002 38887 32129
r-562 42 0.214866 42 0.214866 2123 2200 2134
r-673 26 0.443077 26 0.443077 9723 10045 7818
r-845 20 0.268421 20 0.268421 199 215 213
r-928 45 0.377778 45 0.377778 -1 -1 -1
r-133 31 0.516129 31 0.516129 1378284 1297118 913962
r-361 44 0.30444 44 0.30444 9036 8457 11158
r-211 28 0.137566 28 0.137566 410 410 410
r-164 28 0.137566 28 0.137566 260075 277913 178767
r-189 31 0.490323 31 0.490323 204893 157131 123011
r-235 39 0.48583 39 0.48583 -1 -1 86356773
r-151 44 0.0454545 44 0.0454545 1035 1035 1035
r-170 31 0.124731 31 0.124731 500 500 500
r-567 35 0.393277 35 0.393277 -1 -1 -1
r-376 36 0.436508 36 0.436508 176084 168791 214691
r-450 20 0.521053 20 0.521053 15353 15885 12920
r-356 30 0.508046 30 0.508046 557385 559964 312996
r-711 28 0.47619 28 0.47619 101274 88004 79319
r-642 28 0.137566 28 0.137566 410 410 410
r-240 33 0.458333 33 0.458333 33421253 31493057 25420901
r-441 33 0.306818 33 0.306818 71024218 83197032 49792215
r-595 29 0.487685 29 0.487685 6837449 6220872 5592839
r-680 30 0.48046 30 0.48046 6212507 5896805 5362208
r-626 28 0.518519 28 0.518519 2064753 2234981 1642426
r-75 20 0.268421 20 0.268421 29030 27549 28612
r-177 36 0.285714 36 0.285714 126589952 -1 104279402
r-723 24 0.463768 24 0.463768 1074230 975258 663908
r-708 22 0.519481 22 0.519481 103312 104284 92729
r-694 20 0.505263 20 0.505263 45349 39440 34556
r-40 29 0.246305 29 0.246305 2053570 2618699 1659320
r-470 37 0.495495 37 0.495495 57103867 53465855 42098484
r-985 42 0.315912 42 0.315912 -1 -1 -1
r-502 37 0.153153 37 0.153153 612 612 612
r-355 45 0.511111 45 0.511111 -1 -1 -1
r-704 43 0.365449 43 0.365449 83465 90792 125736
r-816 29 0.512315 29 0.512315 2587030 2664232 1687852
