instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-902 24 0.228261 24 0.67029 221177 172357 172357 278469 120721 323934 262673 262673 504045 309842 309842
r-877 24 0.753623 24 0.42029 241413 259972 259972 348222 173790 355562 358601 358601 618650 433026 433026
r-931 24 0.431159 24 0.173913 130987 613291 130987 372269 473736 207171 1106784 207171 231052 597606 231052
r-254 24 0.460145 24 0.398551 2010103 3356345 2010103 2576073 2749156 3523511 6286446 3523511 2766148 3417097 2766148
r-719 24 0.601449 24 0.206522 193645 211411 193645 287293 166030 299482 298164 299482 255710 362365 255710
r-442 24 0.547101 24 0.717391 962306 2113598 962306 1544288 1463627 1501412 3893571 1501412 1207111 1637695 1207111
r-936 24 0.431159 24 0.155797 82864 422497 82864 274851 283778 113843 685111 113843 198933 412126 198933
r-303 24 0.742754 24 0.815217 672326 1608831 672326 1158286 1331901 933343 2352015 933343 1180085 1705709 1180085
r-612 24 0.811594 24 0.543478 507505 294340 294340 411619 374772 863162 369232 369232 506839 548983 548983
r-22 24 0.496377 24 0.561594 3158573 3386568 3158573 3641253 3063828 5458143 5883527 5458143 4257904 4152966 4257904
r-377 24 0.681159 24 0.858696 71632 620481 71632 324408 459302 98912 933671 98912 153360 1578525 153360
r-53 24 0.931159 24 0.492754 867128 83911 83911 855284 60336 1156066 106674 106674 360994 179205 179205
r-249 24 0.985507 24 0.742754 -1 2189293 2189293 -1 2177442 -1 2246100 2246100 -1 8051738 8051738
r-195 24 0.742754 24 0.413043 369388 372472 372472 550909 254883 496703 586491 586491 528961 494260 494260
r-634 24 0.702899 24 0.0144928 5259 101019 5259 69846 17678 10350 153520 10350 7532 86424 7532
r-25 24 0.735507 24 0.634058 2298590 945205 945205 2037290 1009779 3745672 1410240 1410240 2034822 1686231 1686231
r-569 24 0.717391 24 0.23913 182516 113916 182516 212572 87174 273682 168224 273682 151904 170633 151904
r-632 24 0.923913 24 0.775362 3434427 114385 114385 3113766 111757 4235228 125218 125218 3553416 225282 225282
r-622 24 0.297101 24 0.405797 2652145 2059812 2059812 2496772 2170848 4792159 3376244 3376244 2541609 2027281 2027281
r-740 24 0.152174 24 0.369565 718422 299102 299102 647816 340141 1151919 435575 435575 795231 881073 881073
r-831 24 0.286232 24 0.742754 122428 170311 122428 175766 119033 180079 247307 180079 223136 327235 223136
r-762 24 0.804348 24 0.768116 1214437 627794 627794 1225837 647775 1714662 863044 863044 2383391 885544 885544
r-370 24 0.996377 24 0.130435 12112 3150 3150 9337 2940 26656 8479 8479 12021 3869 3869
r-325 24 0.217391 24 0.311594 1516026 475259 475259 1379732 529106 2296178 695394 695394 1536769 852086 852086
r-929 24 0.0289855 24 0.721014 42486 14659 14659 40065 11643 102839 23524 23524 63836 28897 28897
r-233 24 0.141304 24 0.615942 115687 72230 72230 112399 38278 176095 100196 100196 150454 95898 95898
r-883 24 0.960145 24 0.938406 -1 11331616 11331616 -1 -1 -1 11455106 11455106 -1 -1 -1
r-77 24 0.00362319 24 0.326087 -1 34627891 34627891 -1 34614777 -1 37084696 37084696 -1 10402861 10402861
r-704 24 0.514493 24 0.557971 3696335 4456125 3696335 4188771 3824752 6427706 8218025 6427706 4470133 4342037 4470133
r-636 24 0.956522 24 0.586957 1465380 66976 66976 1130733 62937 2029127 79804 79804 1557692 74112 74112
r-432 24 0.192029 24 0.626812 189939 155698 155698 205554 84421 268352 236499 236499 320659 223964 223964
r-328 24 0.626812 24 0.931159 106100 1998361 106100 1261007 387719 141008 2747704 141008 233703 1695357 233703
