instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-563 37 0.364865 31 0.830108 3509303 3557505 3509303 3557505 5233663 2635741 5890361 5731504 5890361 5731504 5163039 6209775 5163039 6209775
r-780 30 0.995402 22 0.0562771 5612 641 641 641 5371 660 14556 5855 5855 5855 2647 769 769 769
r-284 28 0.801587 20 0.984211 10621427 -1 10621427 -1 -1 -1 11611766 -1 11611766 -1 105048777 -1 105048777 -1
r-338 13 0.782051 11 0.709091 465 132 132 132 499 134 601 163 163 163 716 624 624 624
r-600 12 0.636364 28 0.671958 2908 34035 2908 2908 30505 2930 3037 37598 3037 3037 14164 15235 14164 14164
r-762 29 0.174877 26 0.852308 49413 79836 49413 79836 66512 45464 71669 126390 71669 126390 84934 143964 84934 143964
r-89 37 0.136637 31 0.307527 88035767 5368811 5368811 5368811 80132933 8023009 131921864 7562221 7562221 7562221 150364675 17212708 17212708 17212708
r-317 21 0.219048 16 0.891667 4740 8480 4740 8480 8164 5788 7459 14160 7459 14160 6793 7878 6793 7878
r-120 20 0.121053 16 0.516667 28933 6748 6748 6748 32516 4299 39810 10014 10014 10014 22302 15918 15918 15918
r-446 28 0.753968 13 0.923077 116366 80492 116366 80492 134842 68157 94928 32933 94928 32933 399267 116247 399267 116247
r-966 14 0.89011 36 0.444444 116689 100845 100845 116689 160806 107027 159469 158639 158639 159469 259510 202251 202251 259510
r-749 29 0.194581 15 0.466667 131908 18617 18617 18617 132588 19740 207242 22910 22910 22910 79054 36614 36614 36614
r-640 35 0.12605 13 0.0769231 60 115 60 115 60 115 82 115 82 115 95 197 95 197
r-349 10 0.0666667 15 0.504762 12260 1573 1573 12260 10052 3041 11786 1862 1862 11786 10308 2959 2959 10308
r-402 13 0.75641 19 0.0175439 357 3965 357 357 3723 323 1128 7887 1128 1128 2931 4446 2931 2931
