instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-902 24 0.228261 24 0.67029 200186 158694 158694 250633 109411 295438 246164 246164 223072 288179 288179
r-877 24 0.753623 24 0.42029 198395 208412 208412 293632 140061 301266 324832 324832 538852 285984 285984
r-931 24 0.431159 24 0.173913 98656 273523 98656 330139 212238 155426 471407 155426 154934 406295 154934
r-254 24 0.460145 24 0.398551 1157814 1622935 1157814 1590838 1297160 1999820 2987731 1999820 1142327 1714582 1142327
r-719 24 0.601449 24 0.206522 163311 167546 163311 238948 129897 260997 243318 260997 175757 319709 175757
r-442 24 0.547101 24 0.717391 718575 1072019 718575 1232037 807786 1126936 1959374 1126936 772989 688874 772989
r-936 24 0.431159 24 0.155797 68624 256884 68624 257674 161457 97546 402863 97546 76443 290182 76443
r-303 24 0.742754 24 0.815217 427903 969804 427903 864011 788596 598250 1412099 598250 784480 985366 784480
r-612 24 0.811594 24 0.543478 298349 185476 185476 226378 252613 515694 291366 291366 307485 370186 370186
r-22 24 0.496377 24 0.561594 2313554 2387811 2313554 2642716 2190405 4042751 4163336 4042751 2758335 2549313 2758335
r-377 24 0.681159 24 0.858696 46687 320236 46687 290478 226565 65364 458290 65364 120589 981353 120589
r-53 24 0.931159 24 0.492754 681577 70879 70879 652648 52936 923073 102212 102212 287663 123721 123721
r-249 24 0.985507 24 0.742754 -1 2159079 2159079 -1 2150943 -1 2230713 2230713 -1 3020478 3020478
r-195 24 0.742754 24 0.413043 316607 283968 283968 483067 188112 470611 462958 462958 439155 329736 329736
r-634 24 0.702899 24 0.0144928 5102 74618 5102 69599 15808 9875 118786 9875 6492 73339 6492
r-25 24 0.735507 24 0.634058 1537882 825465 825465 1261608 898571 2455552 1235200 1235200 1320474 1335580 1335580
r-569 24 0.717391 24 0.23913 158529 102707 158529 178012 77019 241838 153599 241838 82186 139177 82186
r-632 24 0.923913 24 0.775362 1013217 86118 86118 630044 97924 1268294 112780 112780 956716 107220 107220
r-622 24 0.297101 24 0.405797 1564814 1549509 1549509 1362281 1624094 2782435 2550163 2550163 1322571 856438 856438
r-740 24 0.152174 24 0.369565 330680 225566 225566 259954 268068 546788 328238 328238 343952 209898 209898
r-831 24 0.286232 24 0.742754 115239 157505 115239 164202 107678 171248 231164 171248 197046 266962 197046
r-762 24 0.804348 24 0.768116 740977 449621 449621 676617 464540 1012198 609687 609687 1138091 696629 696629
r-370 24 0.996377 24 0.130435 10546 3123 3123 7733 2891 23481 7954 7954 10899 3734 3734
r-325 24 0.217391 24 0.311594 989108 361531 361531 819212 409256 1452869 529171 529171 833073 558126 558126
r-929 24 0.0289855 24 0.721014 38734 14166 14166 36012 11357 92960 22607 22607 59644 19930 19930
r-233 24 0.141304 24 0.615942 105294 59849 59849 99613 32691 160742 88974 88974 134691 76561 76561
r-883 24 0.960145 24 0.938406 -1 4332078 4332078 -1 -1 -1 4372828 4372828 -1 -1 -1
r-77 24 0.00362319 24 0.326087 -1 34246525 34246525 -1 34236337 -1 36883945 36883945 -1 10270932 10270932
r-704 24 0.514493 24 0.557971 2721011 3341002 2721011 3092773 2844973 4832918 6252220 4832918 2926582 3204892 2926582
r-636 24 0.956522 24 0.586957 1079789 63331 63331 735666 60144 1504658 77962 77962 1214726 69357 69357
r-432 24 0.192029 24 0.626812 173779 115423 115423 182772 59220 251939 191048 191048 132923 111496 111496
r-328 24 0.626812 24 0.931159 100727 1369332 100727 1255338 242940 136301 1892923 136301 95913 1268042 95913
r-856 24 0.478261 24 0.221014 165714 479339 165714 479537 371237 244315 781177 244315 290243 570013 290243
r-55 24 0.905797 24 0.800725 952036 71823 71823 557607 86488 1149456 86621 86621 2067050 775391 775391
r-306 24 0.297101 24 0.623188 235621 389361 389361 293565 264008 358808 613722 613722 688070 313617 313617
r-344 24 0.0797101 24 0.445652 830309 27891 27891 639335 25479 1186966 43426 43426 810893 158012 158012
r-959 24 0.73913 24 0.514493 975766 943051 943051 725326 1189134 1783810 1535399 1535399 648340 423341 423341
r-454 24 0.148551 24 0.0108696 26637707 -1 26637707 -1 -1 27895849 -1 27895849 -1 -1 -1
r-268 24 0.130435 24 0.963768 3672 13642 3672 11149 7955 8566 26448 8566 6805 16154 6805
r-346 24 0.0398551 24 0.384058 3303179 45669 45669 2603271 44299 4445855 57469 57469 3932147 254960 254960
r-644 24 0.565217 24 0.735507 926361 1777882 926361 1927623 1480291 1476639 3072540 1476639 1176385 1413207 1176385
r-1000 24 0.0289855 24 0.673913 158600 12276 12276 120239 10200 257565 19491 19491 156452 12390 12390
r-463 24 0.0326087 24 0.826087 17594 2536 2536 14272 1764 33723 6704 6704 18846 2956 2956
r-461 24 0.891304 24 0.438406 176090 32888 32888 139598 19858 268961 49339 49339 250166 44654 44654
r-231 24 0.695652 24 0.945652 37841 4496038 37841 3091355 481199 50253 5229687 50253 94833 5807267 94833
r-947 24 0.98913 24 0.130435 9982 1421 1421 6554 1104 18596 5918 5918 10760 1739 1739
r-81 24 0.862319 24 0.532609 390115 95154 95154 280426 138465 597741 135933 135933 499266 191140 191140
r-255 24 0.471014 24 0.996377 129986 3786156 129986 3444633 354141 162211 5134048 162211 388714 4079511 388714
r-105 24 0.528986 24 0.376812 1539841 1529658 1539841 1836944 1382982 2657270 2507715 2657270 1857346 1852538 1857346
r-912 24 0.869565 24 0.804348 113313 60408 60408 85245 78576 153209 74748 74748 232925 79889 79889
r-296 24 0.811594 24 0.362319 54778 49032 49032 56749 25261 83252 70367 70367 106348 104502 104502
r-611 24 0.931159 24 0.492754 343916 10243 10243 244295 7178 471333 16325 16325 322335 35675 35675
r-523 24 0.532609 24 0.355072 923802 1013306 923802 1033554 867463 1525764 1604231 1525764 1049077 1427324 1049077
r-220 24 0.336957 24 0.554348 514524 449420 449420 593614 329694 809362 708703 708703 624002 722761 722761
r-905 24 0.626812 24 0.724638 910232 1709015 910232 1664867 1324886 1383468 2882265 1383468 908149 1309935 908149
r-351 24 0.98913 24 0.115942 3908 1354 1354 2914 1005 10064 4719 4719 4784 1039 1039
r-953 24 0.0652174 24 0.51087 324671 32534 32534 238708 22430 485598 49767 49767 289710 67126 67126
r-827 24 0.373188 24 0.297101 1544955 2403208 1544955 2392466 2015771 2450450 4154148 2450450 1874427 1953110 1874427
