instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-625 22 0.874459 31 0.378495 281807 127258 127258 281807 252545 179349 431011 200622 200622 431011 561857 201248 201248 561857
r-584 14 0.0879121 10 0.6 1256 181 181 181 1247 162 1780 311 311 311 1812 335 335 335
r-539 31 0.597849 18 0.803922 691341 312202 691341 312202 851873 290465 1094900 443425 1094900 443425 766137 266228 766137 266228
r-40 10 0.266667 42 0.148664 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r-202 43 0.541528 47 0.323774 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-619 43 0.41196 20 0.410526 21314470 8722353 21314470 8722353 22078909 8685885 37823858 13148285 37823858 13148285 16031075 4543500 16031075 4543500
r-971 38 0.809388 25 0.496667 4952281 1541275 1541275 1541275 5528541 1449378 7386549 2292567 2292567 2292567 5105710 1142740 1142740 1142740
r-664 39 0.623482 38 0 13581607 397375841 13581607 397375841 451490229 19033915 14705986 462949029 14705986 462949029 4777014 397375841 4777014 397375841
r-872 32 0.370968 23 0.217391 3906552 5881762 3906552 5881762 5312837 5208384 6425820 9848192 6425820 9848192 6765904 5540589 6765904 5540589
r-897 36 0.480952 22 0.727273 9059024 7910854 9059024 7910854 11908234 7195298 15241617 12559525 15241617 12559525 10394505 8305705 10394505 8305705
r-761 13 0.217949 49 0.0221088 178 72518 178 178 71051 194 234 73380 234 234 287 65584 287 287
r-546 24 0.405797 45 0.522222 63514427 113329500 113329500 63514427 123303658 60704208 108981367 -1 -1 108981367 55466524 137709474 137709474 55466524
r-587 21 0.447619 49 0.326531 18054778 37690282 18054778 18054778 35591739 18194049 27538122 67112050 27538122 27538122 8339940 45907142 8339940 8339940
r-754 15 0.609524 50 0.32 163899 1049755 163899 163899 1174054 154540 203582 1513722 203582 203582 165870 1436343 165870 165870
r-976 31 0.309677 35 0.304202 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-97 34 0.900178 41 0.804878 -1 182271762 182271762 -1 -1 -1 -1 258504490 258504490 -1 -1 -1 -1 -1
r-728 36 0.874603 17 0.948529 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r-655 29 0.583744 43 0.744186 110214652 -1 110214652 110214652 -1 129274011 -1 -1 -1 -1 66663781 -1 66663781 66663781
r-517 49 0.0459184 35 0.253782 -1 15318295 15318295 15318295 -1 22329963 -1 20629224 20629224 20629224 -1 19976828 19976828 19976828
r-649 19 0.210526 16 0.475 10723 4983 4983 4983 9905 5838 16289 6830 6830 6830 6762 2550 2550 2550
