instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-448 37 0.27027 39 0.304993 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-81 13 0.358974 17 0.367647 1819 3699 1819 3827 1320 1967 4781 1967 2908 7649 2908
r-288 23 0.328063 40 0.305128 9706101 13495385 9706101 12789538 10906804 14735032 23055519 14735032 25003282 18325412 25003282
r-779 30 0.347126 18 0.300654 512174 490129 490129 530264 457346 799767 733248 733248 350235 609030 609030
r-907 25 0.286667 12 0.287879 6094 1355 1355 6107 1415 6227 1340 1340 3112 2689 2689
r-299 12 0.348485 16 0.241667 570 2296 570 2095 778 784 3262 784 2095 1390 2095
r-774 12 0.272727 15 0.2 603 1547 603 1220 582 694 1969 694 2039 1375 2039
r-327 24 0.333333 18 0.313725 68121 61855 61855 77673 56580 103913 90797 90797 68539 95285 95285
r-611 23 0.367589 17 0.301471 44816 70186 70186 49510 60973 70558 108487 108487 67398 71694 71694
r-901 40 0.292308 26 0.335385 41493740 14355140 14355140 42362503 15218155 -1 22996247 22996247 41349118 49866872 49866872
r-266 29 0.342365 39 0.304993 25637000 -1 25637000 51635853 26719820 44144689 -1 44144689 138208568 -1 138208568
r-408 11 0.236364 27 0.307692 3055 5724 3055 5006 3109 3116 5793 3116 3526 5108 3526
r-780 16 0.291667 37 0.315315 122504 220361 122504 219141 122896 141663 265569 141663 183797 226215 183797
r-533 31 0.309677 19 0.315789 844707 482750 482750 873094 469553 1362423 705291 705291 999194 1424999 1424999
r-704 37 0.294294 26 0.329231 30154712 30733644 30733644 32288809 32497203 56121586 52632993 52632993 27392623 22478325 22478325
r-976 35 0.302521 36 0.320635 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-166 23 0.320158 27 0.307692 703935 877724 703935 883613 735900 1160771 1525803 1160771 748821 1135242 748821
r-337 22 0.307359 12 0.318182 3709 3644 3644 3792 3691 4503 4220 4220 5341 5570 5570
r-360 18 0.300654 11 0.381818 2484 757 757 2595 751 3186 925 925 819 1848 1848
r-573 37 0.312312 14 0.373626 89173 42100 42100 91329 43381 113137 49951 49951 60874 95582 95582
r-355 30 0.305747 30 0.294253 19588544 21750133 19588544 22658159 17466347 28736581 34928792 28736581 34787952 26641217 34787952
r-926 26 0.292308 40 0.296154 29710201 36432010 29710201 36634683 30490496 47485796 -1 47485796 63636062 47101250 63636062
r-340 22 0.25974 33 0.306818 3383141 1974496 3383141 2179123 3342989 5074545 2819760 5074545 4249589 3474911 4249589
r-935 29 0.293103 40 0.317949 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-947 32 0.284274 26 0.292308 6813075 4707299 4707299 7467627 4202867 11915305 7836473 7836473 10729277 11082887 11082887
r-701 37 0.346847 37 0.288288 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-152 10 0.355556 13 0.294872 139 541 139 397 124 195 692 195 265 420 265
r-186 28 0.298942 12 0.272727 6314 2577 2577 6322 2712 6518 2705 2705 1036 10571 10571
r-616 23 0.284585 14 0.296703 18946 6826 6826 19598 6826 26926 8606 8606 19201 10817 10817
r-121 29 0.278325 35 0.29916 28104200 21304642 28104200 24716203 26887215 47759466 37878837 47759466 57579350 46763548 57579350
r-821 33 0.280303 39 0.296896 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-255 27 0.282051 36 0.338095 38072620 12184814 38072620 13642000 34865569 64590760 21241311 64590760 71041552 39400375 71041552
r-142 16 0.316667 40 0.29359 158406 390680 158406 364516 159765 199760 527754 199760 294276 214773 294276
r-487 22 0.298701 36 0.296825 6990620 6911857 6990620 6448218 6994385 10866625 11640360 10866625 12222946 10714793 12222946
r-554 38 0.267425 14 0.318681 107998 42345 42345 109705 45372 135586 48788 48788 44199 43542 43542
r-66 24 0.358696 21 0.271429 121294 235645 235645 158830 182008 187443 388359 388359 270335 317309 317309
r-181 11 0.2 37 0.28979 179 375 179 198 183 168 393 168 173 144 173
r-213 11 0.309091 28 0.312169 400 701 400 682 416 215 525 215 1272 202 1272
r-91 22 0.350649 19 0.269006 81170 159984 159984 93323 128060 110462 190265 190265 74634 96221 96221
r-48 18 0.320261 21 0.314286 62456 69569 62456 71901 59352 91004 113383 91004 68681 60514 68681
r-728 28 0.285714 38 0.280228 39560650 -1 39560650 -1 42839628 64444240 -1 64444240 -1 -1 -1
r-415 36 0.292063 16 0.333333 246939 240247 240247 257636 250613 354841 317297 317297 370768 125010 125010
r-455 20 0.315789 36 0.320635 1774333 3338994 1774333 3162561 1779756 2654073 5552373 2654073 1874210 1840948 1874210
r-782 21 0.3 36 0.315873 1337893 1549555 1337893 1467267 1327674 2018521 2478401 2018521 4067189 2999056 4067189
r-233 16 0.308333 26 0.298462 44375 109706 44375 107238 46446 46361 119299 46361 53638 70155 53638
r-161 29 0.275862 17 0.286765 257525 62240 62240 268590 63373 378371 80437 80437 100632 140053 140053
r-71 27 0.321937 27 0.245014 2661277 6757271 2661277 3476231 4262703 4165725 10832159 4165725 2663507 8353721 2663507
r-579 19 0.245614 29 0.293103 200990 345452 200990 361367 196714 282832 537532 282832 288595 435251 288595
r-750 22 0.246753 11 0.236364 1019 200 200 1020 221 924 179 179 777 819 819
r-479 27 0.304843 36 0.309524 28079955 35653033 28079955 36731993 28851872 46246882 -1 46246882 52421905 34451047 52421905
r-666 35 0.282353 37 0.318318 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-691 20 0.257895 19 0.25731 36310 35646 35646 41450 32317 50104 48436 48436 30020 32265 32265
r-745 17 0.242647 29 0.307882 164627 156049 164627 160162 163923 217400 233899 217400 230414 284775 230414
r-187 11 0.236364 14 0.296703 488 253 488 292 561 579 307 579 1348 1098 1348
r-52 24 0.271739 25 0.333333 1686287 302973 1686287 416690 1335152 2844954 473574 2844954 1654728 984792 1654728
r-887 20 0.357895 14 0.296703 4191 8378 8378 4794 7735 3665 10537 10537 8541 10971 10971
r-170 12 0.318182 26 0.304615 2423 7569 2423 7083 2411 2579 8747 2579 5625 4033 5625
r-530 23 0.312253 33 0.261364 2608409 4557915 2608409 4248179 3248530 3958450 7761436 3958450 1754603 3047583 1754603
r-499 26 0.295385 31 0.303226 9043198 16135445 9043198 18113410 8793141 15162637 27738122 15162637 12320532 15996196 12320532
r-511 11 0.218182 34 0.283422 102 66 102 69 103 93 80 93 102 105 102
r-211 15 0.352381 31 0.294624 47872 114979 47872 102858 47922 61301 162720 61301 83617 55903 83617
r-854 31 0.290323 22 0.333333 5446525 2596054 2596054 5638394 2837314 9426363 4119667 4119667 1244391 2176519 2176519
r-347 18 0.27451 24 0.289855 29323 58665 29323 60283 25158 40916 90056 40916 128181 196136 128181
r-270 27 0.259259 33 0.304924 27498001 15557326 27498001 18374798 25258715 45644634 10996455 45644634 17479047 20055435 17479047
r-903 26 0.258462 37 0.27027 15612579 32976938 15612579 33030338 16580039 21006281 49400554 21006281 62483276 19431873 62483276
r-572 36 0.301587 20 0.273684 1978225 752530 752530 2056155 773783 3124557 1056330 1056330 1624142 1670598 1670598
r-311 20 0.278947 37 0.321321 954327 1667266 954327 1763455 948639 1346239 2541185 1346239 1300829 1254159 1300829
r-900 39 0.296896 30 0.278161 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-978 15 0.361905 20 0.310526 7406 23726 7406 21513 8005 9054 35650 9054 21372 8735 21372
r-736 22 0.285714 12 0.242424 2236 1541 1541 2241 1587 2381 1649 1649 6972 4565 4565
r-682 10 0.422222 36 0.315873 543 769 543 697 547 303 363 303 7070 1645 7070
r-138 25 0.32 36 0.331746 10083061 14565490 10083061 15122894 10146424 17193371 26860212 17193371 19838317 26542213 19838317
r-623 36 0.31746 35 0.32605 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-113 12 0.227273 14 0.296703 480 615 480 587 356 595 824 595 2025 966 2025
r-618 25 0.29 30 0.275862 909730 2445139 909730 2424058 710115 1456360 4257225 1456360 13691647 4645480 13691647
r-493 23 0.284585 39 0.306343 9549145 12997956 9549145 13162712 9701933 14491752 21984033 14491752 16246097 14383963 16246097
r-155 11 0.309091 15 0.27619 921 2298 921 1999 833 1062 2941 1062 814 1388 814
r-144 17 0.242647 18 0.320261 36017 37059 36017 51679 26789 49964 56862 49964 47079 33357 47079
r-259 17 0.286765 32 0.324597 210327 277586 210327 259542 210909 280745 395614 280745 243598 342379 243598
r-124 26 0.329231 22 0.372294 762843 795004 795004 741537 837194 1302254 1351212 1351212 1415180 863333 863333
r-932 13 0.282051 34 0.28164 5857 17632 5857 15811 5890 5689 18176 5689 4270 8500 4270
r-528 28 0.312169 23 0.280632 799498 2843341 2843341 903537 2642585 1023861 3136144 3136144 2244919 3012956 3012956
r-151 19 0.251462 37 0.292793 1308533 2179403 1308533 2112534 1320129 1737439 3222779 1737439 1825464 2954467 1825464
r-877 22 0.307359 19 0.263158 19404 48059 48059 22280 40071 20861 71005 71005 112049 119055 119055
r-84 37 0.33033 21 0.266667 4943066 3518512 3518512 5212808 3464835 8078077 5264891 5264891 5757790 4279526 4279526
r-435 39 0.287449 25 0.313333 14238498 4872396 4872396 14895750 5116967 25304236 6987091 6987091 28619043 37686400 37686400
