instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-563 37 0.364865 31 0.830108 322069 157725 322069 157725 579246 135580 414396 223744 414396 223744 301960 700271 301960 700271
r-780 30 0.995402 22 0.0562771 456 33 33 33 459 53 926 589 589 589 422 76 76 76
r-284 28 0.801587 20 0.984211 1043800 -1 1043800 -1 -1 -1 1156696 -1 1156696 -1 96208955 -1 96208955 -1
r-338 13 0.782051 11 0.709091 281 87 87 87 294 89 365 116 116 116 458 597 597 597
r-600 12 0.636364 28 0.671958 2907 15400 2907 2907 13903 2929 3035 18962 3035 3035 14163 6166 14163 14163
r-762 29 0.174877 26 0.852308 2212 5850 2212 5850 3168 3898 2346 5142 2346 5142 4813 39399 4813 39399
r-89 37 0.136637 31 0.307527 28703057 619002 619002 619002 27852268 1111415 45392415 862361 862361 862361 36134747 1780942 1780942 1780942
r-317 21 0.219048 16 0.891667 242 944 242 944 362 626 345 1649 345 1649 227 1928 227 1928
r-120 20 0.121053 16 0.516667 4987 1514 1514 1514 5619 838 6545 2122 2122 2122 4113 2137 2137 2137
r-446 28 0.753968 13 0.923077 28608 80491 28608 80491 47084 68156 7170 32932 7170 32932 153900 116246 153900 116246
r-966 14 0.89011 36 0.444444 54869 4416 4416 54869 5804 45899 79482 1452 1452 79482 166768 62905 62905 166768
r-749 29 0.194581 15 0.466667 53233 5698 5698 5698 54720 6376 81525 7399 7399 7399 11194 17605 17605 17605
r-640 35 0.12605 13 0.0769231 59 114 59 114 59 114 81 114 81 114 94 196 94 196
r-349 10 0.0666667 15 0.504762 7277 111 111 7277 273 1158 6152 60 60 6152 5702 878 878 5702
r-402 13 0.75641 19 0.0175439 27 518 27 27 529 48 200 942 200 200 107 506 107 107
r-737 26 0.363077 15 0.72381 3075 11393 3075 11393 3850 7418 1432 14860 1432 14860 17703 26712 17703 26712
r-785 20 0.421053 13 0.730769 354 4712 354 4712 574 3866 335 5217 335 5217 270 6936 270 6936
r-948 24 0.996377 36 0.0904762 2379 74 74 2379 31 1127 5481 537 537 5481 1910 74 74 1910
r-760 18 0.267974 36 0.957143 1227 3156 1227 1227 3237 785 1236 4289 1236 1236 6290 3764 6290 6290
r-798 13 0.74359 34 0.748663 3341 15605 3341 3341 13979 3302 3137 15676 3137 3137 16354 1631 16354 16354
r-971 17 0.786765 37 0.0375375 2204 2086 2204 2204 2186 1661 3126 2857 3126 3126 1318 2387 1318 1318
r-683 16 0.975 10 0.266667 230 70 70 70 236 59 385 152 152 152 199 122 122 122
r-968 15 0.857143 14 0.692308 3996 443 443 443 4277 599 5197 101 101 101 1673 899 899 899
r-25 14 1 36 0.809524 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-98 23 0.667984 36 0.920635 8563 1618261 8563 8563 1524764 14327 7700 1959014 7700 7700 80685 5564979 80685 80685
r-234 36 0.106349 17 0.397059 59554 1435 1435 1435 57333 1071 92575 1160 1160 1160 62133 23104 23104 23104
r-185 21 0.3 11 0.509091 482 1288 1288 1288 572 1406 431 1339 1339 1339 1970 677 677 677
r-78 40 0.429487 16 0.916667 8888 184224 8888 184224 32215 112198 13448 274400 13448 274400 128240 466898 128240 466898
r-626 32 0.372984 21 0.419048 2183955 1203949 1203949 1203949 2215954 1184155 4140963 1971776 1971776 1971776 2084666 2151142 2151142 2151142
