instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-743 29 0.295567 29 0.295567 4105811 -1 1363696439
r-366 13 0.282051 13 0.282051 101538 71115 1561
r-8 16 0.4 16 0.4 7897 9386 7869
r-9 38 0.193457 38 0.193457 723317462 885077362 535298361
r-882 40 0.480769 40 0.480769 -1 -1 -1
r-199 24 0.48913 24 0.48913 1458050 1560125 1251976
r-791 30 0.508046 30 0.508046 19639072 19663206 16108326
r-307 11 0.509091 11 0.509091 2642 2524 2546
r-976 16 0.325 16 0.325 14098 1296032 297465
r-202 34 0.470588 34 0.470588 224907113 230036172 191047561
r-470 19 0.350877 19 0.350877 65837 387129 102388
r-254 32 0.514113 32 0.514113 64138531 62631177 50570290
r-134 32 0.508065 32 0.508065 25463908 24606587 24501072
r-930 19 0.409357 19 0.409357 70042 65196 55155
r-547 18 0.503268 18 0.503268 44380 51308 39124
r-821 23 0.300395 23 0.300395 200664778 121945207 305134
r-706 35 0.504202 35 0.504202 132975999 129362715 90331336
r-915 27 0.501425 27 0.501425 11095500 8136597 4815509
r-815 27 0.518519 27 0.518519 5967838 6360601 5358567
r-367 36 0.322222 36 0.322222 263466291 343397926 338216024
r-117 32 0.120968 32 0.120968 3725077 10465651 11057582
r-364 28 0.349206 28 0.349206 18778164 17696433 12345139
r-983 39 0.504723 39 0.504723 352979340 403420210 276712946
r-245 18 0.503268 18 0.503268 21566 29190 34712
r-670 33 0.219697 33 0.219697 114202180 83621691 39035014
r-525 13 0.384615 13 0.384615 1579 1062 975
r-896 38 0.422475 38 0.422475 729214166 650408444 495583885
r-212 37 0.198198 37 0.198198 816766913 832406824 437684888
r-458 19 0.51462 19 0.51462 142906 141167 107103
r-621 20 0.505263 20 0.505263 149012 140058 113361
r-353 40 0.408974 40 0.408974 -1 -1 -1
r-171 29 0.246305 29 0.246305 18499672 15176820 6914758
r-774 30 0.287356 30 0.287356 -1 -1 33081985
r-834 10 0.466667 10 0.466667 414 341 387
r-183 17 0.485294 17 0.485294 17884 16607 17294
r-229 14 0.263736 14 0.263736 2228 1936 1335
r-898 19 0.526316 19 0.526316 32191 33057 32765
r-717 23 0.0869565 23 0.0869565 -1 -1 -1
r-139 35 0.161345 35 0.161345 -1 -1 -1
r-632 27 0.48433 27 0.48433 3051236 2947043 2356871
r-682 29 0.487685 29 0.487685 6230348 6174825 4790883
r-612 36 0.285714 36 0.285714 687670610 401434759 258092559
r-456 18 0.366013 18 0.366013 15371 155884 61988
r-747 15 0.342857 15 0.342857 5731 5759 4024
r-38 16 0.4 16 0.4 20172 20729 16392
r-526 14 0.527473 14 0.527473 6733 7382 6678
r-393 11 0.436364 11 0.436364 1051 1265 1387
r-570 29 0.46798 29 0.46798 30095891 29057191 24329161
r-309 27 0.518519 27 0.518519 6418369 6991902 6017283
r-877 18 0.294118 18 0.294118 13050 12640 9250
r-242 18 0.424837 18 0.424837 68702 104748 47526
r-589 39 0.48583 39 0.48583 263447923 316450876 220115842
r-739 30 0.496552 30 0.496552 24486330 23687955 18960395
