instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-831 30 0.0666667 30 0.0666667 496 496 496
r-363 49 0.331633 49 0.331633 -1 -1 -1
r-190 13 0.461538 13 0.461538 208 209 196
r-17 16 0.458333 16 0.458333 104 101 108
r-899 13 0.461538 13 0.461538 913 876 816
r-696 39 0.472335 39 0.472335 240210411 227521777 179898808
r-86 19 0.350877 19 0.350877 10524 9760 8972
r-366 35 0.393277 35 0.393277 140750643 153450935 113899417
r-565 40 0.492308 40 0.492308 99213068 97256141 69129931
r-291 40 0.45 40 0.45 1781932 1464637 1308955
r-709 42 0.315912 42 0.315912 -1 -1 -1
r-823 39 0.364372 39 0.364372 19760 23213 24675
r-597 13 0.384615 13 0.384615 103 96 94
r-866 50 0.372245 50 0.372245 -1 -1 -1
r-166 15 0.247619 15 0.247619 3261 3297 1795
r-6 20 0.521053 20 0.521053 7910 8321 9094
r-293 32 0.352823 32 0.352823 524 566 465
r-815 24 0.289855 24 0.289855 570 544 545
r-299 17 0.220588 17 0.220588 157 157 157
r-893 11 0.545455 11 0.545455 63 64 64
r-834 20 0.394737 20 0.394737 54675 48049 47599
r-715 35 0.292437 35 0.292437 962 998 939
r-684 28 0.452381 28 0.452381 25312 21084 17753
r-277 44 0.485201 44 0.485201 144496322 141043790 68080264
r-193 20 0.521053 20 0.521053 5415 5056 5992
r-172 16 0.125 16 0.125 153 153 153
r-206 45 0.511111 45 0.511111 286632772 353501312 195167801
r-182 38 0.341394 38 0.341394 372382690 343078598 233226157
r-93 26 0.409231 26 0.409231 2755898 2737878 2240296
r-327 36 0.0555556 36 0.0555556 703 703 703
r-108 11 0.509091 11 0.509091 234 204 189
r-637 49 0.278912 49 0.278912 -1 -1 -1
r-380 35 0.329412 35 0.329412 121591218 142609398 101846598
r-415 41 0.460976 41 0.460976 416103932 398892180 244857959
r-743 13 0.538462 13 0.538462 495 535 628
r-727 13 0.282051 13 0.282051 95 95 95
r-940 30 0.434483 30 0.434483 14496617 14153096 11001130
r-272 40 0.480769 40 0.480769 11956326 11421924 9827458
r-375 35 0.393277 35 0.393277 179016209 183335708 139180014
r-508 15 0.514286 15 0.514286 2273 1959 1186
r-334 40 0.224359 40 0.224359 1335 1404 1371
r-69 29 0.487685 29 0.487685 65608 73998 77261
r-15 28 0.388889 28 0.388889 1790 1741 1144
r-156 37 0.105105 37 0.105105 7019566 14352442 20436303
r-579 40 0.384615 40 0.384615 45007 40717 21121
r-413 39 0.510121 39 0.510121 52380448 65788060 39283196
r-532 45 0.165657 45 0.165657 778 778 778
r-813 16 0.125 16 0.125 153 153 153
r-768 12 0.484848 12 0.484848 93 101 97
r-325 16 0.233333 16 0.233333 2209 2309 1842
r-817 12 0.166667 12 0.166667 91 91 91
r-905 47 0.194265 47 0.194265 852 852 854
r-23 46 0.0434783 46 0.0434783 1128 1128 1128
r-294 32 0.314516 32 0.314516 20385551 21917628 12628352
r-560 39 0.504723 39 0.504723 12823156 16676575 12900972
r-223 43 0.504983 43 0.504983 45483081 56544707 34317306
r-464 26 0.147692 26 0.147692 86469 140297 825616
r-323 20 0.442105 20 0.442105 293 313 255
r-750 12 0.409091 12 0.409091 1862 1618 1308
r-393 20 0.478947 20 0.478947 1192 1182 946
r-676 38 0.462304 38 0.462304 158969636 156192334 125508692
r-153 35 0.0571429 35 0.0571429 666 666 666
r-780 34 0.513369 34 0.513369 2404488 2591093 1655984
r-281 25 0.52 25 0.52 142677 172956 127659
r-46 19 0.409357 19 0.409357 119 118 120
r-528 23 0.403162 23 0.403162 499 563 544
r-339 47 0.159112 47 0.159112 1795 1757 1794
r-892 34 0.114082 34 0.114082 7218918 6121959 2983464
r-922 50 0.21551 50 0.21551 -1 -1 -1
r-113 48 0.509752 48 0.509752 766016566 1009113404 534576903
r-521 48 0.50266 48 0.50266 1211556378 1456745079 880452463
r-308 22 0.506494 22 0.506494 13991 13294 10298
r-42 24 0.228261 24 0.228261 181770 205804 146740
r-155 47 0.316374 47 0.316374 8924 9065 8823
r-687 42 0.344948 42 0.344948 -1 -1 -1
r-198 44 0.510571 44 0.510571 67577309 87186470 54097261
r-702 12 0.409091 12 0.409091 89 83 81
r-626 18 0.522876 18 0.522876 18684 14668 11680
r-160 48 0.507092 48 0.507092 474674197 555224777 298250810
r-509 16 0.458333 16 0.458333 4555 3505 2480
r-950 16 0.525 16 0.525 2895 2609 3634
r-621 43 0.33887 43 0.33887 11650 9862 8090
r-360 31 0.232258 31 0.232258 13136194 17076386 14899185
r-873 50 0.509388 50 0.509388 1395752863 2059506534 1029907113
r-951 18 0.424837 18 0.424837 34059 32545 27248
r-230 29 0.46798 29 0.46798 81405 74264 90820
r-874 31 0.395699 31 0.395699 1989 2078 1800
r-176 19 0.105263 19 0.105263 210 210 210
r-580 42 0.0929152 42 0.0929152 907 907 907
r-553 49 0.355442 49 0.355442 -1 -1 -1
r-617 39 0.267206 39 0.267206 376879706 501826823 457293848
r-382 10 0.555556 10 0.555556 94 94 102
r-248 39 0.415655 39 0.415655 620825144 725969556 566034072
r-803 42 0.437863 42 0.437863 1888451057 1995310136 1428646617
r-636 36 0.436508 36 0.436508 109032 97800 99989
r-492 38 0.513514 38 0.513514 36313745 45045701 26038977
r-591 21 0.428571 21 0.428571 384 403 355
r-55 49 0.462585 49 0.462585 20236067 19779807 13569799
r-929 18 0.522876 18 0.522876 557 618 572
r-170 49 0.153061 49 0.153061 -1 -1 -1
r-123 11 0.436364 11 0.436364 64 64 64
r-839 25 0.453333 25 0.453333 19836 19558 25381
r-389 13 0.461538 13 0.461538 391 399 336
