instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-494 24 0.82971 24 0.952899 126767 100523733 126767 40724234 16807072 116389 106607872 116389 33703840 356005503 33703840
r-635 24 0.297101 24 0.855072 86130 119276 86130 138499 96206 130401 190454 130401 96662 168729 96662
r-189 24 0.956522 24 0.0543478 7070 1646 1646 6257 1156 13396 6633 6633 6017 1798 1798
r-622 24 0.608696 24 0.572464 2494294 1833824 1833824 2604416 1665081 4632008 3227753 3227753 2737911 2305135 2305135
r-473 24 0.967391 24 0.710145 16176801 20018 20018 10041062 19210 18859747 19721 19721 22019540 736102 736102
r-45 24 0.90942 24 0.34058 65633 26443 26443 62697 13937 112249 40108 40108 54362 29484 29484
r-22 24 0.568841 24 0.289855 557059 696249 557059 841586 610794 840749 1054788 840749 957667 1217234 957667
r-6 24 0.0942029 24 0.82971 21884 18369 18369 23637 10971 32602 28224 28224 21954 27234 27234
r-959 24 0.427536 24 0.0398551 22567 3398281 22567 1796777 271064 22717 4652342 22717 130510 3937273 130510
r-424 24 0.434783 24 0.449275 4308964 3769658 3769658 4384059 3430212 7788608 6786651 6786651 5062357 3688560 3688560
r-647 24 0.561594 24 0.884058 113454 538693 113454 371033 307859 176082 883384 176082 168430 526912 168430
r-70 24 0.438406 24 0.985507 9462 742257 9462 538316 63597 10775 1355169 10775 36653 782428 36653
r-896 24 0.17029 24 0.057971 61934 16283434 61934 4273501 4243178 75526 17954890 75526 4726827 29759798 4726827
r-307 24 0.0615942 24 0.51087 554990 20489 20489 429838 17217 763918 25951 25951 531755 54301 54301
r-97 24 0.807971 24 0.105072 16186 14249 16186 18446 9591 15674 24530 15674 19858 24966 19858
r-659 24 0.344203 24 0.224638 511457 1678292 511457 1214723 1336047 692379 2762962 692379 857230 1225145 857230
r-825 24 0.768116 24 0.434783 296471 247776 247776 330497 168123 408795 333333 333333 634277 339274 339274
r-523 24 0.376812 24 0.141304 154972 637018 154972 426294 480097 168774 1022747 168774 178037 854899 178037
r-948 24 0.192029 24 0.612319 146900 154528 154528 174429 101499 205480 229126 229126 253827 190761 190761
r-770 24 0.380435 24 0.67029 661476 503454 661476 806747 410178 1062105 763203 1062105 826341 908657 826341
r-82 24 0.148551 24 0.336957 843448 99704 99704 734753 132982 1322313 124519 124519 859826 547185 547185
r-302 24 0.521739 24 0.858696 106623 478167 106623 308694 326077 163054 832436 163054 194535 380846 194535
r-961 24 0.148551 24 0.869565 24368 19777 24368 27955 14191 36800 29128 36800 31052 31841 31052
r-957 24 0.0688406 24 0.460145 413354 28531 28531 327591 28464 599302 41438 41438 434790 74633 74633
r-654 24 0.286232 24 0.326087 1988329 1247332 1247332 2106229 1103409 3207072 1931342 1931342 1425370 1203074 1203074
r-863 24 0.913043 24 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-343 24 0.605072 24 0.887681 69524 587455 69524 358123 307923 94936 903955 94936 245159 466229 245159
r-493 24 0.0797101 24 0.173913 7803045 288746 288746 5714302 334070 8771603 350690 350690 22501895 1208819 1208819
r-971 24 0.572464 24 0.0144928 22615 578991 22615 356051 100695 37087 903838 37087 24765 270366 24765
r-326 24 0.0144928 24 0.297101 214523646 591525 591525 180264588 577873 257029832 754278 754278 287581099 4641162 4641162
r-879 24 0.380435 24 0.057971 42762 1444038 42762 596164 288871 59452 1985691 59452 109421 1443695 109421
r-548 24 0.913043 24 0.597826 586896 43885 43885 435235 45076 836715 60635 60635 865141 320061 320061
r-120 24 0.474638 24 0.931159 20392 396476 20392 178276 74248 30212 537123 30212 56745 363767 56745
r-736 24 0.804348 24 0.0471014 10179 20169 10179 19436 14327 19285 37500 19285 19285 22307 19285
r-246 24 0.00362319 24 0.326087 -1 15882263 15882263 -1 15875535 -1 16146649 16146649 -1 -1 -1
r-644 24 0.0144928 24 0.0942029 -1 144109 144109 -1 134416 -1 120185 120185 -1 -1 -1
r-168 24 0.387681 24 0.076087 83069 1209685 83069 767270 327551 85567 1688925 85567 241061 998177 241061
r-511 24 0.717391 24 0.181159 66743 53654 66743 77304 32318 89560 82584 89560 85171 115292 85171
r-300 24 0.148551 24 0.496377 661791 208028 208028 597017 266787 1174183 341484 341484 461845 288388 288388
r-990 24 0.688406 24 0.5 877975 1861429 1861429 1115142 1526006 1314811 3039128 3039128 1963242 1414310 1414310
r-974 24 0.594203 24 0.373188 674304 895083 674304 937050 770604 892700 1380687 892700 966862 1285036 966862
r-33 24 0.826087 24 0.463768 233337 104367 104367 288071 63687 336582 154181 154181 244449 170679 170679
r-510 24 0.166667 24 0.996377 7541 18018 7541 14105 9059 13758 43331 13758 13173 17862 13173
r-514 24 0.355072 24 0.865942 51182 59891 51182 86266 50576 77827 95022 77827 99308 105444 99308
r-367 24 0.757246 24 0 12665 94537 12665 84783 20276 20090 213002 20090 23057 94401 23057
r-226 24 0.210145 24 0.206522 630168 960188 630168 1027020 698291 877393 1338436 877393 2301969 1421654 2301969
r-774 24 0.887681 24 0.789855 937192 82868 82868 676095 115594 1206483 105982 105982 2323310 7641397 7641397
r-724 24 0.735507 24 0.626812 2829674 1307112 1307112 2576915 1400582 4869212 2007355 2007355 2348399 1999297 1999297
r-842 24 0.572464 24 0.597826 4955100 5461724 4955100 5843188 4760658 8762908 10082112 8762908 5400611 5480004 5400611
r-69 24 0.00362319 24 0.434783 100122843 704008 704008 90772664 703160 152712438 1033331 1033331 112064766 257912 257912
r-651 24 0.126812 24 0.568841 235873 144192 144192 269801 73880 348325 220984 220984 385431 251259 251259
r-803 24 0.963768 24 0.923913 -1 3479065 3479065 -1 3477515 -1 3512768 3512768 -1 -1 -1
r-584 24 0.333333 24 0.742754 192356 213562 192356 210191 162971 288231 305736 288231 365685 425202 365685
r-626 24 0.0181159 24 0.467391 12048976 62008 62008 11263942 58777 14822690 86341 86341 11847544 1562788 1562788
r-748 24 0.782609 24 0 10385 312224 10385 286514 17794 17335 413465 17335 22458 307245 22458
r-383 24 0.757246 24 0.862319 162376 471353 162376 335728 364463 186276 668202 186276 540137 648332 540137
r-252 24 0.735507 24 0.0797101 17403 56417 17403 38169 33058 25167 99402 25167 25893 56057 25893
r-983 24 0.434783 24 0.514493 3411362 2651845 2651845 3711974 2424786 5877666 4459182 4459182 3900171 4019008 4019008
r-28 24 0.362319 24 0.221014 1517227 3026320 1517227 2357529 2058384 2367518 5176058 2367518 1588178 1733411 1588178
r-859 24 0.416667 24 0.17029 326251 968534 326251 627805 803132 505397 1607303 505397 690364 811257 690364
r-403 24 0.521739 24 0.623188 2738689 4286047 2738689 3658463 3435413 4616947 8109098 4616947 3719542 4060106 3719542
r-711 24 0.398551 24 0.344203 2645676 3051547 2645676 3353882 2668654 4684870 5532025 4684870 2191540 2473065 2191540
r-475 24 0.746377 24 0.721014 1410487 1190385 1190385 1840550 1055534 2039706 1695556 1695556 1822740 1591820 1591820
r-942 24 0.307971 24 0.452899 3618321 1835650 1835650 3291956 1962877 6604925 2941600 2941600 3050301 2143360 2143360
r-108 24 0.648551 24 0.503623 3532380 1708615 1708615 3218430 1706764 6856822 2854729 2854729 3000784 2429589 2429589
