instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-494 24 0.82971 24 0.952899 55762 68082207 55762 39924207 10266752 61153 72777323 61153 1046178 61129527 1046178
r-635 24 0.297101 24 0.855072 73827 113226 73827 124152 91986 112463 183276 112463 71590 146975 71590
r-189 24 0.956522 24 0.0543478 6606 1491 1491 5793 1025 12451 6006 6006 5257 1646 1646
r-622 24 0.608696 24 0.572464 1583207 1355159 1355159 1612905 1246273 2903807 2384015 2384015 1508759 1377950 1377950
r-473 24 0.967391 24 0.710145 11077913 11251 11251 5686074 10956 12975606 14601 14601 11281271 698744 698744
r-45 24 0.90942 24 0.34058 56244 18696 18696 51950 9168 98027 31619 31619 43529 23360 23360
r-22 24 0.568841 24 0.289855 513358 608464 513358 786485 533410 787006 930429 787006 825657 765553 825657
r-6 24 0.0942029 24 0.82971 20217 16646 16646 21910 9403 30207 25916 25916 17582 25381 25381
r-959 24 0.427536 24 0.0398551 16057 2531498 16057 1784681 246847 22342 3492794 22342 128042 2655789 128042
r-424 24 0.434783 24 0.449275 3173850 2681244 2681244 3211260 2436871 5747214 4850317 4850317 3142995 2473709 2473709
r-647 24 0.561594 24 0.884058 72409 280114 72409 310346 138711 111592 446598 111592 99417 384195 99417
r-70 24 0.438406 24 0.985507 7153 543056 7153 512137 58788 9964 1025329 9964 31284 604602 31284
r-896 24 0.17029 24 0.057971 48990 10850907 48990 4158980 2994863 60727 12020063 60727 3007925 14610706 3007925
r-307 24 0.0615942 24 0.51087 445928 16110 16110 317390 13318 616753 24757 24757 426108 52764 52764
r-97 24 0.807971 24 0.105072 14765 12531 14765 16898 8409 15230 22230 15230 15162 17075 15162
r-659 24 0.344203 24 0.224638 410698 802984 410698 1085027 652756 593894 1341622 593894 610026 635954 610026
r-825 24 0.768116 24 0.434783 246895 213747 213747 274313 144311 367376 319257 319257 517937 252819 252819
r-523 24 0.376812 24 0.141304 104444 312188 104444 365274 228382 149316 510617 149316 85423 538552 85423
r-948 24 0.192029 24 0.612319 114152 145405 145405 134436 94015 168263 222056 222056 162012 108964 108964
r-770 24 0.380435 24 0.67029 462878 449714 462878 539730 361665 745243 694672 745243 470231 599188 470231
r-82 24 0.148551 24 0.336957 275926 64172 64172 174415 95431 420394 87816 87816 347888 192000 192000
r-302 24 0.521739 24 0.858696 67017 224930 67017 257965 146546 103701 376368 103701 151195 259081 151195
r-961 24 0.148551 24 0.869565 21593 18246 21593 24738 13069 34892 27477 34892 23963 16501 23963
r-957 24 0.0688406 24 0.460145 309791 26354 26354 221118 26711 452272 40637 40637 340848 47159 47159
r-654 24 0.286232 24 0.326087 1106862 973179 973179 1114259 897486 1764175 1521649 1521649 712621 737536 737536
r-863 24 0.913043 24 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
