instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-73 15 0.27619 38 0.28734 45208 115201 45208 102157 47100 45063 128821 45063 65998 57437 65998
r-220 39 0.302294 23 0.320158 10618699 4789203 4789203 11158223 4915701 18363725 7556916 7556916 10753707 9904586 9904586
r-934 28 0.312169 25 0.29 2436302 2043896 2043896 2767363 1815555 4302323 3312135 3312135 4470427 5369277 5369277
r-948 10 0.222222 27 0.270655 117 180 117 174 117 98 181 98 55 32 55
r-853 43 0.302326 15 0.342857 135420 29520 29520 139354 29742 167197 35423 35423 71748 59642 59642
r-64 45 0.319192 27 0.327635 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-612 25 0.306667 25 0.306667 629351 804800 629351 720554 735301 1031663 1368900 1031663 1635787 1720155 1635787
r-469 13 0.397436 16 0.275 2261 6158 2261 5373 2337 3148 7948 3148 3128 2325 3128
r-131 49 0.295918 15 0.361905 161278 45447 45447 165656 48599 200017 53255 53255 87973 87027 87027
r-564 39 0.287449 13 0.269231 28421 7990 7990 28422 8601 28448 8017 8017 14972 11946 11946
r-858 42 0.277584 16 0.333333 538047 147777 147777 547178 155478 714591 181683 181683 292469 729909 729909
r-861 48 0.296986 41 0.282927 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-56 15 0.27619 26 0.236923 11908 39126 11908 33699 13221 14679 53308 14679 15255 35576 15255
r-529 33 0.285985 29 0.275862 15253781 24616350 24616350 17648069 23640626 26490609 41771193 41771193 63124569 51993471 51993471
r-593 47 0.295097 32 0.296371 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-559 11 0.236364 50 0.315102 250 251 250 256 250 215 263 215 152 99 152
r-870 47 0.292322 10 0.222222 55 118 118 52 120 78 104 104 32 102 102
r-790 13 0.320513 32 0.318548 22967 21959 22967 20014 22911 26023 26243 26023 31122 13430 31122
r-266 24 0.278986 24 0.289855 793522 420423 793522 919586 385909 1310982 663624 1310982 1267684 820640 1267684
r-232 39 0.28475 30 0.305747 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-809 19 0.350877 12 0.287879 1132 2559 2559 1321 2373 1342 3015 3015 3282 3312 3312
r-962 41 0.262195 27 0.290598 -1 35009066 35009066 -1 41307616 -1 55510477 55510477 -1 -1 -1
r-7 34 0.290553 25 0.33 7785365 5906129 5906129 7818108 6627283 13743061 9757559 9757559 8635777 9618126 9618126
r-311 28 0.312169 42 0.29036 58547096 -1 58547096 -1 61983168 -1 -1 -1 -1 -1 -1
r-750 48 0.31117 10 0.2 36 102 102 36 102 74 102 102 69 125 125
r-765 15 0.295238 28 0.312169 54767 69508 54767 65695 54474 56203 95205 56203 49602 68258 49602
r-673 17 0.308824 23 0.312253 34126 87445 34126 92938 36922 46782 133924 46782 78417 61067 78417
r-724 33 0.285985 39 0.321188 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-771 30 0.337931 29 0.32266 13675037 18485867 18485867 15570777 14836143 25129080 34005682 34005682 13817008 15270884 15270884
r-656 29 0.248768 20 0.294737 671266 155015 155015 703193 180689 1049229 219461 219461 885069 910483 910483
r-848 25 0.3 32 0.304435 6875168 9176170 6875168 9568521 6551271 11106703 15639212 11106703 13965916 11412827 13965916
r-883 33 0.320076 22 0.255411 1687272 2871177 2871177 1903152 2785249 2560870 4336442 4336442 3865326 4238184 4238184
r-825 26 0.313846 31 0.307527 9034711 7351660 9034711 7857373 8983818 15007752 13150461 15007752 9356071 7396050 9356071
r-351 47 0.285846 30 0.266667 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-595 28 0.309524 38 0.295875 32851911 -1 32851911 -1 37056252 55121027 -1 55121027 63760960 -1 63760960
r-445 19 0.280702 26 0.323077 145092 85175 145092 85081 132237 212727 129280 212727 272259 214610 272259
r-582 36 0.307937 28 0.304233 28618783 20712901 20712901 30999111 21217859 51305544 35245411 35245411 91125192 57108055 57108055
r-805 38 0.334282 11 0.218182 99 128 128 98 131 102 105 105 395 324 324
r-401 45 0.311111 27 0.279202 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-384 17 0.323529 32 0.292339 105141 257847 105141 240822 105428 142635 381684 142635 262427 233015 262427
r-785 10 0.333333 19 0.292398 330 1838 330 1464 369 383 2016 383 312 1390 312
r-801 26 0.276923 25 0.313333 1642319 760660 760660 1823173 794357 2798325 1242614 1242614 2420066 1491598 1491598
r-859 17 0.213235 22 0.268398 17471 12682 17471 13764 15474 23106 16955 23106 33201 50659 33201
r-629 15 0.219048 49 0.313776 170282 161599 170282 158721 170497 162071 155698 162071 214525 114620 214525
r-31 30 0.291954 33 0.291667 35947624 41503672 35947624 46486359 33314805 61225623 74212402 61225623 73220121 67279117 73220121
r-834 14 0.230769 15 0.32381 5412 1480 5412 1885 3838 7589 1920 7589 5884 4168 5884
r-212 33 0.285985 25 0.296667 12117220 4603971 4603971 12817704 4775039 20546551 7203178 7203178 11003664 6423217 6423217
r-665 34 0.279857 14 0.252747 28637 21757 21757 28953 23629 30132 23685 23685 30977 21926 21926
r-276 48 0.297872 41 0.30122 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-823 48 0.314716 37 0.294294 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-376 26 0.267692 19 0.345029 186733 93484 93484 187438 96911 304376 137883 137883 123440 228499 228499
r-59 12 0.348485 36 0.303175 5089 16006 5089 13868 5285 4949 14813 4949 7167 4370 7167
r-354 42 0.311266 26 0.258462 -1 52897277 52897277 -1 51387643 -1 -1 -1 -1 -1 -1
r-544 10 0.4 50 0.310204 163 136 163 131 163 150 165 150 273 449 273
r-110 32 0.342742 45 0.30303 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-28 40 0.280769 18 0.326797 1806467 684780 684780 1854821 722060 2728623 905770 905770 1110209 2445580 2445580
r-560 12 0.318182 39 0.287449 2421 7452 2421 6426 2462 2307 7217 2307 3970 15198 3970
r-418 38 0.288762 25 0.25 16087924 12443880 12443880 17733369 12379137 27060452 19163008 19163008 22758939 50281734 50281734
r-133 31 0.296774 48 0.308511 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-705 36 0.307937 26 0.316923 21354636 13618989 13618989 22834203 13970853 38751801 22992449 22992449 25283562 23605551 23605551
r-416 49 0.307823 35 0.319328 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-412 24 0.300725 10 0.244444 3850 1120 1120 3859 1286 3803 1052 1052 4894 2178 2178
r-684 18 0.366013 19 0.251462 13061 56614 13061 48190 13884 15031 90783 15031 16687 49468 16687
r-508 33 0.295455 49 0.286565 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-279 47 0.299722 16 0.208333 344067 61685 61685 349726 63685 381354 62174 62174 97759 45605 45605
r-121 29 0.275862 16 0.258333 95714 42670 42670 98508 44737 126490 51072 51072 70694 72013 72013
r-163 44 0.280127 27 0.310541 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-981 47 0.296947 42 0.30662 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-757 19 0.309942 14 0.263736 4403 5799 5799 4294 5355 5432 7247 7247 10106 9226 9226
r-644 25 0.263333 23 0.264822 1289752 467911 467911 1442740 517386 1484124 586667 586667 1111724 1126984 1126984
r-456 22 0.311688 45 0.289899 3153721 15182223 3153721 14630304 3254038 4357070 24228134 4357070 19018316 5176862 19018316
r-415 48 0.274823 45 0.30404 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-591 36 0.287302 21 0.342857 3111900 848788 848788 3218309 915198 5172467 1206776 1206776 2302335 2113438 2113438
r-871 40 0.303846 36 0.3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-630 33 0.318182 45 0.270707 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-532 22 0.367965 25 0.283333 226796 781957 226796 679617 261480 363075 1388600 363075 754933 833420 754933
r-542 36 0.309524 26 0.323077 16155361 15202131 15202131 17033062 15153326 29610688 26065741 26065741 23814474 59699358 59699358
r-792 16 0.366667 15 0.27619 4337 6972 6972 6200 5507 5173 10272 10272 12735 6073 6073
r-404 16 0.266667 15 0.2 1475 3632 3632 1623 2884 1363 4808 4808 2222 2650 2650
r-95 33 0.276515 45 0.313131 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-774 23 0.300395 50 0.310204 18728619 65533420 18728619 63271813 18601297 27315092 -1 27315092 66202442 58883698 66202442
r-865 48 0.263298 14 0.340659 215819 98998 98998 218936 102416 257167 115875 115875 142534 177566 177566
r-228 22 0.285714 44 0.308668 10629416 18014590 10629416 17575039 10624249 15628845 29548219 15628845 24127222 22325383 24127222
r-484 27 0.310541 15 0.409524 71148 22860 22860 74115 24457 114112 32455 32455 37161 58525 58525
r-657 48 0.29344 15 0.314286 431888 137253 137253 439629 145402 494205 154810 154810 256775 495364 495364
r-762 16 0.4 34 0.319073 84401 271760 84401 253756 84465 115090 408571 115090 206540 169648 206540
r-465 22 0.285714 15 0.247619 8091 6607 6607 8566 6350 10590 8467 8467 21786 11385 11385
r-395 32 0.328629 11 0.345455 423 244 244 424 256 406 206 206 4022 1959 1959
r-63 34 0.317291 31 0.303226 78813306 44087090 44087090 92640428 37910677 -1 -1 -1 93729546 -1 -1
r-306 24 0.318841 29 0.293103 1812708 2349811 1812708 2308090 1841866 3007750 4000625 3007750 2794419 3557543 2794419
r-203 28 0.314815 37 0.285285 25692120 64564471 25692120 63421241 30607506 41695417 -1 41695417 82343410 75801117 82343410
r-440 31 0.292473 30 0.305747 35848337 24448177 24448177 39439100 22681400 -1 42498559 42498559 67938279 74949703 74949703
r-795 33 0.291667 35 0.322689 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-769 26 0.301538 42 0.303136 42170201 -1 42170201 75130805 43875056 69231663 -1 69231663 63434017 82398237 63434017
r-126 13 0.448718 19 0.245614 1482 7332 1482 6128 1574 2030 11772 2030 3974 4004 3974
r-101 19 0.251462 24 0.271739 138446 134669 138446 146371 136448 191450 196036 191450 171083 157872 171083
