instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-625 22 0.874459 31 0.378495 44176 18348 18348 44176 31676 17782 65559 23078 23078 65559 94657 131190 131190 94657
r-584 14 0.0879121 10 0.6 268 140 140 140 273 121 303 184 184 184 329 142 142 142
r-539 31 0.597849 18 0.803922 112052 818513 112052 818513 168750 721154 99087 1144414 99087 1144414 649761 681072 649761 681072
r-40 10 0.266667 42 0.148664 92 46 92 92 46 92 78 70 78 78 109 216 109 109
r-202 43 0.541528 47 0.323774 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-619 43 0.41196 20 0.410526 4661366 8375528 4661366 8375528 4860357 8316776 4719799 13630548 4719799 13630548 4925027 6387621 4925027 6387621
r-971 38 0.809388 25 0.496667 367489 536442 536442 536442 408939 453094 441541 312474 312474 312474 1285947 1358401 1358401 1358401
r-664 39 0.623482 38 0 59318 56895107 59318 56895107 349603 1890957 15767 64171429 15767 64171429 8718920 56704415 8718920 56704415
r-872 32 0.370968 23 0.217391 1025904 4411558 1025904 4411558 1532716 3697972 1608006 7606126 1608006 7606126 1911969 3039673 1911969 3039673
r-897 36 0.480952 22 0.727273 963970 2672180 963970 2672180 1320401 2052677 1460252 4189149 1460252 4189149 3343975 5206602 3343975 5206602
r-761 13 0.217949 49 0.0221088 222 19291 222 222 18317 225 150 19437 150 150 497 7287 497 497
r-546 24 0.405797 45 0.522222 37866380 31459501 31459501 37866380 33319469 35178900 66650528 -1 -1 66650528 62964474 63818540 63818540 62964474
r-587 21 0.447619 49 0.326531 8155464 12278367 8155464 8155464 11550994 8406337 13150913 21668083 13150913 13150913 22098016 15963011 22098016 22098016
r-754 15 0.609524 50 0.32 374138 8192 374138 374138 9604 349181 534962 4892 534962 534962 527805 221330 527805 527805
r-976 31 0.309677 35 0.304202 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-97 34 0.900178 41 0.804878 -1 27951783 27951783 -1 -1 -1 -1 40664939 40664939 -1 -1 -1 -1 -1
r-728 36 0.874603 17 0.948529 7328506 1397838 7328506 1397838 7460284 1092160 6869740 587835 6869740 587835 172 563 172 563
r-655 29 0.583744 43 0.744186 48894331 -1 48894331 48894331 -1 60280571 -1 -1 -1 -1 95320335 -1 95320335 95320335
r-517 49 0.0459184 35 0.253782 -1 5597111 5597111 5597111 -1 6050338 -1 3047034 3047034 3047034 -1 247826239 247826239 247826239
r-649 19 0.210526 16 0.475 13341 3278 3278 3278 12772 5923 21954 4091 4091 4091 5061 8780 8780 8780
r-110 33 0.4375 25 0.246667 777574 15325156 777574 15325156 1369451 12314743 990324 27871829 990324 27871829 13171703 11720744 13171703 11720744
r-723 10 0.0888889 43 0.128461 115 41 41 115 41 115 115 74 74 115 169 47 47 169
r-72 44 0.860465 14 0.384615 14772 4976 4976 4976 16088 6584 19110 5642 5642 5642 11949 80780 80780 80780
r-57 44 0.914376 18 0.712418 142098 9110 9110 9110 138493 10143 156135 5033 5033 5033 70429 86466 86466 86466
r-620 31 0.787097 14 0.934066 33261 10289 33261 10289 33753 9695 32252 8069 32252 8069 24598 13892 24598 13892
r-849 35 0.862185 36 0.195238 57312 11305 11305 57312 24075 33507 32535 4714 4714 32535 177644 148538 148538 177644
r-22 19 0.415205 25 0.776667 9988 16779 9988 9988 18278 7288 7004 19487 7004 7004 14029 28393 14029 14029
r-420 34 0.327986 14 0.879121 2209 34241 2209 34241 2175 22940 125 45196 125 45196 30978 56451 30978 56451
r-908 33 0.526515 13 0.102564 6316 163113 6316 163113 14815 113513 7558 212095 7558 212095 20138 91028 20138 91028
