instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-743 29 0.295567 29 0.295567 941 1000007 264734
r-366 13 0.282051 13 0.282051 16 11 0
r-8 16 0.4 16 0.4 1 2 2
r-9 38 0.193457 38 0.193457 245693 278794 191051
r-882 40 0.480769 40 0.480769 1000009 1000007 1000006
r-199 24 0.48913 24 0.48913 403 432 390
r-791 30 0.508046 30 0.508046 8262 7651 7049
r-307 11 0.509091 11 0.509091 0 0 0
r-976 16 0.325 16 0.325 3 213 56
r-202 34 0.470588 34 0.470588 96133 90237 83925
r-470 19 0.350877 19 0.350877 13 71 22
r-254 32 0.514113 32 0.514113 24773 21956 20283
r-134 32 0.508065 32 0.508065 9672 8644 9493
r-930 19 0.409357 19 0.409357 23 18 19
r-547 18 0.503268 18 0.503268 13 14 12
r-821 23 0.300395 23 0.300395 39306 22676 65
r-706 35 0.504202 35 0.504202 49646 45737 38343
r-915 27 0.501425 27 0.501425 4126 2995 2018
r-815 27 0.518519 27 0.518519 2198 2184 2071
r-367 36 0.322222 36 0.322222 112864 132842 146174
r-117 32 0.120968 32 0.120968 1135 2885 3248
r-364 28 0.349206 28 0.349206 6911 6063 4907
r-983 39 0.504723 39 0.504723 138804 145486 118095
r-245 18 0.503268 18 0.503268 7 8 10
r-670 33 0.219697 33 0.219697 37278 25969 13878
r-525 13 0.384615 13 0.384615 0 0 0
r-896 38 0.422475 38 0.422475 320974 267571 236312
r-212 37 0.198198 37 0.198198 290306 279060 166216
r-458 19 0.51462 19 0.51462 48 44 37
r-621 20 0.505263 20 0.505263 55 47 43
r-353 40 0.408974 40 0.408974 1000000 1000004 1000006
r-171 29 0.246305 29 0.246305 5734 4387 2364
r-774 30 0.287356 30 0.287356 1000003 1000008 7265
r-834 10 0.466667 10 0.466667 0 0 0
r-183 17 0.485294 17 0.485294 5 4 5
r-229 14 0.263736 14 0.263736 0 0 0
r-898 19 0.526316 19 0.526316 11 11 12
r-717 23 0.0869565 23 0.0869565 1000004 1000000 1000004
r-139 35 0.161345 35 0.161345 1000004 1000002 1000004
r-632 27 0.48433 27 0.48433 894 834 798
r-682 29 0.487685 29 0.487685 2057 2016 1805
r-612 36 0.285714 36 0.285714 262868 147306 107767
r-456 18 0.366013 18 0.366013 3 29 13
r-747 15 0.342857 15 0.342857 1 1 1
