instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-283 29 0.229064 29 0.229064 6648 7231 6449
r-776 30 0.747126 30 0.747126 34424 35454 30328
r-506 21 0.647619 21 0.647619 119 103 87
r-856 14 0.637363 14 0.637363 1 1 1
r-555 19 0.0935673 19 0.0935673 7 3 2
r-339 18 0.104575 18 0.104575 0 0 0
r-858 17 0.522059 17 0.522059 20 20 17
r-253 25 0.32 25 0.32 1098 1084 823
r-307 11 0.963636 11 0.963636 0 0 0
r-842 20 0.978947 20 0.978947 0 0 0
r-720 17 0.455882 17 0.455882 12 10 10
r-502 12 0.106061 12 0.106061 0 0 0
r-505 25 0.126667 25 0.126667 55 71 31
r-356 19 0.263158 19 0.263158 21 19 11
r-843 21 0.0857143 21 0.0857143 3 4 8
r-288 30 0.452874 30 0.452874 50846 50936 47281
r-335 18 0.522876 18 0.522876 24 24 28
r-74 16 0.783333 16 0.783333 1 1 1
r-525 28 0.812169 28 0.812169 1588 1567 1571
r-668 23 0.956522 23 0.956522 8159 7964 18
r-665 17 0.911765 17 0.911765 0 0 0
r-396 28 0.484127 28 0.484127 12104 12442 11607
r-420 13 0.0512821 13 0.0512821 0 0 0
r-804 11 0.381818 11 0.381818 0 0 0
r-835 25 0.85 25 0.85 164 143 136
r-762 18 0.633987 18 0.633987 14 14 11
r-148 14 0.714286 14 0.714286 0 1 0
r-606 26 0.772308 26 0.772308 1061 1081 1012
r-40 22 0.268398 22 0.268398 95 103 101
r-226 24 0.5 24 0.5 1265 1247 1193
r-538 30 0.896552 30 0.896552 709 693 607
r-280 24 0.478261 24 0.478261 1538 1402 1260
r-130 29 0.977833 29 0.977833 1 8 24
r-597 22 0.943723 22 0.943723 0 0 0
r-367 10 0.666667 10 0.666667 0 0 0
r-47 14 0.32967 14 0.32967 1 1 1
r-969 30 0.811494 30 0.811494 8179 9574 5800
r-336 26 0.833846 26 0.833846 485 681 537
r-960 15 0.885714 15 0.885714 0 0 0
r-917 15 0.0761905 15 0.0761905 0 0 0
r-978 28 0.444444 28 0.444444 11354 11475 10600
r-692 10 0.6 10 0.6 0 0 0
r-314 23 0.134387 23 0.134387 33 27 17
r-481 22 0.935065 22 0.935065 791 100005 100006
r-653 30 0.450575 30 0.450575 35726 36652 28957
r-648 28 0.328042 28 0.328042 10828 11791 10176
r-126 21 0.395238 21 0.395238 76 78 110
r-8 11 0.345455 11 0.345455 0 0 0
r-950 23 0.185771 23 0.185771 135 168 84
r-750 29 0.362069 29 0.362069 14782 16014 14455
r-805 14 0.703297 14 0.703297 2 2 1
r-632 22 0.316017 22 0.316017 131 123 114
r-500 13 0.025641 13 0.025641 0 0 0
r-729 18 0.732026 18 0.732026 12 13 8
r-17 14 0.153846 14 0.153846 0 0 0
r-162 20 0.142105 20 0.142105 5 6 6
r-807 24 0.742754 24 0.742754 191 215 269
r-854 17 0.845588 17 0.845588 1 1 1
r-945 12 0.106061 12 0.106061 0 0 0
r-28 15 0.466667 15 0.466667 3 3 2
r-204 29 0.118227 29 0.118227 323 366 247
r-79 21 0.742857 21 0.742857 133 143 122
r-486 30 0.266667 30 0.266667 26533 29925 22233
r-624 15 0.295238 15 0.295238 3 4 3
r-405 17 0.632353 17 0.632353 6 6 9
r-823 19 0.824561 19 0.824561 18 21 21
r-752 24 0.789855 24 0.789855 137 156 117
r-166 16 0.916667 16 0.916667 13 12 2
r-616 14 0.813187 14 0.813187 0 0 0
r-793 13 0.423077 13 0.423077 0 0 0
r-62 22 0.030303 22 0.030303 1 0 0
r-824 22 0.12987 22 0.12987 6 7 8
r-886 10 0.777778 10 0.777778 0 0 0
r-434 12 0.136364 12 0.136364 0 0 0
r-674 15 0.428571 15 0.428571 3 3 2
r-533 28 0.037037 28 0.037037 19309 24965 100005
r-19 15 0.457143 15 0.457143 7 6 7
r-593 28 0.600529 28 0.600529 16298 16783 14621
