instance last_unsat_time sat_time total_subproblem_time total_subproblem_time_minus_last_unsat run_time last_unsat_time sat_time total_subproblem_time total_subproblem_time_minus_last_unsat run_time
mcs50_b09m_s35_AB08 24935 55753 100001 75066 100008 25164 55394 99999 74835 100007
mcs70_b03m_s40_AB08 4556 10924 16190 11634 16193 4643 10595 15927 11284 15930
mcs30_m3Dr4_s25_AB01 244 88 424 180 428 246 89 429 183 432
mcs70_r02_s20_AB03 5 1 7 2 9 5 1 7 2 9
mcs90_m2Dr4_s40_AB05 6 0 7 1 9 6 1 8 2 10
mcs50_m4Dr2_s40_AB05 59034 7077 78589 19555 78592 59277 7085 78894 19617 78899
mcs70_b03_s25_AB09 10 0 12 2 13 10 0 12 2 13
mcs50_b06m_s50_AB06 32439 52461 99996 67557 100002 31891 53372 100003 68112 100009
mcs90_r02_s15_AB03 0 0 0 0 0 0 0 0 0 0
mcs70_b06m_s40_AB02 1340 241 2238 898 2243 1315 240 2229 914 2234
mcs50_m2Dr6_s50_AB06 38931 47287 100001 61070 100005 38848 47394 99998 61150 100003
mcs30_r005_s35_AB05 16272 99 19254 2982 19258 16297 97 19298 3001 19302
mcs50_b03_s40_AB07 37701 17604 60005 22304 60008 37692 17540 59947 22255 59951
mcs70_m2Dr2_s15_AB03 0 0 0 0 1 0 0 0 0 1
mcs30_m3D_s40_AB05 21634 71092 99994 78360 100000 21487 71229 100005 78518 100009
mcs50_r01_s40_AB06 59065 6065 100000 40935 100007 59167 6018 99996 40829 100005
mcs70_b09m_s40_AB02 3586 772 7345 3759 7351 3565 773 7334 3769 7341
mcs30_b03_s30_AB00 176 100 306 130 307 175 99 303 128 306
mcs50_b06m_s15_AB04 2 0 2 0 3 2 0 2 0 3
mcs70_b09m_s30_AB01 423 25 794 371 799 411 24 772 361 777
mcs90_b06_s40_AB09 2 0 2 0 2 2 0 2 0 3
mcs30_b03m_s20_AB08 5 0 6 1 7 5 0 6 1 7
mcs50_m2Dr4_s20_AB06 13 0 16 3 19 12 0 15 3 18
mcs50_m2D_s20_AB01 5 5 11 6 13 5 6 12 7 13
mcs70_m2D_s40_AB06 75712 0 91149 15437 91153 76464 8037 100002 23538 100007
mcs50_r01_s35_AB06 57387 13720 100002 42615 100008 57807 12983 99995 42188 100001
mcs90_b09_s30_AB04 4 0 5 1 7 4 0 5 1 7
mcs90_m2Dr6_s10_AB02 0 0 0 0 0 0 0 0 0 0
mcs70_r01_s20_AB07 28 0 38 10 39 29 0 39 10 41
mcs50_b03_s50_AB07 14890 83277 99998 85108 100002 15000 83145 100000 85000 100003
mcs50_m2Dr6_s30_AB03 5704 284 7800 2096 7805 5703 284 7837 2134 7841
mcs90_m2Dr6_s40_AB01 8 0 9 1 11 8 0 9 1 11
mcs50_b06m_s20_AB00 22 1 35 13 37 22 1 35 13 37
mcs90_m4Dr6_s20_AB08 0 0 0 0 1 0 0 0 0 1
mcs70_b09m_s50_AB06 28932 37523 100004 71072 100010 45292 19565 99999 54707 100006
mcs50_m4Dr4_s40_AB01 46221 1778 61358 15137 61362 49080 2545 64952 15872 64958
mcs50_m2Dr6_s40_AB01 22719 69300 100002 77283 100008 22668 69342 99998 77330 100003
mcs70_r02_s15_AB07 1 0 1 0 2 1 0 1 0 3
mcs70_b09_s30_AB05 331 80 663 332 666 328 80 659 331 662
mcs50_m4Dr6_s30_AB06 2922 1026 4854 1932 4859 2899 1015 4813 1914 4817
mcs30_b06_s30_AB00 5452 0 7674 2222 7680 5426 151 7740 2314 7745
mcs30_b03_s40_AB02 15339 0 17102 1763 17105 15338 8570 25520 10182 25523
mcs50_m3Dr4_s20_AB01 13 6 24 11 25 13 6 24 11 25
mcs50_m2Dr2_s40_AB07 65950 5728 86408 20458 86411 65966 5719 86452 20486 86457
mcs90_r01_s25_AB02 0 0 0 0 0 0 0 0 0 0
mcs50_r01_s35_AB07 47940 26111 100004 52064 100008 47320 27114 99998 52678 100004
mcs70_r02_s50_AB05 28704 22943 87059 58355 87067 28994 23146 87823 58829 87831
mcs70_b03_s25_AB08 12 2 16 4 18 12 2 16 4 18
mcs50_m3Dr6_s15_AB09 1 0 1 0 2 1 0 1 0 2
mcs30_m3Dr6_s30_AB06 7160 1199 11441 4281 11447 7090 1198 11379 4289 11384
mcs70_b03_s35_AB07 2585 1664 4618 2033 4622 2548 1661 4590 2042 4593
mcs70_m2Dr2_s25_AB07 110 1 134 24 137 113 2 138 25 140
mcs50_b03_s10_AB03 0 0 0 0 0 0 0 0 0 0
mcs90_m2Dr6_s20_AB02 1 0 1 0 1 1 0 1 0 2
mcs30_r02_s35_AB03 31501 36698 100000 68499 100008 31077 37466 99998 68921 100004
mcs90_m3Dr4_s10_AB06 0 0 0 0 0 0 0 0 0 0
mcs70_b09_s30_AB09 259 37 502 243 504 258 37 499 241 503
mcs70_m2D_s25_AB09 67 43 126 59 128 68 43 128 60 131
mcs70_b06_s20_AB09 7 0 9 2 11 7 0 9 2 12
mcs70_b03_s35_AB08 238 105 377 139 379 264 116 421 157 423
mcs70_m4Dr6_s25_AB05 117 63 226 109 229 117 62 225 108 229
mcs70_b03m_s15_AB07 0 0 0 0 1 0 0 0 0 1
mcs70_m2Dr6_s50_AB01 21246 71283 100000 78754 100005 21327 71208 99999 78672 100004
mcs70_m2Dr2_s50_AB06 41169 47685 100004 58835 100008 41332 47446 100006 58674 100010
mcs90_r02_s15_AB01 0 0 0 0 0 0 0 0 0 0
mcs10_r01_s20_AB08 10 0 12 2 15 10 0 12 2 15
mcs90_r005_s30_AB01 0 0 0 0 1 0 0 0 0 1
mcs10_m2Dr6_s50_AB00 19777 72857 100000 80223 100004 19676 72961 100006 80330 100009
mcs50_b09m_s30_AB08 9764 815 17691 7927 17698 9701 792 17142 7441 17149
mcs90_b03m_s10_AB04 0 0 0 0 0 0 0 0 0 0
mcs50_m4D_s40_AB05 21061 8072 31591 10530 31595 20923 8016 31385 10462 31389
mcs70_m3D_s35_AB07 958 86 1383 425 1386 969 84 1398 429 1402
mcs50_m4Dr6_s40_AB09 40155 49640 99996 59841 100001 40201 49507 100002 59801 100007
mcs50_b06m_s20_AB02 21 23 56 35 58 21 23 56 35 58
mcs70_m3Dr2_s40_AB06 24639 65477 99997 75358 100002 24528 65623 99999 75471 100006
mcs50_b09_s40_AB08 26810 50481 99995 73185 100000 26995 50241 99995 73000 100002
mcs90_b06m_s10_AB00 0 0 0 0 0 0 0 0 0 0
mcs90_r01_s35_AB07 1 0 1 0 2 1 0 1 0 2
mcs30_r02_s50_AB01 29566 34390 99993 70427 100002 29671 34228 100000 70329 100008
mcs30_r02_s20_AB06 49 3 82 33 85 50 3 84 34 88
mcs90_b09_s35_AB09 15 0 21 6 22 15 0 21 6 23
mcs90_m2Dr6_s30_AB02 12 3 18 6 20 8 2 13 5 15
mcs70_b03_s50_AB07 21040 76456 100003 78963 100007 20967 76467 100003 79036 100006
mcs30_m2Dr4_s30_AB05 1385 61 1884 499 1886 1385 62 1882 497 1886
