instance densityA densityB
mcs10_b03_s100_AB00 0.0151515 0.0151515
mcs10_b03_s100_AB01 0.0151515 0.0151515
mcs10_b03_s100_AB02 0.0151515 0.0151515
mcs10_b03_s100_AB03 0.0151515 0.0151515
mcs10_b03_s100_AB04 0.0151515 0.0151515
mcs10_b03_s100_AB05 0.0151515 0.0151515
mcs10_b03_s100_AB06 0.0151515 0.0151515
mcs10_b03_s100_AB07 0.0151515 0.0151515
mcs10_b03_s100_AB08 0.0151515 0.0151515
mcs10_b03_s100_AB09 0.0151515 0.0151515
mcs10_b03_s40_AB00 0.0384615 0.0384615
mcs10_b03_s40_AB01 0.0384615 0.0384615
mcs10_b03_s40_AB02 0.0384615 0.0384615
mcs10_b03_s40_AB03 0.0384615 0.0384615
mcs10_b03_s40_AB04 0.0384615 0.0384615
mcs10_b03_s40_AB05 0.0384615 0.0384615
mcs10_b03_s40_AB06 0.0384615 0.0384615
mcs10_b03_s40_AB07 0.0384615 0.0384615
mcs10_b03_s40_AB08 0.0384615 0.0384615
mcs10_b03_s40_AB09 0.0384615 0.0384615
mcs10_b03_s50_AB00 0.0306122 0.0306122
mcs10_b03_s50_AB01 0.0306122 0.0306122
mcs10_b03_s50_AB02 0.0306122 0.0306122
mcs10_b03_s50_AB03 0.0306122 0.0306122
mcs10_b03_s50_AB04 0.0306122 0.0306122
mcs10_b03_s50_AB05 0.0306122 0.0306122
mcs10_b03_s50_AB06 0.0306122 0.0306122
mcs10_b03_s50_AB07 0.0306122 0.0306122
mcs10_b03_s50_AB08 0.0306122 0.0306122
mcs10_b03_s50_AB09 0.0306122 0.0306122
mcs10_b03_s60_AB00 0.0254237 0.0254237
mcs10_b03_s60_AB01 0.0254237 0.0254237
mcs10_b03_s60_AB02 0.0254237 0.0254237
mcs10_b03_s60_AB03 0.0254237 0.0254237
mcs10_b03_s60_AB04 0.0254237 0.0254237
mcs10_b03_s60_AB05 0.0254237 0.0254237
mcs10_b03_s60_AB06 0.0254237 0.0254237
mcs10_b03_s60_AB07 0.0254237 0.0254237
mcs10_b03_s60_AB08 0.0254237 0.0254237
mcs10_b03_s60_AB09 0.0254237 0.0254237
mcs10_b03_s70_AB00 0.0217391 0.0217391
mcs10_b03_s70_AB01 0.0217391 0.0217391
mcs10_b03_s70_AB02 0.0217391 0.0217391
mcs10_b03_s70_AB03 0.0217391 0.0217391
mcs10_b03_s70_AB04 0.0217391 0.0217391
mcs10_b03_s70_AB05 0.0217391 0.0217391
mcs10_b03_s70_AB06 0.0217391 0.0217391
mcs10_b03_s70_AB07 0.0217391 0.0217391
mcs10_b03_s70_AB08 0.0217391 0.0217391
mcs10_b03_s70_AB09 0.0217391 0.0217391
mcs10_b03_s80_AB00 0.0189873 0.0189873
mcs10_b03_s80_AB01 0.0189873 0.0189873
mcs10_b03_s80_AB02 0.0189873 0.0189873
mcs10_b03_s80_AB03 0.0189873 0.0189873
mcs10_b03_s80_AB04 0.0189873 0.0189873
mcs10_b03_s80_AB05 0.0189873 0.0189873
mcs10_b03_s80_AB06 0.0189873 0.0189873
mcs10_b03_s80_AB07 0.0189873 0.0189873
mcs10_b03_s80_AB08 0.0189873 0.0189873
mcs10_b03_s80_AB09 0.0189873 0.0189873
mcs10_b03_s90_AB00 0.0168539 0.0168539
mcs10_b03_s90_AB01 0.0168539 0.0168539
mcs10_b03_s90_AB02 0.0168539 0.0168539
mcs10_b03_s90_AB03 0.0168539 0.0168539
mcs10_b03_s90_AB04 0.0168539 0.0168539
mcs10_b03_s90_AB05 0.0168539 0.0168539
mcs10_b03_s90_AB06 0.0168539 0.0168539
mcs10_b03_s90_AB07 0.0168539 0.0168539
mcs10_b03_s90_AB08 0.0168539 0.0168539
mcs10_b03_s90_AB09 0.0168539 0.0168539
mcs10_b03m_s100_AB00 0.0151515 0.0151515
mcs10_b03m_s100_AB01 0.0151515 0.0151515
mcs10_b03m_s100_AB02 0.0151515 0.0151515
mcs10_b03m_s100_AB03 0.0151515 0.0151515
mcs10_b03m_s100_AB04 0.0151515 0.0151515
mcs10_b03m_s100_AB05 0.0151515 0.0151515
mcs10_b03m_s100_AB06 0.0151515 0.0151515
mcs10_b03m_s100_AB07 0.0151515 0.0151515
mcs10_b03m_s100_AB08 0.0151515 0.0151515
mcs10_b03m_s100_AB09 0.0151515 0.0151515
mcs10_b03m_s40_AB00 0.0384615 0.0384615
mcs10_b03m_s40_AB01 0.0384615 0.0384615
mcs10_b03m_s40_AB02 0.0384615 0.0378205
mcs10_b03m_s40_AB03 0.0384615 0.0378205
mcs10_b03m_s40_AB04 0.0384615 0.0378205
mcs10_b03m_s40_AB05 0.0384615 0.0378205
mcs10_b03m_s40_AB06 0.0384615 0.0378205
mcs10_b03m_s40_AB07 0.0384615 0.0384615
mcs10_b03m_s40_AB08 0.0384615 0.0378205
mcs10_b03m_s40_AB09 0.0384615 0.0378205
mcs10_b03m_s50_AB00 0.0306122 0.0302041
mcs10_b03m_s50_AB01 0.0306122 0.0306122
mcs10_b03m_s50_AB02 0.0306122 0.0302041
mcs10_b03m_s50_AB03 0.0306122 0.0306122
mcs10_b03m_s50_AB04 0.0306122 0.0306122
mcs10_b03m_s50_AB05 0.0306122 0.0306122
mcs10_b03m_s50_AB06 0.0306122 0.0306122
mcs10_b03m_s50_AB07 0.0306122 0.0306122
mcs10_b03m_s50_AB08 0.0306122 0.0306122
mcs10_b03m_s50_AB09 0.0306122 0.0306122
mcs10_b03m_s60_AB00 0.0254237 0.0254237
mcs10_b03m_s60_AB01 0.0254237 0.0254237
mcs10_b03m_s60_AB02 0.0254237 0.0254237
mcs10_b03m_s60_AB03 0.0254237 0.0254237
mcs10_b03m_s60_AB04 0.0254237 0.0254237
mcs10_b03m_s60_AB05 0.0254237 0.0254237
mcs10_b03m_s60_AB06 0.0254237 0.0254237
mcs10_b03m_s60_AB07 0.0254237 0.0254237
mcs10_b03m_s60_AB08 0.0254237 0.0254237
mcs10_b03m_s60_AB09 0.0254237 0.0254237
mcs10_b03m_s70_AB00 0.0217391 0.0217391
mcs10_b03m_s70_AB01 0.0217391 0.0217391
mcs10_b03m_s70_AB02 0.0217391 0.0217391
mcs10_b03m_s70_AB03 0.0217391 0.0217391
mcs10_b03m_s70_AB04 0.0217391 0.0217391
mcs10_b03m_s70_AB05 0.0217391 0.0217391
mcs10_b03m_s70_AB06 0.0217391 0.0217391
mcs10_b03m_s70_AB07 0.0217391 0.0215321
mcs10_b03m_s70_AB08 0.0217391 0.0217391
mcs10_b03m_s70_AB09 0.0217391 0.0217391
mcs10_b03m_s80_AB00 0.0189873 0.0189873
mcs10_b03m_s80_AB01 0.0189873 0.0189873
mcs10_b03m_s80_AB02 0.0189873 0.0189873
mcs10_b03m_s80_AB03 0.0189873 0.0189873
mcs10_b03m_s80_AB04 0.0189873 0.0189873
mcs10_b03m_s80_AB05 0.0189873 0.0189873
mcs10_b03m_s80_AB06 0.0189873 0.0189873
mcs10_b03m_s80_AB07 0.0189873 0.0189873
mcs10_b03m_s80_AB08 0.0189873 0.0189873
mcs10_b03m_s80_AB09 0.0189873 0.0189873
mcs10_b03m_s90_AB00 0.0168539 0.0168539
mcs10_b03m_s90_AB01 0.0168539 0.0168539
mcs10_b03m_s90_AB02 0.0168539 0.0168539
mcs10_b03m_s90_AB03 0.0168539 0.0168539
mcs10_b03m_s90_AB04 0.0168539 0.0168539
mcs10_b03m_s90_AB05 0.0168539 0.0168539
mcs10_b03m_s90_AB06 0.0168539 0.0168539
mcs10_b03m_s90_AB07 0.0168539 0.0168539
mcs10_b03m_s90_AB08 0.0168539 0.0168539
mcs10_b03m_s90_AB09 0.0168539 0.0168539
mcs10_b06_s100_AB00 0.030303 0.030303
mcs10_b06_s100_AB01 0.030303 0.030303
mcs10_b06_s100_AB02 0.030303 0.030303
mcs10_b06_s100_AB03 0.030303 0.030303
mcs10_b06_s100_AB04 0.030303 0.030303
mcs10_b06_s100_AB05 0.030303 0.030303
mcs10_b06_s100_AB06 0.030303 0.030303
mcs10_b06_s100_AB07 0.030303 0.030303
mcs10_b06_s100_AB08 0.030303 0.030303
mcs10_b06_s100_AB09 0.030303 0.030303
mcs10_b06_s70_AB00 0.0434783 0.0434783
mcs10_b06_s70_AB01 0.0434783 0.0434783
mcs10_b06_s70_AB02 0.0434783 0.0434783
mcs10_b06_s70_AB03 0.0434783 0.0434783
mcs10_b06_s70_AB04 0.0434783 0.0434783
mcs10_b06_s70_AB05 0.0434783 0.0434783
mcs10_b06_s70_AB06 0.0434783 0.0434783
mcs10_b06_s70_AB07 0.0434783 0.0434783
mcs10_b06_s70_AB08 0.0434783 0.0434783
mcs10_b06_s70_AB09 0.0434783 0.0434783
mcs10_b06_s80_AB00 0.0379747 0.0379747
mcs10_b06_s80_AB01 0.0379747 0.0379747
mcs10_b06_s80_AB02 0.0379747 0.0379747
mcs10_b06_s80_AB03 0.0379747 0.0379747
mcs10_b06_s80_AB04 0.0379747 0.0379747
mcs10_b06_s80_AB05 0.0379747 0.0379747
mcs10_b06_s80_AB06 0.0379747 0.0379747
mcs10_b06_s80_AB07 0.0379747 0.0379747
mcs10_b06_s80_AB08 0.0379747 0.0379747
mcs10_b06_s80_AB09 0.0379747 0.0379747
mcs10_b06_s90_AB00 0.0337079 0.0337079
mcs10_b06_s90_AB01 0.0337079 0.0337079
mcs10_b06_s90_AB02 0.0337079 0.0337079
mcs10_b06_s90_AB03 0.0337079 0.0337079
mcs10_b06_s90_AB04 0.0337079 0.0337079
mcs10_b06_s90_AB05 0.0337079 0.0337079
mcs10_b06_s90_AB06 0.0337079 0.0337079
mcs10_b06_s90_AB07 0.0337079 0.0337079
mcs10_b06_s90_AB08 0.0337079 0.0337079
mcs10_b06_s90_AB09 0.0337079 0.0337079
mcs10_b06m_s100_AB00 0.030303 0.030303
mcs10_b06m_s100_AB01 0.030303 0.030303
mcs10_b06m_s100_AB02 0.030303 0.030303
mcs10_b06m_s100_AB03 0.030303 0.030303
mcs10_b06m_s100_AB04 0.030303 0.030303
mcs10_b06m_s100_AB05 0.030303 0.030303
mcs10_b06m_s100_AB06 0.030303 0.030303
mcs10_b06m_s100_AB07 0.030303 0.030303
mcs10_b06m_s100_AB08 0.030303 0.030303
mcs10_b06m_s100_AB09 0.030303 0.030303
mcs10_b06m_s70_AB00 0.0434783 0.0434783
mcs10_b06m_s70_AB01 0.0434783 0.0434783
mcs10_b06m_s70_AB02 0.0434783 0.0434783
mcs10_b06m_s70_AB03 0.0434783 0.0434783
mcs10_b06m_s70_AB04 0.0434783 0.0434783
mcs10_b06m_s70_AB05 0.0434783 0.0434783
mcs10_b06m_s70_AB06 0.0434783 0.0434783
mcs10_b06m_s70_AB07 0.0434783 0.0434783
mcs10_b06m_s70_AB08 0.0434783 0.0434783
mcs10_b06m_s70_AB09 0.0434783 0.0434783
