instance nA densityA nB densityB
mcs50_b03m_s25_AB09_mcs90_b09m_s15_AB07 25 0.12 15 0.561905
mcs50_b09m_s25_AB02_mcs10_r02_s25_AB05 25 0.346667 25 0.37
mcs30_b09m_s35_AB08_mcs90_b09_s25_AB06 35 0.238655 25 0.37
mcs30_m3D_s40_AB06_mcs70_b09_s15_AB08 40 0.103846 15 0.609524
mcs50_m2Dr4_s20_AB05_mcs30_r02_s20_AB01 20 0.194737 20 0.357895
mcs90_r02_s15_AB04_mcs50_b06_s30_AB02 15 0.361905 30 0.206897
mcs30_r01_s10_AB01_mcs10_r02_s30_AB05 10 0.244444 30 0.356322
mcs50_b09m_s20_AB03_mcs50_m3D_s20_AB04 20 0.394737 20 0.189474
mcs70_m3D_s35_AB03_mcs30_m3Dr4_s25_AB00 35 0.121008 25 0.186667
mcs50_r01_s35_AB01_mcs30_b09_s35_AB00 35 0.186555 35 0.252101
mcs70_b09m_s30_AB09_mcs70_b06m_s40_AB04 30 0.303448 40 0.152564
mcs10_r01_s50_AB07_mcs50_r02_s30_AB04 50 0.191837 30 0.349425
mcs90_b09m_s40_AB00_mcs90_r01_s25_AB04 40 0.224359 25 0.193333
mcs70_m3Dr6_s40_AB02_mcs50_b06_s35_AB01 40 0.137179 35 0.173109
mcs70_m2D_s25_AB06_mcs90_m3Dr6_s30_AB04 25 0.133333 30 0.170115
mcs90_r005_s20_AB06_mcs30_m2D_s50_AB04 20 0.110526 50 0.0693878
mcs70_b09m_s25_AB07_mcs50_m3Dr6_s20_AB07 25 0.35 20 0.242105
mcs50_b03_s40_AB01_mcs70_b09_s35_AB05 40 0.075641 35 0.260504
mcs30_r005_s25_AB02_mcs70_m4D_s25_AB08 25 0.113333 25 0.156667
mcs70_r005_s35_AB07_mcs50_m2Dr4_s20_AB07 35 0.0957983 20 0.2
mcs90_b03_s35_AB02_mcs70_m2Dr4_s35_AB09 35 0.087395 35 0.119328
mcs70_b03m_s40_AB04_mcs70_b09_s30_AB00 40 0.075641 30 0.303448
mcs30_m3Dr4_s40_AB03_mcs50_b06m_s50_AB02 40 0.126923 50 0.120816
mcs50_b06_s15_AB04_mcs70_r01_s25_AB00 15 0.409524 25 0.19
mcs70_r02_s10_AB08_mcs90_b06_s30_AB05 10 0.333333 30 0.204598
mcs90_b03m_s20_AB04_mcs30_r02_s50_AB05 20 0.147368 50 0.359184
mcs90_m4Dr4_s20_AB00_mcs90_b03_s25_AB09 20 0.231579 25 0.123333
mcs10_m2Dr4_s50_AB06_mcs30_b03_s20_AB03 50 0.0840816 20 0.157895
mcs30_r01_s25_AB01_mcs90_b06m_s20_AB09 25 0.203333 20 0.315789
mcs30_r01_s10_AB02_mcs70_m3Dr6_s35_AB01 10 0.244444 35 0.151261
mcs70_b06m_s50_AB09_mcs50_r02_s40_AB06 50 0.119184 40 0.357692
mcs50_m3Dr6_s20_AB06_mcs30_b03m_s40_AB02 20 0.257895 40 0.075641
mcs90_b09_s15_AB00_mcs10_b03_s40_AB01 15 0.638095 40 0.0769231
mcs30_m3Dr2_s30_AB02_mcs50_r01_s20_AB09 30 0.149425 20 0.194737
mcs30_m3Dr2_s25_AB04_mcs70_b03_s15_AB05 25 0.17 15 0.2
mcs90_m2D_s30_AB05_mcs30_m2Dr4_s30_AB00 30 0.112644 30 0.133333
mcs70_m3Dr4_s40_AB03_mcs50_b03m_s50_AB07 40 0.125641 50 0.0604082
mcs30_b03m_s25_AB05_mcs50_m3Dr6_s15_AB00 25 0.12 15 0.285714
mcs90_r01_s25_AB00_mcs90_r005_s25_AB07 25 0.193333 25 0.0966667
mcs30_b03m_s25_AB08_mcs30_r02_s35_AB02 25 0.12 35 0.359664
mcs90_b03_s20_AB08_mcs90_m2Dr2_s30_AB02 20 0.157895 30 0.126437
mcs30_b03_s50_AB09_mcs50_m4Dr6_s40_AB03 50 0.0612245 40 0.115385
mcs50_b06_s50_AB00_mcs90_b03m_s25_AB00 50 0.12 25 0.12
mcs90_b09_s25_AB05_mcs30_b06_s50_AB02 25 0.37 50 0.122449
mcs70_m3Dr2_s40_AB08_mcs90_b09m_s40_AB07 40 0.116667 40 0.221795
mcs90_r005_s40_AB01_mcs90_r01_s20_AB02 40 0.0987179 20 0.189474
mcs30_m3Dr4_s25_AB09_mcs50_m2D_s30_AB08 25 0.186667 30 0.112644
mcs70_b06_s40_AB00_mcs50_b09_s20_AB06 40 0.152564 20 0.468421
mcs50_r01_s30_AB09_mcs70_r01_s35_AB05 30 0.193103 35 0.184874
mcs70_r02_s25_AB00_mcs90_b09m_s35_AB01 25 0.34 35 0.262185
