e1 e2 mcsplit mcsplit-swapped
0.32971 0.452899 27 24395
0.202899 0.355072 23 36
0.456522 0.445652 1 0
0.108696 0.072464 988 730
0.467391 0.210145 4179 5
0.40942 0.15942 20 7
0.068841 0.210145 206 260
0.405797 0.32971 5 4
0.072464 0.460145 5 802
0.065217 0.050725 1632 1438
0.061594 0.384058 35 171
0.061594 0.485507 2 169
0.32971 0.442029 17 4238
0.438406 0.01087 167 5
0.307971 0.394928 4 4
0.155797 0.275362 175 560
0.268116 0.065217 108 89
0.123188 0.358696 43 208
0.307971 0.112319 53 52
0.119565 0.17029 245 187
0.351449 0.163043 265 32
0.021739 0.358696 26 160
0.351449 0.369565 6 5
0.431159 0.039855 124 8
0.213768 0.173913 689 435
0.413043 0.5 100000 100003
0.105072 0.387681 21 193
0.42029 0.326087 2138 76
0.072464 0.485507 5 128
0.485507 0.202899 41602 157
0.119565 0.442029 11 391
0.413043 0.097826 180 12
0.025362 0.431159 5 119
0.304348 0.452899 2 5
0.496377 0.173913 100002 3477
0.485507 0.405797 100008 33
0.112319 0.423913 22 342
0.217391 0.318841 20 17
0.351449 0.003623 217 66
0.188406 0 341 633
0.094203 0.126812 256 346
0.326087 0.036232 79 36
0.333333 0.496377 1 3
0.144928 0.365942 13 20
0.257246 0.5 3 16
0.289855 0.293478 189 301
0.387681 0.289855 251 23
0.235507 0.126812 990 452
0.072464 0.097826 1843 2031
0.496377 0.065217 16998 166
0.373188 0.068841 77 45
0.463768 0.423913 100007 771
0.166667 0.242754 69 75
0.481884 0.032609 2328 14
0.282609 0.5 2 46
0.257246 0.362319 46 144
0.235507 0.42029 4 16
0.065217 0.014493 1284 1018
0.137681 0.278986 518 1024
0.083333 0.32971 111 328
0.021739 0.123188 1039 1641
0.101449 0.155797 976 1139
0.246377 0.221014 505 422
0.192029 0.047101 1347 676
0.148551 0.003623 1340 652
0.347826 0.318841 15 16
0.221014 0.163043 115 115
0.043478 0.355072 40 199
0.307971 0.155797 663 160
0.166667 0.018116 1063 477
0.076087 0.373188 12 72
0.456522 0.48913 0 0
0.32971 0.423913 4 6
0.34058 0.181159 416 98
0.413043 0.463768 0 1
0.065217 0.275362 245 750
0.083333 0.442029 5 69
0.307971 0.481884 336 100007
0.333333 0.358696 8 12
0.246377 0.438406 90 3691
0.228261 0.485507 1 8
0.039855 0.300725 116 310
0.355072 0.32971 89 52
0.365942 0.32971 117 39
0.007246 0.373188 20 119
0.322464 0.452899 12 33276
0.097826 0.485507 23 13014
0.40942 0.304348 7 3
0.163043 0.188406 144 180
0.492754 0.318841 100007 81537
0.264493 0.235507 41 49
0.452899 0.192029 13 1
0.032609 0.032609 1061 1110
0.431159 0.449275 0 1
0.094203 0.445652 11 654
0.025362 0.384058 22 141
0.456522 0.496377 0 0
0.134058 0.050725 1479 979
0.17029 0.438406 5 23
0.384058 0.398551 3 3
0.271739 0.242754 223 185
0.268116 0.177536 46 53
0.365942 0.101449 27 11
0.068841 0.358696 40 143
0.268116 0.427536 2 8
0.07971 0.094203 530 748
0.471014 0.057971 390 8
0.126812 0.217391 189 186
0.177536 0.083333 756 509
0.228261 0.177536 733 297
0.387681 0.141304 469 42
0.449275 0.123188 28 3
0.17029 0.097826 1601 804
0.217391 0.42029 41 2480
0.097826 0.083333 1445 1453
0.166667 0.271739 231 652
0.376812 0.268116 7 5
0.028986 0.173913 263 402
0.141304 0.48913 35 32943
0.322464 0.471015 0 3
0.449275 0.221014 2390 3
0.278986 0.050725 395 107
0.322464 0.025362 69 40
0.492754 0.358696 100007 61104
0.40942 0.217391 21 3
0.210145 0.086957 169 111
0.257246 0.097826 128 64
0.054348 0.326087 47 64
0.460145 0.434783 1 0
0.181159 0.134058 148 188
0.115942 0.003623 832 762
0.072464 0.065217 1554 1516
0.275362 0.119565 580 341
0.130435 0.445652 14 1107
0.434783 0.286232 6 4
0.050725 0.25 100 85
0.210145 0.449275 3 30
0.231884 0.257246 619 939
0.413043 0.431159 25 193
0.311594 0.101449 246 59
0.471015 0.130435 62 1
0.213768 0.144928 67 141
0.297101 0.119565 246 44
0.217391 0.141304 93 113
0.344203 0.42029 9 127
0.242754 0.471015 1 12
0.48913 0.112319 56 8
0.34058 0.434783 23 1325
0.358696 0.318841 106 116
0.478261 0.384058 100002 76
0.213768 0.452899 2 18
0.452899 0.115942 67 2
0.275362 0.405797 52 264
0.137681 0.264493 121 146
0.235507 0.152174 82 74
