instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-510 26 0.516923 26 0.516923 78 72 44
r-207 20 0.394737 20 0.394737 0 0 0
r-176 32 0.483871 32 0.483871 4642 3565 3282
r-85 31 0.425806 31 0.425806 10 10 8
r-622 20 0.268421 20 0.268421 18 18 14
r-846 34 0.486631 34 0.486631 424 442 508
r-708 44 0.383721 44 0.383721 300003 300005 300004
r-513 36 0.285714 36 0.285714 29015 33608 31186
r-483 29 0.192118 29 0.192118 0 0 0
r-908 40 0.501282 40 0.501282 4480 4752 3494
r-725 33 0.458333 33 0.458333 136 143 83
r-853 35 0.480672 35 0.480672 15888 14655 12359
r-306 23 0.237154 23 0.237154 0 0 0
r-741 32 0.497984 32 0.497984 9577 8058 6727
r-875 24 0.521739 24 0.521739 35 39 38
r-566 36 0.157143 36 0.157143 0 0 0
r-291 39 0.22942 39 0.22942 0 0 0
r-468 21 0.514286 21 0.514286 3 3 3
r-467 36 0.0555556 36 0.0555556 0 0 0
r-910 44 0.169133 44 0.169133 265244 299106 130768
r-89 26 0.507692 26 0.507692 35 30 20
r-336 21 0.428571 21 0.428571 51 47 41
r-101 26 0.147692 26 0.147692 0 0 0
r-347 41 0.443902 41 0.443902 650 589 549
r-521 33 0.117424 33 0.117424 0 0 0
r-153 20 0.268421 20 0.268421 15 14 13
r-278 31 0.36129 31 0.36129 1 1 1
r-243 42 0.418118 42 0.418118 300003 300004 300002
r-457 24 0.15942 24 0.15942 71 49 21
r-865 38 0.422475 38 0.422475 153158 145347 125190
r-936 40 0.184615 40 0.184615 0 0 0
r-178 35 0.161345 35 0.161345 9953 9745 6719
r-262 32 0.483871 32 0.483871 180 167 166
r-399 24 0.463768 24 0.463768 302 238 235
r-791 23 0.403162 23 0.403162 174 159 189
r-383 37 0.483483 37 0.483483 28978 25964 21563
r-309 45 0.511111 45 0.511111 114859 127158 64008
r-182 45 0.490909 45 0.490909 25272 21507 14008
r-162 41 0.509756 41 0.509756 24383 27021 18631
r-982 31 0.511828 31 0.511828 3021 3269 2827
r-590 33 0.170455 33 0.170455 1389 2054 1529
r-187 28 0.388889 28 0.388889 2618 2390 2188
r-646 36 0.322222 36 0.322222 66204 77969 60553
r-761 31 0.27957 31 0.27957 0 0 0
r-903 23 0.237154 23 0.237154 170 181 151
r-670 45 0.454545 45 0.454545 7854 6551 7133
r-972 36 0.457143 36 0.457143 172 127 73
r-108 33 0.458333 33 0.458333 144 119 109
r-836 29 0.133005 29 0.133005 0 0 0
r-847 45 0.20202 45 0.20202 300004 300006 300000
r-24 21 0.466667 21 0.466667 1 1 1
r-556 21 0.180952 21 0.180952 0 0 0
r-56 24 0.15942 24 0.15942 56 56 15
r-656 27 0.461538 27 0.461538 5 5 5
r-765 20 0.336842 20 0.336842 34 31 26
r-401 31 0.490323 31 0.490323 2974 2606 2387
r-368 40 0.384615 40 0.384615 53 44 51
r-705 22 0.0909091 22 0.0909091 0 0 0
r-479 38 0.371266 38 0.371266 186834 186764 145225
r-75 29 0.339901 29 0.339901 0 0 0
r-579 40 0.384615 40 0.384615 300007 282219 233374
r-460 32 0.272177 32 0.272177 0 0 0
r-753 30 0.48046 30 0.48046 2086 1588 1510
r-20 26 0.323077 26 0.323077 0 0 0
r-158 21 0.380952 21 0.380952 0 0 0
r-742 44 0.359408 44 0.359408 73 64 34
r-949 36 0.512698 36 0.512698 5351 5367 5130
r-512 29 0.487685 29 0.487685 3019 2430 2003
r-977 28 0.198413 28 0.198413 0 0 0
r-672 45 0.236364 45 0.236364 0 1 1
r-98 30 0.517241 30 0.517241 773 795 479
r-774 31 0.451613 31 0.451613 32 27 19
r-808 36 0.246032 36 0.246032 0 0 0
r-824 43 0.389812 43 0.389812 300009 300002 300003
r-331 35 0.514286 35 0.514286 8661 9098 6530
r-873 34 0.258467 34 0.258467 0 0 0
r-514 44 0.502114 44 0.502114 28454 37767 31990
r-674 29 0.487685 29 0.487685 1439 1115 1074
r-319 26 0.270769 26 0.270769 0 0 0
r-899 45 0.268687 45 0.268687 1 1 1
r-932 20 0.189474 20 0.189474 3 4 3
r-472 42 0.396051 42 0.396051 300001 300005 300008
r-888 28 0.198413 28 0.198413 0 0 0
r-882 23 0.237154 23 0.237154 192 168 123
r-621 36 0.488889 36 0.488889 3852 3253 2857
r-541 25 0.52 25 0.52 102 109 94
r-612 38 0.14936 38 0.14936 0 0 0
r-268 40 0.480769 40 0.480769 90779 74270 64963
r-71 44 0.510571 44 0.510571 99572 101826 89107
r-608 34 0.513369 34 0.513369 1101 1288 1347
r-975 36 0.474603 36 0.474603 1047 839 729
r-292 31 0.511828 31 0.511828 327 339 310
r-691 39 0.334683 39 0.334683 287422 300007 257787
r-469 28 0.452381 28 0.452381 1273 1041 926
r-130 30 0.404598 30 0.404598 3 3 2
r-22 29 0.44335 29 0.44335 2737 2297 2253
r-841 30 0.508046 30 0.508046 1651 1503 1225
r-238 39 0.512821 39 0.512821 9352 10395 9685
r-64 33 0.503788 33 0.503788 269 271 284
r-553 20 0.268421 20 0.268421 11 11 12
r-478 41 0.460976 41 0.460976 3882 3088 2984
r-272 37 0.153153 37 0.153153 0 0 0
r-636 36 0.507937 36 0.507937 1465 1488 1073
r-267 45 0.509091 45 0.509091 245656 281891 215857
r-392 22 0.311688 22 0.311688 0 0 0
r-729 38 0.341394 38 0.341394 147183 152136 138720
r-983 31 0.232258 31 0.232258 0 0 0
r-879 31 0.451613 31 0.451613 10035 8855 7564
r-563 40 0.492308 40 0.492308 4740 3773 3145
r-413 21 0.32381 21 0.32381 0 0 0
r-739 36 0.355556 36 0.355556 2 2 2
r-886 26 0.212308 26 0.212308 0 0 0
r-662 25 0.52 25 0.52 154 145 119
r-709 27 0.512821 27 0.512821 244 236 135
r-966 27 0.48433 27 0.48433 18 16 17
r-131 42 0.214866 42 0.214866 0 0 0
r-203 25 0.5 25 0.5 21 18 13
r-21 22 0.17316 22 0.17316 0 0 0
r-801 33 0.511364 33 0.511364 434 407 401
r-942 30 0.0666667 30 0.0666667 0 0 0
r-985 40 0.328205 40 0.328205 217914 199829 149041
r-878 23 0.355731 23 0.355731 0 0 0
r-192 22 0.519481 22 0.519481 39 33 29
r-914 45 0.454545 45 0.454545 300007 300004 300005
r-766 22 0.246753 22 0.246753 0 0 0
r-890 32 0.387097 32 0.387097 2 2 2
r-757 30 0.186207 30 0.186207 855 611 341
r-617 21 0.428571 21 0.428571 0 0 0
r-551 22 0.246753 22 0.246753 0 0 0
r-251 44 0.241015 44 0.241015 1 1 1
r-402 23 0.521739 23 0.521739 14 14 11
r-863 41 0.402439 41 0.402439 178 133 122
r-348 30 0.508046 30 0.508046 139 124 117
r-387 42 0.284553 42 0.284553 3 3 3
r-900 25 0.28 25 0.28 148 167 150
r-409 38 0.341394 38 0.341394 153586 147810 121303
r-516 43 0.41196 43 0.41196 300008 300000 300006
r-132 26 0.147692 26 0.147692 14 21 29
r-30 45 0.505051 45 0.505051 247902 260753 200822
r-568 35 0.208403 35 0.208403 0 0 0
r-998 35 0.208403 35 0.208403 9994 12986 11443
r-564 45 0.490909 45 0.490909 53145 46532 33392
r-234 37 0.45045 37 0.45045 116855 103327 82701
r-159 33 0.515152 33 0.515152 1060 949 727
r-543 32 0.175403 32 0.175403 0 0 0
r-487 24 0.15942 24 0.15942 4 4 3
r-813 43 0.13289 43 0.13289 0 0 0
r-557 36 0.512698 36 0.512698 2068 2445 2068
r-676 40 0.511538 40 0.511538 57833 55106 36184
r-220 31 0.516129 31 0.516129 1501 1493 1166
r-57 34 0.336898 34 0.336898 40168 39033 27874
r-466 34 0.45098 34 0.45098 110 76 67
r-449 23 0.403162 23 0.403162 145 130 122
r-232 23 0.513834 23 0.513834 184 139 134
r-726 39 0.22942 39 0.22942 261986 281729 217248
r-239 23 0.237154 23 0.237154 0 0 0
r-15 21 0.428571 21 0.428571 28 21 21
r-603 38 0.371266 38 0.371266 2 2 1
r-174 30 0.23908 30 0.23908 0 0 0
r-581 38 0.273115 38 0.273115 0 0 0
r-279 39 0.437247 39 0.437247 149821 129647 112592
r-285 28 0.253968 28 0.253968 0 0 0
r-706 35 0.329412 35 0.329412 64331 71558 68746
r-410 37 0.513514 37 0.513514 15103 16737 15352
r-486 30 0.496552 30 0.496552 3245 2949 2407
r-52 28 0.494709 28 0.494709 989 813 656
r-689 30 0.404598 30 0.404598 2 2 2
r-787 23 0.166008 23 0.166008 12 12 12
r-431 39 0.22942 39 0.22942 0 0 0
r-835 21 0.380952 21 0.380952 57 47 42
