mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit+r mcsplit+S
140 255 152 214 114 116 144
100001 100003 100009 100000 100000 100004 100003
3 1 3 4 3 3 3
0 0 0 0 0 0 0
0 0 0 0 0 0 0
555 244 441 221 547 395 557
8 11 8 8 9 9 8
44807 75675 55785 100005 39779 46442 44692
3 2 3 3 3 3 3
514 294 536 932 777 740 512
0 0 0 0 0 0 0
6605 34920 6926 19454 6583 6772 6633
0 0 0 0 0 0 0
1 2 2 2 2 2 2
5 5 5 5 4 4 5
2 3 2 3 2 3 2
0 0 0 0 0 0 0
57 81 57 56 54 51 57
1 1 1 1 1 1 1
1 1 1 1 1 1 1
1538 1130 2152 5319 2058 2154 1513
100007 100001 100000 100003 100008 100000 100001
258 242 258 250 254 252 257
0 0 0 0 0 0 0
5 8 6 7 5 5 6
0 1 0 0 0 0 0
1 1 1 1 1 1 1
2 2 2 2 2 2 2
2994 7156 3123 9428 3021 2992 2996
0 0 0 0 0 0 0
1 1 1 1 1 1 1
89 55 97 96 92 99 93
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
100008 100002 100008 100002 100007 100005 100008
107 105 116 183 103 106 107
77497 100005 80992 100007 79263 78912 77418
100000 100003 100003 100009 100003 100006 100006
6759 20280 7417 10104 7632 8143 6707
100002 100007 100002 100003 100004 100007 100006
2786 11674 3172 9453 2885 3124 2790
100009 100004 100002 100004 100001 100005 100007
100003 100006 100009 100004 100000 100003 100003
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
570 553 567 570 588 584 569
0 0 0 0 0 0 0
1 1 1 1 1 1 1
100001 100007 100002 100005 100000 100003 100007
100003 100007 100009 100005 100002 100008 100002
379 534 417 493 455 476 376
0 0 0 0 0 0 0
1534 2808 1634 2573 1603 1663 1537
100008 100008 100009 100006 100000 100005 100000
246 348 292 362 252 299 246
126 343 131 123 124 133 125
0 0 0 0 0 0 0
2 3 3 3 2 2 2
138 79 114 142 129 104 143
4 7 5 5 3 3 4
100008 100002 100005 100009 100000 100006 100001
5 4 4 5 4 5 5
2463 1524 2212 1911 1934 2013 2452
0 0 0 0 0 0 0
0 0 0 0 0 0 0
100003 100001 100007 100008 100003 100003 100009
119 320 133 172 110 118 116
0 0 0 0 0 0 0
8 15 8 11 11 11 9
0 0 0 0 0 0 0
100006 100000 100005 100000 100004 100003 100004
100004 100003 100001 100001 100009 100003 100004
23 29 23 30 24 25 24
100008 100000 100008 100002 100004 100005 100001
5 8 5 5 5 5 5
23626 51092 25309 100008 21861 24569 23779
100007 100009 100009 100004 100007 100003 100004
100001 100004 100004 100006 100006 100002 100004
643 635 695 600 613 651 634
0 0 0 0 0 0 0
2001 2966 2525 3659 1985 2397 2042
582 507 587 460 558 562 582
0 0 0 0 0 0 0
0 0 0 0 0 0 0
583 898 607 741 607 594 585
5 9 5 5 4 4 5
1 1 1 1 1 1 1
1114 1154 1115 1114 1126 1129 1081
3 0 3 0 3 3 3
100004 100002 100009 100003 100007 100009 100001
5378 14829 5439 4647 5565 5623 5377
0 0 0 0 0 0 0
1 1 1 1 1 1 1
0 0 0 0 0 0 0
373 1104 396 801 396 386 373
896 1454 974 1009 794 837 864
4 2 6 2 5 5 4
12471 17037 14115 25450 11433 12939 12447
100007 100007 100008 100009 100003 100004 100006
0 0 0 0 0 0 0
240 132 237 88 212 209 240
100003 100007 100004 100002 100007 100002 100000
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
100001 100003 100008 100001 100006 100000 100003
6256 4896 6696 2150 4009 4573 6283
429 936 431 401 399 407 431
0 0 0 0 0 0 0
9 17 8 8 8 8 9
0 0 0 0 0 0 0
2 14 2 12 2 2 2
1 1 1 1 1 1 1
62 111 62 84 60 60 62
98 2827 114 3668 87 115 97
0 0 0 0 0 0 0
2 2 2 3 2 2 2
1 3 2 2 2 2 1
86 170 106 124 80 101 81
0 0 0 0 0 0 0
389 604 504 858 358 443 394
100004 100007 100006 100000 100009 100009 100003
0 0 0 0 0 0 0
100001 100003 100004 100006 100005 100000 100009
100005 100008 100000 100007 100004 100002 100002
1 1 1 1 1 1 1
1 2 1 1 0 1 1
1883 2921 1852 2119 1849 1810 1852
0 0 0 1 0 0 0
100004 100001 100007 100007 100001 100009 100004
0 0 0 0 0 0 0
25 30 27 29 28 28 26
339 557 357 455 365 376 339
79 95 79 95 78 79 79
45 42 53 76 41 47 45
100004 100006 100004 100006 100006 100006 100001
100002 100006 100009 100004 100008 100008 100008
4000 5688 4018 5521 4034 4018 4029
100008 100003 100000 100007 100007 100009 100006
10 8 11 14 9 12 9
0 0 0 0 0 0 0
100005 100003 100009 100000 100005 100002 100005
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
346 117 402 298 267 295 345
0 0 0 0 0 0 0
108 397 110 142 89 91 108
1 2 1 2 1 1 1
21 32 21 17 22 21 21
0 1 0 0 0 0 0
0 0 0 0 0 0 0
100004 100004 100000 100000 100006 100008 100000
0 0 0 1 0 0 0
100002 100007 100006 100006 100001 100008 100004
0 0 0 0 0 0 0
0 0 0 0 0 0 0
100008 100009 100004 100008 100000 100003 100003
1 1 1 1 1 1 1
242 278 242 243 241 240 243
2677 3850 2743 3221 2644 2675 2697
34420 52328 35363 39936 34195 35070 34280
1 2 1 2 1 1 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
1 1 1 1 1 1 1
100006 100000 100006 100008 100001 100002 100009
548 534 556 582 544 543 554
100000 100008 100007 100006 100000 100001 100003
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
100002 100001 100006 100006 100009 100001 100008
8 11 8 7 5 5 8
0 0 0 0 0 0 0
3 9 3 3 3 3 3
100004 100005 100001 100009 100006 100004 100003
9864 20152 10487 12286 11322 11604 9838
1 1 1 3 1 1 1
100009 100004 100008 100002 100009 100001 100002
1507 2608 1634 2016 1400 1512 1477
0 0 1 0 0 0 0
0 0 0 0 0 0 0
365 108 443 106 328 391 365
2 2 2 2 2 2 2
1 3 1 3 1 1 1
36 87 35 65 34 35 35
10 16 10 10 12 12 9
0 0 0 0 0 0 0
100004 100006 100006 100000 100007 100001 100000
21102 19032 21952 16298 36338 37924 20982
0 0 0 0 0 0 0
100000 100008 100005 100004 100007 100002 100002
10380 30534 10768 17948 10033 10105 10423
451 488 447 638 442 442 450
142 188 133 133 154 152 142
0 0 0 0 0 0 0
1 2 1 1 1 1 1
14236 26594 15369 24467 14484 14419 14262
100008 100007 100000 100000 100001 100000 100004
1 1 1 1 1 1 1
14 15 15 13 14 14 14
100001 100009 100001 100006 100009 100005 100005
100002 100008 100007 100006 100000 100005 100003
0 0 0 0 0 0 0
1 1 1 1 1 1 1
0 0 0 0 0 0 0
6 7 6 6 6 6 6
100007 100005 100001 100000 100006 100009 100005
10 15 10 11 10 10 10
0 0 0 0 0 0 0
3 3 4 4 3 5 3
234 481 242 286 235 237 233
0 0 0 0 0 0 0
42 69 44 53 42 41 42
1 1 1 1 1 1 1
1 1 1 1 1 1 1
758 844 745 762 668 667 764
100008 100000 100008 100004 100003 100003 100001
269 563 322 333 251 277 271
100009 100000 100008 100004 100009 100006 100008
0 0 0 0 0 0 0
1115 1183 1116 1100 924 926 1119
100002 94478 100006 100007 90734 90617 100000
1 1 1 1 1 1 1
1 1 1 2 2 2 1
100006 100007 100006 100000 100001 100001 100008
1 1 1 1 1 1 1
1 1 1 1 1 1 1
4 4 5 6 5 6 4
100003 100007 100007 100000 100008 100001 100004
1605 1914 1889 3103 1747 1908 1574
22 32 22 22 21 21 22
25777 6121 26264 27322 27845 23575 25914
45918 80000 45896 44958 45877 45665 45983
0 0 0 0 0 0 0
0 0 0 0 0 0 0
1608 1148 1791 1521 1799 1881 1603
43 58 43 50 43 43 43
0 3 0 7 0 0 0
6549 10520 6593 18965 7706 7779 6422
0 0 0 0 0 0 0
100008 100011 100009 100002 100004 100000 100006
0 0 0 0 0 0 0
80 132 109 205 82 114 80
0 0 0 0 0 0 0
100005 100003 100007 100005 100009 100004 100005
99533 100005 100007 100009 100003 100002 100005
100005 100002 100007 100000 100003 100001 100000
1 1 1 2 1 1 1
0 0 0 0 0 0 0
100009 100000 100007 100007 100005 100001 100008
56 83 54 43 30 28 56
1 1 1 1 1 1 1
1 1 1 1 1 1 1
0 0 0 0 0 0 0
100000 100009 100006 100009 100006 100007 100007
109 100 128 151 110 124 109
1 1 1 1 1 1 1
26608 100006 29455 100000 26414 28161 26770
100001 100009 100001 100000 100001 100005 100005
1 80 1 1 1 1 1
100010 100002 100006 100005 100009 100007 100002
100008 100004 100001 100000 100005 100002 100009
1656 607 1618 551 1378 1369 1650
