instance last_unsat_time sat_time total_subproblem_time total_subproblem_time_minus_last_unsat run_time last_unsat_time sat_time total_subproblem_time total_subproblem_time_minus_last_unsat run_time
mcs90_m3Dr4_s10_AB04 0 0 0 0 0 0 0 0 0 0
mcs50_r01_s30_AB00 6926 19590 29920 22994 29925 6937 19616 29952 23015 29956
mcs90_b06m_s40_AB07 1 0 1 0 2 1 0 1 0 3
mcs10_r005_s40_AB08 30723 60832 99995 69272 100001 31197 60642 99996 68799 100001
mcs50_b06_s20_AB04 11 0 16 5 18 11 0 16 5 18
mcs50_b06m_s20_AB05 78 0 124 46 127 78 0 123 45 126
mcs50_b03_s20_AB03 1 3 4 3 5 1 3 4 3 6
mcs50_m2D_s20_AB00 5 0 6 1 7 6 0 7 1 9
mcs50_r01_s40_AB03 37442 37935 99995 62553 100003 37405 37976 99997 62592 100005
mcs30_m2Dr6_s30_AB09 1179 918 2562 1383 2566 1151 901 2514 1363 2518
mcs90_m2Dr4_s30_AB09 11 1 15 4 17 11 1 15 4 17
mcs50_r02_s10_AB01 0 0 0 0 0 0 0 0 0 0
mcs70_b06_s25_AB08 6 0 8 2 9 6 0 8 2 10
mcs30_b09_s50_AB02 48085 17213 99998 51913 100004 47769 17989 99994 52225 100002
mcs90_r005_s25_AB01 0 0 0 0 0 0 0 0 0 0
mcs10_r01_s20_AB00 24 8 39 15 40 25 8 40 15 42
mcs30_b06_s40_AB04 66273 3034 99997 33724 100003 66340 3072 100002 33662 100009
mcs70_m2Dr6_s15_AB03 0 1 1 1 2 0 1 1 1 2
mcs30_m3Dr4_s30_AB09 2148 1493 4472 2324 4477 2072 1516 4400 2328 4403
mcs90_m2Dr6_s50_AB02 0 0 0 0 0 0 0 0 0 0
mcs70_m2Dr4_s40_AB05 34156 56244 100000 65844 100005 34438 55947 100002 65564 100007
mcs90_b06m_s20_AB06 0 0 0 0 0 0 0 0 0 0
mcs70_b03m_s10_AB05 0 0 0 0 0 0 0 0 0 0
mcs70_m2Dr6_s40_AB09 20639 72589 99998 79359 100004 20656 72553 100005 79349 100009
mcs70_m3Dr6_s40_AB02 5879 5002 13901 8022 13906 5889 5057 13954 8065 13960
mcs70_b03m_s25_AB03 120 0 141 21 144 105 0 124 19 126
mcs70_r005_s20_AB05 1 0 1 0 2 1 0 1 0 2
mcs10_m2Dr6_s50_AB08 42635 43226 99997 57362 100004 42497 43372 99997 57500 100002
mcs30_r01_s25_AB01 351 81 595 244 597 359 83 608 249 612
mcs30_r02_s25_AB06 1962 105 3589 1627 3594 1983 108 3591 1608 3595
mcs70_b06m_s15_AB03 1 0 1 0 2 2 0 2 0 4
mcs90_r02_s50_AB08 9 0 11 2 13 9 0 11 2 13
mcs70_b09_s50_AB06 34992 39741 99995 65003 100002 35164 39326 99995 64831 100003
mcs90_b03m_s50_AB02 117 50 191 74 194 119 50 194 75 196
mcs50_b09_s25_AB01 506 0 917 411 921 503 5 921 418 925
mcs50_b06m_s25_AB00 192 424 710 518 714 186 412 690 504 694
mcs10_b03_s50_AB07 15191 82595 99998 84807 100002 15397 82306 100006 84609 100009
mcs70_r01_s20_AB04 31 4 43 12 46 32 4 44 12 47
mcs90_m2D_s50_AB06 0 0 0 0 1 0 1 1 1 2
mcs50_r02_s40_AB00 33815 29035 99997 66182 100004 33792 28889 99997 66205 100004
mcs90_b03_s40_AB03 4 0 4 0 5 4 0 4 0 5
mcs90_m2D_s30_AB08 1 1 2 1 3 1 1 2 1 3
mcs90_r01_s50_AB07 5 0 6 1 8 6 0 7 1 9
mcs90_b06m_s40_AB04 1 0 1 0 2 1 0 1 0 3
mcs10_b03_s40_AB05 14470 1635 18093 3623 18097 14441 1648 18086 3645 18091
mcs30_b03m_s15_AB05 0 0 0 0 0 0 0 0 0 0
mcs30_b06m_s50_AB06 38999 42161 100003 61004 100008 38888 42474 100000 61112 100007
mcs70_r02_s10_AB04 0 0 0 0 0 0 0 0 0 0
mcs30_r005_s20_AB09 0 0 0 0 0 0 0 0 0 0
mcs30_b03_s50_AB02 67882 21213 99997 32115 100001 68485 20520 100003 31518 100006
mcs90_b09m_s20_AB00 0 0 0 0 0 0 0 0 0 0
mcs30_b06_s25_AB04 237 186 537 300 540 237 185 535 298 539
mcs30_b03m_s20_AB08 5 0 6 1 7 5 0 6 1 7
mcs30_m4Dr2_s50_AB09 33771 58835 100006 66235 100010 33699 58951 100005 66306 100010
mcs30_b03_s25_AB05 66 0 75 9 76 67 11 86 19 89
mcs30_b09_s50_AB08 30293 48931 99996 69703 100001 30519 48523 99998 69479 100004
mcs90_b06m_s35_AB02 1 0 1 0 2 1 0 1 0 3
mcs90_b06m_s40_AB00 1 0 1 0 3 2 0 2 0 3
mcs70_m2Dr4_s35_AB09 1802 271 2691 889 2694 1811 267 2712 901 2717
mcs90_b09m_s25_AB09 0 0 0 0 0 0 0 0 0 1
mcs70_m2Dr4_s35_AB05 4952 127 7037 2085 7041 4968 125 7014 2046 7020
mcs50_b03m_s50_AB08 20368 76646 100005 79637 100008 20469 76520 100003 79534 100007
mcs30_r02_s50_AB00 42051 5733 99994 57943 100001 42373 5066 99994 57621 100002
mcs90_r01_s30_AB01 0 0 0 0 0 0 0 0 0 0
mcs70_m2Dr4_s50_AB02 39276 2250 54827 15551 54831 39225 2276 54736 15511 54743
mcs90_b06_s35_AB07 2 0 2 0 3 2 0 2 0 3
mcs90_m2Dr6_s10_AB07 0 0 0 0 0 0 0 0 0 0
mcs50_b09_s30_AB04 4201 2872 10866 6665 10872 4155 2824 10775 6620 10782
mcs30_b09_s35_AB08 35664 37 56079 20415 56086 35810 39 56145 20335 56150
mcs50_m2Dr4_s30_AB08 1794 214 2552 758 2557 1785 214 2538 753 2542
mcs70_m2Dr4_s50_AB00 36550 51923 99998 63448 100002 36274 52209 99996 63722 100001
mcs30_r02_s25_AB08 1667 13 2980 1313 2983 1670 13 3000 1330 3005
mcs90_m2Dr6_s10_AB09 0 0 0 0 0 0 0 0 0 0
mcs70_b03_s20_AB07 1 1 2 1 2 1 1 2 1 3
mcs30_m4Dr2_s50_AB05 59527 27460 99997 40470 100002 60113 26767 100002 39889 100007
mcs70_b09_s15_AB08 0 0 0 0 0 0 0 0 0 0
mcs50_b09m_s25_AB03 601 2 1039 438 1044 626 2 1077 451 1083
mcs90_m2Dr6_s40_AB05 4 2 7 3 9 4 3 8 4 9
mcs50_b09m_s20_AB02 35 5 63 28 67 36 5 64 28 67
mcs50_r02_s30_AB09 17603 635 34891 17288 34896 17716 638 35176 17460 35182
mcs50_b06m_s30_AB05 1469 3688 5824 4355 5829 1532 3845 6122 4590 6128
mcs70_m4D_s25_AB03 17 0 20 3 22 18 0 21 3 24
mcs70_b03m_s50_AB01 38683 56351 100000 61317 100004 38926 56082 100003 61077 100007
mcs50_m2Dr6_s10_AB05 0 0 0 0 0 0 0 0 0 0
mcs90_b09_s35_AB05 23 0 33 10 34 19 0 26 7 29
mcs90_b06_s40_AB02 10 0 12 2 14 11 0 13 2 15
mcs90_b03_s15_AB06 0 0 0 0 0 0 0 0 0 0
mcs70_m2Dr4_s25_AB01 139 500 677 538 681 135 485 658 523 661
mcs30_b09m_s40_AB03 28809 51206 99995 71186 100002 28740 51513 100001 71261 100009
mcs50_m2Dr2_s20_AB07 23 0 28 5 30 23 0 28 5 29
mcs90_b03m_s25_AB01 0 0 0 0 0 0 0 0 0 1
mcs50_b03_s35_AB07 426 2803 3291 2865 3294 435 2811 3309 2874 3312
mcs90_m3Dr2_s30_AB01 0 0 0 0 0 0 0 0 0 0
mcs50_m2Dr2_s50_AB06 24454 68732 100005 75551 100009 24481 68715 99998 75517 100001
mcs90_b06m_s35_AB08 1 0 1 0 2 1 0 1 0 2
mcs50_m4D_s40_AB02 28350 47220 79403 51053 79409 28080 46580 78588 50508 78593
mcs70_m2D_s15_AB08 0 0 0 0 0 0 0 0 0 0
mcs70_m3D_s40_AB07 14192 563 19856 5664 19861 14065 575 19696 5631 19700
mcs50_r02_s25_AB03 3010 174 5732 2722 5737 3012 162 5729 2717 5736
mcs50_r02_s35_AB09 28832 39325 99996 71164 100003 28798 39566 100002 71204 100007
mcs70_b06m_s40_AB01 11571 446 17683 6112 17688 11487 468 17548 6061 17554
mcs70_b03m_s20_AB04 2 0 2 0 3 2 0 2 0 4
mcs50_m2D_s30_AB04 185 208 445 260 447 191 215 461 270 464
mcs90_m2Dr6_s40_AB03 3 1 4 1 5 3 1 4 1 6
mcs50_m2Dr6_s10_AB00 0 0 0 0 0 0 0 0 0 0
mcs70_m3D_s40_AB08 9990 2224 15840 5850 15844 10064 2147 15794 5730 15799
mcs30_b03_s35_AB08 1069 174 1449 380 1452 1075 175 1463 388 1466
mcs10_r02_s25_AB05 1845 0 3469 1624 3474 1877 0 3559 1682 3565
mcs70_m2D_s25_AB01 14 8 25 11 27 14 8 25 11 27
mcs30_m4Dr2_s50_AB00 46103 41727 99995 53892 100000 45746 42084 99998 54252 100002
mcs50_m2Dr2_s50_AB07 70196 13406 100003 29807 100008 70918 12771 99996 29078 100001
mcs90_m2Dr4_s20_AB01 1 0 1 0 2 1 0 1 0 3
mcs30_b03m_s15_AB08 0 0 0 0 1 0 0 0 0 1
mcs30_b06_s30_AB07 3818 98 5556 1738 5561 3550 89 5234 1684 5238
mcs70_b09m_s30_AB01 475 22 815 340 820 422 25 792 370 796
mcs70_b03_s10_AB05 0 0 0 0 0 0 0 0 0 0
mcs70_m2Dr6_s40_AB04 15524 0 21056 5532 21060 15352 0 20880 5528 20885
mcs90_b06m_s35_AB01 0 0 0 0 2 1 0 1 0 2
mcs30_b03_s40_AB07 10726 7224 19774 9048 19778 10839 7282 19945 9106 19949
mcs70_r01_s10_AB05 0 0 0 0 0 0 0 0 0 0
mcs90_r005_s50_AB01 10 0 12 2 15 10 1 13 3 16
mcs70_m3Dr4_s40_AB06 58795 17917 99999 41204 100005 58802 17742 100001 41199 100006
mcs90_b09m_s40_AB04 2 0 2 0 3 2 0 2 0 3
mcs90_m2D_s50_AB09 1 0 1 0 1 1 0 1 0 2
mcs30_m2Dr6_s50_AB05 21763 70552 99995 78232 100000 21836 70434 99997 78161 100001
mcs50_b06_s25_AB03 273 0 454 181 459 263 0 440 177 445
mcs70_r005_s50_AB07 53403 24695 99997 46594 100003 53232 25063 100001 46769 100007
mcs90_m2Dr6_s40_AB07 7 0 8 1 10 8 0 9 1 11
mcs90_m2Dr6_s20_AB00 2 0 2 0 2 2 1 3 1 4
mcs50_b06_s35_AB07 12251 4741 22391 10140 22397 12221 4711 22468 10247 22472
mcs30_m3Dr6_s40_AB05 20485 71011 99998 79513 100004 20421 71059 99998 79577 100002
mcs90_m2Dr4_s30_AB00 22 0 30 8 32 22 0 29 7 32
mcs70_r02_s35_AB02 1300 1532 3998 2698 4004 1324 1571 4043 2719 4048
mcs30_r005_s40_AB01 43533 44040 100000 56467 100005 43781 43890 99998 56217 100003
mcs90_m2D_s30_AB07 1 2 3 2 4 1 2 3 2 4
mcs50_b03_s40_AB09 55464 17690 80761 25297 80766 55645 17687 80987 25342 80991
mcs90_m2Dr2_s20_AB03 2 2 4 2 5 1 2 3 2 4
mcs30_r005_s35_AB03 1664 2847 4902 3238 4905 1665 2863 4918 3253 4923
mcs50_m4Dr2_s30_AB07 1825 66 2256 431 2259 1861 67 2303 442 2307
mcs90_m4Dr6_s20_AB02 0 0 0 0 1 0 0 0 0 1
mcs70_b06m_s40_AB03 4495 749 7196 2701 7201 4527 717 7181 2654 7185
mcs70_b03m_s35_AB06 4724 2473 7921 3197 7925 4698 2443 7881 3183 7885
mcs90_m3Dr6_s10_AB08 0 0 0 0 0 0 0 0 0 0
mcs70_r02_s40_AB05 1970 9 3789 1819 3794 1957 10 3714 1757 3716
mcs30_b06_s40_AB06 25175 62403 100003 74828 100009 25399 62061 99997 74598 100001
mcs90_b09m_s25_AB08 0 0 0 0 1 0 0 0 0 1
mcs50_b03m_s15_AB02 1 0 1 0 1 1 0 1 0 1
mcs90_b03m_s10_AB01 0 0 0 0 0 0 0 0 0 0
mcs90_m2D_s20_AB08 0 0 0 0 1 0 0 0 0 1
mcs10_m2D_s50_AB07 15628 80561 100006 84378 100009 15701 80417 99995 84294 100000
mcs90_r02_s35_AB03 3 0 3 0 5 3 0 3 0 5
mcs70_b03_s25_AB04 13 6 21 8 23 13 6 22 9 24
mcs70_m2D_s25_AB04 37 80 126 89 128 36 79 124 88 126
mcs30_b03m_s40_AB00 1666 5074 6983 5317 6986 1642 5028 6908 5266 6912
mcs30_b09m_s35_AB00 27723 54086 99998 72275 100006 28072 53975 99994 71922 100001
mcs70_b06_s40_AB02 754 127 1235 481 1239 738 124 1217 479 1221
mcs70_b03m_s10_AB04 0 0 0 0 0 0 0 0 0 0
mcs90_b03_s15_AB05 0 0 0 0 0 0 0 0 0 0
mcs90_b03m_s40_AB01 0 0 0 0 1 0 0 0 0 1
mcs70_b06_s15_AB08 1 0 1 0 2 1 0 1 0 2
mcs30_m2D_s30_AB01 399 33 531 132 534 397 33 527 130 531
mcs90_m2Dr6_s50_AB01 0 0 0 0 0 0 0 0 0 0
mcs30_r01_s35_AB04 55241 14077 99998 44757 100005 55062 14395 100001 44939 100007
mcs30_b03_s40_AB09 9048 12539 23188 14140 23191 9032 12666 23349 14317 23353
mcs70_m2Dr2_s40_AB08 32283 17817 57231 24948 57235 32536 17889 57653 25117 57659
mcs90_b06m_s25_AB02 0 0 0 0 0 0 0 0 0 0
mcs50_m2D_s50_AB02 40183 50887 99999 59816 100005 40430 50559 99995 59565 100000
mcs50_r005_s50_AB05 41609 41377 100001 58392 100006 41787 41299 100001 58214 100005
mcs50_m3Dr4_s20_AB05 16 6 28 12 30 17 7 30 13 31
mcs90_m4Dr4_s20_AB09 0 0 0 0 0 0 0 0 0 0
mcs30_m2D_s50_AB08 16153 80362 100000 83847 100003 16133 80343 100003 83870 100006
mcs70_m3Dr2_s35_AB00 208 21 317 109 321 210 21 321 111 324
mcs90_b03m_s40_AB07 2 0 2 0 4 3 0 3 0 4
mcs50_b06_s40_AB07 30947 54489 100003 69056 100009 31373 54041 100003 68630 100008
mcs90_b03m_s25_AB00 0 0 0 0 0 0 0 0 0 0
mcs50_r005_s50_AB08 26178 63702 99993 73815 100000 24348 66188 100003 75655 100009
mcs30_r005_s30_AB00 308 1807 2171 1863 2174 299 1802 2156 1857 2159
mcs70_m4D_s25_AB02 18 1 21 3 23 18 1 21 3 24
mcs50_r005_s30_AB05 301 407 780 479 783 317 422 812 495 815
mcs50_m3D_s50_AB00 49996 31716 100002 50006 100007 49750 32015 100003 50253 100009
mcs50_b06_s15_AB04 0 0 0 0 1 0 0 0 0 1
mcs70_r005_s20_AB03 2 0 2 0 3 3 0 3 0 4
mcs50_b06_s40_AB06 32340 6522 53997 21657 54004 32312 6600 54167 21855 54173
mcs50_m2Dr6_s50_AB07 23414 67927 100004 76590 100009 23340 68013 100003 76663 100008
mcs90_b03m_s20_AB04 0 0 0 0 0 0 0 0 0 0
mcs70_b06_s15_AB03 2 0 2 0 3 2 0 2 0 3
mcs70_m3Dr4_s35_AB09 665 0 967 302 970 673 21 996 323 1000
mcs30_r02_s15_AB08 2 0 2 0 4 2 0 2 0 4
mcs30_b06m_s50_AB07 30210 54126 100004 69794 100010 32726 51593 99996 67270 100002
mcs50_m2Dr2_s30_AB06 492 2367 2965 2473 2968 492 2331 2930 2438 2934
mcs50_m2D_s30_AB02 1698 54 2152 454 2155 1741 56 2202 461 2206
mcs70_r005_s20_AB07 5 0 5 0 6 5 0 5 0 6
mcs90_m3Dr6_s30_AB02 0 0 0 0 1 0 0 0 0 1
mcs30_m4Dr4_s50_AB06 67742 12692 100005 32263 100009 67374 12968 100001 32627 100007
mcs50_m2Dr4_s20_AB08 16 2 22 6 23 16 2 23 7 24
mcs50_b06_s25_AB07 177 117 402 225 406 183 120 415 232 418
mcs70_r02_s30_AB01 250 62 511 261 514 244 61 498 254 503
mcs70_b09_s15_AB09 0 0 0 0 0 0 0 0 0 0
mcs50_m2D_s20_AB04 5 0 6 1 7 5 0 6 1 7
mcs10_b03m_s50_AB04 61777 28934 99997 38220 100001 61419 29332 100003 38584 100009
mcs30_b06m_s50_AB09 24507 63851 99997 75490 100003 24034 64119 99993 75959 100000
mcs30_r02_s35_AB07 28597 38809 99999 71402 100006 28928 38486 100002 71074 100009
mcs90_b09_s20_AB08 0 0 0 0 0 0 0 0 0 0
mcs90_b09_s50_AB07 90 0 130 40 133 91 0 132 41 135
mcs50_m2Dr4_s30_AB06 1368 130 1949 581 1952 1519 143 2166 647 2170
mcs50_r02_s50_AB00 27428 38663 99993 72565 100000 27360 38847 100001 72641 100007
mcs90_m2Dr6_s20_AB05 1 0 1 0 3 1 0 1 0 3
mcs10_r005_s50_AB08 44418 37219 99998 55580 100004 44616 37043 99996 55380 100002
mcs90_r02_s35_AB01 2 0 2 0 4 2 0 2 0 4
mcs70_r02_s30_AB04 292 6 531 239 536 293 6 539 246 542
mcs70_b09m_s35_AB03 992 54 1842 850 1848 958 56 1793 835 1799
mcs70_b06m_s40_AB02 1324 248 2231 907 2236 1277 240 2170 893 2175
mcs30_m3Dr4_s30_AB07 3986 4685 10051 6065 10055 3964 4630 9971 6007 9975
mcs90_r02_s35_AB06 2 0 2 0 4 2 0 2 0 4
mcs70_r02_s10_AB01 0 0 0 0 0 0 0 0 0 0
mcs30_b06_s40_AB01 28199 59240 99999 71800 100005 28418 58950 100002 71584 100008
mcs10_r005_s50_AB01 33607 52376 99997 66390 100002 33753 52047 100000 66247 100007
mcs30_r01_s50_AB02 53308 3833 100002 46694 100009 53009 4535 99995 46986 100002
mcs50_b03m_s30_AB06 365 0 395 30 397 375 106 511 136 513
mcs50_m3Dr6_s50_AB07 25410 62093 100002 74592 100007 25351 62052 100003 74652 100009
mcs90_r01_s50_AB03 5 1 7 2 9 5 1 7 2 10
mcs50_b03_s10_AB04 0 0 0 0 0 0 0 0 0 0
mcs30_r01_s10_AB09 0 0 0 0 0 0 0 0 0 0
mcs30_m2Dr2_s50_AB04 43661 45407 100003 56342 100009 43978 45012 100002 56024 100009
mcs90_b06m_s15_AB07 0 0 0 0 0 0 0 0 0 0
mcs70_b03_s15_AB07 0 0 0 0 0 0 0 0 0 0
mcs70_m2D_s40_AB09 17904 3439 24643 6739 24646 18114 3480 24905 6791 24909
mcs70_b09m_s35_AB05 1082 117 2029 947 2033 1057 113 1995 938 2000
mcs70_b06_s50_AB00 24000 66783 100003 76003 100008 24189 66501 99998 75809 100003
mcs90_b09m_s50_AB05 17 2 25 8 27 10 1 15 5 17
mcs30_m3Dr4_s30_AB02 3799 442 5741 1942 5746 3869 442 5857 1988 5861
mcs50_m4Dr2_s40_AB00 59104 19112 88926 29822 88930 59349 19262 89181 29832 89186
mcs90_b03m_s30_AB03 1 0 1 0 1 1 0 1 0 2
mcs30_r005_s40_AB04 20943 72499 100004 79061 100009 20797 72640 100004 79207 100009
mcs90_b03_s30_AB08 3 0 3 0 4 3 0 3 0 4
mcs30_r01_s25_AB02 162 509 745 583 748 165 524 766 601 770
mcs70_b03_s30_AB00 91 78 187 96 189 92 82 192 100 195
mcs30_b06_s50_AB04 26294 61266 100001 73707 100006 26204 61371 99996 73792 100002
mcs70_r02_s15_AB02 3 4 8 5 9 3 4 8 5 9
mcs30_b09m_s40_AB04 57740 1604 100001 42261 100008 54120 4990 99998 45878 100008
mcs50_m4Dr2_s35_AB07 8179 383 9850 1671 9854 8225 383 9903 1678 9907
