mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit+r mcsplit+S
100004 100009 100007 100005 100004 100008 100004
94 107 106 108 166 176 178
134 168 145 161 59 85 136
0 0 0 0 0 0 0
0 0 0 0 1 1 0
5379 5631 7640 7916 4756 5351 5349
2119 2241 2711 2876 2499 2897 2089
56 60 55 59 44 39 55
4 4 4 4 4 4 4
43629 47903 56520 59818 27216 31673 43464
100004 100005 100005 100001 100002 100008 100009
2 2 2 2 3 3 3
0 0 0 0 0 0 0
100007 100001 100004 100002 100005 100009 100008
100006 100005 100007 100010 100005 100005 100007
100001 100006 100000 100004 100007 100006 100003
28966 30684 53601 56162 48241 62757 28941
18 21 21 22 17 19 19
1961 2138 2322 2485 1654 1868 1949
0 0 0 0 0 0 0
100004 100001 100009 100007 100004 100009 100004
0 0 0 0 0 0 0
1 2 1 2 0 0 1
100002 100005 100002 100005 100007 100005 100001
0 0 0 0 0 0 0
100001 100001 100009 100003 100003 100004 100000
15343 15692 25271 26669 9275 12003 11811
100003 100001 100008 100000 100008 100002 100002
14 16 12 13 10 11 14
1 1 1 1 1 1 1
5694 6269 5749 6329 5237 5750 5685
1948 2070 2175 2248 1622 1717 2003
2 3 2 3 2 3 2
10545 11074 14848 15333 8170 9371 9105
71509 82011 88058 91512 88820 96050 68843
546 613 707 729 629 626 549
100006 100003 100006 100004 100005 100008 100006
61 56 68 63 49 54 61
14 15 14 15 12 14 14
100007 100009 100002 100008 100007 100009 100009
0 0 0 0 0 0 0
12 13 12 12 12 14 12
9231 12735 9498 5159 10519 10706 9233
1 1 0 0 0 1 1
0 0 0 0 0 0 0
35968 38339 56658 60280 34487 38774 36136
100004 100004 100005 100004 100002 100002 100006
4605 4874 5768 6119 4290 5280 4622
6 6 7 7 4 5 4
611 659 657 696 494 547 613
100002 100002 100003 100007 100002 100003 100003
14 16 18 18 13 16 14
1653 1246 2273 2500 1233 1642 1689
0 0 0 0 0 0 0
1374 1493 1418 1558 1102 1184 1258
49804 55002 62995 70994 40071 44605 43408
2 2 2 2 1 2 2
5 5 5 5 4 5 5
6237 7111 6928 7224 6030 6013 6209
0 0 0 0 0 0 0
1644 1884 1961 2190 1621 1881 1685
214 240 216 227 252 246 208
2 2 2 2 3 3 2
100000 100003 100006 100007 100009 100001 100003
26035 33693 22165 24390 15830 17869 18270
217 275 259 355 207 250 215
100002 100008 100003 100006 100008 100009 100003
3855 4387 4095 4432 3590 3799 3850
6577 7586 9135 10094 7824 8515 8403
2 3 2 2 2 2 3
100004 100005 100000 100001 75263 93964 100002
184 215 210 220 184 201 191
0 1 0 0 0 0 0
0 0 0 0 0 0 0
10 12 14 15 5 8 8
100000 100005 100002 100003 100000 100004 100001
0 0 0 0 0 0 0
71 74 78 78 60 64 70
307 354 433 444 102 137 310
0 0 0 0 0 0 0
4 5 5 5 5 5 4
100004 100004 100005 100005 100005 100003 100001
