mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit+r mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O
100001 100006 100001 100005 100001 100008 100008 100006 100002 100000 100005 100001 100003
100000 100006 100003 100004 100001 100005 100003 100001 100006 100003 100000 100003 100005
0 0 0 0 0 0 0 0 0 0 0 0 0
362 381 1260 1329 1034 1438 355 355 408 1467 1151 408 411
88910 89477 100001 100001 100006 100008 88993 87807 99714 100000 100006 66453 100009
2 3 2 2 0 0 0 0 2 2 0 0 0
100009 100004 100009 100008 100002 100004 100005 100002 100009 100007 100007 100008 100006
30 63 31 43 8 7 8 7 51 52 10 10 10
534 2403 510 654 15 14 13 14 908 870 21 19 19
0 0 0 0 0 0 0 0 0 0 0 0 0
66890 97595 67027 70421 3163 2501 2052 2040 76605 77854 3650 2345 2353
5 5 8 9 5 8 8 5 7 12 7 13 7
846 957 88723 90024 1514 96203 858 855 1189 100004 2108 1204 1226
727 784 100002 100000 1233 100002 714 724 1025 100002 1732 1047 1028
9 18 10 11 5 5 4 5 15 15 8 7 7
225 240 201 208 200 157 147 224 367 310 348 221 369
100003 100005 100001 100000 100007 100007 100007 100005 100000 100007 100007 100009 100002
4 12 4 5 0 0 0 0 5 5 1 0 0
6 9 8 13 5 6 6 6 6 9 5 6 6
132 142 2123 6317 222 2391 134 138 168 3395 294 160 164
4645 4865 4615 4783 2229 2300 2227 4583 5358 5291 2511 2617 5432
6 6 7 6 1 1 1 1 7 7 1 1 1
100006 100003 100008 100009 100007 100008 100005 100007 100005 100005 100004 100005 100006
4615 4749 4607 4476 206 202 164 159 5163 5194 223 176 179
0 0 0 0 0 0 0 0 0 0 0 0 0
47426 49374 100003 100007 53164 100001 48176 47472 64431 100010 72768 64706 64469
5 6 47 66 8 54 5 5 7 70 11 7 7
15 15 177 180 16 219 15 15 5 197 9 5 5
100009 100009 100008 100003 100003 100002 100005 100000 100006 100007 100000 100008 100004
8 8 35 61 8 34 34 8 8 32 8 31 8
25 106 30 77 1 1 1 1 38 45 2 1 1
