instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r2-3-27-14 27 0.296296 14 0.252747 20 4 4 21 4 27 4 4 22 8 8
r1-3-28-30 28 0.280423 30 0.303448 13393 14310 13406 14666 12353 23472 24679 23547 15501 22523 15463
r3-2-15-30 15 0.285714 30 0.252874 10 71 10 60 11 12 88 12 18 22 18
r1-3-31-14 31 0.298925 14 0.252747 19 7 7 19 7 19 8 8 25 10 10
r3-1-22-16 22 0.320346 16 0.291667 17 19 18 17 17 25 27 26 22 13 14
r1-3-24-27 24 0.293478 27 0.321937 1376 1628 1363 1722 1282 2356 2764 2365 1702 1709 1706
r1-3-26-18 26 0.295385 18 0.326797 141 59 60 139 66 219 82 83 111 48 48
r2-1-38-13 38 0.314367 13 0.410256 80 11 11 79 11 98 12 12 50 17 17
r3-1-21-37 21 0.390476 37 0.285285 2495 8298 2469 7408 2712 3696 14696 3714 3760 6645 3763
r2-1-28-35 28 0.309524 35 0.319328 53047 65837 53100 69184 51639 92658 100000 92838 65094 73681 64947
r1-1-31-36 31 0.298925 36 0.298413 100004 100003 100002 100008 100000 100007 100002 100000 100002 100008 100007
r3-2-37-20 37 0.304805 20 0.331579 3217 834 829 2997 885 5448 1231 1252 2720 1453 1450
r3-3-17-18 17 0.279412 18 0.326797 13 9 12 12 11 19 14 19 17 12 17
r3-3-22-35 22 0.320346 35 0.307563 855 2534 857 2341 862 1272 4332 1328 2018 2934 2038
r3-2-31-28 31 0.305376 28 0.309524 18816 15977 15948 19677 15010 35078 28654 28623 23562 19303 19123
r2-3-34-21 34 0.304813 21 0.390476 5528 1778 1799 5492 1900 10424 2879 2846 3674 2557 2516
r3-2-10-27 10 0.422222 27 0.296296 0 3 0 3 0 0 3 0 0 2 0
r1-3-13-15 13 0.410256 15 0.285714 0 2 0 1 1 1 3 1 1 1 1
r1-2-33-37 33 0.327652 37 0.303303 100009 100007 100002 100006 100001 100003 100001 100007 100004 100001 100001
r2-1-28-36 28 0.309524 36 0.298413 36677 49246 37043 46968 38815 63340 92868 63964 38473 57590 38585
r3-3-16-15 16 0.3 15 0.285714 1 1 1 1 1 1 1 1 3 2 2
r3-1-34-35 34 0.304813 35 0.319328 100002 100005 100004 100003 100000 100008 100001 100004 100009 100009 100008
r2-3-11-30 11 0.254545 30 0.303448 2 2 2 2 3 2 3 2 0 0 0
r1-3-14-11 14 0.32967 11 0.4 0 0 0 0 0 1 0 0 0 0 0
r2-3-15-39 15 0.390476 39 0.287449 51 308 51 289 51 61 422 61 86 227 86
r2-1-33-27 33 0.291667 27 0.259259 13707 10732 10760 14793 10017 23410 17692 17680 17316 14156 14116
r2-3-23-16 23 0.3083 16 0.3 24 13 13 30 13 45 18 18 26 27 28
r1-2-37-24 37 0.285285 24 0.32971 13565 4047 4021 13286 4308 24138 5914 5927 14205 6793 6734
r2-3-21-32 21 0.314286 32 0.304435 1028 2141 1030 1968 1063 1588 3747 1582 1292 1962 1280
r2-2-20-21 20 0.331579 21 0.314286 88 115 85 105 85 130 193 133 113 117 111
r2-1-22-40 22 0.290043 40 0.301282 7498 20070 7599 19213 7525 10873 34091 10964 10769 17652 10838
r1-1-13-23 13 0.410256 23 0.304348 1 5 1 4 1 2 7 2 2 8 2
r3-2-15-37 15 0.285714 37 0.303303 12 121 12 109 13 14 148 14 23 172 23
r1-2-23-29 23 0.304348 29 0.325123 1258 1608 1235 1668 1152 2024 2844 2029 1552 1815 1519
r3-1-25-32 25 0.286667 32 0.268145 2412 3944 2442 3472 2659 3722 6538 3718 2459 4145 2464
r3-2-35-38 35 0.307563 38 0.314367 100008 100005 100004 100007 100005 100007 100002 100006 100001 100003 100002
r2-1-34-14 34 0.304813 14 0.32967 63 10 10 64 10 71 11 12 36 9 8
r3-3-31-13 31 0.305376 13 0.358974 13 1 1 13 1 14 1 1 8 5 5
r2-1-40-20 40 0.317949 20 0.3 5985 1844 1834 6266 1907 9717 2632 2632 4748 1098 1105
r3-3-19-21 19 0.368421 21 0.390476 151 116 150 123 138 251 193 252 81 90 83
r1-3-28-20 28 0.280423 20 0.331579 945 286 284 924 300 1636 422 428 863 537 535
r3-2-14-36 14 0.252747 36 0.366667 8 63 8 60 8 7 68 7 32 140 32
r1-1-24-25 24 0.293478 25 0.28 932 1155 930 1183 922 1558 1975 1568 1192 1380 1193
r1-1-22-22 22 0.298701 22 0.298701 0 0 0 0 0 0 0 0 0 0 0
r1-1-33-22 33 0.327652 22 0.298701 4089 1780 1774 4264 1693 7106 2720 2701 2225 2243 2263
r3-3-16-36 16 0.3 36 0.269841 20 110 20 98 20 24 136 24 29 77 29
r1-1-39-27 39 0.325236 27 0.259259 97217 70063 69759 100009 67690 100000 100004 100001 99706 76941 66148
r1-1-14-23 14 0.32967 23 0.304348 3 6 2 5 2 3 7 3 2 7 2
r1-2-12-23 12 0.272727 23 0.3083 0 3 0 3 0 0 3 0 2 5 2
r3-1-16-14 16 0.3 14 0.32967 2 1 1 2 1 2 1 1 2 2 2
r1-3-38-11 38 0.29303 11 0.4 28 1 1 27 2 27 1 2 13 2 2
r3-3-22-31 22 0.320346 31 0.305376 1052 2323 1054 2192 1063 1660 4003 1661 1789 2395 1809
r1-2-13-31 13 0.410256 31 0.296774 4 23 4 21 4 5 30 5 6 25 6
r3-3-19-12 19 0.368421 12 0.393939 3 1 1 3 1 4 1 1 2 1 1
