instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-625 22 0.874459 31 0.378495 112 45 44 115 83 68 187 72 72 188 220 102 99 221
r-584 14 0.0879121 10 0.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-539 31 0.597849 18 0.803922 264 384 263 389 320 360 403 590 391 578 448 321 451 334
r-40 10 0.266667 42 0.148664 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-202 43 0.541528 47 0.323774 100002 100008 100003 100003 100006 100007 100004 100007 100005 100001 100004 100009 100006 100006
r-619 43 0.41196 20 0.410526 11107 7436 11030 7508 11181 7477 18866 12403 18732 12295 8921 5087 8909 5137
r-971 38 0.809388 25 0.496667 2017 818 819 837 2171 797 3126 1095 1108 1106 2526 1037 1058 1048
r-664 39 0.623482 38 0 3581 65948 3483 65326 65325 4913 3824 79504 3781 78909 3526 65849 3508 65469
r-872 32 0.370968 23 0.217391 1702 3591 1702 3657 2254 3291 2941 6560 2922 6495 3015 3112 3060 3174
r-897 36 0.480952 22 0.727273 3692 4303 3751 4321 4748 3861 6541 7080 6434 7059 5063 5322 5090 5440
r-761 13 0.217949 49 0.0221088 0 23 0 0 23 0 0 23 0 0 0 20 0 0
r-546 24 0.405797 45 0.522222 46820 62694 62131 46719 65135 44536 84850 100001 100007 85034 52779 84528 85515 53191
r-587 21 0.447619 49 0.326531 11555 21260 11606 11413 19788 11786 18690 39579 18615 18737 13279 25362 13222 13360
r-754 15 0.609524 50 0.32 234 409 232 235 471 216 336 633 331 329 302 654 306 301
r-976 31 0.309677 35 0.304202 100007 100004 100004 100007 100003 100004 100007 100001 100000 100003 100006 100008 100009 100002
r-97 34 0.900178 41 0.804878 100008 68970 67909 100008 100000 100004 100002 99190 99756 100000 100000 100007 100010 100007
r-728 36 0.874603 17 0.948529 1314 216 1222 211 1268 168 1153 84 1184 82 0 0 0 0
r-655 29 0.583744 43 0.744186 68418 100005 68007 73604 100006 83336 100005 100006 100002 100001 70302 100007 70825 70004
r-517 49 0.0459184 35 0.253782 100009 7233 6884 6862 100010 9610 100002 7902 7893 8000 100009 92120 92024 91229
r-649 19 0.210526 16 0.475 7 2 2 2 6 3 13 3 3 3 4 3 3 3
r-110 33 0.4375 25 0.246667 3389 10303 3365 10312 4695 8506 5687 19318 5685 19243 8002 8091 8031 8138
r-723 10 0.0888889 43 0.128461 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-72 44 0.860465 14 0.384615 54 4 4 4 56 5 77 6 6 6 19 31 31 30
r-57 44 0.914376 18 0.712418 99 5 5 5 97 6 116 5 4 5 76 32 31 32
r-620 31 0.787097 14 0.934066 7 2 7 2 7 2 7 2 7 2 4 2 4 2
r-849 35 0.862185 36 0.195238 260 167 162 265 297 159 455 274 282 456 266 180 183 272
r-22 19 0.415205 25 0.776667 13 27 13 13 26 10 17 37 18 17 21 35 21 22
r-420 34 0.327986 14 0.879121 15 23 15 24 24 18 21 34 20 20 21 24 21 25
r-908 33 0.526515 13 0.102564 20 60 20 61 44 47 33 81 32 80 29 44 29 43
r-688 49 0.638605 18 0.490196 2873 1409 1397 1377 3018 1334 4294 2102 2102 2083 3526 2393 2431 2394
r-502 35 0.168067 46 0.825121 615 524 524 632 852 390 1118 916 946 1101 1004 861 860 987
r-589 12 0.590909 47 0.345976 15 42 14 15 45 15 11 47 11 11 24 43 24 24
r-197 33 0.702652 41 0.219512 2479 3686 2414 2481 4106 2002 4702 6614 4707 4685 2954 4438 2950 2904
r-869 30 0.878161 16 0.0583333 0 1 0 1 0 0 2 2 2 2 0 1 0 2
r-313 25 0.336667 17 0.411765 189 70 70 70 200 73 362 109 109 108 117 87 87 87
r-135 44 0.807611 25 0.536667 9314 1885 1915 1951 8473 2652 17466 3114 2926 3059 8200 3647 3668 3600
r-805 49 0.307823 40 0.782051 34763 65908 34888 65587 53416 42740 68076 100006 68058 100002 49766 83182 49778 83125
r-903 26 0.467692 10 0.0888889 3 6 3 6 4 6 4 7 4 7 8 6 8 6
r-200 10 0.0888889 30 0.588506 2 2 2 2 5 2 2 4 3 2 3 6 6 3
r-893 33 0.712121 11 0.436364 5 2 2 2 6 2 7 2 2 2 8 4 4 4
