instance n_pattern n_target runtime_realkdown runtime_kdown solsize solsize_over_n_pattern
F.04 270 300 252 3 270 1.0
C.18 900 1000 2092 102 900 1.0
A.04 180 200 46 1 180 1.0
C.02 900 1000 2290 144 900 1.0
F.20 270 300 319 3 270 1.0
B.20 540 600 570 54 540 1.0
C.08 900 1000 2048 29621 900 1.0
B.11 540 600 682 11 540 1.0
C.10 900 1000 2081 2263 900 1.0
B.06 540 600 683 16 540 1.0
F.08 270 300 320 3 270 1.0
B.07 540 600 591 30 540 1.0
C.01 900 1000 2259 918 900 1.0
B.10 540 600 641 15 540 1.0
A.15 180 200 48 1 180 1.0
C.19 900 1000 2325 492 900 1.0
B.02 540 600 560 50 540 1.0
C.20 900 1000 2031 288 900 1.0
F.02 270 300 260 3 270 1.0
F.11 270 300 235 3 270 1.0
F.12 270 300 236 3 270 1.0
B.16 540 600 567 14 540 1.0
A.08 180 200 45 2 180 1.0
C.14 900 1000 2116 37 900 1.0
F.16 270 300 232 3 270 1.0
F.06 270 300 248 3 270 1.0
A.03 180 200 54 3 180 1.0
C.15 900 1000 2233 2564 900 1.0
A.16 180 200 47 2 180 1.0
B.14 540 600 745 804 540 1.0
A.02 180 200 46 1 180 1.0
F.14 270 300 264 5 270 1.0
F.05 270 300 254 4 270 1.0
B.09 540 600 738 19 540 1.0
A.01 180 200 47 1 180 1.0
C.05 900 1000 2005 53 900 1.0
B.01 540 600 579 255 540 1.0
A.09 180 200 47 1 180 1.0
A.07 180 200 46 2 180 1.0
F.03 270 300 235 3 270 1.0
C.06 900 1000 2152 148 900 1.0
C.09 900 1000 2136 41 900 1.0
B.17 540 600 552 70 540 1.0
C.07 900 1000 2099 84 900 1.0
C.11 900 1000 2189 11932 900 1.0
A.17 180 200 46 1 180 1.0
B.15 540 600 675 25 540 1.0
F.19 270 300 251 3 270 1.0
A.12 180 200 46 3 180 1.0
B.08 540 600 583 108 540 1.0
F.17 270 300 233 5 270 1.0
C.04 900 1000 2286 709016 900 1.0
B.19 540 600 627 52 540 1.0
C.16 900 1000 2403 5590 900 1.0
C.17 900 1000 2764 3612 900 1.0
F.13 270 300 358 3 270 1.0
A.20 180 200 47 3 180 1.0
B.12 540 600 565 319 540 1.0
F.09 270 300 280 4 270 1.0
A.10 180 200 74 2 180 1.0
F.18 270 300 264 10 270 1.0
E.10 270 300 264 5 270 1.0
A.06 180 200 67 1 180 1.0
B.03 540 600 566 13 540 1.0
B.18 540 600 603 10 540 1.0
C.03 900 1000 2578 140 900 1.0
A.18 180 200 50 2 180 1.0
F.15 270 300 230 3 270 1.0
A.19 180 200 47 3 180 1.0
C.12 900 1000 2091 2321 900 1.0
B.05 540 600 656 60 540 1.0
A.13 180 200 47 1 180 1.0
A.05 180 200 61 1 180 1.0
F.01 270 300 226 4 270 1.0
B.13 540 600 556 44 540 1.0
A.14 180 200 65 5 180 1.0
B.04 540 600 551 53 540 1.0
C.13 900 1000 2137 71 900 1.0
F.07 270 300 304 5 270 1.0
A.11 180 200 55 1 180 1.0
si6_r005_m400.07 240 400 11684 27 240 1.0
si6_r005_m400.00 240 400 9457 33 240 1.0
si6_r005_m400.01 240 400 4527 16 240 1.0
si6_r005_m400.02 240 400 3576 11 240 1.0
si6_r005_m400.04 240 400 4036 8 240 1.0
si6_r005_m400.05 240 400 14651 7 240 1.0
si6_r005_m400.09 240 400 2523 6 240 1.0
si6_r005_m400.03 240 400 7382 7 240 1.0
si6_r005_m400.06 240 400 2764 5 240 1.0
si6_r005_m400.08 240 400 4258 19 240 1.0
si6_m4Dr6_m625.04 375 625 426 6 375 1.0
si6_m4Dr6_m625.01 375 625 404 9 375 1.0
si6_m4Dr6_m625.09 375 625 412 8 375 1.0
si6_m4Dr6_m625.07 375 625 487 10 375 1.0
si6_m4Dr6_m625.00 375 625 462 7 375 1.0
si6_m4Dr6_m625.08 375 625 534 7 375 1.0
si6_m4Dr6_m625.05 375 625 544 11 375 1.0
si6_m4Dr6_m625.06 375 625 410 7 375 1.0
si6_m4Dr6_m625.02 375 625 423 7 375 1.0
si6_m4Dr6_m625.03 375 625 459 6 375 1.0
si4_m4Dr2_m625.09 250 625 311 8 250 1.0
si4_m4Dr2_m625.04 250 625 362 12 250 1.0
si4_m4Dr2_m625.02 250 625 373 5 250 1.0
si4_m4Dr2_m625.07 250 625 301 8 250 1.0
si4_m4Dr2_m625.00 250 625 425 5 250 1.0
si4_m4Dr2_m625.08 250 625 296 6 250 1.0
si4_m4Dr2_m625.01 250 625 301 6 250 1.0
si4_m4Dr2_m625.06 250 625 322 5 250 1.0
si4_m4Dr2_m625.03 250 625 307 10 250 1.0
si4_m4Dr2_m625.05 250 625 308 11 250 1.0
si2_r001_m600.00 120 600 579 1000000 120 1.0
si2_r001_m600.06 120 600 574 1000000 120 1.0
si2_r001_m600.04 120 600 812 158 120 1.0
si2_r001_m600.07 120 600 504 1000000 120 1.0
si2_r001_m600.02 120 600 288 1000000 120 1.0
si2_r001_m600.08 120 600 687 1000000 120 1.0
si2_r001_m600.03 120 600 342 1000000 120 1.0
si2_r001_m600.01 120 600 244 1000000 120 1.0
si2_r001_m600.05 120 600 368 1000000 120 1.0
si2_r001_m600.09 120 600 1104 1000000 120 1.0
si2_m4Dr2_m256.09 51 256 54 10 51 1.0
si2_m4Dr2_m256.03 51 256 142 68 51 1.0
si2_m4Dr2_m256.04 51 256 45 56 51 1.0
si2_m4Dr2_m256.07 51 256 31 2 51 1.0
si2_m4Dr2_m256.00 51 256 32 14 51 1.0
si2_m4Dr2_m256.06 51 256 51 63 51 1.0
si2_m4Dr2_m256.08 51 256 47 1 51 1.0
si2_m4Dr2_m256.05 51 256 49 0 51 1.0
si2_m4Dr2_m256.01 51 256 31 2 51 1.0
si2_m4Dr2_m256.02 51 256 30 3 51 1.0
si6_r001_m600.09 360 600 683 7 360 1.0
si6_r001_m600.00 360 600 502 268 360 1.0
si6_r001_m600.07 360 600 506 8 360 1.0
si6_r001_m600.03 360 600 492 26 360 1.0
si6_r001_m600.01 360 600 475 17 360 1.0
si6_r001_m600.06 360 600 476 10 360 1.0
si6_r001_m600.08 360 600 719 7 360 1.0
si6_r001_m600.02 360 600 530 65 360 1.0
si6_r001_m600.04 360 600 656 365 360 1.0
si6_r001_m600.05 360 600 479 7 360 1.0
si2_m4Dr2_m1296.05 259 1296 1316 20 259 1.0
si2_m4Dr2_m1296.09 259 1296 1452 26 259 1.0
