instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
si4_b06m_m800.08 0 0 0 0 1 6 41 35 0 27 0 1 0 4 0 0
si4_b06m_m800.00 0 0 0 0 1 6 42 21 0 28 0 1 0 4 0 0
si4_b06m_m800.06 0 0 0 0 1 6 65 20 0 37 1 1 0 4 0 0
si4_b06m_m800.05 0 0 0 0 1 4 42 34 0 47 1 1 0 4 0 0
si4_b06m_m800.04 0 0 0 0 1 4 42 34 0 22 0 1 0 4 0 0
si4_b06m_m800.09 0 0 0 0 1 6 65 20 0 22 1 1 0 4 0 0
si4_b06m_m800.01 0 0 0 0 1 6 77 21 1 59 0 1 0 4 0 0
si4_b06m_m800.07 0 0 0 0 0 6 42 20 0 36 1 0 0 4 0 0
si4_b06m_m800.03 0 0 0 0 1 4 40 21 0 29 1 1 0 4 0 0
si4_b06m_m800.02 0 0 0 0 1 4 45 21 0 30 1 1 0 4 0 0
si4_b03_m800.05 0 0 0 0 0 5 89 23 0 26 0 0 0 3 0 0
si4_b03_m800.00 0 0 0 0 0 3 95 40 0 25 0 0 0 3 0 0
si4_b03_m800.08 0 0 0 0 0 3 55 23 0 25 0 0 0 3 0 0
si4_b03_m800.09 0 0 0 0 0 6 84 23 0 40 0 0 0 3 0 0
si4_b03_m800.03 0 0 0 0 0 5 58 24 0 40 0 0 0 3 0 0
si4_b03_m800.02 0 0 0 0 0 6 65 23 0 32 0 0 0 3 0 0
si4_b03_m800.04 0 0 0 0 0 4 54 24 0 25 0 0 0 3 0 0
si4_b03_m800.01 0 0 0 0 0 3 55 42 0 25 0 0 0 3 0 0
si4_b03_m800.06 0 0 0 0 0 5 54 23 0 39 0 0 0 3 0 0
si4_b03_m800.07 0 0 0 0 0 5 56 23 0 39 0 0 0 3 0 0
si4_b06_m400.06 0 0 0 0 0 1 27 7 0 9 0 0 0 3 0 0
si4_b06_m400.07 0 0 0 0 0 1 28 7 0 9 0 0 0 3 0 0
si4_b06_m400.09 0 0 0 0 0 1 37 13 0 15 0 0 0 3 0 0
si4_b06_m400.01 0 0 0 0 0 1 27 7 0 15 0 0 0 3 0 0
si4_b06_m400.04 0 0 0 0 0 1 27 12 0 9 0 0 0 3 0 0
si4_b06_m400.03 0 0 0 0 0 1 27 7 0 16 0 0 0 3 0 0
si4_b06_m400.00 0 0 0 0 0 1 51 7 0 9 0 0 0 3 0 0
si4_b06_m400.05 0 0 0 0 0 1 42 7 0 15 0 0 0 3 0 0
si4_b06_m400.08 0 0 0 0 0 1 49 7 0 15 0 0 0 3 0 0
si4_b06_m400.02 0 0 0 0 0 1 27 12 0 9 0 0 0 3 0 0
si2_b03m_m800.03 0 0 0 0 0 5 26 14 0 1000000 0 0 0 4 0 0
si2_b03m_m800.02 0 0 0 0 0 4 26 8 0 12 14378 0 0 4 0 0
si2_b03m_m800.09 0 0 0 0 0 5 25 74 1000000 125 4 0 0 4 4 0
si2_b03m_m800.04 0 0 0 0 0 5 29 8 1 15 5 0 0 4 1 0
si2_b03m_m800.06 0 0 0 0 0 5 27 13 0 14 0 0 0 4 0 0
si2_b03m_m800.05 0 0 0 0 0 5 25 8 1833 4035 5 0 0 4 5 0
si2_b03m_m800.01 0 0 0 0 0 5 18 8 9 28 4 0 0 4 4 0
si2_b03m_m800.08 0 0 0 0 0 5 27 14 831937 11 0 0 0 4 0 0
si2_b03m_m800.07 261005 380507 385627 381136 0 1000000 16 8 2254 12 4 0 100 4 4 0
si2_b03m_m800.00 0 0 0 0 0 3 27 8 511 9 0 0 0 4 0 0
si6_b03m_m800.01 0 0 0 0 1 5 55 36 29 36 1 1 0 4 1 0
si6_b03m_m800.08 1 0 0 0 1 5 83 31 12 23 276 1 0 4 12 0
si6_b03m_m800.03 12 15 14 14 1 51 83 62 79 20 12 1 15 4 12 1
si6_b03m_m800.00 0 0 0 0 2 5 49 31 1 32 101 2 0 4 1 0
si6_b03m_m800.04 1 0 0 0 1 8 60 31 2 23 9 1 0 4 2 0
si6_b03m_m800.05 0 0 0 0 1 5 84 45 152 24 223 1 0 4 24 0
si6_b03m_m800.07 0 0 0 0 2 5 50 32 20370 33 1 2 0 4 1 0
si6_b03m_m800.06 0 0 0 0 7 5 81 31 8 24 60075 7 0 4 8 0
si6_b03m_m800.09 0 0 0 0 12 5 50 52 62 24 211257 12 0 4 24 0
si6_b03m_m800.02 0 0 0 0 1 5 48 34 0 34 13 1 0 4 0 0
si6_b09m_m400.03 0 0 0 0 0 2 46 10 0 21 1 0 0 4 0 0
si6_b09m_m400.07 0 0 0 0 0 2 23 10 0 35 0 0 0 4 0 0
si6_b09m_m400.00 0 0 0 0 0 2 29 10 0 77 0 0 0 4 0 0
si6_b09m_m400.04 0 0 0 0 0 1 27 10 0 18 0 0 0 4 0 0
si6_b09m_m400.06 0 0 0 0 0 2 46 17 0 16 0 0 0 4 0 0
si6_b09m_m400.08 0 0 0 0 0 2 46 10 0 45 0 0 0 4 0 0
si6_b09m_m400.02 0 0 0 0 0 1 28 10 0 24 0 0 0 4 0 0
si6_b09m_m400.05 0 0 0 0 0 2 46 10 0 51 0 0 0 4 0 0
si6_b09m_m400.09 0 0 0 0 0 3 42 10 0 14 0 0 0 4 0 0
si6_b09m_m400.01 0 0 0 0 0 2 27 10 0 22 0 0 0 4 0 0
si2_b09_m200.08 0 0 0 0 0 0 10 2 0 2 0 0 0 3 0 0
si2_b09_m200.01 0 0 0 0 0 0 5 1 0 2 0 0 0 3 0 0
si2_b09_m200.06 0 0 0 0 0 0 5 2 0 1 0 0 0 3 0 0
si2_b09_m200.05 0 0 0 0 0 0 10 1 0 2 0 0 0 3 0 0
si2_b09_m200.00 0 0 0 0 0 0 10 2 0 2 0 0 0 3 0 0
si2_b09_m200.02 0 0 0 0 0 0 5 1 0 2 0 0 0 3 0 0
si2_b09_m200.03 0 0 0 0 0 0 10 2 0 2 0 0 0 3 0 0
si2_b09_m200.04 0 0 0 0 0 0 5 2 0 2 0 0 0 3 0 0
si2_b09_m200.09 0 0 0 0 0 0 10 2 0 2 0 0 0 3 0 0
si2_b09_m200.07 0 0 0 0 0 0 10 2 0 2 0 0 0 3 0 0
si2_b06_m200.02 0 0 0 0 0 0 6 1 0 1 0 0 0 3 0 0
si2_b06_m200.00 0 0 0 0 0 0 4 1 0 1 0 0 0 3 0 0
si2_b06_m200.01 0 0 0 0 0 0 6 1 0 1 0 0 0 3 0 0
si2_b06_m200.06 0 0 0 0 0 0 4 0 0 1 0 0 0 3 0 0
si2_b06_m200.09 0 0 0 0 0 0 3 1 0 2 0 0 0 3 0 0
si2_b06_m200.07 0 0 0 0 0 0 6 0 0 1 0 0 0 3 0 0
si2_b06_m200.04 0 0 0 0 0 0 6 1 0 2 0 0 0 3 0 0
si2_b06_m200.08 0 0 0 0 0 0 3 0 0 1 0 0 0 3 0 0
si2_b06_m200.03 0 0 0 0 0 0 3 0 0 1 0 0 0 3 0 0
si2_b06_m200.05 0 0 0 0 0 0 3 1 0 1 0 0 0 3 0 0
si2_b09m_m800.09 0 0 0 0 0 3 57 17 0 29 0 0 0 4 0 0
si2_b09m_m800.07 15710 18157 18571 17617 0 15172 58 24 1 35 0 0 100 4 0 0
si2_b09m_m800.00 0 0 0 0 0 5 63 18 0 48 0 0 0 4 0 0
si2_b09m_m800.04 0 0 0 0 0 5 56 17 4 18 0 0 0 4 0 0
si2_b09m_m800.02 0 0 0 0 0 5 60 11 0 24 0 0 0 4 0 0
si2_b09m_m800.05 0 0 0 0 0 5 35 9 0 48 0 0 0 4 0 0
